symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TMPV,EQ,25-Mar-2026,311.20,316.0,322.25,314.6,317.5,317.95,319.08,"78,57,557","2,50,71,92,247.45","1,05,144","35,32,018",44.95
TMPV,EQ,24-Mar-2026,305.25,312.95,314.2,305.5,310.95,311.2,309.88,"85,24,890","2,64,16,93,055.45","1,04,244","35,47,999",41.62
TMPV,EQ,23-Mar-2026,314.10,311.05,311.05,303.5,304.7,305.25,306.18,"1,08,16,349","3,31,17,94,324.35","1,44,969","54,05,656",49.98
TMPV,EQ,20-Mar-2026,309.30,311.0,316.9,310.8,315.0,314.1,314.06,"1,39,05,760","4,36,71,82,432.05","1,09,330","84,13,366",60.50
TMPV,EQ,19-Mar-2026,324.75,318.0,318.95,307.5,310.2,309.3,311.73,"1,01,46,164","3,16,29,00,040.15","1,68,351","44,01,676",43.38
TMPV,EQ,18-Mar-2026,319.20,321.0,330.2,319.9,324.0,324.75,325.77,"75,33,727","2,45,42,40,761.15","94,169","27,93,331",37.08
TMPV,EQ,17-Mar-2026,314.40,315.0,321.0,313.0,319.0,319.2,316.98,"79,53,108","2,52,09,61,779.70","1,05,843","25,66,019",32.26
TMPV,EQ,16-Mar-2026,314.10,313.0,316.45,306.9,313.8,314.4,312.44,"1,03,94,023","3,24,75,23,727.65","1,34,847","43,32,552",41.68
TMPV,EQ,13-Mar-2026,324.55,323.0,324.15,308.5,314.2,314.1,314.09,"1,70,73,811","5,36,27,29,434.95","2,61,796","69,70,258",40.82
TMPV,EQ,12-Mar-2026,335.35,332.5,333.0,323.35,324.3,324.55,326.41,"97,07,654","3,16,86,44,990.80","1,80,161","40,03,939",41.25
TMPV,EQ,11-Mar-2026,345.20,344.8,347.0,334.65,336.25,335.35,339.44,"59,49,596","2,01,95,12,675.50","1,31,900","26,58,610",44.69
TMPV,EQ,10-Mar-2026,332.00,338.0,345.8,334.25,344.4,345.2,340.78,"1,37,70,080","4,69,25,43,492.15","1,40,116","62,13,573",45.12
TMPV,EQ,09-Mar-2026,350.75,342.0,342.9,328.65,332.25,332.0,332.18,"1,72,40,937","5,72,70,97,572.25","2,52,967","71,90,033",41.70
TMPV,EQ,06-Mar-2026,355.15,354.0,354.35,349.35,350.8,350.75,351.71,"69,29,668","2,43,72,66,839.35","1,02,529","36,55,584",52.75
TMPV,EQ,05-Mar-2026,351.20,353.1,357.15,347.95,355.35,355.15,352.37,"1,05,74,236","3,72,59,92,959.50","1,57,419","49,33,946",46.66
TMPV,EQ,04-Mar-2026,370.60,363.15,363.9,350.1,351.0,351.2,354.17,"1,77,33,124","6,28,06,10,185.50","3,11,500","1,02,11,891",57.59
TMPV,EQ,02-Mar-2026,382.65,358.0,378.4,355.5,371.3,370.6,371.82,"1,18,04,909","4,38,92,55,163.75","1,86,718","56,55,986",47.91
TMPV,EQ,27-Feb-2026,391.55,393.65,394.05,380.95,383.5,382.65,385.64,"1,59,51,041","6,15,14,15,805.90","1,29,158","1,00,52,402",63.02
TMPV,EQ,26-Feb-2026,381.85,381.7,393.3,380.1,393.05,391.55,389.12,"1,46,97,484","5,71,90,16,312.60","1,64,892","73,12,452",49.75
TMPV,EQ,25-Feb-2026,377.55,378.0,385.6,376.1,381.75,381.85,381.77,"77,48,663","2,95,82,31,534.70","1,00,090","38,17,147",49.26
TMPV,EQ,24-Feb-2026,379.95,376.85,380.3,371.65,376.0,377.55,377.46,"72,13,746","2,72,28,96,283.90","87,436","36,33,974",50.38
TMPV,EQ,23-Feb-2026,378.00,378.8,384.0,376.05,379.05,379.95,379.21,"1,17,01,520","4,43,73,52,709.85","91,273","82,66,771",70.65
TMPV,EQ,20-Feb-2026,375.70,375.7,379.7,374.5,378.3,378.0,377.68,"63,24,165","2,38,84,83,479.20","86,008","36,36,778",57.51
