symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATATECH,EQ,25-Mar-2026,530.4,534.95,548.3,534.75,543.35,543.85,544.82,"11,17,795","60,90,02,508.75","23,758","5,82,242",52.09
TATATECH,EQ,24-Mar-2026,519.0,529.0,537.0,521.2,530.65,530.4,529.66,"13,37,692","70,85,26,828.60","27,536","5,58,085",41.72
TATATECH,EQ,23-Mar-2026,539.65,530.65,539.45,517.0,518.75,519.0,527.04,"12,57,876","66,29,55,860.15","38,922","5,26,709",41.87
TATATECH,EQ,20-Mar-2026,522.5,531.0,543.1,531.0,539.5,539.65,537.63,"12,10,072","65,05,69,623.10","24,709","4,93,571",40.79
TATATECH,EQ,19-Mar-2026,548.6,542.5,542.5,521.0,524.0,522.5,529.31,"12,99,226","68,76,95,802.85","31,856","5,48,088",42.19
TATATECH,EQ,18-Mar-2026,524.85,526.15,561.55,526.15,548.9,548.6,552.21,"30,31,766","1,67,41,85,708.35","56,178","5,38,965",17.78
TATATECH,EQ,17-Mar-2026,528.15,530.0,532.65,520.0,524.7,524.85,526.21,"9,35,421","49,22,29,487.05","28,617","4,00,657",42.83
TATATECH,EQ,16-Mar-2026,540.35,540.0,541.25,521.55,526.8,528.15,529.41,"12,35,514","65,40,98,678.50","36,713","5,12,188",41.46
TATATECH,EQ,13-Mar-2026,551.85,550.0,551.0,537.2,540.0,540.35,542.79,"8,93,902","48,52,02,268.80","27,984","4,26,470",47.71
TATATECH,EQ,12-Mar-2026,556.9,555.0,559.4,544.45,552.0,551.85,551.53,"8,22,824","45,38,09,700.65","26,410","3,34,214",40.62
TATATECH,EQ,11-Mar-2026,568.0,568.0,574.0,555.1,556.4,556.9,562.65,"8,47,444","47,68,14,426.40","31,066","4,63,078",54.64
TATATECH,EQ,10-Mar-2026,566.1,570.1,573.0,559.0,570.0,568.0,564.95,"8,05,693","45,51,74,515.10","23,845","3,41,984",42.45
TATATECH,EQ,09-Mar-2026,576.5,570.0,570.0,558.8,565.7,566.1,563.71,"9,41,151","53,05,39,583.15","26,523","4,62,979",49.19
TATATECH,EQ,06-Mar-2026,576.1,572.5,585.0,572.5,578.0,576.5,579.45,"5,75,421","33,34,26,306.50","17,584","2,57,941",44.83
TATATECH,EQ,05-Mar-2026,571.95,573.0,578.55,570.05,575.35,576.1,574.31,"5,61,922","32,27,16,735.65","17,040","2,55,194",45.41
TATATECH,EQ,04-Mar-2026,580.4,571.0,577.9,570.15,571.9,571.95,572.78,"9,42,117","53,96,29,298.00","27,254","4,87,419",51.74
TATATECH,EQ,02-Mar-2026,585.45,568.0,585.7,567.0,582.75,580.4,577.82,"10,19,890","58,93,14,029.05","26,164","3,83,567",37.61
TATATECH,EQ,27-Feb-2026,583.0,586.0,596.05,582.8,587.8,585.45,587.17,"7,24,585","42,54,57,351.35","20,026","2,73,374",37.73
TATATECH,EQ,26-Feb-2026,577.75,578.55,588.0,575.5,584.0,583.0,582.39,"7,79,370","45,38,96,982.55","22,786","2,98,670",38.32
TATATECH,EQ,25-Feb-2026,572.15,573.0,584.65,573.0,576.25,577.75,579.46,"8,91,075","51,63,39,228.20","26,938","3,49,415",39.21
TATATECH,EQ,24-Feb-2026,600.55,596.0,597.3,568.8,574.0,572.15,577.7,"17,47,763","1,00,96,78,358.25","51,624","7,75,590",44.38
TATATECH,EQ,23-Feb-2026,607.7,610.0,610.25,598.0,598.35,600.55,603.12,"5,93,417","35,79,04,464.45","23,451","2,24,141",37.77
TATATECH,EQ,20-Feb-2026,601.5,599.4,610.05,593.8,606.0,607.7,606.11,"9,71,083","58,85,87,068.80","21,649","3,03,892",31.29
TATATECH,EQ,19-Feb-2026,604.95,605.7,611.55,599.25,599.5,601.5,606.38,"7,07,706","42,91,38,274.40","21,525","2,43,579",34.42
TATATECH,EQ,18-Feb-2026,603.95,609.0,609.0,598.6,604.35,604.95,602.66,"6,11,235","36,83,66,830.15","18,627","2,24,100",36.66
TATATECH,EQ,17-Feb-2026,597.45,598.0,614.2,596.1,603.0,603.95,606.44,"8,24,958","50,02,87,626.35","24,398","2,32,396",28.17
TATATECH,EQ,16-Feb-2026,598.25,598.0,601.35,592.25,597.55,597.45,596.52,"6,57,508","39,22,18,781.35","22,033","2,24,101",34.08
TATATECH,EQ,13-Feb-2026,614.75,603.5,607.05,575.3,594.05,598.25,591.04,"28,99,790","1,71,38,88,217.20","73,370","6,47,789",22.34
TATATECH,EQ,12-Feb-2026,627.95,623.0,624.0,611.0,613.9,614.75,615.68,"10,44,351","64,29,85,867.20","31,155","4,19,591",40.18
TATATECH,EQ,11-Feb-2026,630.7,634.0,634.0,623.3,626.5,627.95,627.31,"4,55,464","28,57,18,560.90","17,219","1,74,736",38.36
TATATECH,EQ,10-Feb-2026,619.15,621.55,636.0,617.7,630.1,630.7,630.92,"10,54,949","66,55,84,349.15","27,382","3,36,494",31.9
TATATECH,EQ,09-Feb-2026,617.65,619.2,624.6,618.25,619.25,619.15,620.58,"6,51,194","40,41,18,545.75","21,676","2,82,039",43.31
TATATECH,EQ,06-Feb-2026,642.75,643.0,643.35,612.25,616.9,617.65,620.1,"20,55,179","1,27,44,10,031.10","54,745","8,42,734",41.01
TATATECH,EQ,05-Feb-2026,650.35,646.1,654.2,641.05,642.8,642.75,644.62,"5,13,808","33,12,10,375.75","15,945","2,12,377",41.33
TATATECH,EQ,04-Feb-2026,659.5,655.0,655.0,641.8,650.4,650.35,647.68,"8,16,751","52,89,94,581.65","22,025","2,42,796",29.73
TATATECH,EQ,03-Feb-2026,645.85,671.35,671.4,652.8,659.0,659.5,659.22,"9,56,968","63,08,53,283.40","23,534","4,44,963",46.5
TATATECH,EQ,02-Feb-2026,638.7,638.5,647.55,633.25,647.5,645.85,639.6,"4,79,353","30,65,96,281.35","18,129","1,85,784",38.76
TATATECH,EQ,01-Feb-2026,645.95,645.95,652.4,627.05,638.5,638.7,641.78,"5,87,826","37,72,54,096.45","19,403","1,98,929",33.84
TATATECH,EQ,30-Jan-2026,651.25,650.0,650.0,641.05,646.95,645.95,646.21,"7,45,301","48,16,17,610.70","23,479","4,14,773",55.65
TATATECH,EQ,29-Jan-2026,660.65,660.0,660.2,646.0,651.9,651.25,651.23,"6,68,578","43,53,99,034.90","18,728","3,20,540",47.94
TATATECH,EQ,28-Jan-2026,651.4,652.4,661.8,649.4,660.05,660.65,655.9,"5,86,827","38,49,00,352.25","17,714","2,37,708",40.51
TATATECH,EQ,27-Jan-2026,657.55,657.55,657.9,644.0,652.4,651.4,650.3,"10,94,324","71,16,34,271.75","23,534","4,88,870",44.67
TATATECH,EQ,23-Jan-2026,652.15,653.0,663.95,649.1,656.0,657.55,657.23,"11,75,442","77,25,39,711.35","29,313","3,99,204",33.96
TATATECH,EQ,22-Jan-2026,643.75,645.5,663.35,645.5,652.6,652.15,655.41,"7,95,469","52,13,55,266.75","21,419","3,25,870",40.97
TATATECH,EQ,21-Jan-2026,647.45,646.0,650.2,632.35,644.0,643.75,641.46,"12,19,597","78,23,26,080.15","34,731","3,90,364",32.01
TATATECH,EQ,20-Jan-2026,661.35,661.55,664.15,644.6,646.8,647.45,653.83,"11,09,131","72,51,82,893.10","29,522","3,38,144",30.49
