symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TECHM,EQ,25-Mar-2026,"1,432.70","1,422.40","1,428.70","1,393.00","1,403.50","1,408.50","1,414.73","49,38,929","6,98,72,28,524.20","1,50,452","21,06,763",42.66
TECHM,EQ,24-Mar-2026,"1,384.00","1,414.00","1,439.20","1,400.00","1,433.00","1,432.70","1,421.96","39,88,700","5,67,17,78,650.60","1,20,619","22,31,289",55.94
TECHM,EQ,23-Mar-2026,"1,384.80","1,366.00","1,414.60","1,357.60","1,389.00","1,384.00","1,396.64","36,47,386","5,09,40,75,790.20","1,69,241","16,73,537",45.88
TECHM,EQ,20-Mar-2026,"1,340.60","1,360.70","1,391.00","1,355.60","1,386.30","1,384.80","1,383.79","33,97,016","4,70,07,67,738.30","1,03,776","19,45,419",57.27
TECHM,EQ,19-Mar-2026,"1,385.20","1,364.10","1,379.30","1,331.10","1,350.00","1,340.60","1,351.10","12,19,405","1,64,75,39,767.10","80,223","5,19,259",42.58
TECHM,EQ,18-Mar-2026,"1,341.80","1,346.80","1,404.70","1,344.30","1,382.70","1,385.20","1,389.40","29,69,039","4,12,51,80,447.00","1,09,356","16,40,724",55.26
TECHM,EQ,17-Mar-2026,"1,339.50","1,340.90","1,354.80","1,318.20","1,339.70","1,341.80","1,343.20","16,34,005","2,19,48,03,348.80","89,344","8,99,839",55.07
TECHM,EQ,16-Mar-2026,"1,332.80","1,324.00","1,346.40","1,315.90","1,340.90","1,339.50","1,333.98","20,62,060","2,75,07,56,756.60","73,989","12,28,285",59.57
TECHM,EQ,13-Mar-2026,"1,349.80","1,342.50","1,342.50","1,319.80","1,332.00","1,332.80","1,330.09","11,50,005","1,52,96,07,530.40","63,585","6,61,815",57.55
TECHM,EQ,12-Mar-2026,"1,334.40","1,334.40","1,356.50","1,327.00","1,354.30","1,349.80","1,346.09","30,67,753","4,12,94,66,417.00","1,30,113","18,67,736",60.88
TECHM,EQ,11-Mar-2026,"1,336.60","1,343.90","1,355.40","1,330.20","1,334.20","1,334.40","1,342.65","14,99,971","2,01,39,42,110.30","90,461","8,51,753",56.78
TECHM,EQ,10-Mar-2026,"1,336.30","1,340.00","1,347.90","1,316.70","1,339.00","1,336.60","1,329.63","10,69,187","1,42,16,25,555.00","72,842","4,99,416",46.71
TECHM,EQ,09-Mar-2026,"1,331.70","1,305.00","1,340.40","1,304.10","1,333.10","1,336.30","1,325.23","10,32,250","1,36,79,68,161.90","83,963","4,87,675",47.24
TECHM,EQ,06-Mar-2026,"1,333.30","1,330.00","1,359.50","1,326.60","1,335.60","1,331.70","1,338.62","10,33,627","1,38,36,36,074.80","72,260","5,17,255",50.04
TECHM,EQ,05-Mar-2026,"1,351.20","1,358.00","1,366.70","1,319.30","1,332.50","1,333.30","1,334.17","12,10,010","1,61,43,54,605.40","88,882","5,36,424",44.33
TECHM,EQ,04-Mar-2026,"1,345.40","1,321.00","1,362.20","1,321.00","1,347.40","1,351.20","1,350.08","18,20,421","2,45,77,17,079.10","1,07,669","9,50,728",52.23
TECHM,EQ,02-Mar-2026,"1,357.80","1,335.00","1,362.80","1,322.20","1,344.50","1,345.40","1,344.23","15,64,363","2,10,28,56,983.00","80,943","6,19,526",39.60
TECHM,EQ,27-Feb-2026,"1,361.80","1,391.00","1,410.40","1,354.00","1,354.30","1,357.80","1,365.89","26,01,590","3,55,34,96,466.60","82,116","12,27,394",47.18
TECHM,EQ,26-Feb-2026,"1,361.80","1,366.40","1,396.60","1,360.40","1,363.00","1,361.80","1,376.12","15,87,449","2,18,45,21,002.30","81,031","4,97,449",31.34
TECHM,EQ,25-Feb-2026,"1,345.40","1,355.10","1,397.70","1,351.40","1,356.00","1,361.80","1,370.52","26,83,571","3,67,78,94,121.80","79,781","12,76,241",47.56
TECHM,EQ,24-Feb-2026,"1,440.90","1,420.00","1,423.20","1,335.30","1,352.00","1,345.40","1,359.59","74,41,035","10,11,67,74,291.50","1,74,695","43,15,628",58.00
TECHM,EQ,23-Feb-2026,"1,456.90","1,459.50","1,470.00","1,430.00","1,437.20","1,440.90","1,442.59","26,60,793","3,83,84,23,249.10","88,131","15,94,834",59.94
TECHM,EQ,20-Feb-2026,"1,479.30","1,465.00","1,477.30","1,453.10","1,464.00","1,456.90","1,461.81","15,99,813","2,33,86,21,641.80","50,639","7,87,858",49.25
TECHM,EQ,19-Feb-2026,"1,504.80","1,506.80","1,532.80","1,472.30","1,475.50","1,479.30","1,499.28","11,08,260","1,66,15,95,996.50","49,139","3,27,883",29.59
TECHM,EQ,18-Feb-2026,"1,523.80","1,524.60","1,528.60","1,481.70","1,500.00","1,504.80","1,496.22","19,89,222","2,97,63,10,319.00","87,114","9,90,862",49.81
TECHM,EQ,17-Feb-2026,"1,512.70","1,512.70","1,547.50","1,506.00","1,520.00","1,523.80","1,532.28","17,81,501","2,72,97,61,162.60","1,02,592","6,68,053",37.50
TECHM,EQ,16-Feb-2026,"1,534.40","1,526.00","1,541.90","1,494.70","1,513.90","1,512.70","1,513.42","18,73,472","2,83,53,52,677.10","52,588","8,09,229",43.19
TECHM,EQ,13-Feb-2026,"1,536.60","1,482.60","1,548.00","1,464.40","1,534.00","1,534.40","1,515.28","70,58,376","10,69,54,37,699.00","1,87,637","33,95,492",48.11
TECHM,EQ,12-Feb-2026,"1,634.40","1,605.00","1,611.00","1,528.00","1,529.80","1,536.60","1,557.28","53,43,729","8,32,16,69,384.10","1,65,502","31,34,959",58.67
