symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TIINDIA,EQ,22-Jan-2025,"3,380.25","3,380.25","3,392.50","3,204.05","3,230.00","3,233.95","3,261.79","2,15,740","70,36,97,584.55","32,236","1,23,249",57.13
TIINDIA,EQ,23-Jan-2025,"3,233.95","3,220.15","3,385.60","3,220.00","3,352.65","3,363.70","3,334.46","1,61,532","53,86,21,374.40","30,908","75,764",46.9
TIINDIA,EQ,24-Jan-2025,"3,363.70","3,356.10","3,385.95","3,218.00","3,234.00","3,232.15","3,276.60","1,40,970","46,19,01,736.20","18,444","80,702",57.25
TIINDIA,EQ,27-Jan-2025,"3,232.15","3,224.05","3,232.70","3,178.85","3,206.80","3,205.05","3,205.27","1,88,365","60,37,61,204.20","23,165","1,14,577",60.83
TIINDIA,EQ,28-Jan-2025,"3,205.05","3,205.05","3,214.20","3,069.00","3,131.00","3,138.30","3,120.03","3,64,806","1,13,82,06,386.35","58,117","1,65,462",45.36
TIINDIA,EQ,29-Jan-2025,"3,138.30","3,125.00","3,275.00","3,125.00","3,200.00","3,199.45","3,203.89","3,32,823","1,06,63,26,651.00","29,755","2,22,541",66.86
TIINDIA,EQ,30-Jan-2025,"3,199.45","3,200.00","3,304.80","3,191.00","3,295.00","3,288.55","3,226.36","5,30,165","1,71,05,03,129.20","30,712","4,18,199",78.88
TIINDIA,EQ,31-Jan-2025,"3,288.55","3,308.40","3,354.00","3,269.15","3,323.15","3,322.10","3,309.82","2,39,709","79,33,94,673.60","25,155","1,52,112",63.46
TIINDIA,EQ,01-Feb-2025,"3,322.10","3,322.10","3,341.85","3,139.95","3,174.00","3,175.00","3,235.43","86,192","27,88,68,140.90","10,862","27,845",32.31
TIINDIA,EQ,03-Feb-2025,"3,175.00","3,175.00","3,203.05","2,982.25","3,076.00","3,044.80","3,071.69","6,83,442","2,09,93,21,426.80","65,567","2,92,500",42.8
TIINDIA,EQ,04-Feb-2025,"3,044.80","3,089.15","3,180.00","3,071.35","3,086.05","3,092.60","3,105.26","3,70,784","1,15,13,81,814.20","48,385","1,71,977",46.38
TIINDIA,EQ,05-Feb-2025,"3,092.60","3,090.00","3,097.35","2,972.15","2,980.00","2,982.50","3,004.59","3,09,813","93,08,60,987.70","35,699","1,61,828",52.23
TIINDIA,EQ,06-Feb-2025,"2,982.50","3,012.35","3,015.50","2,955.00","2,963.00","2,966.15","2,973.50","1,37,426","40,86,36,398.80","21,001","66,291",48.24
TIINDIA,EQ,07-Feb-2025,"2,966.15","2,967.15","2,970.00","2,890.00","2,912.95","2,909.85","2,916.89","2,30,951","67,36,59,379.75","26,001","1,19,671",51.82
TIINDIA,EQ,10-Feb-2025,"2,909.85","2,909.85","2,950.85","2,855.00","2,865.00","2,868.20","2,891.53","1,91,328","55,32,30,029.10","30,631","85,237",44.55
TIINDIA,EQ,11-Feb-2025,"2,868.20","2,875.00","2,875.05","2,718.60","2,735.00","2,739.60","2,771.95","3,03,930","84,24,77,600.25","40,492","1,72,732",56.83
TIINDIA,EQ,12-Feb-2025,"2,739.60","2,739.60","2,753.45","2,632.10","2,701.00","2,682.60","2,679.70","3,81,123","1,02,12,96,322.35","49,277","1,97,963",51.94
TIINDIA,EQ,13-Feb-2025,"2,682.60","2,680.00","2,751.00","2,680.00","2,705.00","2,713.30","2,717.11","2,31,612","62,93,16,056.50","37,511","1,20,267",51.93
TIINDIA,EQ,14-Feb-2025,"2,713.30","2,744.00","2,744.00","2,555.00","2,570.30","2,580.50","2,596.02","2,87,747","74,69,97,730.65","34,657","1,56,707",54.46
