symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TITAGARH,EQ,22-Jan-2025,"1,055.35","1,054.00","1,054.80",996.55,"1,000.00","1,000.65","1,011.93","15,04,101","1,52,20,47,720.00","72,919","6,02,877",40.08
TITAGARH,EQ,23-Jan-2025,"1,000.65",999.90,"1,000.50",977.6,986.70,987.85,990.02,"15,62,275","1,54,66,84,677.75","90,420","4,92,887",31.55
TITAGARH,EQ,24-Jan-2025,987.85,987.85,993.85,963.0,965.00,968.45,977.73,"8,82,884","86,32,23,798.35","51,587","3,20,886",36.35
TITAGARH,EQ,27-Jan-2025,968.45,960.15,962.00,906.35,941.80,936.95,923.17,"13,64,941","1,26,00,76,305.40","77,326","4,03,084",29.53
TITAGARH,EQ,28-Jan-2025,936.95,940.05,950.00,890.15,920.00,915.30,924.44,"22,07,793","2,04,09,64,989.05","1,21,099","5,65,456",25.61
TITAGARH,EQ,29-Jan-2025,915.30,927.05,953.95,922.75,953.00,947.00,941.59,"10,45,735","98,46,50,396.35","53,499","3,82,591",36.59
TITAGARH,EQ,30-Jan-2025,947.00,958.00,"1,007.50",955.1,962.50,959.85,980.85,"21,53,178","2,11,19,48,668.80","1,05,439","4,37,312",20.31
TITAGARH,EQ,31-Jan-2025,959.85,974.25,"1,036.95",964.25,"1,027.00","1,018.95","1,005.43","24,98,293","2,51,18,66,252.65","1,01,235","5,34,318",21.39
TITAGARH,EQ,01-Feb-2025,"1,018.95","1,038.90","1,100.00",932.5,950.00,956.00,"1,025.08","93,16,041","9,54,96,85,778.80","3,72,903","14,54,969",15.62
TITAGARH,EQ,03-Feb-2025,956.00,935.05,941.00,882.2,913.00,910.60,903.93,"34,15,791","3,08,76,31,314.70","1,52,742","8,13,383",23.81
TITAGARH,EQ,04-Feb-2025,910.60,928.00,938.70,891.05,902.00,901.60,909.13,"31,40,871","2,85,54,61,823.25","1,14,608","5,61,814",17.89
TITAGARH,EQ,05-Feb-2025,901.60,903.95,964.15,903.95,915.00,910.60,936.84,"32,24,606","3,02,09,30,631.10","1,13,267","5,07,529",15.74
TITAGARH,EQ,06-Feb-2025,910.60,918.65,927.95,894.55,902.40,900.55,905.11,"17,02,992","1,54,13,88,819.05","76,563","4,36,550",25.63
TITAGARH,EQ,07-Feb-2025,900.55,905.00,908.65,880.0,885.00,883.05,887.52,"14,23,233","1,26,31,43,372.40","68,814","4,46,753",31.39
TITAGARH,EQ,10-Feb-2025,883.05,885.10,905.00,865.1,874.00,873.50,883.33,"13,58,736","1,20,02,09,307.35","72,873","3,29,135",24.22
TITAGARH,EQ,11-Feb-2025,873.50,865.00,868.65,827.2,835.00,839.60,842.12,"15,27,336","1,28,62,06,515.85","75,215","5,58,451",36.56
TITAGARH,EQ,12-Feb-2025,839.60,834.95,849.00,790.85,845.50,840.75,822.31,"23,70,171","1,94,90,25,779.85","1,23,595","4,33,719",18.3
TITAGARH,EQ,13-Feb-2025,840.75,846.00,868.00,834.1,850.00,850.15,853.46,"14,10,290","1,20,36,29,923.95","75,878","2,17,669",15.43
TITAGARH,EQ,14-Feb-2025,850.15,811.00,828.00,796.1,800.45,804.65,810.37,"23,69,100","1,91,98,58,153.65","1,09,233","4,46,001",18.83
TITAGARH,EQ,17-Feb-2025,804.65,800.00,801.20,763.2,772.55,771.60,775.55,"22,93,464","1,77,86,90,295.85","1,20,971","5,38,334",23.47
