symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TITAN,EQ,22-Jan-2025,"3,353.35","3,354.80","3,385.00","3,334.65","3,355.00","3,356.45","3,360.13","5,98,329","2,01,04,64,271.15","56,381","3,17,519",53.07
TITAN,EQ,23-Jan-2025,"3,356.45","3,356.45","3,433.00","3,325.50","3,399.30","3,398.55","3,393.01","7,13,603","2,42,12,64,041.15","69,051","2,87,920",40.35
TITAN,EQ,24-Jan-2025,"3,398.55","3,407.00","3,447.65","3,380.45","3,398.00","3,402.15","3,406.34","5,64,244","1,92,20,08,513.75","50,633","2,34,998",41.65
TITAN,EQ,27-Jan-2025,"3,402.15","3,388.00","3,401.95","3,307.25","3,312.00","3,319.35","3,348.23","6,18,309","2,07,02,39,086.95","60,108","3,58,740",58.02
TITAN,EQ,28-Jan-2025,"3,319.35","3,319.35","3,370.85","3,299.55","3,329.85","3,325.90","3,333.91","5,79,957","1,93,35,26,005.70","69,453","2,39,250",41.25
TITAN,EQ,29-Jan-2025,"3,325.90","3,339.20","3,375.00","3,309.05","3,356.95","3,370.75","3,355.65","5,70,137","1,91,31,82,482.65","58,151","3,43,617",60.27
TITAN,EQ,30-Jan-2025,"3,370.75","3,370.65","3,390.00","3,345.20","3,371.65","3,368.40","3,369.77","6,88,608","2,32,04,51,065.00","56,941","3,63,186",52.74
TITAN,EQ,31-Jan-2025,"3,368.40","3,400.00","3,527.45","3,392.40","3,491.30","3,490.25","3,486.67","12,12,261","4,22,67,53,794.20","1,22,515","5,18,649",42.78
TITAN,EQ,01-Feb-2025,"3,490.25","3,527.00","3,635.15","3,408.00","3,572.40","3,552.00","3,512.49","21,86,692","7,68,07,38,274.75","1,32,302","7,45,311",34.08
TITAN,EQ,03-Feb-2025,"3,552.00","3,565.00","3,642.55","3,551.75","3,574.35","3,580.30","3,596.75","15,43,897","5,55,30,11,447.90","1,42,424","7,80,660",50.56
TITAN,EQ,04-Feb-2025,"3,580.30","3,590.00","3,614.00","3,520.00","3,588.00","3,597.70","3,573.89","12,79,779","4,57,37,87,179.75","1,46,242","5,90,495",46.14
TITAN,EQ,05-Feb-2025,"3,597.70","3,596.00","3,652.00","3,472.20","3,490.00","3,490.90","3,525.11","21,65,947","7,63,52,01,454.50","1,58,302","6,14,331",28.36
TITAN,EQ,06-Feb-2025,"3,490.90","3,490.90","3,504.25","3,397.85","3,413.00","3,410.75","3,426.27","10,59,617","3,63,05,38,717.40","96,306","4,60,044",43.42
TITAN,EQ,07-Feb-2025,"3,410.75","3,414.90","3,453.90","3,388.20","3,432.85","3,424.80","3,426.48","7,40,155","2,53,61,28,148.60","87,937","3,86,416",52.21
TITAN,EQ,10-Feb-2025,"3,424.80","3,415.00","3,425.00","3,311.00","3,325.00","3,327.45","3,349.36","9,04,436","3,02,92,81,222.45","86,914","5,57,690",61.66
TITAN,EQ,11-Feb-2025,"3,327.45","3,334.70","3,348.00","3,271.60","3,284.90","3,281.80","3,302.83","9,03,965","2,98,56,46,654.20","91,875","4,66,555",51.61
TITAN,EQ,12-Feb-2025,"3,281.80","3,282.75","3,317.40","3,212.60","3,258.00","3,255.45","3,263.30","7,74,619","2,52,78,15,057.75","96,248","3,69,995",47.76
TITAN,EQ,13-Feb-2025,"3,255.45","3,250.25","3,277.95","3,215.20","3,230.50","3,231.50","3,247.61","7,27,243","2,36,18,05,057.70","67,859","3,49,273",48.03
TITAN,EQ,14-Feb-2025,"3,231.50","3,236.30","3,253.00","3,186.45","3,211.00","3,213.25","3,213.87","5,87,411","1,88,78,64,280.00","61,210","2,89,344",49.26
TITAN,EQ,17-Feb-2025,"3,213.25","3,195.25","3,238.50","3,176.00","3,226.60","3,233.20","3,216.91","7,12,614","2,29,24,14,904.50","84,620","4,35,276",61.08
TITAN,EQ,18-Feb-2025,"3,233.20","3,234.80","3,244.00","3,192.30","3,219.00","3,221.85","3,215.97","5,92,636","1,90,59,01,694.15","57,130","3,60,005",60.75
TITAN,EQ,19-Feb-2025,"3,221.85","3,220.00","3,253.65","3,191.80","3,205.80","3,210.30","3,219.83","5,21,953","1,68,05,99,297.70","48,047","2,34,716",44.97
TITAN,EQ,20-Feb-2025,"3,210.30","3,210.00","3,218.65","3,188.15","3,195.00","3,191.45","3,198.28","6,53,151","2,08,89,62,159.35","55,985","3,86,992",59.25
TITAN,EQ,21-Feb-2025,"3,191.45","3,191.45","3,205.95","3,162.25","3,176.00","3,179.90","3,181.81","4,07,794","1,29,75,23,450.65","52,922","2,06,913",50.74
