symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TORNTPHARM,EQ,25-Mar-2026,"4,256.60","4,277.90","4,335.00","4,231.00","4,300.00","4,297.50","4,301.90","2,37,001","1,01,95,54,097.30","34,753","1,23,352",52.05
TORNTPHARM,EQ,24-Mar-2026,"4,213.90","4,200.00","4,339.90","4,161.20","4,247.60","4,256.60","4,231.55","2,88,474","1,22,06,93,280.70","35,196","1,45,729",50.52
TORNTPHARM,EQ,23-Mar-2026,"4,270.20","4,270.30","4,270.30","4,164.60","4,200.00","4,213.90","4,207.27","3,20,186","1,34,71,08,192.60","36,140","1,57,626",49.23
TORNTPHARM,EQ,20-Mar-2026,"4,210.80","4,210.80","4,313.70","4,205.80","4,272.90","4,270.20","4,265.03","2,69,110","1,14,77,61,593.30","36,569","1,61,462",60.0
TORNTPHARM,EQ,19-Mar-2026,"4,289.30","4,250.00","4,257.40","4,199.00","4,218.50","4,210.80","4,224.90","2,03,313","85,89,76,529.40","33,773","1,00,712",49.54
TORNTPHARM,EQ,18-Mar-2026,"4,305.50","4,306.00","4,323.90","4,251.00","4,294.90","4,289.30","4,279.28","2,39,014","1,02,28,08,506.50","33,921","1,32,916",55.61
TORNTPHARM,EQ,17-Mar-2026,"4,266.60","4,266.60","4,341.60","4,242.70","4,302.90","4,305.50","4,291.56","4,38,235","1,88,07,10,087.80","54,185","2,65,526",60.59
TORNTPHARM,EQ,16-Mar-2026,"4,390.00","4,390.00","4,443.90","4,244.20","4,258.90","4,266.60","4,307.23","3,97,033","1,71,01,12,462.30","67,573","1,90,406",47.96
TORNTPHARM,EQ,13-Mar-2026,"4,446.00","4,422.10","4,482.90","4,360.00","4,410.00","4,390.00","4,404.53","5,72,557","2,52,18,43,436.20","52,637","3,12,886",54.65
TORNTPHARM,EQ,12-Mar-2026,"4,431.20","4,406.00","4,460.20","4,391.00","4,431.10","4,446.00","4,427.58","3,22,856","1,42,94,72,039.70","33,847","1,69,861",52.61
TORNTPHARM,EQ,11-Mar-2026,"4,427.80","4,450.00","4,456.40","4,413.10","4,432.70","4,431.20","4,434.69","3,11,569","1,38,17,12,997.60","39,388","1,75,618",56.37
TORNTPHARM,EQ,10-Mar-2026,"4,373.70","4,393.70","4,470.00","4,389.00","4,427.10","4,427.80","4,433.34","3,74,410","1,65,98,88,693.10","45,717","1,74,739",46.67
TORNTPHARM,EQ,09-Mar-2026,"4,317.80","4,295.00","4,388.40","4,259.20","4,377.90","4,373.70","4,317.95","4,70,670","2,03,23,27,449.00","45,238","2,80,368",59.57
TORNTPHARM,EQ,06-Mar-2026,"4,353.40","4,353.50","4,380.30","4,287.00","4,325.90","4,317.80","4,325.93","4,13,700","1,78,96,38,543.20","39,780","2,43,393",58.83
