symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TORNTPOWER,EQ,22-Jan-2025,"1,437.95","1,445.00","1,449.85","1,374.20","1,393.00","1,390.00","1,393.03","3,54,441","49,37,45,618.15","54,376","1,96,332",55.39
TORNTPOWER,EQ,23-Jan-2025,"1,390.00","1,391.00","1,458.70","1,383.55","1,425.90","1,424.25","1,430.50","6,18,512","88,47,82,043.30","43,254","4,07,279",65.85
TORNTPOWER,EQ,24-Jan-2025,"1,424.25","1,425.80","1,488.70","1,382.10","1,465.00","1,469.70","1,466.17","10,31,287","1,51,20,46,007.60","86,166","2,03,796",19.76
TORNTPOWER,EQ,27-Jan-2025,"1,469.70","1,450.00","1,462.30","1,411.15","1,452.50","1,455.50","1,434.67","4,73,572","67,94,20,260.50","34,464","2,82,606",59.68
TORNTPOWER,EQ,28-Jan-2025,"1,455.50","1,447.45","1,491.95","1,429.15","1,467.15","1,466.15","1,466.68","3,72,243","54,59,62,848.25","40,703","1,42,619",38.31
TORNTPOWER,EQ,29-Jan-2025,"1,466.15","1,461.00","1,493.80","1,460.00","1,478.00","1,475.05","1,473.41","3,75,289","55,29,56,047.40","43,954","1,74,664",46.54
TORNTPOWER,EQ,30-Jan-2025,"1,475.05","1,465.00","1,485.00","1,441.50","1,450.40","1,453.35","1,463.40","1,68,208","24,61,56,364.50","23,445","78,957",46.94
TORNTPOWER,EQ,31-Jan-2025,"1,453.35","1,470.00","1,488.55","1,442.45","1,463.00","1,463.45","1,461.14","4,32,765","63,23,29,597.65","29,730","2,33,636",53.99
TORNTPOWER,EQ,01-Feb-2025,"1,463.45","1,466.95","1,484.55","1,388.90","1,401.90","1,397.40","1,422.06","3,05,488","43,44,22,435.60","24,972","1,55,266",50.83
TORNTPOWER,EQ,03-Feb-2025,"1,397.40","1,380.00","1,401.00","1,303.85","1,354.00","1,344.30","1,333.92","10,66,990","1,42,32,78,864.45","80,758","4,62,861",43.38
TORNTPOWER,EQ,04-Feb-2025,"1,344.30","1,366.00","1,375.60","1,313.10","1,366.00","1,352.80","1,343.18","4,80,098","64,48,57,815.25","41,154","1,05,873",22.05
TORNTPOWER,EQ,05-Feb-2025,"1,352.80","1,399.00","1,450.00","1,326.30","1,339.60","1,333.65","1,383.03","26,40,132","3,65,13,85,859.10","1,40,197","5,14,377",19.48
TORNTPOWER,EQ,06-Feb-2025,"1,333.65","1,342.20","1,382.00","1,335.00","1,376.45","1,374.75","1,365.84","11,65,548","1,59,19,57,863.85","81,138","3,80,226",32.62
TORNTPOWER,EQ,07-Feb-2025,"1,374.75","1,380.00","1,409.80","1,364.10","1,405.00","1,407.30","1,393.47","7,21,914","1,00,59,66,448.40","51,588","2,99,011",41.42
TORNTPOWER,EQ,10-Feb-2025,"1,407.30","1,409.00","1,420.00","1,347.10","1,350.40","1,350.15","1,370.14","4,17,977","57,26,86,787.40","41,917","1,59,027",38.05
TORNTPOWER,EQ,11-Feb-2025,"1,350.15","1,353.50","1,358.15","1,274.40","1,280.00","1,282.35","1,296.79","5,34,202","69,27,46,206.85","51,411","1,87,724",35.14
TORNTPOWER,EQ,12-Feb-2025,"1,282.35","1,278.00","1,282.35","1,241.55","1,264.10","1,268.80","1,263.53","5,38,656","68,06,06,042.20","82,829","2,22,789",41.36
TORNTPOWER,EQ,13-Feb-2025,"1,268.80","1,270.85","1,279.00","1,250.60","1,252.40","1,255.70","1,265.13","3,61,459","45,72,93,869.50","60,622","1,55,221",42.94
TORNTPOWER,EQ,14-Feb-2025,"1,255.70","1,270.35","1,282.50","1,216.75","1,233.90","1,237.70","1,235.12","4,20,303","51,91,23,727.65","56,615","1,79,805",42.78
TORNTPOWER,EQ,17-Feb-2025,"1,237.70","1,237.65","1,244.10","1,207.25","1,238.00","1,239.35","1,229.34","3,74,969","46,09,62,844.35","39,089","1,67,203",44.59
TORNTPOWER,EQ,18-Feb-2025,"1,239.35","1,239.40","1,240.00","1,208.00","1,234.00","1,235.15","1,231.93","14,12,340","1,73,98,97,071.15","39,574","12,33,717",87.35
TORNTPOWER,EQ,19-Feb-2025,"1,235.15","1,236.25","1,263.40","1,215.00","1,256.80","1,258.70","1,249.69","5,52,892","69,09,43,452.65","57,713","2,71,281",49.07
TORNTPOWER,EQ,20-Feb-2025,"1,258.70","1,257.95","1,273.95","1,235.10","1,264.00","1,259.95","1,254.39","7,49,886","94,06,51,433.75","47,460","4,31,351",57.52
TORNTPOWER,EQ,21-Feb-2025,"1,259.95","1,259.00","1,294.00","1,252.10","1,278.00","1,289.30","1,276.37","4,79,150","61,15,71,176.25","40,059","1,64,046",34.24
TORNTPOWER,EQ,24-Feb-2025,"1,289.30","1,265.00","1,309.00","1,254.50","1,305.85","1,303.30","1,289.65","4,51,488","58,22,62,832.65","33,990","2,13,020",47.18
TORNTPOWER,EQ,25-Feb-2025,"1,303.30","1,300.10","1,343.55","1,286.15","1,320.20","1,322.50","1,328.73","9,52,901","1,26,61,49,842.30","80,796","3,90,200",40.95
TORNTPOWER,EQ,27-Feb-2025,"1,322.50","1,322.50","1,335.60","1,295.55","1,310.85","1,312.70","1,309.89","3,77,025","49,38,59,676.55","38,439","1,51,239",40.11
TORNTPOWER,EQ,28-Feb-2025,"1,312.70","1,301.05","1,301.05","1,238.00","1,275.10","1,262.95","1,259.05","23,61,453","2,97,31,84,090.65","1,11,650","15,23,003",64.49
TORNTPOWER,EQ,03-Mar-2025,"1,262.95","1,270.30","1,289.90","1,232.05","1,263.05","1,267.25","1,255.79","4,44,579","55,82,96,386.10","36,832","2,34,639",52.78
TORNTPOWER,EQ,04-Mar-2025,"1,267.25","1,248.50","1,283.20","1,225.00","1,272.00","1,276.70","1,263.74","3,95,698","50,00,60,003.20","36,892","1,67,828",42.41
TORNTPOWER,EQ,05-Mar-2025,"1,276.70","1,268.00","1,314.20","1,268.00","1,306.85","1,311.25","1,298.02","3,85,085","49,98,46,763.05","36,598","1,59,213",41.34
TORNTPOWER,EQ,06-Mar-2025,"1,311.25","1,311.00","1,330.80","1,301.35","1,326.90","1,326.85","1,318.31","3,49,457","46,06,93,158.65","28,860","1,42,571",40.8
TORNTPOWER,EQ,07-Mar-2025,"1,326.85","1,326.00","1,363.45","1,320.15","1,329.45","1,332.00","1,339.97","6,20,985","83,20,99,260.95","48,574","2,01,892",32.51
TORNTPOWER,EQ,10-Mar-2025,"1,332.00","1,332.00","1,391.95","1,332.00","1,343.10","1,349.85","1,369.53","8,33,274","1,14,11,94,138.80","43,695","1,52,435",18.29
TORNTPOWER,EQ,11-Mar-2025,"1,349.85","1,322.25","1,353.95","1,303.85","1,333.00","1,334.35","1,334.57","4,39,957","58,71,54,774.15","36,335","1,49,015",33.87
TORNTPOWER,EQ,12-Mar-2025,"1,334.35","1,341.00","1,353.55","1,302.00","1,316.05","1,315.90","1,317.15","2,39,088","31,49,15,880.05","20,948","69,962",29.26
TORNTPOWER,EQ,13-Mar-2025,"1,315.90","1,319.85","1,329.40","1,282.45","1,285.00","1,291.20","1,306.95","2,28,014","29,80,02,528.00","28,961","86,110",37.77
TORNTPOWER,EQ,17-Mar-2025,"1,291.20","1,292.55","1,337.95","1,282.50","1,314.30","1,310.80","1,309.76","4,87,213","63,81,33,712.35","43,979","1,44,426",29.64
TORNTPOWER,EQ,18-Mar-2025,"1,310.80","1,322.25","1,381.95","1,307.95","1,380.00","1,375.95","1,359.47","8,36,945","1,13,77,99,275.35","66,388","3,89,032",46.48
TORNTPOWER,EQ,19-Mar-2025,"1,375.95","1,391.00","1,449.90","1,381.95","1,440.00","1,440.50","1,424.60","7,14,540","1,01,79,31,093.65","48,688","2,93,584",41.09
TORNTPOWER,EQ,20-Mar-2025,"1,440.50","1,440.50","1,473.20","1,428.05","1,464.00","1,468.60","1,452.64","6,85,073","99,51,64,110.90","43,023","3,05,637",44.61
TORNTPOWER,EQ,21-Mar-2025,"1,468.60","1,464.00","1,504.30","1,455.05","1,499.00","1,498.55","1,491.31","10,24,148","1,52,73,19,009.35","56,583","6,27,627",61.28
TORNTPOWER,EQ,24-Mar-2025,"1,498.55","1,509.00","1,547.00","1,509.00","1,530.00","1,530.10","1,534.38","6,44,359","98,86,91,168.25","50,935","2,90,645",45.11
TORNTPOWER,EQ,25-Mar-2025,"1,530.10","1,539.00","1,542.90","1,478.40","1,495.00","1,492.10","1,496.12","6,96,251","1,04,16,75,167.55","25,156","5,19,499",74.61
TORNTPOWER,EQ,26-Mar-2025,"1,492.10","1,493.95","1,518.90","1,489.05","1,496.90","1,499.90","1,504.18","4,72,531","71,07,72,565.60","32,126","2,45,011",51.85
TORNTPOWER,EQ,27-Mar-2025,"1,499.90","1,495.40","1,508.15","1,471.45","1,501.80","1,501.95","1,492.75","5,11,336","76,32,98,585.30","36,609","2,60,325",50.91
TORNTPOWER,EQ,28-Mar-2025,"1,501.95","1,501.95","1,534.50","1,483.05","1,487.00","1,486.85","1,509.19","4,61,042","69,57,98,455.50","37,690","1,46,470",31.77
TORNTPOWER,EQ,01-Apr-2025,"1,486.85","1,482.45","1,508.00","1,473.00","1,499.00","1,500.30","1,497.12","2,52,185","37,75,52,172.20","17,217","1,18,973",47.18
TORNTPOWER,EQ,02-Apr-2025,"1,500.30","1,516.00","1,519.90","1,492.00","1,505.30","1,509.70","1,505.43","4,03,452","60,73,67,179.10","45,860","1,94,368",48.18
TORNTPOWER,EQ,03-Apr-2025,"1,509.70","1,499.60","1,561.30","1,499.35","1,556.85","1,552.00","1,538.53","5,71,040","87,85,62,551.65","32,093","2,24,059",39.24
TORNTPOWER,EQ,04-Apr-2025,"1,552.00","1,552.00","1,567.75","1,504.75","1,540.00","1,537.05","1,531.33","5,55,099","85,00,41,650.10","30,427","2,13,174",38.4
TORNTPOWER,EQ,07-Apr-2025,"1,537.05","1,383.35","1,511.70","1,383.35","1,511.70","1,496.70","1,476.23","2,94,552","43,48,25,840.95","26,269","92,268",31.32
TORNTPOWER,EQ,08-Apr-2025,"1,496.70","1,534.60","1,535.00","1,482.00","1,508.80","1,509.75","1,505.68","2,55,617","38,48,78,211.80","26,715","93,388",36.53
TORNTPOWER,EQ,09-Apr-2025,"1,509.75","1,504.55","1,535.35","1,484.45","1,526.15","1,530.90","1,516.48","3,83,342","58,13,31,610.95","36,356","1,78,400",46.54
TORNTPOWER,EQ,11-Apr-2025,"1,530.90","1,551.60","1,568.55","1,530.50","1,560.00","1,562.15","1,554.68","7,08,281","1,10,11,51,541.05","44,586","4,08,586",57.69
TORNTPOWER,EQ,15-Apr-2025,"1,562.15","1,599.90","1,628.00","1,570.80","1,622.00","1,623.60","1,610.32","4,87,077","78,43,49,597.40","33,815","2,58,606",53.09
TORNTPOWER,EQ,16-Apr-2025,"1,623.60","1,625.00","1,640.00","1,587.00","1,596.00","1,605.20","1,612.04","3,51,590","56,67,78,319.10","24,233","1,75,208",49.83
TORNTPOWER,EQ,17-Apr-2025,"1,605.20","1,591.50","1,609.90","1,580.20","1,591.10","1,591.00","1,590.80","2,43,465","38,73,03,992.20","21,117","1,21,870",50.06
TORNTPOWER,EQ,21-Apr-2025,"1,591.00","1,600.00","1,622.20","1,588.00","1,593.00","1,592.50","1,602.87","3,28,035","52,57,98,488.80","23,092","1,66,611",50.79
TORNTPOWER,EQ,22-Apr-2025,"1,592.50","1,599.60","1,622.00","1,586.10","1,588.00","1,589.50","1,602.09","3,34,510","53,59,15,492.40","30,190","1,83,125",54.74
TORNTPOWER,EQ,23-Apr-2025,"1,589.50","1,594.80","1,614.80","1,571.90","1,601.50","1,609.60","1,601.10","2,78,065","44,52,08,534.70","25,847","1,10,586",39.77
TORNTPOWER,EQ,24-Apr-2025,"1,609.60","1,609.90","1,616.70","1,596.00","1,596.00","1,600.70","1,602.91","2,73,185","43,78,91,574.60","22,313","1,56,775",57.39
TORNTPOWER,EQ,25-Apr-2025,"1,600.70","1,600.60","1,609.00","1,521.90","1,538.30","1,538.60","1,548.96","2,94,520","45,62,00,953.40","35,510","1,17,264",39.82
TORNTPOWER,EQ,28-Apr-2025,"1,538.60","1,538.50","1,586.20","1,538.40","1,557.00","1,557.00","1,563.21","2,31,208","36,14,26,542.60","25,027","84,226",36.43
TORNTPOWER,EQ,29-Apr-2025,"1,557.00","1,567.00","1,586.00","1,546.10","1,550.00","1,554.60","1,565.70","3,01,597","47,22,10,961.80","21,250","1,51,443",50.21
TORNTPOWER,EQ,30-Apr-2025,"1,554.60","1,546.20","1,578.70","1,525.00","1,531.60","1,539.10","1,542.57","5,75,987","88,84,98,795.80","38,586","3,56,370",61.87
TORNTPOWER,EQ,02-May-2025,"1,539.10","1,540.00","1,555.00","1,481.70","1,486.00","1,490.40","1,510.18","3,29,302","49,73,06,288.80","28,486","1,65,529",50.27
TORNTPOWER,EQ,05-May-2025,"1,490.40","1,490.40","1,492.60","1,455.40","1,479.00","1,477.90","1,474.16","6,82,821","1,00,65,89,434.50","54,404","3,40,713",49.9
TORNTPOWER,EQ,06-May-2025,"1,477.90","1,485.20","1,509.90","1,451.00","1,455.00","1,462.30","1,479.11","2,85,336","42,20,44,369.00","35,900","1,02,832",36.04
TORNTPOWER,EQ,07-May-2025,"1,462.30","1,409.30","1,504.80","1,409.30","1,497.00","1,501.90","1,490.33","5,11,125","76,17,42,417.10","52,881","2,44,425",47.82
TORNTPOWER,EQ,08-May-2025,"1,501.90","1,493.60","1,510.20","1,411.10","1,417.90","1,420.00","1,447.39","5,28,111","76,43,83,381.70","47,587","1,93,564",36.65
