symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TRENT,EQ,25-Mar-2026,"3,365.60","3,415.60","3,532.30","3,390.00","3,476.70","3,478.90","3,493.77","10,86,467","3,79,58,67,085.30","86,171","4,53,493",41.74
TRENT,EQ,24-Mar-2026,"3,356.70","3,450.10","3,451.00","3,341.10","3,380.00","3,365.60","3,382.46","8,98,547","3,03,92,95,751.30","83,336","4,33,890",48.29
TRENT,EQ,23-Mar-2026,"3,559.60","3,502.20","3,502.20","3,340.30","3,347.00","3,356.70","3,400.10","9,59,711","3,26,31,14,232.80","85,170","5,07,481",52.88
TRENT,EQ,20-Mar-2026,"3,481.90","3,509.00","3,598.00","3,506.40","3,572.00","3,559.60","3,558.34","8,37,217","2,97,91,04,029.80","63,101","4,17,601",49.88
TRENT,EQ,19-Mar-2026,"3,640.90","3,600.00","3,600.00","3,472.60","3,489.00","3,481.90","3,520.75","6,98,240","2,45,83,26,045.70","64,851","2,88,006",41.25
TRENT,EQ,18-Mar-2026,"3,634.50","3,636.00","3,720.00","3,621.00","3,634.00","3,640.90","3,678.21","6,45,425","2,37,40,07,172.70","59,503","2,78,627",43.17
TRENT,EQ,17-Mar-2026,"3,596.10","3,593.00","3,653.00","3,550.00","3,623.00","3,634.50","3,612.03","7,42,068","2,68,03,69,585.80","75,231","3,78,047",50.95
TRENT,EQ,16-Mar-2026,"3,487.80","3,487.80","3,612.40","3,427.90","3,581.20","3,596.10","3,533.42","13,03,919","4,60,72,96,536.60","82,897","6,86,679",52.66
TRENT,EQ,13-Mar-2026,"3,533.60","3,509.90","3,583.60","3,470.20","3,500.00","3,487.80","3,526.90","12,15,870","4,28,82,57,972.10","1,22,085","6,29,519",51.78
TRENT,EQ,12-Mar-2026,"3,627.40","3,603.00","3,603.10","3,502.50","3,535.00","3,533.60","3,539.86","9,89,163","3,50,14,93,699.10","83,422","5,09,685",51.53
TRENT,EQ,11-Mar-2026,"3,715.30","3,715.00","3,727.10","3,608.70","3,618.00","3,627.40","3,657.10","6,84,748","2,50,41,94,060.30","59,725","3,27,476",47.82
TRENT,EQ,10-Mar-2026,"3,689.40","3,749.90","3,749.90","3,690.00","3,717.00","3,715.30","3,711.61","7,26,096","2,69,49,88,661.80","68,156","3,48,552",48.00
TRENT,EQ,09-Mar-2026,"3,722.80","3,608.90","3,701.50","3,580.00","3,690.00","3,689.40","3,637.88","9,56,936","3,48,12,14,806.30","70,668","5,06,164",52.89
TRENT,EQ,06-Mar-2026,"3,790.90","3,785.00","3,829.00","3,715.80","3,726.00","3,722.80","3,766.79","3,65,100","1,37,52,56,539.70","38,739","1,50,720",41.28
TRENT,EQ,05-Mar-2026,"3,756.80","3,765.00","3,804.80","3,713.50","3,786.00","3,790.90","3,756.19","7,15,303","2,68,68,13,052.30","66,315","3,89,036",54.39
TRENT,EQ,04-Mar-2026,"3,848.50","3,790.30","3,798.00","3,721.00","3,760.20","3,756.80","3,755.80","8,11,173","3,04,66,01,738.50","74,885","4,31,239",53.16
TRENT,EQ,02-Mar-2026,"3,899.50","3,755.50","3,887.60","3,755.00","3,835.00","3,848.50","3,830.28","8,01,446","3,06,97,62,457.60","76,337","3,30,294",41.21
TRENT,EQ,27-Feb-2026,"3,856.00","3,856.00","3,930.00","3,840.00","3,908.00","3,899.50","3,894.39","9,76,499","3,80,28,72,120.20","67,195","4,47,102",45.79
TRENT,EQ,26-Feb-2026,"3,922.00","3,922.00","3,946.70","3,842.90","3,861.00","3,856.00","3,875.55","10,94,939","4,24,34,89,334.50","63,456","5,70,193",52.08
TRENT,EQ,25-Feb-2026,"3,931.30","3,939.80","3,964.50","3,900.00","3,923.00","3,922.00","3,930.39","3,95,546","1,55,46,51,840.90","41,387","1,88,950",47.77
TRENT,EQ,24-Feb-2026,"4,054.90","4,060.00","4,060.10","3,900.00","3,932.00","3,931.30","3,966.80","7,09,985","2,81,63,68,473.80","51,355","3,57,479",50.35
TRENT,EQ,23-Feb-2026,"4,091.00","4,085.00","4,119.90","4,040.00","4,055.00","4,054.90","4,062.76","6,74,204","2,73,91,27,037.20","51,663","4,03,399",59.83
TRENT,EQ,20-Feb-2026,"4,067.90","4,064.80","4,125.00","4,041.70","4,085.00","4,091.00","4,088.67","3,38,564","1,38,42,76,011.30","30,613","1,21,377",35.85
TRENT,EQ,19-Feb-2026,"4,187.20","4,181.00","4,181.10","4,053.00","4,069.90","4,067.90","4,082.92","5,87,295","2,39,78,77,832.10","38,548","2,53,564",43.17
TRENT,EQ,18-Feb-2026,"4,171.90","4,171.90","4,201.00","4,137.00","4,181.90","4,187.20","4,170.19","3,72,954","1,55,52,88,847.00","25,466","1,60,950",43.16
TRENT,EQ,17-Feb-2026,"4,229.50","4,215.00","4,224.90","4,130.00","4,170.00","4,171.90","4,172.70","3,92,842","1,63,92,11,435.50","34,162","1,29,876",33.06
TRENT,EQ,16-Feb-2026,"4,252.00","4,234.00","4,298.00","4,202.50","4,224.60","4,229.50","4,243.80","6,98,727","2,96,52,60,291.90","47,769","3,55,453",50.87
TRENT,EQ,13-Feb-2026,"4,285.60","4,247.10","4,299.00","4,195.10","4,249.00","4,252.00","4,253.76","6,65,095","2,82,91,56,681.10","61,613","2,95,256",44.39
TRENT,EQ,12-Feb-2026,"4,218.90","4,218.90","4,298.40","4,182.80","4,274.00","4,285.60","4,267.82","9,47,446","4,04,35,27,920.10","82,574","4,37,105",46.14
TRENT,EQ,11-Feb-2026,"4,184.40","4,205.00","4,228.00","4,132.70","4,217.30","4,218.90","4,187.90","5,67,174","2,37,52,69,640.00","46,503","2,80,810",49.51
TRENT,EQ,10-Feb-2026,"4,171.20","4,190.00","4,204.90","4,157.60","4,176.00","4,184.40","4,178.64","6,49,920","2,71,57,78,573.80","46,216","3,66,836",56.44
TRENT,EQ,09-Feb-2026,"4,113.80","4,117.00","4,238.60","4,097.90","4,158.10","4,171.20","4,175.75","9,95,086","4,15,52,34,432.50","75,244","3,96,638",39.86
TRENT,EQ,06-Feb-2026,"4,131.30","4,144.40","4,157.00","4,044.40","4,095.00","4,113.80","4,103.34","11,15,797","4,57,84,97,553.50","65,019","4,88,048",43.74
TRENT,EQ,05-Feb-2026,"4,012.60","3,973.40","4,142.40","3,863.00","4,132.00","4,131.30","4,070.13","38,37,832","15,62,04,82,335.60","2,24,807","12,85,381",33.49
TRENT,EQ,04-Feb-2026,"3,822.80","3,834.00","4,070.00","3,805.00","4,021.00","4,012.60","3,974.99","19,25,540","7,65,40,03,196.80","1,22,371","5,90,986",30.69
TRENT,EQ,03-Feb-2026,"3,720.90","3,900.00","3,900.10","3,791.10","3,821.00","3,822.80","3,818.47","7,44,015","2,84,10,00,514.10","63,430","3,45,517",46.44
TRENT,EQ,02-Feb-2026,"3,729.00","3,729.00","3,729.90","3,645.00","3,717.00","3,720.90","3,680.62","10,46,808","3,85,29,03,805.10","72,356","6,31,253",60.30
TRENT,EQ,01-Feb-2026,"3,785.50","3,785.50","3,804.90","3,695.00","3,711.90","3,729.00","3,748.17","6,10,655","2,28,88,40,532.90","41,444","3,30,864",54.18
TRENT,EQ,30-Jan-2026,"3,823.80","3,815.00","3,841.80","3,751.10","3,766.00","3,785.50","3,786.08","10,70,238","4,05,20,01,908.00","61,135","5,99,415",56.01
TRENT,EQ,29-Jan-2026,"3,864.00","3,850.00","3,857.70","3,758.00","3,825.00","3,823.80","3,798.06","7,69,662","2,92,32,23,094.60","55,719","3,85,706",50.11
TRENT,EQ,28-Jan-2026,"3,795.10","3,808.00","3,874.50","3,801.10","3,862.50","3,864.00","3,840.65","6,46,525","2,48,30,78,210.80","39,123","3,38,179",52.31
TRENT,EQ,27-Jan-2026,"3,755.90","3,776.60","3,818.00","3,718.10","3,815.90","3,795.10","3,767.72","9,96,913","3,75,60,87,212.90","87,225","5,32,348",53.40
TRENT,EQ,23-Jan-2026,"3,803.80","3,840.00","3,840.00","3,744.00","3,748.00","3,755.90","3,776.52","4,74,377","1,79,14,94,845.20","48,657","2,22,281",46.86
TRENT,EQ,22-Jan-2026,"3,764.40","3,774.60","3,848.90","3,767.60","3,810.00","3,803.80","3,795.69","11,66,339","4,42,70,58,369.00","66,664","6,34,902",54.44
TRENT,EQ,21-Jan-2026,"3,836.10","3,836.00","3,846.10","3,693.10","3,760.10","3,764.40","3,760.92","14,31,168","5,38,25,13,310.20","89,516","6,45,725",45.12
TRENT,EQ,20-Jan-2026,"3,945.60","3,963.00","3,963.90","3,819.30","3,836.00","3,836.10","3,865.93","9,12,749","3,52,86,25,875.60","73,207","4,94,601",54.19
TRENT,EQ,19-Jan-2026,"3,899.70","3,899.60","3,955.90","3,881.00","3,942.00","3,945.60","3,930.45","6,22,614","2,44,71,50,291.70","38,231","3,29,441",52.91
TRENT,EQ,16-Jan-2026,"3,932.20","3,910.00","3,977.80","3,890.00","3,900.00","3,899.70","3,928.81","8,67,266","3,40,73,26,571.80","60,709","4,63,200",53.41
TRENT,EQ,14-Jan-2026,"3,921.90","3,906.00","3,950.00","3,886.20","3,930.00","3,932.20","3,920.29","7,21,954","2,83,02,67,409.10","42,334","3,44,461",47.71
TRENT,EQ,13-Jan-2026,"4,056.40","4,058.00","4,060.00","3,827.80","3,906.00","3,921.90","3,924.92","16,52,142","6,48,45,19,896.20","1,05,730","6,01,238",36.39
TRENT,EQ,12-Jan-2026,"3,972.90","3,990.00","4,066.00","3,958.90","4,050.00","4,056.40","4,029.04","9,08,033","3,65,84,98,572.80","65,327","3,96,320",43.65
TRENT,EQ,09-Jan-2026,"3,990.40","3,980.00","4,009.00","3,951.00","3,983.00","3,972.90","3,982.78","7,68,954","3,06,25,75,166.10","65,701","3,16,523",41.16
TRENT,EQ,08-Jan-2026,"4,060.50","4,078.80","4,094.50","3,980.00","3,980.00","3,990.40","4,020.25","8,63,189","3,47,02,31,812.70","71,856","3,77,693",43.76
TRENT,EQ,07-Jan-2026,"4,047.60","4,050.00","4,071.50","3,988.20","4,062.00","4,060.50","4,032.59","14,77,670","5,95,88,43,518.70","1,09,158","5,64,069",38.17
TRENT,EQ,06-Jan-2026,"4,429.80","4,208.30","4,208.30","3,994.00","4,055.00","4,047.60","4,082.68","61,44,187","25,08,47,60,521.20","3,17,994","26,05,976",42.41
TRENT,EQ,05-Jan-2026,"4,409.60","4,409.60","4,457.00","4,357.00","4,417.00","4,429.80","4,419.10","5,09,791","2,25,28,19,259.70","51,624","2,06,704",40.55
TRENT,EQ,02-Jan-2026,"4,297.40","4,300.00","4,437.90","4,289.60","4,400.00","4,409.60","4,396.28","8,95,709","3,93,77,83,163.90","66,129","3,44,073",38.41
