symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ULTRACEMCO,EQ,25-Mar-2026,"10,764.00","10,801.00","11,236.00","10,801.00","11,200.00","11,204.00","11,137.67","4,56,437","5,08,36,46,157.00","85,643","2,71,515",59.49
ULTRACEMCO,EQ,24-Mar-2026,"10,362.00","10,650.00","10,867.00","10,472.00","10,771.00","10,764.00","10,713.79","3,69,647","3,96,03,18,823.00","58,745","1,89,008",51.13
ULTRACEMCO,EQ,23-Mar-2026,"10,934.00","10,877.00","10,877.00","10,325.00","10,350.00","10,362.00","10,440.09","6,44,386","6,72,74,45,531.00","90,481","4,36,791",67.78
ULTRACEMCO,EQ,20-Mar-2026,"10,814.00","10,920.00","10,974.00","10,853.00","10,921.00","10,934.00","10,921.00","3,65,914","3,99,61,47,028.00","53,656","2,32,749",63.61
ULTRACEMCO,EQ,19-Mar-2026,"11,247.00","11,080.00","11,132.00","10,778.00","10,850.00","10,814.00","10,884.72","2,83,817","3,08,92,67,737.00","53,396","1,75,689",61.9
ULTRACEMCO,EQ,18-Mar-2026,"11,116.00","11,124.00","11,287.00","11,116.00","11,225.00","11,247.00","11,235.86","2,11,865","2,38,04,85,633.00","32,959","1,26,345",59.63
ULTRACEMCO,EQ,17-Mar-2026,"11,099.00","11,090.00","11,160.00","10,991.00","11,119.00","11,116.00","11,064.26","3,32,933","3,68,36,58,813.00","68,048","1,97,169",59.22
ULTRACEMCO,EQ,16-Mar-2026,"10,616.00","10,670.00","11,151.00","10,652.00","11,090.00","11,099.00","10,995.17","7,28,077","8,00,53,31,412.00","1,01,944","3,49,254",47.97
ULTRACEMCO,EQ,13-Mar-2026,"11,089.00","11,000.00","11,000.00","10,573.00","10,744.00","10,616.00","10,724.96","7,23,904","7,76,38,43,773.00","80,512","4,93,227",68.13
ULTRACEMCO,EQ,12-Mar-2026,"11,462.00","11,401.00","11,405.00","11,059.00","11,118.00","11,089.00","11,186.33","5,35,730","5,99,28,53,693.00","70,640","3,49,674",65.27
ULTRACEMCO,EQ,11-Mar-2026,"11,654.00","11,650.00","11,663.00","11,430.00","11,450.00","11,462.00","11,549.77","2,31,139","2,66,96,01,154.00","40,400","1,38,142",59.77
ULTRACEMCO,EQ,10-Mar-2026,"11,378.00","11,606.00","11,759.00","11,531.00","11,650.00","11,654.00","11,650.84","4,60,885","5,36,96,97,404.00","63,261","2,72,772",59.18
ULTRACEMCO,EQ,09-Mar-2026,"11,987.00","11,766.00","11,808.00","11,329.00","11,358.00","11,378.00","11,426.33","5,90,742","6,75,00,10,566.00","80,719","3,57,750",60.56
ULTRACEMCO,EQ,06-Mar-2026,"12,288.00","12,160.00","12,208.00","11,948.00","11,990.00","11,987.00","12,063.99","2,96,585","3,57,79,97,276.00","51,734","1,63,232",55.04
ULTRACEMCO,EQ,05-Mar-2026,"12,107.00","12,107.00","12,330.00","12,030.00","12,260.00","12,288.00","12,171.55","2,84,992","3,46,87,94,935.00","48,964","1,57,018",55.1
ULTRACEMCO,EQ,04-Mar-2026,"12,521.00","12,175.00","12,500.00","11,888.00","12,100.00","12,107.00","12,046.97","3,94,665","4,75,45,15,886.00","67,579","2,14,364",54.32
ULTRACEMCO,EQ,02-Mar-2026,"12,677.00","12,375.00","12,622.00","12,325.00","12,481.00","12,521.00","12,449.76","2,37,506","2,95,68,93,470.00","51,489","1,12,000",47.16
ULTRACEMCO,EQ,27-Feb-2026,"12,937.00","12,895.00","12,897.00","12,640.00","12,650.00","12,677.00","12,700.22","2,72,915","3,46,60,79,566.00","42,685","1,55,279",56.9
ULTRACEMCO,EQ,26-Feb-2026,"13,041.00","13,089.00","13,089.00","12,830.00","12,933.00","12,937.00","12,944.04","2,09,041","2,70,58,35,684.00","34,273","1,23,588",59.12
ULTRACEMCO,EQ,25-Feb-2026,"12,960.00","12,961.00","13,061.00","12,866.00","13,045.00","13,041.00","12,973.51","2,01,537","2,61,46,41,400.00","35,809","1,08,897",54.03
ULTRACEMCO,EQ,24-Feb-2026,"12,976.00","12,972.00","13,010.00","12,900.00","12,944.00","12,960.00","12,964.52","3,32,450","4,31,00,54,639.00","50,968","2,41,762",72.72
ULTRACEMCO,EQ,23-Feb-2026,"12,766.00","12,830.00","12,996.00","12,759.00","12,970.00","12,976.00","12,896.85","1,34,369","1,73,29,37,023.00","27,857","81,528",60.67
ULTRACEMCO,EQ,20-Feb-2026,"12,688.00","12,650.00","12,838.00","12,578.00","12,748.00","12,766.00","12,760.32","1,20,589","1,53,87,53,924.00","19,208","60,739",50.37
ULTRACEMCO,EQ,19-Feb-2026,"13,052.00","13,039.00","13,059.00","12,637.00","12,664.00","12,688.00","12,771.92","1,95,303","2,49,43,94,603.00","28,508","95,656",48.98
ULTRACEMCO,EQ,18-Feb-2026,"12,984.00","12,986.00","13,095.00","12,986.00","13,068.00","13,052.00","13,030.26","1,61,603","2,10,57,28,926.00","19,533","1,13,625",70.31
ULTRACEMCO,EQ,17-Feb-2026,"12,981.00","12,955.00","13,008.00","12,838.00","12,984.00","12,984.00","12,953.91","1,36,174","1,76,39,85,722.00","19,085","81,872",60.12
ULTRACEMCO,EQ,16-Feb-2026,"12,963.00","12,897.00","12,997.00","12,861.00","12,949.00","12,981.00","12,935.82","81,768","1,05,77,36,309.00","18,373","44,357",54.25
ULTRACEMCO,EQ,13-Feb-2026,"13,029.00","13,012.00","13,025.00","12,873.00","12,977.00","12,963.00","12,945.07","1,78,236","2,30,72,77,817.00","38,308","1,18,959",66.74
ULTRACEMCO,EQ,12-Feb-2026,"12,969.00","12,969.00","13,071.00","12,900.00","13,030.00","13,029.00","13,003.18","1,79,716","2,33,68,80,303.00","29,875","1,15,503",64.27
ULTRACEMCO,EQ,11-Feb-2026,"13,023.00","13,087.00","13,087.00","12,907.00","12,940.00","12,969.00","12,953.16","92,473","1,19,78,17,575.00","23,193","49,625",53.66
ULTRACEMCO,EQ,10-Feb-2026,"13,048.00","13,060.00","13,110.00","12,968.00","12,985.00","13,023.00","13,027.60","1,67,157","2,17,76,55,093.00","30,494","92,365",55.26
ULTRACEMCO,EQ,09-Feb-2026,"12,722.00","12,809.00","13,071.00","12,722.00","13,051.00","13,048.00","12,943.95","2,35,298","3,04,56,86,672.00","38,081","1,50,330",63.89
ULTRACEMCO,EQ,06-Feb-2026,"12,773.00","12,725.00","12,775.00","12,622.00","12,733.00","12,722.00","12,696.53","1,24,704","1,58,33,07,558.00","25,965","63,136",50.63
ULTRACEMCO,EQ,05-Feb-2026,"12,806.00","12,762.00","12,834.00","12,732.00","12,770.00","12,773.00","12,782.56","1,72,331","2,20,28,31,198.00","43,423","1,23,412",71.61
ULTRACEMCO,EQ,04-Feb-2026,"12,590.00","12,600.00","12,839.00","12,585.00","12,758.00","12,806.00","12,754.46","1,59,977","2,04,04,19,983.00","25,909","1,00,039",62.53
ULTRACEMCO,EQ,03-Feb-2026,"12,535.00","12,800.00","12,952.00","12,575.00","12,610.00","12,590.00","12,685.11","2,96,810","3,76,50,67,785.00","49,072","1,66,680",56.16
ULTRACEMCO,EQ,02-Feb-2026,"12,284.00","12,380.00","12,600.00","12,191.00","12,543.00","12,535.00","12,413.23","2,59,656","3,22,31,70,638.00","42,701","1,62,489",62.58
ULTRACEMCO,EQ,01-Feb-2026,"12,694.00","12,758.00","12,799.00","12,238.00","12,296.00","12,284.00","12,559.14","2,02,576","2,54,41,80,119.00","30,097","1,16,327",57.42
ULTRACEMCO,EQ,30-Jan-2026,"12,717.00","12,649.00","12,725.00","12,536.00","12,710.00","12,694.00","12,679.42","2,96,876","3,76,42,15,621.00","38,139","2,05,384",69.18
ULTRACEMCO,EQ,29-Jan-2026,"12,767.00","12,758.00","12,758.00","12,554.00","12,671.00","12,717.00","12,664.07","2,85,262","3,61,25,76,918.00","52,517","1,88,396",66.04
ULTRACEMCO,EQ,28-Jan-2026,"12,589.00","12,640.00","12,790.00","12,561.00","12,775.00","12,767.00","12,716.90","4,56,847","5,80,96,79,890.00","62,637","3,27,187",71.62
ULTRACEMCO,EQ,27-Jan-2026,"12,369.00","12,544.00","12,825.00","12,500.00","12,590.00","12,589.00","12,664.21","9,26,373","11,73,17,86,189.00","1,29,767","4,73,208",51.08
ULTRACEMCO,EQ,23-Jan-2026,"12,364.00","12,375.00","12,554.00","12,283.00","12,346.00","12,369.00","12,439.67","3,56,421","4,43,37,59,686.00","54,855","2,18,494",61.3
ULTRACEMCO,EQ,22-Jan-2026,"12,231.00","12,293.00","12,400.00","12,165.00","12,350.00","12,364.00","12,346.57","2,86,236","3,53,40,33,783.00","59,194","1,75,873",61.44
ULTRACEMCO,EQ,21-Jan-2026,"12,059.00","12,059.00","12,280.00","11,984.00","12,180.00","12,231.00","12,171.37","2,09,393","2,54,85,99,808.00","39,337","1,12,476",53.72
ULTRACEMCO,EQ,20-Jan-2026,"12,297.00","12,225.00","12,399.00","11,995.00","12,026.00","12,059.00","12,219.00","2,98,026","3,64,15,79,496.00","60,726","1,75,238",58.8
ULTRACEMCO,EQ,19-Jan-2026,"12,378.00","12,350.00","12,395.00","12,233.00","12,261.00","12,297.00","12,338.64","2,57,602","3,17,84,57,285.00","39,265","1,77,816",69.03
ULTRACEMCO,EQ,16-Jan-2026,"12,255.00","11,800.00","12,405.00","11,800.00","12,377.00","12,378.00","12,317.19","4,54,481","5,59,79,30,055.00","93,047","3,20,583",70.54
ULTRACEMCO,EQ,14-Jan-2026,"12,044.00","12,074.00","12,323.00","11,942.00","12,242.00","12,255.00","12,227.31","4,08,660","4,99,68,12,286.00","84,007","2,50,423",61.28
ULTRACEMCO,EQ,13-Jan-2026,"12,098.00","12,050.00","12,199.00","11,936.00","12,015.00","12,044.00","12,070.14","2,90,750","3,50,93,94,529.00","44,327","1,78,034",61.23
ULTRACEMCO,EQ,12-Jan-2026,"11,937.00","11,870.00","12,124.00","11,786.00","12,120.00","12,098.00","11,935.63","2,75,484","3,28,80,73,915.00","37,853","1,84,451",66.96
ULTRACEMCO,EQ,09-Jan-2026,"12,064.00","12,058.00","12,065.00","11,852.00","11,914.00","11,937.00","11,938.51","2,63,833","3,14,97,73,385.00","35,330","1,61,991",61.4
ULTRACEMCO,EQ,08-Jan-2026,"12,184.00","12,165.00","12,188.00","12,034.00","12,064.00","12,064.00","12,077.89","2,29,175","2,76,79,50,048.00","33,781","1,56,045",68.09
ULTRACEMCO,EQ,07-Jan-2026,"12,204.00","12,230.00","12,250.00","12,078.00","12,172.00","12,184.00","12,157.35","2,46,825","3,00,07,38,507.00","38,228","1,64,978",66.84
ULTRACEMCO,EQ,06-Jan-2026,"12,087.00","12,100.00","12,225.00","12,066.00","12,196.00","12,204.00","12,174.93","2,25,766","2,74,86,85,405.00","42,396","1,27,659",56.54
ULTRACEMCO,EQ,05-Jan-2026,"11,899.00","11,931.00","12,114.00","11,860.00","12,059.00","12,087.00","12,059.66","3,02,803","3,65,17,01,007.00","43,911","1,91,844",63.36
ULTRACEMCO,EQ,02-Jan-2026,"11,901.00","11,903.00","11,970.00","11,821.00","11,920.00","11,899.00","11,886.33","2,06,244","2,45,14,83,500.00","26,997","1,34,012",64.98
ULTRACEMCO,EQ,01-Jan-2026,"11,784.00","11,792.00","11,915.00","11,784.00","11,903.00","11,901.00","11,871.62","71,887","85,34,14,817.00","15,050","28,486",39.63
ULTRACEMCO,EQ,31-Dec-2025,"11,705.00","11,681.00","11,794.00","11,680.00","11,792.00","11,784.00","11,753.04","1,72,267","2,02,46,61,427.00","19,516","1,16,276",67.5
ULTRACEMCO,EQ,30-Dec-2025,"11,799.00","11,810.00","11,811.00","11,651.00","11,701.00","11,705.00","11,700.46","2,36,323","2,76,50,88,711.00","45,599","1,47,482",62.41
ULTRACEMCO,EQ,29-Dec-2025,"11,794.00","11,778.00","11,820.00","11,731.00","11,820.00","11,799.00","11,790.75","1,97,600","2,32,98,51,617.00","29,327","1,23,825",62.66
ULTRACEMCO,EQ,26-Dec-2025,"11,764.00","11,766.00","11,855.00","11,743.00","11,778.00","11,794.00","11,811.57","1,93,121","2,28,10,61,262.00","36,334","1,16,578",60.37
ULTRACEMCO,EQ,24-Dec-2025,"11,678.00","11,715.00","11,790.00","11,671.00","11,770.00","11,764.00","11,751.84","1,82,050","2,13,94,22,180.00","35,103","1,14,565",62.93
ULTRACEMCO,EQ,23-Dec-2025,"11,532.00","11,550.00","11,750.00","11,530.00","11,682.00","11,678.00","11,683.57","1,61,830","1,89,07,52,289.00","30,809","80,853",49.96
ULTRACEMCO,EQ,22-Dec-2025,"11,496.00","11,496.00","11,548.00","11,431.00","11,531.00","11,532.00","11,493.60","1,70,807","1,96,31,87,716.00","32,321","1,06,504",62.35
ULTRACEMCO,EQ,19-Dec-2025,"11,461.00","11,503.00","11,529.00","11,442.00","11,497.00","11,496.00","11,497.39","1,52,956","1,75,85,94,562.00","21,628","1,08,062",70.65
ULTRACEMCO,EQ,18-Dec-2025,"11,540.00","11,545.00","11,565.00","11,412.00","11,465.00","11,461.00","11,471.81","1,03,462","1,18,68,96,319.00","18,634","58,227",56.28
ULTRACEMCO,EQ,17-Dec-2025,"11,528.00","11,505.00","11,591.00","11,495.00","11,531.00","11,540.00","11,533.28","2,05,337","2,36,82,09,377.00","37,906","1,36,213",66.34
ULTRACEMCO,EQ,16-Dec-2025,"11,728.00","11,700.00","11,700.00","11,510.00","11,520.00","11,528.00","11,576.78","1,79,690","2,08,02,30,796.00","30,346","1,22,430",68.13
ULTRACEMCO,EQ,15-Dec-2025,"11,723.00","11,658.00","11,804.00","11,658.00","11,711.00","11,728.00","11,716.87","1,78,073","2,08,64,57,404.00","36,431","1,14,272",64.17
ULTRACEMCO,EQ,12-Dec-2025,"11,472.00","11,491.00","11,738.00","11,481.00","11,730.00","11,723.00","11,651.36","3,89,481","4,53,79,83,993.00","38,687","2,84,844",73.13
ULTRACEMCO,EQ,11-Dec-2025,"11,317.00","11,340.00","11,484.00","11,266.00","11,451.00","11,472.00","11,412.17","1,96,507","2,24,25,70,396.00","25,553","1,14,273",58.15
ULTRACEMCO,EQ,10-Dec-2025,"11,414.00","11,425.00","11,499.00","11,297.00","11,315.00","11,317.00","11,364.11","2,72,923","3,10,15,27,807.00","52,189","1,78,668",65.46
ULTRACEMCO,EQ,09-Dec-2025,"11,540.00","11,500.00","11,525.00","11,379.00","11,420.00","11,414.00","11,433.42","2,74,482","3,13,82,68,405.00","37,738","1,96,757",71.68
ULTRACEMCO,EQ,08-Dec-2025,"11,597.00","11,610.00","11,632.00","11,490.00","11,538.00","11,540.00","11,570.34","1,48,186","1,71,45,61,720.00","27,514","1,02,349",69.07
ULTRACEMCO,EQ,05-Dec-2025,"11,608.00","11,630.00","11,665.00","11,561.00","11,595.00","11,597.00","11,596.01","2,26,572","2,62,73,30,601.00","22,395","1,83,870",81.15
ULTRACEMCO,EQ,04-Dec-2025,"11,591.00","11,580.00","11,631.00","11,524.00","11,600.00","11,608.00","11,591.53","1,59,687","1,85,10,16,215.00","30,994","1,13,035",70.79
ULTRACEMCO,EQ,03-Dec-2025,"11,666.00","11,700.00","11,702.00","11,520.00","11,570.00","11,591.00","11,579.27","2,06,293","2,38,87,22,456.00","31,798","1,34,981",65.43
ULTRACEMCO,EQ,02-Dec-2025,"11,662.00","11,702.00","11,713.00","11,590.00","11,673.00","11,666.00","11,649.32","1,90,930","2,22,42,05,426.00","34,931","1,22,981",64.41
ULTRACEMCO,EQ,01-Dec-2025,"11,600.00","11,620.00","12,021.00","11,556.00","12,013.00","11,662.00","11,618.11","2,28,729","2,65,73,97,748.00","34,056","1,61,635",70.67
ULTRACEMCO,EQ,28-Nov-2025,"11,617.00","11,620.00","11,640.00","11,557.00","11,585.00","11,600.00","11,593.16","1,59,990","1,85,47,89,893.00","23,864","1,18,830",74.27
ULTRACEMCO,EQ,27-Nov-2025,"11,759.00","11,776.00","11,787.00","11,599.00","11,620.00","11,617.00","11,654.10","2,75,290","3,20,82,56,233.00","43,358","2,10,000",76.28
ULTRACEMCO,EQ,26-Nov-2025,"11,580.00","11,589.00","11,773.00","11,585.00","11,768.00","11,759.00","11,684.32","1,87,481","2,19,05,87,296.00","30,715","1,33,117",71.0
ULTRACEMCO,EQ,25-Nov-2025,"11,584.00","11,600.00","11,647.00","11,538.00","11,555.00","11,580.00","11,603.63","2,00,149","2,32,24,54,412.00","26,646","1,31,519",65.71
ULTRACEMCO,EQ,24-Nov-2025,"11,729.00","11,738.00","11,738.00","11,561.00","11,561.00","11,584.00","11,600.77","4,07,297","4,72,49,58,926.00","33,703","2,85,910",70.2
ULTRACEMCO,EQ,21-Nov-2025,"11,753.00","11,758.00","11,788.00","11,691.00","11,717.00","11,729.00","11,744.03","1,92,051","2,25,54,52,581.00","25,874","1,24,738",64.95
ULTRACEMCO,EQ,20-Nov-2025,"11,666.00","11,720.00","11,773.00","11,661.00","11,751.00","11,753.00","11,726.11","1,85,397","2,17,39,85,271.00","26,069","1,31,150",70.74
ULTRACEMCO,EQ,19-Nov-2025,"11,707.00","11,707.00","11,754.00","11,638.00","11,681.00","11,666.00","11,681.88","2,71,396","3,17,04,16,544.00","39,648","2,06,206",75.98
ULTRACEMCO,EQ,18-Nov-2025,"11,778.00","11,888.00","11,888.00","11,688.00","11,724.00","11,707.00","11,731.94","3,18,116","3,73,21,16,445.00","42,262","2,31,072",72.64
ULTRACEMCO,EQ,17-Nov-2025,"11,874.00","11,810.00","11,855.00","11,745.00","11,775.00","11,778.00","11,783.16","1,94,379","2,29,03,98,705.00","30,500","1,18,893",61.17
ULTRACEMCO,EQ,14-Nov-2025,"11,934.00","11,941.00","11,941.00","11,786.00","11,875.00","11,874.00","11,861.74","1,61,315","1,91,34,76,520.00","33,259","1,14,927",71.24
ULTRACEMCO,EQ,13-Nov-2025,"11,921.00","11,921.00","12,016.00","11,907.00","11,931.00","11,934.00","11,959.62","1,74,415","2,08,59,37,178.00","31,659","1,13,565",65.11
ULTRACEMCO,EQ,12-Nov-2025,"11,825.00","11,861.00","11,949.00","11,831.00","11,920.00","11,921.00","11,887.92","1,84,542","2,19,38,20,119.00","28,501","1,31,020",71.0
ULTRACEMCO,EQ,11-Nov-2025,"11,728.00","11,750.00","11,849.00","11,720.00","11,818.00","11,825.00","11,790.45","1,25,847","1,48,37,92,331.00","24,966","63,402",50.38
ULTRACEMCO,EQ,10-Nov-2025,"11,849.00","11,851.00","11,890.00","11,701.00","11,750.00","11,728.00","11,785.35","1,97,085","2,32,27,16,344.00","30,866","1,41,306",71.7
ULTRACEMCO,EQ,07-Nov-2025,"11,910.00","11,871.00","11,951.00","11,834.00","11,850.00","11,849.00","11,879.29","1,48,161","1,76,00,47,067.00","24,873","1,02,154",68.95
ULTRACEMCO,EQ,06-Nov-2025,"11,819.00","11,800.00","11,985.00","11,798.00","11,942.00","11,910.00","11,903.94","1,89,652","2,25,76,05,423.00","39,219","1,17,218",61.81
ULTRACEMCO,EQ,04-Nov-2025,"11,950.00","11,960.00","11,960.00","11,785.00","11,813.00","11,819.00","11,871.82","1,99,364","2,36,68,13,107.00","28,435","1,26,996",63.7
ULTRACEMCO,EQ,03-Nov-2025,"11,947.00","11,927.00","11,984.00","11,885.00","11,970.00","11,950.00","11,941.61","98,394","1,17,49,82,327.00","23,272","57,420",58.36
ULTRACEMCO,EQ,31-Oct-2025,"12,053.00","12,053.00","12,102.00","11,917.00","11,924.00","11,947.00","12,015.41","1,75,191","2,10,49,92,074.00","35,643","1,14,856",65.56
ULTRACEMCO,EQ,30-Oct-2025,"11,999.00","12,040.00","12,084.00","11,950.00","12,040.00","12,053.00","12,032.99","1,59,943","1,92,45,92,219.00","33,247","91,465",57.19
ULTRACEMCO,EQ,29-Oct-2025,"11,931.00","11,940.00","12,060.00","11,899.00","12,007.00","11,999.00","11,993.10","3,94,272","4,72,85,41,732.00","53,249","3,13,076",79.41
ULTRACEMCO,EQ,28-Oct-2025,"12,015.00","12,025.00","12,048.00","11,866.00","11,940.00","11,931.00","11,953.48","5,13,095","6,13,32,71,923.00","84,372","4,04,186",78.77
ULTRACEMCO,EQ,27-Oct-2025,"11,918.00","11,922.00","12,049.00","11,920.00","11,993.00","12,015.00","11,981.69","4,08,073","4,88,94,04,413.00","59,732","3,26,884",80.1
ULTRACEMCO,EQ,24-Oct-2025,"12,145.00","12,149.00","12,174.00","11,876.00","11,910.00","11,918.00","11,959.32","3,18,840","3,81,31,10,148.00","47,288","2,25,097",70.6
ULTRACEMCO,EQ,23-Oct-2025,"12,342.00","12,390.00","12,415.00","12,112.00","12,112.00","12,145.00","12,255.70","3,70,812","4,54,45,59,097.00","66,949","2,49,416",67.26
ULTRACEMCO,EQ,21-Oct-2025,"12,346.00","12,371.00","12,417.00","12,271.00","12,271.00","12,342.00","12,364.39","14,465","17,88,50,881.00","4,406","7,433",51.39
ULTRACEMCO,EQ,20-Oct-2025,"12,370.00","12,420.00","12,448.00","12,175.00","12,365.00","12,346.00","12,292.42","3,93,365","4,83,54,08,399.00","58,440","2,20,811",56.13
ULTRACEMCO,EQ,17-Oct-2025,"12,358.00","12,300.00","12,390.00","12,259.00","12,313.00","12,370.00","12,333.27","1,82,242","2,24,76,40,361.00","44,221","1,13,678",62.38
ULTRACEMCO,EQ,16-Oct-2025,"12,311.00","12,306.00","12,405.00","12,268.00","12,360.00","12,358.00","12,360.99","1,29,372","1,59,91,66,091.00","33,266","74,576",57.64
ULTRACEMCO,EQ,15-Oct-2025,"12,070.00","12,085.00","12,325.00","12,085.00","12,287.00","12,311.00","12,261.64","1,42,328","1,74,51,75,183.00","27,141","81,752",57.44
ULTRACEMCO,EQ,14-Oct-2025,"12,172.00","12,172.00","12,251.00","12,026.00","12,074.00","12,070.00","12,090.25","1,29,196","1,56,20,11,832.00","29,501","68,591",53.09
ULTRACEMCO,EQ,13-Oct-2025,"12,281.00","12,225.00","12,249.00","12,150.00","12,178.00","12,172.00","12,182.46","87,745","1,06,89,50,215.00","21,957","52,540",59.88
ULTRACEMCO,EQ,10-Oct-2025,"12,192.00","12,180.00","12,324.00","12,111.00","12,275.00","12,281.00","12,274.35","1,98,464","2,43,60,17,545.00","39,403","1,36,634",68.85
ULTRACEMCO,EQ,09-Oct-2025,"11,991.00","11,991.00","12,211.00","11,973.00","12,163.00","12,192.00","12,122.16","1,71,737","2,08,18,23,440.00","34,979","1,04,572",60.89
ULTRACEMCO,EQ,08-Oct-2025,"12,184.00","12,150.00","12,182.00","11,940.00","11,980.00","11,991.00","12,009.37","1,73,973","2,08,93,06,579.00","34,713","1,07,605",61.85
ULTRACEMCO,EQ,07-Oct-2025,"12,055.00","12,059.00","12,210.00","12,025.00","12,175.00","12,184.00","12,163.04","2,25,472","2,74,24,24,841.00","30,342","1,38,677",61.51
ULTRACEMCO,EQ,06-Oct-2025,"12,019.00","12,019.00","12,100.00","11,991.00","12,073.00","12,055.00","12,061.85","1,06,362","1,28,29,22,263.00","22,104","62,688",58.94
ULTRACEMCO,EQ,03-Oct-2025,"12,095.00","12,095.00","12,139.00","11,982.00","12,018.00","12,019.00","12,010.52","2,58,411","3,10,36,49,904.00","34,595","1,83,997",71.2
ULTRACEMCO,EQ,01-Oct-2025,"12,222.00","12,274.00","12,274.00","12,071.00","12,125.00","12,095.00","12,126.84","1,29,528","1,57,07,64,999.00","30,976","81,487",62.91
ULTRACEMCO,EQ,30-Sep-2025,"12,041.00","12,041.00","12,261.00","12,041.00","12,240.00","12,222.00","12,186.46","2,79,155","3,40,19,11,579.00","47,658","1,88,672",67.59
ULTRACEMCO,EQ,29-Sep-2025,"12,070.00","12,100.00","12,146.00","11,962.00","12,040.00","12,041.00","12,048.12","2,14,806","2,58,80,09,348.00","48,921","1,54,557",71.95
ULTRACEMCO,EQ,26-Sep-2025,"12,141.00","12,140.00","12,199.00","11,990.00","12,090.00","12,070.00","12,066.86","1,81,541","2,19,06,29,982.00","36,938","1,18,909",65.5
ULTRACEMCO,EQ,25-Sep-2025,"12,214.00","12,210.00","12,275.00","12,120.00","12,160.00","12,141.00","12,184.07","2,72,540","3,32,06,46,673.00","55,123","1,67,147",61.33
