symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
UNIONBANK,EQ,22-Jan-2025,109.53,109.93,110.64,107.96,109.86,110.0,109.28,"98,93,570","1,08,11,82,141.52","51,986","51,02,113",51.57
UNIONBANK,EQ,23-Jan-2025,110.0,109.71,110.6,108.58,109.48,109.7,109.74,"52,07,678","57,14,69,731.40","35,190","19,17,644",36.82
UNIONBANK,EQ,24-Jan-2025,109.7,109.92,110.0,106.5,107.22,107.3,107.94,"52,16,313","56,30,72,053.54","32,111","17,08,155",32.75
UNIONBANK,EQ,27-Jan-2025,107.3,106.75,106.98,104.47,105.1,105.59,105.7,"89,33,863","94,42,90,295.87","63,479","28,12,257",31.48
UNIONBANK,EQ,28-Jan-2025,105.59,109.11,113.14,108.01,110.58,110.57,110.45,"4,42,34,897","4,88,57,98,283.25","1,99,553","60,51,336",13.68
UNIONBANK,EQ,29-Jan-2025,110.57,112.0,113.74,110.29,112.74,112.54,112.38,"1,18,86,270","1,33,57,56,700.63","64,128","28,47,339",23.95
UNIONBANK,EQ,30-Jan-2025,112.54,112.55,113.72,110.81,110.81,111.05,112.01,"79,62,048","89,18,00,176.09","45,390","25,82,438",32.43
UNIONBANK,EQ,31-Jan-2025,111.05,111.35,115.8,111.1,115.49,115.49,114.25,"1,28,49,018","1,46,80,13,971.87","55,693","58,04,167",45.17
UNIONBANK,EQ,01-Feb-2025,115.49,115.8,116.79,111.2,112.5,112.44,114.21,"88,92,952","1,01,56,47,461.01","56,184","28,68,834",32.26
UNIONBANK,EQ,03-Feb-2025,112.44,111.21,111.51,108.37,109.12,109.15,109.6,"76,36,353","83,69,69,560.91","50,049","31,27,221",40.95
UNIONBANK,EQ,04-Feb-2025,109.15,110.45,114.1,110.28,113.81,113.88,113.2,"1,06,10,648","1,20,10,79,124.01","54,894","42,80,740",40.34
UNIONBANK,EQ,05-Feb-2025,113.88,116.55,120.0,116.13,119.36,119.22,118.91,"3,28,29,349","3,90,38,16,713.12","1,29,661","1,08,85,591",33.16
UNIONBANK,EQ,06-Feb-2025,119.22,121.0,121.0,118.37,119.4,119.37,119.24,"1,00,48,273","1,19,81,79,462.74","55,212","37,97,742",37.79
UNIONBANK,EQ,07-Feb-2025,119.37,119.0,121.87,117.49,118.08,117.85,119.49,"1,42,07,366","1,69,75,99,346.93","70,790","44,44,427",31.28
UNIONBANK,EQ,10-Feb-2025,117.85,117.85,118.05,114.29,114.61,114.85,115.53,"57,37,779","66,29,04,409.41","32,832","20,79,510",36.24
UNIONBANK,EQ,11-Feb-2025,114.85,115.0,115.97,110.05,110.73,110.61,111.92,"1,33,99,832","1,49,96,47,490.43","82,360","61,06,168",45.57
UNIONBANK,EQ,12-Feb-2025,110.61,111.4,115.39,109.3,114.95,114.98,112.82,"2,04,52,128","2,30,74,15,944.54","91,461","59,12,184",28.91
UNIONBANK,EQ,13-Feb-2025,114.98,115.2,115.8,112.6,112.93,113.02,114.13,"79,64,717","90,89,73,485.72","39,451","30,35,267",38.11
UNIONBANK,EQ,14-Feb-2025,113.02,113.51,114.0,108.21,109.35,109.44,110.49,"84,07,342","92,89,37,041.13","55,606","28,67,116",34.1
UNIONBANK,EQ,17-Feb-2025,109.44,109.77,109.77,106.63,109.03,109.01,108.15,"74,60,353","80,68,08,032.68","44,340","15,92,872",21.35
UNIONBANK,EQ,18-Feb-2025,109.01,108.5,109.99,106.69,109.39,109.73,108.2,"94,00,830","1,01,71,98,507.56","41,088","37,29,493",39.67
