symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
UNITDSPR,EQ,25-Mar-2026,"1,328.00","1,337.90","1,345.40","1,305.00","1,310.90","1,311.60","1,315.95","31,89,905","4,19,77,39,781.90","81,242","12,28,173",38.5
UNITDSPR,EQ,24-Mar-2026,"1,275.20","1,290.90","1,334.90","1,282.70","1,331.50","1,328.00","1,318.31","16,28,922","2,14,74,30,955.70","51,662","8,16,452",50.12
UNITDSPR,EQ,23-Mar-2026,"1,300.10","1,288.90","1,288.90","1,266.40","1,279.90","1,275.20","1,274.72","11,41,612","1,45,52,38,180.10","40,465","7,56,032",66.22
UNITDSPR,EQ,20-Mar-2026,"1,288.90","1,296.00","1,317.60","1,296.00","1,300.00","1,300.10","1,306.00","8,67,349","1,13,27,57,653.70","32,974","5,13,200",59.17
UNITDSPR,EQ,19-Mar-2026,"1,320.30","1,311.10","1,317.60","1,281.10","1,295.90","1,288.90","1,293.41","8,06,047","1,04,25,50,984.80","27,799","4,80,122",59.57
UNITDSPR,EQ,18-Mar-2026,"1,301.40","1,310.80","1,330.50","1,305.20","1,324.90","1,320.30","1,317.10","17,47,262","2,30,13,21,714.90","47,744","11,73,617",67.17
UNITDSPR,EQ,17-Mar-2026,"1,317.40","1,325.00","1,332.50","1,298.70","1,305.00","1,301.40","1,312.10","12,91,896","1,69,50,96,877.30","31,262","8,28,906",64.16
UNITDSPR,EQ,16-Mar-2026,"1,314.40","1,309.90","1,363.40","1,302.60","1,311.70","1,317.40","1,314.57","8,85,117","1,16,35,45,094.50","27,045","5,83,677",65.94
UNITDSPR,EQ,13-Mar-2026,"1,363.50","1,350.00","1,368.00","1,310.00","1,313.90","1,314.40","1,340.20","6,75,221","90,49,28,727.50","31,040","3,66,892",54.34
UNITDSPR,EQ,12-Mar-2026,"1,382.10","1,367.10","1,368.80","1,341.10","1,356.70","1,363.50","1,359.47","8,42,671","1,14,55,83,612.50","40,787","4,57,293",54.27
UNITDSPR,EQ,11-Mar-2026,"1,407.10","1,401.80","1,413.60","1,377.60","1,380.10","1,382.10","1,394.28","3,16,208","44,08,82,227.30","28,928","1,38,207",43.71
UNITDSPR,EQ,10-Mar-2026,"1,355.80","1,361.70","1,410.00","1,354.00","1,406.10","1,407.10","1,396.52","7,47,118","1,04,33,62,118.90","49,026","4,23,230",56.65
UNITDSPR,EQ,09-Mar-2026,"1,389.80","1,389.70","1,389.70","1,340.10","1,354.00","1,355.80","1,356.51","7,73,145","1,04,87,79,227.70","47,453","3,50,365",45.32
UNITDSPR,EQ,06-Mar-2026,"1,325.80","1,320.00","1,417.90","1,306.80","1,390.90","1,389.80","1,380.46","55,78,937","7,70,14,77,758.40","1,38,639","24,15,987",43.31
UNITDSPR,EQ,05-Mar-2026,"1,316.80","1,316.80","1,331.80","1,310.00","1,328.00","1,325.80","1,320.31","6,28,562","82,98,95,249.60","27,776","2,55,566",40.66
UNITDSPR,EQ,04-Mar-2026,"1,366.60","1,340.10","1,356.00","1,311.20","1,315.00","1,316.80","1,329.07","8,37,406","1,11,29,67,529.80","35,926","4,91,900",58.74
UNITDSPR,EQ,02-Mar-2026,"1,380.80","1,345.00","1,374.70","1,345.00","1,371.90","1,366.60","1,366.43","9,57,355","1,30,81,60,833.00","47,552","6,19,372",64.7
UNITDSPR,EQ,27-Feb-2026,"1,388.80","1,385.00","1,392.70","1,371.00","1,380.10","1,380.80","1,380.78","13,62,196","1,88,08,94,438.70","55,000","8,87,249",65.13
UNITDSPR,EQ,26-Feb-2026,"1,412.50","1,405.50","1,409.80","1,375.70","1,390.40","1,388.80","1,387.21","5,59,059","77,55,30,932.70","32,018","2,15,713",38.59
UNITDSPR,EQ,25-Feb-2026,"1,421.50","1,424.00","1,427.30","1,406.50","1,411.70","1,412.50","1,414.10","3,81,768","53,98,57,505.70","21,397","2,33,565",61.18
UNITDSPR,EQ,24-Feb-2026,"1,416.90","1,418.00","1,425.00","1,405.60","1,422.50","1,421.50","1,416.92","6,81,459","96,55,74,239.20","37,536","4,14,626",60.84
UNITDSPR,EQ,23-Feb-2026,"1,379.30","1,380.00","1,420.00","1,380.00","1,415.70","1,416.90","1,407.31","7,85,217","1,10,50,44,670.10","37,927","3,61,700",46.06
UNITDSPR,EQ,20-Feb-2026,"1,397.10","1,401.00","1,410.40","1,375.70","1,381.30","1,379.30","1,386.87","2,88,978","40,07,73,762.80","22,299","1,49,563",51.76
UNITDSPR,EQ,19-Feb-2026,"1,424.60","1,429.80","1,429.80","1,390.40","1,401.00","1,397.10","1,404.50","2,78,639","39,13,49,466.50","26,288","1,55,892",55.95
UNITDSPR,EQ,18-Feb-2026,"1,424.00","1,430.00","1,431.30","1,416.10","1,425.00","1,424.60","1,423.39","2,71,072","38,58,39,972.00","22,628","1,66,683",61.49
UNITDSPR,EQ,17-Feb-2026,"1,401.00","1,407.00","1,425.80","1,402.00","1,424.00","1,424.00","1,412.46","5,67,457","80,15,07,523.30","35,213","3,22,069",56.76
UNITDSPR,EQ,16-Feb-2026,"1,402.40","1,390.60","1,406.20","1,390.50","1,402.50","1,401.00","1,400.71","1,51,661","21,24,32,580.20","13,232","84,770",55.89
UNITDSPR,EQ,13-Feb-2026,"1,417.40","1,414.00","1,423.00","1,398.10","1,400.20","1,402.40","1,409.42","3,83,577","54,06,19,921.50","20,060","2,24,767",58.6
UNITDSPR,EQ,12-Feb-2026,"1,412.90","1,412.90","1,428.30","1,407.40","1,418.80","1,417.40","1,421.21","4,93,044","70,07,19,814.70","27,333","2,55,997",51.92
UNITDSPR,EQ,11-Feb-2026,"1,409.90","1,420.00","1,420.20","1,399.60","1,412.20","1,412.90","1,409.57","3,83,041","53,99,22,997.00","23,880","2,25,040",58.75
UNITDSPR,EQ,10-Feb-2026,"1,409.80","1,410.00","1,412.30","1,401.00","1,411.80","1,409.90","1,407.61","3,09,157","43,51,72,710.40","24,815","1,74,623",56.48
UNITDSPR,EQ,09-Feb-2026,"1,377.00","1,378.70","1,413.40","1,366.20","1,411.00","1,409.80","1,396.62","6,89,551","96,30,37,611.80","38,045","4,00,910",58.14
UNITDSPR,EQ,06-Feb-2026,"1,359.40","1,366.00","1,378.30","1,352.00","1,376.20","1,377.00","1,367.33","4,75,208","64,97,67,457.30","28,954","2,69,466",56.7
UNITDSPR,EQ,05-Feb-2026,"1,358.10","1,360.00","1,366.90","1,353.20","1,356.00","1,359.40","1,360.17","5,19,049","70,59,94,657.50","27,211","3,64,663",70.26
UNITDSPR,EQ,04-Feb-2026,"1,366.10","1,375.00","1,375.00","1,350.00","1,359.00","1,358.10","1,360.29","5,06,352","68,87,84,168.10","26,162","3,12,938",61.8
UNITDSPR,EQ,03-Feb-2026,"1,346.50","1,365.00","1,371.00","1,350.00","1,365.00","1,366.10","1,362.89","7,26,570","99,02,33,044.10","36,227","4,38,813",60.4
UNITDSPR,EQ,02-Feb-2026,"1,335.00","1,342.00","1,348.60","1,318.00","1,346.50","1,346.50","1,336.43","5,10,793","68,26,37,489.70","21,895","2,35,149",46.04
