symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
UNOMINDA,EQ,25-Mar-2026,"1,071.40","1,076.00","1,104.00","1,075.50","1,075.50","1,087.60","1,093.88","14,58,339","1,59,52,54,303.50","42,594","9,14,630",62.72
UNOMINDA,EQ,24-Mar-2026,"1,029.50","1,044.00","1,078.10","1,039.40","1,071.70","1,071.40","1,060.43","7,71,989","81,86,39,673.50","33,000","3,48,377",45.13
UNOMINDA,EQ,23-Mar-2026,"1,067.00","1,053.10","1,053.10","1,010.00","1,031.10","1,029.50","1,027.03","5,31,522","54,58,89,498.90","27,949","2,37,524",44.69
UNOMINDA,EQ,20-Mar-2026,"1,039.50","1,050.00","1,074.00","1,042.20","1,058.00","1,067.00","1,065.34","10,61,778","1,13,11,54,136.20","29,566","6,59,129",62.08
UNOMINDA,EQ,19-Mar-2026,"1,073.40","1,053.00","1,057.00","1,032.50","1,043.80","1,039.50","1,046.70","6,55,607","68,62,20,971.20","27,706","3,36,229",51.29
UNOMINDA,BL,19-Mar-2026,"1,096.60","1,100.00","1,100.00","1,100.00","1,100.00","1,100.00","1,100.00","14,10,000","1,55,10,00,000.00",1,-,-
UNOMINDA,EQ,18-Mar-2026,"1,053.00","1,057.70","1,086.00","1,048.60","1,073.00","1,073.40","1,073.18","15,49,593","1,66,29,86,642.90","65,382","10,18,582",65.73
UNOMINDA,EQ,17-Mar-2026,"1,018.50","1,018.50","1,057.00","1,007.10","1,054.50","1,053.00","1,044.98","10,34,552","1,08,10,87,017.60","48,056","6,14,084",59.36
UNOMINDA,EQ,16-Mar-2026,"1,013.20","1,010.30","1,032.30",994.00,"1,011.00","1,018.50","1,012.57","6,75,736","68,42,27,008.10","46,123","3,03,763",44.95
UNOMINDA,EQ,13-Mar-2026,"1,068.50","1,055.00","1,057.60","1,006.60","1,010.50","1,013.20","1,024.67","17,76,812","1,82,06,53,836.80","61,515","10,67,391",60.07
UNOMINDA,EQ,12-Mar-2026,"1,081.70","1,070.00","1,084.70","1,047.00","1,065.00","1,068.50","1,067.35","11,01,168","1,17,53,32,117.20","57,557","6,02,454",54.71
UNOMINDA,EQ,11-Mar-2026,"1,114.50","1,119.70","1,119.70","1,077.00","1,081.30","1,081.70","1,092.88","11,03,334","1,20,58,10,705.20","55,690","6,49,240",58.84
UNOMINDA,EQ,10-Mar-2026,"1,082.10","1,120.00","1,125.70","1,089.40","1,114.00","1,114.50","1,112.60","18,83,751","2,09,58,60,610.40","70,363","8,85,114",46.99
UNOMINDA,EQ,09-Mar-2026,"1,121.30","1,095.70","1,095.70","1,038.00","1,081.00","1,082.10","1,062.25","12,68,685","1,34,76,65,691.10","52,121","4,80,673",37.89
UNOMINDA,EQ,06-Mar-2026,"1,118.30","1,117.90","1,134.90","1,112.10","1,127.40","1,121.30","1,127.22","4,25,766","47,99,30,474.50","20,000","2,04,162",47.95
UNOMINDA,EQ,05-Mar-2026,"1,124.50","1,130.10","1,144.00","1,097.30","1,119.10","1,118.30","1,114.99","9,38,497","1,04,64,18,287.50","55,596","4,61,597",49.18
UNOMINDA,EQ,04-Mar-2026,"1,140.40","1,135.00","1,146.40","1,103.00","1,125.00","1,124.50","1,121.20","13,46,839","1,51,00,80,659.10","37,753","7,69,145",57.11
UNOMINDA,EQ,02-Mar-2026,"1,188.50","1,130.00","1,171.50","1,120.00","1,147.30","1,140.40","1,139.01","12,12,211","1,38,07,17,912.70","49,284","6,84,491",56.47
UNOMINDA,EQ,27-Feb-2026,"1,230.60","1,223.20","1,228.50","1,181.30","1,186.00","1,188.50","1,200.92","7,70,804","92,56,75,619.20","30,409","4,21,759",54.72
UNOMINDA,EQ,26-Feb-2026,"1,217.80","1,216.00","1,238.00","1,194.00","1,230.00","1,230.60","1,221.94","13,54,248","1,65,48,12,774.40","38,269","3,50,423",25.88
UNOMINDA,EQ,25-Feb-2026,"1,177.50","1,182.40","1,220.60","1,175.90","1,214.30","1,217.80","1,209.06","5,08,503","61,48,08,281.80","41,438","2,56,460",50.43
UNOMINDA,EQ,24-Feb-2026,"1,196.00","1,184.00","1,194.40","1,167.10","1,177.40","1,177.50","1,177.36","6,19,798","72,97,26,815.00","31,549","3,65,371",58.95
UNOMINDA,EQ,23-Feb-2026,"1,195.20","1,205.00","1,207.80","1,181.00","1,196.00","1,196.00","1,191.47","4,53,041","53,97,83,869.50","29,151","2,51,630",55.54
UNOMINDA,EQ,20-Feb-2026,"1,190.50","1,181.90","1,206.40","1,181.90","1,194.00","1,195.20","1,195.21","7,92,362","94,70,35,716.20","26,876","4,65,363",58.73
UNOMINDA,EQ,19-Feb-2026,"1,208.80","1,204.90","1,215.70","1,185.00","1,191.10","1,190.50","1,201.08","6,40,809","76,96,65,765.60","28,369","3,39,854",53.04
UNOMINDA,EQ,18-Feb-2026,"1,217.40","1,215.80","1,223.70","1,196.90","1,206.30","1,208.80","1,207.11","4,06,638","49,08,55,572.80","24,285","2,17,926",53.59
UNOMINDA,EQ,17-Feb-2026,"1,217.40","1,215.00","1,226.60","1,209.10","1,217.10","1,217.40","1,219.18","2,53,022","30,84,79,920.20","12,191","1,28,912",50.95
UNOMINDA,EQ,16-Feb-2026,"1,244.00","1,236.10","1,247.50","1,208.50","1,217.40","1,217.40","1,221.91","3,67,303","44,88,10,156.80","20,285","1,94,474",52.95
UNOMINDA,EQ,13-Feb-2026,"1,247.90","1,245.80","1,249.00","1,220.30","1,243.20","1,244.00","1,236.69","12,78,975","1,58,16,94,545.40","50,464","7,80,259",61.01
UNOMINDA,EQ,12-Feb-2026,"1,245.80","1,245.00","1,255.00","1,227.00","1,248.60","1,247.90","1,245.87","11,09,468","1,38,22,58,003.20","44,388","6,33,693",57.12
UNOMINDA,EQ,11-Feb-2026,"1,231.20","1,238.00","1,251.50","1,220.30","1,245.00","1,245.80","1,241.51","11,21,812","1,39,27,43,144.00","51,329","5,57,384",49.69
UNOMINDA,EQ,10-Feb-2026,"1,204.00","1,211.50","1,232.30","1,200.20","1,231.40","1,231.20","1,224.03","8,50,875","1,04,14,99,915.50","28,622","4,57,372",53.75
UNOMINDA,EQ,09-Feb-2026,"1,158.00","1,155.90","1,214.20","1,150.20","1,213.60","1,204.00","1,195.64","14,02,126","1,67,64,33,878.80","53,744","7,83,663",55.89
UNOMINDA,EQ,06-Feb-2026,"1,230.80","1,234.00","1,235.80","1,150.00","1,153.00","1,158.00","1,174.19","23,82,069","2,79,70,09,124.90","90,245","10,09,796",42.39
UNOMINDA,EQ,05-Feb-2026,"1,204.80","1,208.40","1,242.70","1,176.50","1,233.00","1,230.80","1,220.81","23,78,517","2,90,37,21,462.30","75,507","9,00,014",37.84
UNOMINDA,EQ,04-Feb-2026,"1,214.00","1,220.00","1,222.90","1,195.80","1,202.10","1,204.80","1,207.70","5,44,512","65,76,06,604.60","28,160","3,32,012",60.97
UNOMINDA,EQ,03-Feb-2026,"1,178.20","1,248.00","1,248.00","1,209.80","1,211.00","1,214.00","1,221.72","8,98,618","1,09,78,58,868.60","40,833","4,83,101",53.76
UNOMINDA,EQ,02-Feb-2026,"1,145.10","1,145.10","1,183.60","1,138.70","1,180.00","1,178.20","1,163.33","4,61,793","53,72,17,240.60","24,748","2,52,257",54.63
UNOMINDA,EQ,01-Feb-2026,"1,182.30","1,187.00","1,192.70","1,135.00","1,144.00","1,145.10","1,171.77","2,36,315","27,69,06,253.90","10,722","95,978",40.61
UNOMINDA,EQ,30-Jan-2026,"1,143.40","1,142.00","1,186.20","1,133.00","1,183.00","1,182.30","1,170.80","10,33,856","1,21,04,35,825.90","48,363","5,81,762",56.27
UNOMINDA,EQ,29-Jan-2026,"1,148.60","1,149.90","1,149.90","1,124.10","1,142.00","1,143.40","1,136.40","5,42,783","61,68,17,253.90","33,349","3,00,141",55.30
UNOMINDA,EQ,28-Jan-2026,"1,145.00","1,154.90","1,154.90","1,125.80","1,149.00","1,148.60","1,143.76","7,54,884","86,34,02,484.90","26,688","4,87,464",64.57
UNOMINDA,EQ,27-Jan-2026,"1,134.10","1,134.10","1,158.40","1,114.80","1,158.40","1,145.00","1,131.40","7,40,371","83,76,58,121.40","37,430","3,14,696",42.51
