symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
UPL,EQ,22-Jan-2025,544.25,548.0,548.0,531.6,541.55,542.7,538.68,"11,91,929","64,20,67,286.40","39,100","5,63,243",47.25
UPL,EQ,23-Jan-2025,542.7,542.5,559.75,542.05,556.5,557.85,553.11,"14,77,011","81,69,50,490.35","38,361","6,01,116",40.70
UPL,EQ,24-Jan-2025,557.85,559.95,560.45,550.0,550.4,552.0,554.06,"15,91,661","88,18,71,447.95","37,745","8,10,759",50.94
UPL,EQ,27-Jan-2025,552.0,548.95,550.4,536.2,542.0,542.35,541.44,"24,86,727","1,34,64,05,537.55","73,714","13,86,627",55.76
UPL,EQ,28-Jan-2025,542.35,546.0,546.5,536.1,539.4,538.65,541.23,"20,48,155","1,10,85,28,725.85","36,981","13,04,791",63.71
UPL,EQ,29-Jan-2025,538.65,542.0,555.95,539.3,555.95,553.1,549.42,"21,81,049","1,19,83,01,935.65","51,201","10,30,367",47.24
UPL,EQ,30-Jan-2025,553.1,556.0,578.3,554.6,568.0,566.95,570.97,"27,84,958","1,59,01,29,226.85","58,325","6,23,601",22.39
UPL,EQ,31-Jan-2025,566.95,573.0,617.8,567.75,604.9,603.75,593.77,"86,63,742","5,14,42,63,215.75","1,78,670","16,86,320",19.46
UPL,EQ,01-Feb-2025,603.75,609.8,617.8,597.05,599.2,604.0,608.01,"59,61,908","3,62,49,16,583.00","1,24,360","18,14,458",30.43
UPL,EQ,03-Feb-2025,604.0,610.0,636.8,607.55,629.5,630.25,627.34,"1,27,13,558","7,97,56,98,298.60","2,64,292","41,52,558",32.66
UPL,EQ,04-Feb-2025,630.25,637.5,641.55,625.0,635.0,636.9,634.12,"35,41,038","2,24,54,25,523.05","98,182","13,13,495",37.09
UPL,EQ,05-Feb-2025,636.9,636.0,649.45,632.0,645.6,645.45,643.62,"33,72,838","2,17,08,38,243.00","93,350","19,42,975",57.61
UPL,EQ,06-Feb-2025,645.45,644.0,646.85,626.45,644.0,644.75,640.17,"38,85,141","2,48,71,33,823.10","97,580","22,25,958",57.29
UPL,EQ,07-Feb-2025,644.75,642.05,648.7,635.1,641.55,641.35,641.26,"23,40,663","1,50,09,66,332.95","50,408","13,77,632",58.86
UPL,BL,10-Feb-2025,504.0,641.0,641.0,641.0,641.0,641.0,641.0,"7,80,000","49,99,80,000.00",1,-,-
UPL,EQ,10-Feb-2025,641.35,641.25,643.0,631.8,634.1,634.95,635.74,"19,32,363","1,22,84,89,676.70","51,425","9,24,155",47.83
UPL,EQ,11-Feb-2025,634.95,635.0,636.8,608.2,609.95,610.7,616.22,"25,25,324","1,55,61,47,766.50","44,188","14,87,550",58.91
UPL,EQ,12-Feb-2025,610.7,610.7,624.3,594.45,621.9,620.5,611.46,"23,15,031","1,41,55,60,296.35","52,419","9,30,079",40.18
UPL,EQ,13-Feb-2025,620.5,620.5,638.9,615.0,631.0,629.75,630.64,"31,81,044","2,00,60,85,368.10","76,048","13,57,795",42.68
UPL,EQ,14-Feb-2025,629.75,631.0,633.9,610.25,617.3,618.35,616.62,"37,46,024","2,30,98,56,401.85","97,729","18,76,147",50.08
UPL,EQ,17-Feb-2025,618.35,618.2,633.75,609.9,632.0,632.2,624.34,"14,81,549","92,49,95,457.45","43,217","5,94,316",40.11
UPL,EQ,18-Feb-2025,632.2,633.0,634.35,625.2,629.4,630.8,629.8,"14,09,475","88,76,91,268.35","30,732","7,13,748",50.64
UPL,EQ,19-Feb-2025,630.8,629.85,651.7,621.0,651.0,650.05,645.87,"27,62,726","1,78,43,53,598.00","65,584","12,32,183",44.60
UPL,EQ,20-Feb-2025,650.05,650.05,653.95,644.25,646.95,647.25,648.72,"21,42,244","1,38,97,16,443.15","51,193","11,51,507",53.75
UPL,EQ,21-Feb-2025,647.25,648.0,658.25,637.4,643.9,646.35,647.71,"13,66,273","88,49,49,685.70","39,517","5,58,590",40.88
UPL,EQ,24-Feb-2025,646.35,643.75,648.95,638.3,646.0,645.2,645.21,"12,93,274","83,44,33,115.15","40,843","6,11,643",47.29
UPL,EQ,25-Feb-2025,645.2,648.1,657.3,645.0,645.0,647.5,650.95,"15,81,083","1,02,92,09,907.85","52,566","6,74,435",42.66
UPL,EQ,27-Feb-2025,647.5,648.0,648.35,634.2,640.45,643.65,641.26,"27,17,730","1,74,27,58,675.60","81,375","18,87,191",69.44
UPL,EQ,28-Feb-2025,643.65,635.0,641.0,619.5,630.15,632.95,628.95,"46,76,015","2,94,09,70,792.65","80,203","29,82,262",63.78
UPL,EQ,03-Mar-2025,632.95,628.1,634.15,611.25,615.45,616.7,620.27,"32,73,667","2,03,05,45,180.60","69,472","17,32,384",52.92
UPL,EQ,04-Mar-2025,616.7,607.0,619.6,607.0,614.2,613.4,612.83,"15,57,537","95,45,02,791.75","35,010","7,49,223",48.10
UPL,EQ,05-Mar-2025,613.4,615.0,630.2,614.15,627.45,627.85,625.65,"23,67,281","1,48,10,99,115.70","64,992","10,61,424",44.84
