symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VBL,EQ,25-Mar-2026,388.35,394.9,407.4,391.1,401.0,401.45,402.17,"91,34,065","3,67,34,78,552.10","1,15,312","56,58,011",61.94
VBL,EQ,24-Mar-2026,382.2,391.9,394.15,382.25,388.75,388.35,388.78,"69,98,465","2,72,08,66,580.85","63,491","41,10,691",58.74
VBL,EQ,23-Mar-2026,401.45,398.0,398.7,381.0,382.85,382.2,386.84,"1,04,54,299","4,04,41,09,585.95","1,96,474","64,33,804",61.54
VBL,EQ,20-Mar-2026,404.65,406.0,409.65,400.0,401.8,401.45,403.84,"55,24,922","2,23,11,65,150.60","63,712","32,25,074",58.37
VBL,EQ,19-Mar-2026,415.1,410.25,410.45,403.3,405.85,404.65,407.04,"56,44,420","2,29,74,84,245.65","66,038","32,23,607",57.11
VBL,EQ,18-Mar-2026,406.35,410.0,418.0,408.3,415.5,415.1,414.03,"63,77,212","2,64,03,66,743.10","74,192","31,95,209",50.10
VBL,EQ,17-Mar-2026,407.15,410.75,411.1,402.5,406.95,406.35,406.3,"44,89,728","1,82,41,87,582.30","93,550","24,07,502",53.62
VBL,EQ,16-Mar-2026,401.3,401.6,416.4,401.1,407.0,407.15,408.2,"80,27,378","3,27,67,43,989.95","1,10,462","33,00,957",41.12
VBL,EQ,13-Mar-2026,411.05,410.0,418.55,400.45,401.5,401.3,408.49,"76,64,431","3,13,08,26,198.75","1,25,568","35,75,835",46.65
VBL,EQ,12-Mar-2026,431.25,432.0,432.0,410.0,410.75,411.05,415.25,"1,23,25,188","5,11,80,12,878.00","1,82,072","68,49,377",55.57
VBL,EQ,11-Mar-2026,436.5,437.9,441.8,430.0,430.25,431.25,436.32,"75,99,571","3,31,58,24,078.15","61,670","50,63,886",66.63
VBL,EQ,10-Mar-2026,437.75,444.7,444.7,434.1,438.5,436.5,438.53,"33,17,809","1,45,49,55,197.40","46,698","18,29,036",55.13
VBL,EQ,09-Mar-2026,447.65,444.0,444.0,433.35,439.9,437.75,437.24,"38,62,525","1,68,88,66,810.05","95,826","20,36,050",52.71
