symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VEDL,EQ,25-Mar-2026,651.6,661.0,673.8,659.0,671.0,669.65,668.37,"1,29,26,445","8,63,96,91,023.35","1,58,918","68,34,313",52.87
VEDL,EQ,24-Mar-2026,645.75,664.0,664.0,643.55,653.0,651.6,651.91,"1,42,86,858","9,31,38,02,067.70","1,44,948","66,86,520",46.80
VEDL,EQ,23-Mar-2026,672.2,660.0,660.9,634.25,644.6,645.75,642.71,"2,19,99,651","14,13,93,34,848.00","2,79,691","1,02,77,768",46.72
VEDL,EQ,20-Mar-2026,665.35,670.0,688.15,664.4,667.3,672.2,674.29,"2,59,93,024","17,52,69,62,408.75","1,55,050","1,64,75,019",63.38
VEDL,EQ,19-Mar-2026,679.0,667.0,688.7,660.4,669.2,665.35,674.59,"1,38,40,558","9,33,67,27,770.95","2,25,219","53,50,836",38.66
VEDL,EQ,18-Mar-2026,699.35,700.0,700.0,674.5,678.0,679.0,684.14,"1,12,27,748","7,68,13,06,307.20","1,53,875","49,00,749",43.65
VEDL,EQ,17-Mar-2026,685.6,689.7,702.35,678.4,700.0,699.35,692.1,"95,86,258","6,63,46,48,856.00","1,27,542","37,47,832",39.10
VEDL,EQ,16-Mar-2026,689.55,688.0,697.5,677.25,685.0,685.6,686.74,"1,11,12,301","7,63,12,25,946.30","1,74,533","41,75,348",37.57
VEDL,EQ,13-Mar-2026,719.6,714.5,715.5,684.45,687.9,689.55,693.05,"1,54,16,801","10,68,46,55,462.15","2,45,610","69,01,447",44.77
VEDL,EQ,12-Mar-2026,721.55,730.25,730.3,704.55,721.0,719.6,714.38,"1,01,80,516","7,27,27,11,059.85","1,39,303","32,77,049",32.19
VEDL,EQ,11-Mar-2026,722.0,727.6,743.5,715.0,719.0,721.55,730.1,"1,59,06,006","11,61,29,92,936.95","1,39,335","69,34,443",43.60
VEDL,EQ,10-Mar-2026,709.4,720.0,723.95,703.1,722.85,722.0,715.36,"1,49,50,497","10,69,49,29,995.50","1,19,709","71,98,720",48.15
VEDL,EQ,09-Mar-2026,721.0,709.05,713.25,698.0,709.45,709.4,706.24,"1,01,05,473","7,13,68,81,052.95","1,54,594","37,63,781",37.24
VEDL,EQ,06-Mar-2026,711.25,712.1,729.3,701.7,722.5,721.0,720.71,"1,34,68,762","9,70,70,57,627.15","1,38,314","59,41,392",44.11
VEDL,EQ,05-Mar-2026,701.0,706.45,737.9,706.0,713.0,711.25,721.81,"2,20,92,809","15,94,67,37,785.55","2,67,166","81,90,657",37.07
VEDL,EQ,04-Mar-2026,723.35,710.1,718.75,691.9,702.25,701.0,701.27,"1,46,69,674","10,28,73,92,238.30","1,97,639","65,49,714",44.65
VEDL,EQ,02-Mar-2026,718.4,695.0,731.0,695.0,723.0,723.35,719.48,"1,32,68,756","9,54,65,49,478.60","1,45,820","52,32,136",39.43
VEDL,EQ,27-Feb-2026,737.45,734.8,734.8,715.0,716.5,718.4,725.1,"1,25,43,859","9,09,55,23,179.40","1,21,423","71,86,927",57.29
VEDL,EQ,26-Feb-2026,727.8,733.05,738.35,725.2,737.5,737.45,732.81,"1,38,22,953","10,12,96,23,490.65","1,46,589","55,76,095",40.34
VEDL,EQ,25-Feb-2026,695.1,706.4,732.35,706.4,728.5,727.8,723.9,"2,36,66,523","17,13,21,76,038.40","2,67,441","92,15,200",38.94
VEDL,EQ,24-Feb-2026,681.25,678.5,698.9,676.0,698.5,695.1,688.46,"1,07,30,605","7,38,75,39,599.90","1,26,555","50,43,241",47.00
VEDL,EQ,23-Feb-2026,682.45,695.0,695.75,670.3,679.5,681.25,682.71,"1,07,62,317","7,34,75,82,690.55","1,22,948","54,15,079",50.32
VEDL,EQ,20-Feb-2026,676.15,675.7,683.45,672.55,682.2,682.45,680.17,"68,71,777","4,67,39,82,369.05","68,802","37,67,866",54.83
VEDL,EQ,19-Feb-2026,678.0,683.45,688.8,673.75,676.9,676.15,679.93,"81,13,467","5,51,65,71,919.95","92,844","34,99,829",43.14
VEDL,EQ,18-Feb-2026,668.2,670.0,678.85,668.3,677.0,678.0,675.72,"79,02,530","5,33,98,60,567.75","78,155","40,36,047",51.07
VEDL,EQ,17-Feb-2026,679.8,679.8,680.0,660.3,667.3,668.2,667.05,"1,00,70,194","6,71,73,71,274.95","1,16,939","43,22,229",42.92
VEDL,EQ,16-Feb-2026,673.65,669.0,681.45,665.25,679.8,679.8,675.51,"63,87,272","4,31,46,48,968.35","74,141","28,96,952",45.36
VEDL,EQ,13-Feb-2026,702.75,685.0,685.0,662.55,673.9,673.65,673.86,"1,58,68,021","10,69,27,74,984.95","1,95,855","76,48,092",48.20
VEDL,EQ,12-Feb-2026,701.15,701.15,709.0,698.0,702.4,702.75,703.52,"87,35,305","6,14,54,73,177.35","96,748","37,29,681",42.70
VEDL,EQ,11-Feb-2026,690.15,695.0,705.0,689.5,703.6,701.15,696.23,"1,11,46,383","7,76,04,79,360.70","1,23,312","47,60,584",42.71
VEDL,EQ,10-Feb-2026,679.75,686.0,692.75,678.0,687.3,690.15,686.35,"1,06,05,218","7,27,88,43,248.65","1,51,611","49,35,338",46.54
VEDL,EQ,09-Feb-2026,671.05,682.0,686.1,670.9,678.15,679.75,677.8,"1,09,04,101","7,39,08,00,010.30","1,74,958","50,99,565",46.77
VEDL,EQ,06-Feb-2026,655.2,643.0,673.35,640.25,666.0,671.05,659.24,"1,68,66,400","11,11,89,69,990.60","1,73,175","69,71,910",41.34
VEDL,EQ,05-Feb-2026,687.8,660.05,665.3,644.2,655.7,655.2,653.35,"1,82,34,038","11,91,32,93,831.25","2,03,424","62,34,356",34.19
VEDL,EQ,04-Feb-2026,675.65,680.0,693.95,677.6,688.3,687.8,688.42,"1,33,19,058","9,16,90,60,981.60","1,79,112","58,50,349",43.92
VEDL,EQ,03-Feb-2026,660.65,695.0,700.0,653.55,676.0,675.65,671.59,"2,11,24,257","14,18,67,37,357.10","2,24,334","79,65,929",37.71
