symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
VOLTAS,EQ,22-Jan-2025,"1,504.35","1,503.70","1,511.90","1,465.00","1,485.60","1,487.05","1,485.55","8,42,352","1,25,13,57,407.65","77,108","4,37,685",51.96
VOLTAS,EQ,23-Jan-2025,"1,487.05","1,479.00","1,531.95","1,464.50","1,497.80","1,497.65","1,505.20","10,07,459","1,51,64,28,570.00","65,209","5,20,924",51.71
VOLTAS,EQ,24-Jan-2025,"1,497.65","1,500.00","1,500.00","1,448.10","1,457.35","1,456.60","1,466.85","13,81,920","2,02,70,74,698.75","90,340","7,64,303",55.31
VOLTAS,EQ,27-Jan-2025,"1,456.60","1,450.00","1,452.25","1,410.00","1,417.25","1,418.75","1,420.90","7,36,721","1,04,68,06,203.10","59,572","3,74,068",50.77
VOLTAS,EQ,28-Jan-2025,"1,418.75","1,415.15","1,452.35","1,405.70","1,431.15","1,430.95","1,433.66","6,42,824","92,15,93,071.65","58,046","2,72,766",42.43
VOLTAS,EQ,29-Jan-2025,"1,430.95","1,424.15","1,483.55","1,418.55","1,478.00","1,474.10","1,460.21","4,54,464","66,36,11,152.35","39,154","1,06,227",23.37
VOLTAS,EQ,30-Jan-2025,"1,474.10","1,430.00","1,430.00","1,262.40","1,271.00","1,269.30","1,302.88","1,14,56,156","14,92,60,31,751.15","2,99,725","35,89,286",31.33
VOLTAS,EQ,31-Jan-2025,"1,269.30","1,269.30","1,283.60","1,239.05","1,261.85","1,260.85","1,259.38","50,32,200","6,33,74,59,102.05","2,15,283","20,83,071",41.39
VOLTAS,EQ,01-Feb-2025,"1,260.85","1,270.00","1,331.80","1,135.00","1,320.00","1,323.95","1,282.61","53,71,015","6,88,89,01,143.10","1,79,512","16,00,462",29.8
VOLTAS,EQ,03-Feb-2025,"1,323.95","1,315.10","1,406.60","1,276.65","1,405.00","1,401.30","1,382.02","72,08,353","9,96,20,67,777.20","2,57,793","29,71,567",41.22
VOLTAS,EQ,04-Feb-2025,"1,401.30","1,421.25","1,445.00","1,371.05","1,396.95","1,400.60","1,406.71","40,17,475","5,65,14,04,032.85","2,23,515","17,12,221",42.62
VOLTAS,EQ,05-Feb-2025,"1,400.60","1,400.00","1,437.35","1,388.35","1,397.90","1,394.50","1,409.48","16,25,191","2,29,06,66,586.05","1,13,282","7,78,012",47.87
VOLTAS,EQ,06-Feb-2025,"1,394.50","1,400.00","1,414.55","1,344.75","1,352.05","1,351.70","1,366.46","18,70,141","2,55,54,81,778.60","1,06,614","9,40,661",50.3
VOLTAS,EQ,07-Feb-2025,"1,351.70","1,330.00","1,388.00","1,322.00","1,385.60","1,383.25","1,363.70","15,97,612","2,17,86,63,405.75","1,02,448","5,40,900",33.86
VOLTAS,EQ,10-Feb-2025,"1,383.25","1,383.25","1,389.70","1,353.55","1,362.75","1,368.40","1,368.20","4,80,296","65,71,42,816.95","47,132","1,72,928",36.0
VOLTAS,EQ,11-Feb-2025,"1,368.40","1,361.10","1,365.45","1,287.00","1,295.00","1,292.65","1,306.95","13,96,393","1,82,50,17,747.75","80,069","6,65,183",47.64
VOLTAS,EQ,12-Feb-2025,"1,292.65","1,289.80","1,312.60","1,265.00","1,299.25","1,299.15","1,295.59","14,80,614","1,91,82,73,700.20","1,06,397","7,03,928",47.54
VOLTAS,EQ,13-Feb-2025,"1,299.15","1,300.00","1,306.75","1,245.55","1,248.00","1,248.55","1,271.28","20,04,213","2,54,79,24,658.80","1,33,573","10,71,182",53.45
VOLTAS,EQ,14-Feb-2025,"1,248.55","1,250.00","1,264.00","1,202.20","1,211.35","1,213.85","1,224.18","10,20,091","1,24,87,79,733.00","74,148","3,69,710",36.24
VOLTAS,EQ,17-Feb-2025,"1,213.85","1,200.00","1,244.95","1,182.70","1,244.95","1,241.60","1,222.06","9,87,187","1,20,64,03,009.40","66,916","3,37,784",34.22
