symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
WIPRO,EQ,25-Mar-2026,188.74,189.0,190.62,187.9,189.18,189.05,189.5,"1,38,62,888","2,62,70,31,512.41","1,09,586","69,84,167",50.38
WIPRO,EQ,24-Mar-2026,187.54,191.5,191.5,187.8,188.94,188.74,189.31,"1,18,43,191","2,24,19,83,923.98","1,10,863","53,14,843",44.88
WIPRO,EQ,23-Mar-2026,190.9,189.41,190.62,187.0,187.6,187.54,188.66,"1,20,14,988","2,26,67,53,419.91","1,20,117","56,92,997",47.38
WIPRO,EQ,20-Mar-2026,188.41,191.19,192.3,188.41,190.9,190.9,190.5,"2,43,95,304","4,64,72,39,937.97","1,11,477","1,26,37,524",51.80
WIPRO,EQ,19-Mar-2026,194.3,191.98,192.79,187.68,188.87,188.41,189.5,"1,36,85,195","2,59,33,63,791.01","1,49,800","65,12,815",47.59
WIPRO,EQ,18-Mar-2026,191.32,193.0,198.0,192.69,194.22,194.3,196.02,"2,45,29,164","4,80,82,46,184.36","1,44,511","1,12,83,530",46.00
WIPRO,EQ,17-Mar-2026,195.11,195.0,195.11,188.25,191.1,191.32,190.83,"2,17,78,468","4,15,59,54,046.49","1,81,081","71,72,041",32.93
WIPRO,EQ,16-Mar-2026,197.58,196.24,198.29,192.77,194.05,195.11,195.06,"1,26,31,649","2,46,39,51,140.92","1,20,537","53,29,423",42.19
WIPRO,EQ,13-Mar-2026,202.51,200.6,202.07,196.04,197.75,197.58,198.59,"1,26,29,652","2,50,80,92,237.01","1,21,034","67,00,174",53.05
WIPRO,EQ,12-Mar-2026,202.23,201.06,203.8,199.7,201.96,202.51,202.11,"1,90,42,475","3,84,87,50,619.00","1,35,021","1,12,12,760",58.88
WIPRO,EQ,11-Mar-2026,200.93,202.69,205.95,201.58,201.8,202.23,203.0,"2,91,99,002","5,92,75,36,706.91","1,51,769","1,65,33,301",56.62
WIPRO,EQ,10-Mar-2026,198.75,200.5,201.31,197.42,200.99,200.93,199.46,"1,29,82,340","2,58,94,48,748.31","1,10,516","63,56,020",48.96
WIPRO,EQ,09-Mar-2026,195.4,194.0,199.5,193.03,198.6,198.75,196.93,"2,58,62,728","5,09,32,38,385.04","1,28,441","1,44,63,173",55.92
WIPRO,EQ,06-Mar-2026,195.68,195.6,198.93,195.0,196.0,195.4,196.73,"90,22,914","1,77,51,05,200.49","94,511","38,74,135",42.94
WIPRO,EQ,05-Mar-2026,195.55,196.4,196.97,193.22,195.8,195.68,194.92,"1,31,49,281","2,56,31,03,270.46","1,16,136","59,65,070",45.36
WIPRO,EQ,04-Mar-2026,198.57,196.01,197.12,194.51,195.11,195.55,195.63,"1,95,62,075","3,82,69,99,198.57","1,93,797","1,00,12,059",51.18
WIPRO,EQ,02-Mar-2026,200.96,195.0,200.36,194.7,198.75,198.57,198.37,"1,04,86,866","2,08,02,85,715.84","1,61,009","36,02,201",34.35
WIPRO,EQ,27-Feb-2026,201.08,204.0,204.0,200.05,200.98,200.96,201.53,"1,32,88,519","2,67,80,97,948.63","1,13,529","65,18,180",49.05
WIPRO,EQ,26-Feb-2026,201.92,203.71,204.63,199.12,201.0,201.08,201.45,"1,43,78,069","2,89,64,00,453.33","1,55,229","52,86,193",36.77
WIPRO,EQ,25-Feb-2026,200.14,201.31,205.48,201.31,201.79,201.92,203.23,"1,39,79,068","2,84,09,45,214.89","1,40,141","55,75,400",39.88
WIPRO,EQ,24-Feb-2026,205.89,203.0,203.29,199.36,200.49,200.14,200.72,"2,50,36,686","5,02,54,74,889.20","2,47,920","1,09,00,137",43.54
WIPRO,EQ,23-Feb-2026,209.86,210.36,211.74,204.28,205.9,205.89,206.25,"2,09,46,229","4,32,02,49,654.42","2,17,361","89,26,325",42.62
WIPRO,EQ,20-Feb-2026,211.21,209.7,211.96,208.25,210.03,209.86,210.08,"1,76,90,420","3,71,63,53,912.40","1,63,649","81,83,677",46.26
WIPRO,EQ,19-Feb-2026,211.95,214.0,215.44,210.4,210.72,211.21,212.77,"1,41,51,588","3,01,09,68,870.62","1,02,693","45,79,886",32.36
WIPRO,EQ,18-Feb-2026,215.69,216.2,216.4,210.26,212.15,211.95,211.74,"2,26,79,760","4,80,22,86,730.38","2,01,305","72,99,713",32.19
WIPRO,EQ,17-Feb-2026,213.26,213.26,219.39,212.26,215.85,215.69,216.29,"2,69,41,553","5,82,72,21,311.40","1,74,468","89,61,417",33.26
WIPRO,EQ,16-Feb-2026,214.09,214.62,216.91,210.11,213.19,213.26,212.31,"2,07,54,327","4,40,62,62,164.20","1,41,937","1,00,79,211",48.56
WIPRO,EQ,13-Feb-2026,219.08,210.65,216.48,209.01,214.38,214.09,212.96,"2,37,21,186","5,05,16,42,828.09","2,23,527","69,05,411",29.11
WIPRO,EQ,12-Feb-2026,229.81,226.2,226.26,218.5,218.8,219.08,220.27,"4,08,99,346","9,00,86,99,673.62","3,48,088","1,98,44,854",48.52
WIPRO,EQ,11-Feb-2026,231.47,231.47,233.0,229.5,229.9,229.81,230.6,"78,74,912","1,81,59,19,099.56","96,034","40,47,635",51.40
WIPRO,EQ,10-Feb-2026,230.08,229.98,232.86,227.2,231.29,231.47,230.57,"1,24,35,622","2,86,72,56,204.31","1,28,441","54,01,805",43.44
WIPRO,EQ,09-Feb-2026,230.72,231.85,232.93,229.61,230.1,230.08,230.5,"91,12,474","2,10,04,23,973.57","1,42,928","53,50,753",58.72
WIPRO,EQ,06-Feb-2026,233.39,232.93,232.93,228.6,230.4,230.72,230.42,"1,22,79,085","2,82,93,40,341.01","1,29,896","64,83,358",52.80
WIPRO,EQ,05-Feb-2026,233.34,233.34,235.57,231.7,233.18,233.39,233.6,"1,01,02,736","2,36,00,14,960.27","1,03,605","45,35,185",44.89
WIPRO,EQ,04-Feb-2026,242.69,235.91,235.92,226.26,233.5,233.34,232.66,"2,59,95,324","6,04,81,03,593.33","2,80,243","1,16,40,980",44.78
WIPRO,EQ,03-Feb-2026,242.3,259.21,259.89,242.28,242.56,242.69,245.96,"2,59,15,412","6,37,42,01,212.56","2,16,052","1,41,50,979",54.60
WIPRO,EQ,02-Feb-2026,241.8,244.0,244.08,239.29,242.5,242.3,241.63,"1,23,35,721","2,98,06,71,194.71","1,11,976","73,14,158",59.29
WIPRO,EQ,01-Feb-2026,236.9,236.8,247.23,235.44,241.93,241.8,243.26,"2,10,33,580","5,11,66,87,974.78","1,32,501","73,59,968",34.99
WIPRO,EQ,30-Jan-2026,239.8,238.0,238.0,235.3,236.45,236.9,236.7,"1,13,62,317","2,68,94,18,720.10","99,619","81,72,447",71.93
