symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
YESBANK,EQ,25-Mar-2026,18.07,18.22,18.58,18.2,18.51,18.47,18.48,"8,90,76,218","1,64,56,91,444.06","79,643","3,88,07,695",43.57
YESBANK,EQ,24-Mar-2026,17.65,18.14,18.18,17.86,18.13,18.07,18.03,"9,62,68,443","1,73,52,74,351.47","88,589","3,33,91,131",34.69
YESBANK,EQ,23-Mar-2026,18.58,18.49,18.49,17.56,17.63,17.65,17.88,"13,55,53,006","2,42,32,81,614.72","1,24,769","6,48,64,431",47.85
YESBANK,EQ,20-Mar-2026,18.39,18.53,18.99,18.51,18.56,18.58,18.7,"10,29,80,717","1,92,56,42,171.52","78,662","5,18,73,139",50.37
YESBANK,EQ,19-Mar-2026,18.94,18.56,18.74,18.28,18.45,18.39,18.49,"7,33,45,327","1,35,63,86,251.06","89,852","2,75,04,136",37.50
YESBANK,EQ,18-Mar-2026,18.64,18.73,18.97,18.66,18.97,18.94,18.86,"6,57,72,319","1,24,07,73,765.33","71,489","2,89,84,874",44.07
YESBANK,EQ,17-Mar-2026,18.54,18.55,18.73,18.45,18.6,18.64,18.59,"8,80,04,499","1,63,55,88,937.06","88,010","3,30,27,094",37.53
YESBANK,EQ,16-Mar-2026,18.8,18.61,18.84,18.19,18.51,18.54,18.45,"12,53,21,996","2,31,23,33,838.64","1,26,339","4,71,10,978",37.59
YESBANK,EQ,13-Mar-2026,19.31,19.22,19.25,18.75,18.81,18.8,18.94,"9,40,02,650","1,78,02,48,569.15","1,19,476","4,38,94,018",46.69
YESBANK,EQ,12-Mar-2026,19.53,19.45,19.52,19.02,19.34,19.31,19.26,"8,71,47,333","1,67,84,23,584.39","95,701","3,18,71,793",36.57
YESBANK,EQ,11-Mar-2026,19.91,19.91,20.04,19.48,19.5,19.53,19.69,"6,99,22,613","1,37,69,39,570.84","89,682","3,62,26,283",51.81
YESBANK,EQ,10-Mar-2026,19.65,19.86,20.04,19.73,19.96,19.91,19.89,"7,82,17,318","1,55,57,51,878.93","77,094","3,20,12,195",40.93
YESBANK,EQ,09-Mar-2026,20.12,19.89,19.89,19.3,19.67,19.65,19.51,"10,68,87,032","2,08,53,14,315.60","1,06,377","3,85,60,060",36.08
