symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ZYDUSLIFE,EQ,22-Jan-2025,985.90,986.00,989.25,963.75,978.00,978.50,975.80,"5,77,713","56,37,30,849.70","38,644","2,99,022",51.76
ZYDUSLIFE,EQ,23-Jan-2025,978.50,980.25,995.95,975.95,989.75,989.15,987.52,"5,23,186","51,66,58,156.65","20,311","2,85,856",54.64
ZYDUSLIFE,EQ,24-Jan-2025,989.15,989.05,989.05,955.00,959.30,957.60,964.25,"7,80,860","75,29,47,313.15","42,226","1,91,998",24.59
ZYDUSLIFE,EQ,27-Jan-2025,957.60,950.00,951.70,915.55,918.95,922.60,932.46,"7,76,626","72,41,69,139.80","41,591","3,80,552",49.0
ZYDUSLIFE,EQ,28-Jan-2025,922.60,922.60,922.60,891.15,911.90,910.25,904.32,"11,46,379","1,03,66,94,347.50","52,253","4,58,566",40.0
ZYDUSLIFE,EQ,29-Jan-2025,910.25,910.25,939.50,910.25,934.95,932.15,930.14,"7,65,465","71,19,90,959.80","37,646","2,96,590",38.75
ZYDUSLIFE,EQ,30-Jan-2025,932.15,935.00,956.95,930.50,950.85,953.45,949.04,"8,44,983","80,19,20,291.05","43,438","3,24,674",38.42
ZYDUSLIFE,EQ,31-Jan-2025,953.45,957.90,975.00,953.80,970.00,970.25,968.42,"11,34,883","1,09,90,40,709.40","29,354","7,49,688",66.06
ZYDUSLIFE,EQ,01-Feb-2025,970.25,970.25,980.65,953.35,980.65,975.80,967.99,"2,70,706","26,20,39,505.05","13,975","80,127",29.6
ZYDUSLIFE,EQ,03-Feb-2025,975.80,972.00,978.75,957.20,962.75,962.70,964.94,"5,09,847","49,19,72,198.45","32,084","2,57,720",50.55
ZYDUSLIFE,EQ,04-Feb-2025,962.70,963.05,975.00,960.20,971.35,974.00,969.39,"4,49,665","43,59,01,376.50","22,383","1,80,849",40.22
ZYDUSLIFE,EQ,05-Feb-2025,974.00,977.00,986.75,945.00,980.85,977.00,970.92,"36,96,679","3,58,91,95,994.45","1,31,494","6,71,564",18.17
ZYDUSLIFE,EQ,06-Feb-2025,977.00,984.00,"1,026.55",976.00,"1,008.00","1,008.20","1,008.64","57,75,455","5,82,53,44,617.35","1,31,829","16,24,289",28.12
