symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
APOLLOHOSP,EQ,22-Jan-2025,"6,919.15","6,908.00","6,941.95","6,829.90","6,900.00","6,892.90","6,880.19","2,47,081","1,69,99,64,887.70","41,319","1,20,385",48.72
APOLLOHOSP,EQ,23-Jan-2025,"6,892.90","6,892.25","6,963.10","6,823.20","6,941.85","6,920.85","6,901.38","2,71,085","1,87,08,59,493.15","51,902","1,42,706",52.64
APOLLOHOSP,EQ,24-Jan-2025,"6,920.85","6,915.25","6,915.25","6,728.45","6,742.00","6,745.05","6,792.20","3,17,194","2,15,44,44,036.50","47,547","1,38,408",43.64
APOLLOHOSP,EQ,27-Jan-2025,"6,745.05","6,700.00","6,729.80","6,674.35","6,698.40","6,695.45","6,704.07","1,91,705","1,28,52,03,027.60","34,020","1,11,409",58.11
APOLLOHOSP,EQ,28-Jan-2025,"6,695.45","6,699.00","6,747.50","6,635.05","6,720.10","6,708.95","6,702.02","2,02,194","1,35,51,09,159.65","37,212","1,06,760",52.80
APOLLOHOSP,EQ,29-Jan-2025,"6,708.95","6,741.00","6,798.75","6,697.25","6,772.05","6,784.30","6,760.37","1,46,288","98,89,60,961.60","32,729","62,838",42.95
APOLLOHOSP,EQ,30-Jan-2025,"6,784.30","6,786.25","6,895.00","6,770.35","6,840.00","6,824.65","6,835.40","2,04,648","1,39,88,51,821.35","38,769","75,647",36.96
APOLLOHOSP,EQ,31-Jan-2025,"6,824.65","6,822.25","6,880.00","6,789.15","6,832.00","6,810.50","6,822.10","1,87,712","1,28,05,89,941.30","25,591","1,20,692",64.30
APOLLOHOSP,EQ,01-Feb-2025,"6,810.50","6,810.30","6,940.00","6,810.25","6,825.00","6,841.10","6,875.22","1,17,096","80,50,61,258.60","17,817","21,254",18.15
APOLLOHOSP,EQ,03-Feb-2025,"6,841.10","6,781.60","6,886.75","6,724.95","6,792.00","6,798.65","6,799.98","2,50,589","1,70,40,00,317.95","47,631","1,28,502",51.28
APOLLOHOSP,EQ,04-Feb-2025,"6,798.65","6,785.00","6,816.60","6,706.30","6,786.00","6,792.20","6,760.29","2,23,642","1,51,18,83,906.40","36,953","1,22,708",54.87
APOLLOHOSP,EQ,05-Feb-2025,"6,792.20","6,826.15","7,008.00","6,796.45","6,958.00","6,944.65","6,946.68","3,89,639","2,70,66,97,294.20","46,679","2,16,718",55.62
APOLLOHOSP,EQ,06-Feb-2025,"6,944.65","6,837.40","6,925.00","6,785.55","6,880.00","6,874.25","6,865.72","3,34,197","2,29,45,04,038.55","47,606","1,27,861",38.26
APOLLOHOSP,EQ,07-Feb-2025,"6,874.25","6,921.45","6,929.85","6,750.00","6,804.00","6,790.55","6,829.44","2,59,335","1,77,11,12,959.30","52,962","1,30,890",50.47
APOLLOHOSP,EQ,10-Feb-2025,"6,790.55","6,817.20","6,834.35","6,686.00","6,792.95","6,761.25","6,741.21","2,13,808","1,44,13,24,013.00","46,186","1,08,542",50.77
APOLLOHOSP,EQ,11-Feb-2025,"6,761.25","6,799.90","6,815.00","6,282.50","6,314.00","6,317.35","6,406.94","17,28,723","11,07,58,33,041.55","2,35,653","8,60,243",49.76
APOLLOHOSP,EQ,12-Feb-2025,"6,317.35","6,349.60","6,494.05","6,215.00","6,381.00","6,374.55","6,366.90","11,33,586","7,21,74,25,763.65","1,49,886","5,65,848",49.92
APOLLOHOSP,EQ,13-Feb-2025,"6,374.55","6,372.25","6,425.00","6,344.45","6,365.95","6,372.20","6,380.27","6,36,246","4,05,94,21,477.95","86,464","4,19,596",65.95
APOLLOHOSP,EQ,14-Feb-2025,"6,372.20","6,377.25","6,379.90","6,230.60","6,256.75","6,270.50","6,279.80","3,20,088","2,01,00,88,567.35","59,915","1,68,674",52.70
