symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AUBANK,EQ,22-Jan-2025,606.70,606.00,608.45,599.05,605.15,604.40,603.62,"13,67,058","82,51,86,374.00","64,798","6,61,804",48.41
AUBANK,EQ,23-Jan-2025,604.40,604.00,605.35,572.60,578.00,582.40,590.02,"19,40,763","1,14,50,80,797.80","49,627","5,66,577",29.19
AUBANK,EQ,24-Jan-2025,582.40,578.45,609.00,567.50,588.00,594.65,588.65,"50,80,264","2,99,04,82,061.85","1,10,750","4,45,475",8.77
AUBANK,EQ,27-Jan-2025,594.65,560.00,570.00,544.00,563.90,563.45,555.92,"97,81,045","5,43,74,79,074.15","1,50,762","41,82,416",42.76
AUBANK,EQ,28-Jan-2025,563.45,574.00,597.25,566.55,588.80,588.70,585.09,"69,84,979","4,08,68,57,188.10","96,106","26,38,755",37.78
AUBANK,EQ,29-Jan-2025,588.70,588.00,603.60,588.00,596.20,595.95,596.54,"28,90,746","1,72,44,44,859.15","90,667","11,85,379",41.01
AUBANK,EQ,30-Jan-2025,595.95,596.20,607.00,585.00,600.00,596.15,596.81,"68,91,318","4,11,28,13,166.80","2,11,912","34,01,123",49.35
AUBANK,EQ,31-Jan-2025,596.15,595.00,603.50,589.25,603.00,600.95,596.69,"27,34,757","1,63,18,14,933.55","1,04,060","15,00,918",54.88
AUBANK,EQ,01-Feb-2025,600.95,605.00,608.00,593.55,600.70,601.05,601.98,"10,38,048","62,48,87,786.85","31,437","2,72,634",26.26
AUBANK,EQ,03-Feb-2025,601.05,595.00,610.15,591.40,609.00,608.90,604.77,"18,44,807","1,11,56,81,825.95","59,264","8,33,070",45.16
AUBANK,EQ,04-Feb-2025,608.90,608.90,617.95,596.05,598.30,599.85,602.67,"28,15,689","1,69,69,35,021.55","88,715","13,82,019",49.08
AUBANK,EQ,05-Feb-2025,599.85,604.00,604.00,591.50,595.30,595.60,595.66,"18,69,312","1,11,34,69,909.75","38,454","10,69,030",57.19
AUBANK,EQ,06-Feb-2025,595.60,597.05,600.00,582.00,587.45,586.25,587.09,"13,71,142","80,49,87,168.70","48,162","5,61,180",40.93
AUBANK,EQ,07-Feb-2025,586.25,587.45,604.00,582.55,591.00,592.10,593.39,"34,91,670","2,07,19,11,077.20","68,895","17,38,405",49.79
AUBANK,EQ,10-Feb-2025,592.10,591.00,591.00,575.10,580.00,579.75,581.51,"10,64,051","61,87,55,462.85","37,178","5,14,682",48.37
AUBANK,EQ,11-Feb-2025,579.75,580.00,584.00,570.00,571.90,570.70,575.21,"34,45,667","1,98,19,96,559.20","84,226","23,91,555",69.41
AUBANK,EQ,12-Feb-2025,570.70,571.50,571.50,551.15,555.35,554.40,557.16,"42,64,400","2,37,59,42,241.70","73,195","26,51,583",62.18
AUBANK,EQ,13-Feb-2025,554.40,555.35,558.00,544.70,552.00,553.05,552.64,"22,84,376","1,26,24,31,794.90","74,629","11,00,650",48.18
AUBANK,EQ,14-Feb-2025,553.05,554.05,559.50,530.75,535.45,534.90,537.15,"31,73,724","1,70,47,61,821.40","76,249","19,61,775",61.81
AUBANK,EQ,17-Feb-2025,534.90,534.95,535.15,516.70,522.55,522.05,523.36,"31,80,759","1,66,46,68,948.65","77,619","18,17,045",57.13
AUBANK,EQ,18-Feb-2025,522.05,523.00,524.60,499.00,504.00,502.40,508.90,"88,09,316","4,48,30,63,787.70","82,521","58,63,350",66.56
AUBANK,EQ,19-Feb-2025,502.40,503.00,528.65,492.70,525.85,525.65,505.83,"1,12,18,538","5,67,46,54,735.35","94,856","72,14,071",64.30
AUBANK,EQ,20-Feb-2025,525.65,525.00,538.95,521.65,535.00,535.05,533.46,"10,68,810","57,01,70,061.30","29,261","3,16,536",29.62
AUBANK,EQ,21-Feb-2025,535.05,534.95,540.05,524.55,535.90,537.60,534.71,"17,90,208","95,72,37,391.65","37,701","9,02,417",50.41
AUBANK,EQ,24-Feb-2025,537.60,535.90,539.90,530.25,534.95,533.00,535.09,"10,90,810","58,36,84,888.60","34,497","3,30,918",30.34
AUBANK,EQ,25-Feb-2025,533.00,535.70,536.65,522.40,524.20,524.25,527.65,"10,93,537","57,70,09,187.50","30,950","4,48,961",41.06
AUBANK,EQ,27-Feb-2025,524.25,535.00,559.25,524.25,556.20,556.70,553.07,"94,52,200","5,22,77,41,871.15","1,84,276","31,13,834",32.94
AUBANK,EQ,28-Feb-2025,556.70,550.00,569.00,549.15,565.20,565.70,560.19,"52,85,029","2,96,06,19,261.65","75,258","21,01,582",39.76
AUBANK,EQ,03-Mar-2025,565.70,565.45,568.50,551.65,557.70,557.60,558.04,"11,53,314","64,35,95,978.05","32,903","4,55,299",39.48
AUBANK,EQ,04-Mar-2025,557.60,550.05,554.80,546.50,547.30,548.35,550.28,"13,13,139","72,26,00,469.75","38,988","5,50,819",41.95
AUBANK,EQ,05-Mar-2025,548.35,548.40,551.45,541.25,546.45,546.45,545.80,"14,74,686","80,48,84,855.50","42,177","6,58,093",44.63
AUBANK,EQ,06-Mar-2025,546.45,554.00,557.35,548.60,553.50,553.20,552.93,"15,53,346","85,88,88,198.50","33,884","8,05,770",51.87
AUBANK,EQ,07-Mar-2025,553.20,553.50,554.65,540.20,543.70,544.30,548.29,"19,16,647","1,05,08,80,859.60","28,803","13,60,999",71.01
AUBANK,EQ,10-Mar-2025,544.30,543.70,551.50,537.00,537.00,538.85,544.02,"21,31,103","1,15,93,61,876.50","40,577","11,89,536",55.82
AUBANK,EQ,11-Mar-2025,538.85,531.85,531.85,513.65,523.00,522.10,520.15,"25,22,700","1,31,21,87,141.15","49,523","9,64,675",38.24
AUBANK,EQ,12-Mar-2025,522.10,522.85,523.90,499.50,508.40,507.20,506.93,"26,76,145","1,35,66,24,868.00","71,800","15,27,740",57.09
AUBANK,EQ,13-Mar-2025,507.20,508.40,514.40,501.00,502.70,502.85,506.05,"22,71,528","1,14,95,16,321.60","44,811","16,40,059",72.20
AUBANK,EQ,17-Mar-2025,502.85,503.70,505.40,489.45,492.05,491.80,495.12,"36,28,157","1,79,63,86,204.50","66,734","21,40,149",58.99
AUBANK,EQ,18-Mar-2025,491.80,495.80,507.40,478.35,506.70,504.00,494.14,"49,08,953","2,42,57,33,028.50","61,288","22,96,905",46.79
AUBANK,EQ,19-Mar-2025,504.00,506.00,530.50,505.50,525.45,525.80,521.44,"28,59,237","1,49,09,29,724.45","49,229","13,27,894",46.44
AUBANK,EQ,20-Mar-2025,525.80,525.05,534.35,510.10,524.90,525.25,523.15,"21,51,278","1,12,54,36,351.50","48,029","5,13,969",23.89
AUBANK,EQ,21-Mar-2025,525.25,527.90,545.60,525.65,542.50,542.80,538.48,"31,93,144","1,71,94,50,981.90","60,080","17,45,510",54.66
AUBANK,EQ,24-Mar-2025,542.80,543.45,555.55,542.15,549.80,550.05,550.45,"27,77,258","1,52,87,34,590.65","53,378","14,69,483",52.91
AUBANK,EQ,25-Mar-2025,550.05,551.90,561.35,550.00,557.00,557.90,556.09,"40,04,101","2,22,66,57,795.25","72,463","21,94,987",54.82
AUBANK,EQ,26-Mar-2025,557.90,565.00,580.35,563.55,574.50,573.75,574.36,"80,30,660","4,61,24,99,805.15","1,55,093","31,46,406",39.18
AUBANK,EQ,27-Mar-2025,573.75,569.55,573.75,544.20,556.00,554.40,554.67,"1,07,65,998","5,97,15,22,634.15","1,16,800","60,97,436",56.64
AUBANK,EQ,28-Mar-2025,554.40,559.00,562.10,530.75,532.00,534.60,546.29,"31,18,677","1,70,37,06,338.80","67,431","13,24,895",42.48
AUBANK,EQ,01-Apr-2025,534.60,532.90,543.50,528.05,531.00,529.90,533.90,"22,10,272","1,18,00,59,806.00","41,486","9,88,351",44.72
AUBANK,EQ,02-Apr-2025,529.90,535.00,540.60,521.65,539.60,539.50,533.32,"19,32,324","1,03,05,39,569.10","44,494","8,22,496",42.57
AUBANK,EQ,03-Apr-2025,539.50,531.00,565.70,531.00,562.00,563.45,558.22,"46,74,160","2,60,91,90,869.95","86,796","12,90,108",27.60
AUBANK,EQ,04-Apr-2025,563.45,559.85,559.85,544.70,554.00,552.10,552.64,"20,24,869","1,11,90,31,119.50","40,245","8,17,998",40.40
AUBANK,EQ,07-Apr-2025,552.10,515.00,552.95,513.50,543.00,541.70,542.92,"18,14,337","98,50,32,213.90","54,582","5,76,071",31.75
AUBANK,EQ,08-Apr-2025,541.70,550.00,552.50,543.05,548.00,545.60,546.14,"14,50,103","79,19,63,212.05","42,330","6,26,673",43.22
AUBANK,EQ,09-Apr-2025,545.60,548.00,557.85,540.00,554.00,554.30,549.17,"18,62,435","1,02,28,02,480.50","41,601","8,34,218",44.79
AUBANK,EQ,11-Apr-2025,554.30,560.00,564.85,550.85,557.10,557.10,555.43,"24,54,627","1,36,33,75,239.55","54,034","14,73,656",60.04
AUBANK,EQ,15-Apr-2025,557.10,565.00,579.10,553.25,575.90,576.00,568.78,"33,21,684","1,88,93,00,723.70","86,507","18,18,153",54.74
