symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AXISBANK,EQ,22-Jan-2025,970.20,975.75,975.75,954.00,959.60,959.30,961.50,"1,73,03,146","16,63,68,93,508.60","2,62,679","1,27,91,077",73.92
AXISBANK,EQ,23-Jan-2025,959.30,954.00,963.70,948.00,955.85,951.05,954.09,"2,46,49,522","23,51,79,48,467.20","2,83,192","1,94,49,021",78.90
AXISBANK,EQ,24-Jan-2025,951.05,948.00,961.80,946.10,948.55,948.50,954.12,"1,44,21,921","13,76,02,80,397.50","1,98,538","1,03,84,597",72.01
AXISBANK,EQ,27-Jan-2025,948.50,943.10,949.75,933.50,948.00,948.10,942.34,"1,27,13,296","11,98,02,23,331.30","2,94,483","91,96,628",72.34
AXISBANK,EQ,28-Jan-2025,948.10,960.00,993.85,958.20,983.25,983.80,981.75,"2,17,81,371","21,38,39,43,927.05","4,28,568","1,35,15,215",62.05
AXISBANK,EQ,29-Jan-2025,983.80,988.00,988.65,977.60,981.45,983.40,984.22,"1,11,75,206","10,99,88,99,821.60","1,77,081","87,44,871",78.25
AXISBANK,EQ,30-Jan-2025,983.40,984.65,991.40,974.80,986.45,984.70,984.81,"1,04,73,118","10,31,40,51,561.25","1,87,071","58,24,882",55.62
AXISBANK,EQ,31-Jan-2025,984.70,982.00,990.00,978.05,987.00,986.10,985.64,"90,36,312","8,90,65,92,145.85","1,58,111","69,98,768",77.45
AXISBANK,EQ,01-Feb-2025,986.10,989.50,"1,004.95",982.00,996.55,998.15,996.41,"48,30,391","4,81,30,66,148.55","1,34,756","24,70,573",51.15
AXISBANK,EQ,03-Feb-2025,998.15,987.10,"1,000.50",983.35,989.45,989.40,989.99,"71,24,605","7,05,32,94,721.85","2,01,657","49,23,830",69.11
AXISBANK,EQ,04-Feb-2025,989.40,994.00,"1,017.10",987.80,"1,012.95","1,015.30","1,009.27","1,60,58,171","16,20,69,64,527.65","2,97,717","1,15,31,224",71.81
AXISBANK,EQ,05-Feb-2025,"1,015.30","1,020.60","1,022.05","1,010.50","1,011.55","1,013.30","1,015.98","78,58,373","7,98,39,68,896.85","2,56,721","53,90,290",68.59
AXISBANK,EQ,06-Feb-2025,"1,013.30","1,012.00","1,021.85","1,010.05","1,021.40","1,020.70","1,016.10","58,15,563","5,90,91,78,103.05","1,39,771","32,10,373",55.20
AXISBANK,EQ,07-Feb-2025,"1,020.70","1,019.50","1,027.35","1,007.65","1,021.00","1,024.10","1,020.24","86,38,651","8,81,34,69,234.85","1,90,349","58,67,527",67.92
AXISBANK,EQ,10-Feb-2025,"1,024.10","1,021.00","1,026.75","1,006.20","1,011.90","1,011.75","1,012.32","39,60,565","4,00,93,71,917.30","1,25,235","27,49,694",69.43
AXISBANK,EQ,11-Feb-2025,"1,011.75","1,009.00","1,016.35","1,002.60","1,004.15","1,007.40","1,008.90","48,08,215","4,85,10,25,712.60","1,08,657","28,47,532",59.22
AXISBANK,EQ,12-Feb-2025,"1,007.40","1,000.00","1,010.65",984.00,"1,006.90","1,006.90","1,000.64","76,69,283","7,67,41,64,847.45","1,80,366","49,15,509",64.09
AXISBANK,EQ,13-Feb-2025,"1,006.90","1,003.00","1,017.45","1,001.05","1,008.50","1,008.20","1,010.25","63,48,246","6,41,33,30,470.40","2,21,502","45,30,392",71.36
AXISBANK,EQ,14-Feb-2025,"1,008.20","1,010.55","1,016.00",987.65,996.00,997.50,996.14,"53,75,755","5,35,49,95,567.15","1,39,366","36,92,004",68.68
AXISBANK,EQ,17-Feb-2025,997.50,992.45,999.65,978.05,995.00,992.95,985.88,"71,66,803","7,06,56,37,109.50","1,56,905","48,19,983",67.25
