symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BDL,EQ,22-Jan-2025,"1,280.40","1,276.00","1,280.30","1,196.65","1,222.00","1,217.10","1,226.70","12,20,946","1,49,77,29,192.50","75,852","4,32,655",35.44
BDL,EQ,23-Jan-2025,"1,217.10","1,208.00","1,303.25","1,191.55","1,294.00","1,290.70","1,275.13","17,06,823","2,17,64,17,978.85","86,477","4,27,177",25.03
BDL,EQ,24-Jan-2025,"1,290.70","1,294.00","1,300.55","1,235.05","1,235.05","1,241.20","1,255.45","7,75,369","97,34,35,774.60","46,662","1,85,994",23.99
BDL,EQ,27-Jan-2025,"1,241.20","1,215.60","1,218.75","1,173.10","1,195.00","1,204.55","1,194.80","8,70,074","1,03,95,67,258.20","53,122","3,20,803",36.87
BDL,EQ,28-Jan-2025,"1,204.55","1,200.00","1,243.90","1,136.50","1,215.00","1,212.05","1,194.41","13,99,136","1,67,11,38,573.90","87,567","2,56,990",18.37
BDL,EQ,29-Jan-2025,"1,212.05","1,218.50","1,256.00","1,208.05","1,234.00","1,229.45","1,237.15","8,28,662","1,02,51,75,670.35","49,597","1,66,552",20.1
BDL,EQ,30-Jan-2025,"1,229.45","1,230.00","1,292.00","1,229.05","1,267.15","1,267.35","1,268.22","11,53,771","1,46,32,32,004.70","66,427","3,26,981",28.34
BDL,EQ,31-Jan-2025,"1,267.35","1,275.00","1,325.00","1,267.30","1,310.00","1,305.00","1,311.29","19,28,838","2,52,92,64,503.55","84,911","6,17,574",32.02
BDL,EQ,01-Feb-2025,"1,305.00","1,316.00","1,345.00","1,198.00","1,276.00","1,253.35","1,273.14","25,34,866","3,22,72,48,278.60","1,18,207","6,97,135",27.5
BDL,EQ,03-Feb-2025,"1,253.35","1,228.35","1,238.00","1,133.55","1,168.00","1,178.05","1,178.69","29,85,292","3,51,87,20,691.40","1,32,744","10,24,383",34.31
BDL,EQ,04-Feb-2025,"1,178.05","1,179.50","1,219.95","1,179.45","1,190.10","1,191.45","1,195.36","9,17,401","1,09,66,26,945.00","55,226","2,31,083",25.19
BDL,EQ,05-Feb-2025,"1,191.45","1,191.75","1,233.85","1,188.55","1,215.00","1,215.15","1,216.88","6,67,081","81,17,54,580.85","44,533","2,01,425",30.19
BDL,EQ,06-Feb-2025,"1,215.15","1,213.00","1,260.50","1,195.25","1,207.00","1,212.45","1,217.99","20,18,922","2,45,90,35,498.35","1,09,254","3,98,452",19.74
BDL,EQ,07-Feb-2025,"1,212.45","1,209.00","1,223.00","1,181.05","1,198.95","1,200.40","1,198.69","8,12,573","97,40,21,933.20","45,518","1,42,135",17.49
BDL,EQ,10-Feb-2025,"1,200.40","1,200.00","1,224.00","1,173.50","1,193.00","1,199.40","1,197.73","10,19,932","1,22,16,00,701.10","66,513","1,80,756",17.72
BDL,EQ,11-Feb-2025,"1,199.40","1,193.00","1,196.45","1,106.80","1,132.40","1,137.10","1,148.89","16,30,600","1,87,33,86,623.15","87,764","5,98,292",36.69
BDL,EQ,12-Feb-2025,"1,137.10","1,131.50","1,147.25","1,048.00","1,129.10","1,136.60","1,098.96","20,20,364","2,22,03,09,092.15","1,04,663","5,30,305",26.25
BDL,EQ,13-Feb-2025,"1,136.60","1,129.10","1,194.70","1,129.10","1,166.95","1,166.70","1,174.28","11,05,634","1,29,83,21,331.35","67,942","2,52,959",22.88
BDL,EQ,14-Feb-2025,"1,166.70","1,169.95","1,187.20","1,094.00","1,096.00","1,102.55","1,126.74","8,12,990","91,60,26,380.05","50,479","2,13,071",26.21
BDL,EQ,17-Feb-2025,"1,102.55","1,090.00","1,109.50","1,058.30","1,076.00","1,071.90","1,078.28","10,85,852","1,17,08,47,641.15","75,001","2,15,468",19.84
BDL,EQ,18-Feb-2025,"1,071.90","1,068.10","1,083.70","1,002.00","1,006.50","1,009.85","1,025.52","10,22,536","1,04,86,30,645.75","68,603","3,12,643",30.58
BDL,EQ,19-Feb-2025,"1,009.85","1,006.50","1,103.30",993.55,"1,050.50","1,048.30","1,067.84","19,16,297","2,04,62,93,378.70","1,02,054","3,40,278",17.76
BDL,EQ,20-Feb-2025,"1,048.30","1,040.00","1,054.80","1,030.70","1,043.00","1,033.40","1,038.32","7,33,736","76,18,55,658.00","40,631","2,06,846",28.19
BDL,EQ,21-Feb-2025,"1,033.40","1,033.40","1,069.55","1,005.40","1,006.90","1,009.60","1,027.68","9,35,246","96,11,33,670.40","56,787","3,26,116",34.87
BDL,EQ,24-Feb-2025,"1,009.60","1,000.60","1,034.00",974.65,"1,011.20","1,011.55","1,008.63","10,51,806","1,06,08,85,984.15","63,444","2,11,475",20.11
BDL,EQ,25-Feb-2025,"1,011.55","1,011.55","1,037.60","1,000.10","1,024.00","1,023.70","1,019.99","8,55,519","87,26,20,913.80","40,180","2,39,981",28.05
BDL,EQ,27-Feb-2025,"1,023.70","1,015.00","1,025.45",995.25,"1,010.00","1,017.40","1,011.19","6,57,734","66,50,91,513.20","41,821","2,74,515",41.74
BDL,EQ,28-Feb-2025,"1,017.40",999.00,"1,018.00",966.15,981.00,975.40,983.09,"9,14,014","89,85,57,423.20","56,146","2,95,969",32.38
BDL,EQ,03-Mar-2025,975.40,975.40,997.35,907.00,970.05,979.75,949.37,"17,02,366","1,61,61,73,474.40","1,06,473","4,45,087",26.15
