symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BIOCON,EQ,22-Jan-2025,390.55,390.55,392.35,380.1,388.4,388.05,384.84,"28,30,379","1,08,92,56,720.15","40,270","8,03,033",28.37
BIOCON,EQ,23-Jan-2025,388.05,385.55,399.65,385.55,396.8,397.3,395.62,"32,14,357","1,27,16,75,472.50","39,910","10,21,656",31.78
BIOCON,EQ,24-Jan-2025,397.3,397.3,397.8,386.4,388.45,388.25,391.24,"29,39,290","1,14,99,66,349.10","39,944","9,32,790",31.74
BIOCON,EQ,27-Jan-2025,388.25,388.25,388.25,369.4,371.4,370.25,374.24,"32,92,383","1,23,21,48,492.00","43,952","10,87,291",33.02
BIOCON,EQ,28-Jan-2025,370.25,372.0,372.45,350.4,359.8,359.9,359.08,"39,09,804","1,40,39,48,552.45","60,629","10,47,212",26.78
BIOCON,EQ,29-Jan-2025,359.9,360.2,371.35,351.8,356.0,355.7,360.25,"41,28,263","1,48,72,05,440.70","70,875","7,69,143",18.63
BIOCON,EQ,30-Jan-2025,355.7,358.0,362.35,353.25,357.8,357.0,357.13,"34,59,428","1,23,54,76,104.25","47,162","6,89,676",19.94
BIOCON,EQ,31-Jan-2025,357.0,347.1,370.9,347.1,361.65,362.55,364.28,"73,41,863","2,67,45,01,727.60","94,975","13,21,478",18.0
BIOCON,EQ,01-Feb-2025,362.55,361.25,375.65,358.5,371.05,370.45,367.03,"21,56,378","79,14,47,657.40","37,358","3,34,642",15.52
BIOCON,EQ,03-Feb-2025,370.45,364.95,367.8,359.4,364.0,364.45,363.49,"16,13,162","58,63,62,108.95","33,311","3,87,693",24.03
BIOCON,EQ,04-Feb-2025,364.45,367.0,373.65,366.5,370.4,371.05,371.31,"28,47,492","1,05,72,93,518.65","36,831","13,80,800",48.49
BIOCON,EQ,05-Feb-2025,371.05,371.45,393.75,371.45,390.25,390.25,388.7,"76,74,111","2,98,29,09,951.45","88,288","27,72,846",36.13
