symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BLUESTARCO,EQ,22-Jan-2025,"1,865.80","1,880.00","1,912.25","1,840.00","1,886.00","1,879.45","1,865.84","2,69,032","50,19,69,430.30","40,067","1,47,976",55.00
BLUESTARCO,BL,23-Jan-2025,"1,100.65","1,930.90","1,930.90","1,930.90","1,930.90","1,930.90","1,930.90","6,26,264","1,20,92,53,157.60",1,-,-
BLUESTARCO,EQ,23-Jan-2025,"1,879.45","1,879.45","1,934.95","1,842.65","1,900.00","1,918.95","1,902.86","2,97,169","56,54,70,014.40","37,445","1,82,116",61.28
BLUESTARCO,EQ,24-Jan-2025,"1,918.95","1,903.40","1,910.00","1,835.45","1,840.00","1,842.85","1,869.96","4,50,609","84,26,19,650.80","25,005","3,48,191",77.27
BLUESTARCO,EQ,27-Jan-2025,"1,842.85","1,796.05","1,816.00","1,711.05","1,795.00","1,793.80","1,767.56","6,60,690","1,16,78,11,398.05","85,093","2,81,833",42.66
BLUESTARCO,EQ,28-Jan-2025,"1,793.80","1,804.00","1,804.00","1,718.15","1,762.10","1,763.20","1,757.80","5,10,536","89,74,17,820.80","73,823","2,60,667",51.06
BLUESTARCO,EQ,29-Jan-2025,"1,763.20","1,763.20","1,859.00","1,758.00","1,850.40","1,827.50","1,828.59","2,50,546","45,81,44,929.75","37,584","1,09,632",43.76
BLUESTARCO,EQ,30-Jan-2025,"1,827.50","1,888.00","1,896.25","1,772.50","1,791.95","1,798.00","1,809.20","6,87,394","1,24,36,33,707.75","64,692","3,20,645",46.65
BLUESTARCO,EQ,31-Jan-2025,"1,798.00","1,785.95","1,842.50","1,743.40","1,823.10","1,817.55","1,813.28","8,59,443","1,55,84,13,262.60","62,440","6,25,991",72.84
BLUESTARCO,EQ,01-Feb-2025,"1,817.55","1,838.40","2,090.00","1,830.35","2,032.50","2,056.65","2,011.27","24,26,406","4,88,01,66,723.50","1,52,413","5,04,215",20.78
BLUESTARCO,EQ,03-Feb-2025,"2,056.65","2,000.00","2,055.00","1,882.60","2,049.50","2,048.35","2,002.86","13,53,584","2,71,10,39,302.50","1,16,527","3,70,410",27.37
BLUESTARCO,EQ,04-Feb-2025,"2,048.35","2,117.70","2,118.30","1,969.25","2,016.40","2,017.10","2,018.22","6,48,531","1,30,88,79,414.50","65,708","1,74,284",26.87
BLUESTARCO,EQ,05-Feb-2025,"2,017.10","1,995.00","2,026.50","1,961.00","1,969.80","1,969.15","1,998.94","5,98,088","1,19,55,41,739.95","53,523","3,69,961",61.86
BLUESTARCO,EQ,06-Feb-2025,"1,969.15","1,975.00","2,005.00","1,959.15","1,974.40","1,981.25","1,981.35","2,69,306","53,35,90,341.35","28,771","1,09,081",40.50
BLUESTARCO,EQ,07-Feb-2025,"1,981.25","1,985.00","2,076.00","1,964.75","2,034.00","2,038.55","2,034.00","6,08,756","1,23,82,07,646.80","65,587","1,42,181",23.36
BLUESTARCO,EQ,10-Feb-2025,"2,038.55","2,040.75","2,051.95","1,958.05","1,980.00","1,976.75","1,980.37","2,29,604","45,47,00,842.40","32,011","97,725",42.56
BLUESTARCO,EQ,11-Feb-2025,"1,976.75","1,982.95","1,984.40","1,854.05","1,883.75","1,888.80","1,891.18","4,35,509","82,36,25,610.85","63,193","2,03,732",46.78
BLUESTARCO,EQ,12-Feb-2025,"1,888.80","1,884.00","2,006.00","1,813.70","1,978.00","1,995.05","1,955.60","9,23,104","1,80,52,18,783.60","95,755","2,74,502",29.74
BLUESTARCO,EQ,13-Feb-2025,"1,995.05","1,978.00","2,003.40","1,932.05","2,002.00","1,994.80","1,966.40","4,99,928","98,30,58,558.45","65,185","2,23,165",44.64
BLUESTARCO,EQ,14-Feb-2025,"1,994.80","2,010.80","2,014.60","1,931.55","1,950.60","1,963.60","1,965.73","7,38,076","1,45,08,55,925.60","78,707","4,63,973",62.86
BLUESTARCO,EQ,17-Feb-2025,"1,963.60","1,935.00","1,958.70","1,858.50","1,940.00","1,949.10","1,916.84","5,78,341","1,10,85,84,706.85","62,108","3,00,443",51.95
