symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CYIENT,EQ,22-Jan-2025,"1,733.00","1,721.25","1,742.90","1,685.20","1,705.00","1,708.70","1,708.15","3,71,011","63,37,40,879.35","46,979","1,36,699",36.84
CYIENT,EQ,23-Jan-2025,"1,708.70","1,702.00","1,807.00","1,694.00","1,743.00","1,755.25","1,768.37","7,37,847","1,30,47,85,744.75","62,487","2,67,255",36.22
CYIENT,EQ,24-Jan-2025,"1,755.25","1,621.10","1,621.10","1,328.85","1,355.00","1,344.90","1,407.75","1,48,06,000","20,84,31,27,812.30","3,55,783","41,91,476",28.31
CYIENT,EQ,27-Jan-2025,"1,344.90","1,320.00","1,404.80","1,298.15","1,349.00","1,350.70","1,364.86","80,55,032","10,99,40,26,668.20","3,78,997","18,93,028",23.5
CYIENT,EQ,28-Jan-2025,"1,350.70","1,360.90","1,382.25","1,295.35","1,318.65","1,317.25","1,323.25","16,68,507","2,20,78,60,112.35","1,31,044","4,49,389",26.93
CYIENT,EQ,29-Jan-2025,"1,317.25","1,321.00","1,378.00","1,308.05","1,358.25","1,365.35","1,346.88","11,91,830","1,60,52,49,028.70","88,694","3,74,098",31.39
CYIENT,EQ,30-Jan-2025,"1,365.35","1,360.00","1,389.00","1,342.70","1,368.05","1,362.55","1,365.70","9,96,895","1,36,14,59,440.60","73,766","4,34,454",43.58
CYIENT,EQ,31-Jan-2025,"1,362.55","1,373.00","1,471.50","1,370.30","1,451.60","1,454.45","1,439.07","27,09,381","3,89,89,91,711.55","1,66,499","5,50,351",20.31
CYIENT,EQ,01-Feb-2025,"1,454.45","1,457.00","1,477.00","1,420.00","1,464.00","1,454.80","1,454.82","4,88,886","71,12,40,149.55","36,687","89,339",18.27
CYIENT,EQ,03-Feb-2025,"1,454.80","1,442.45","1,462.65","1,408.00","1,434.45","1,429.85","1,430.89","5,79,606","82,93,49,642.60","50,801","2,56,556",44.26
CYIENT,EQ,04-Feb-2025,"1,429.85","1,437.45","1,455.65","1,415.10","1,448.00","1,445.15","1,434.03","11,32,378","1,62,38,59,527.60","63,730","7,01,319",61.93
CYIENT,EQ,05-Feb-2025,"1,445.15","1,445.20","1,521.00","1,445.20","1,506.50","1,509.55","1,500.14","8,84,518","1,32,69,03,624.20","79,617","2,75,030",31.09
CYIENT,EQ,06-Feb-2025,"1,509.55","1,512.00","1,512.85","1,488.60","1,499.00","1,496.70","1,498.70","3,50,003","52,45,50,333.35","34,910","1,97,178",56.34
CYIENT,EQ,07-Feb-2025,"1,496.70","1,499.00","1,529.00","1,483.90","1,518.55","1,524.35","1,511.30","3,22,877","48,79,63,360.75","33,606","1,49,690",46.36
CYIENT,EQ,10-Feb-2025,"1,524.35","1,508.00","1,519.95","1,490.00","1,500.20","1,499.85","1,502.02","3,59,936","54,06,30,150.40","44,951","1,89,568",52.67
CYIENT,EQ,11-Feb-2025,"1,499.85","1,486.00","1,496.00","1,446.10","1,460.00","1,455.55","1,463.98","4,68,864","68,64,07,128.50","40,714","1,88,002",40.1
CYIENT,EQ,12-Feb-2025,"1,455.55","1,467.30","1,469.40","1,409.00","1,439.85","1,433.00","1,429.65","8,72,782","1,24,77,70,231.10","72,083","4,16,948",47.77
CYIENT,EQ,13-Feb-2025,"1,433.00","1,433.00","1,487.55","1,433.00","1,456.00","1,449.00","1,464.17","3,11,147","45,55,72,014.15","30,986","1,27,260",40.9
CYIENT,EQ,14-Feb-2025,"1,449.00","1,462.95","1,468.00","1,407.90","1,410.20","1,419.15","1,432.87","7,26,905","1,04,15,60,752.35","46,714","4,23,601",58.27
CYIENT,EQ,17-Feb-2025,"1,419.15","1,400.00","1,445.40","1,388.70","1,439.25","1,439.30","1,421.94","4,37,129","62,15,70,636.25","49,372","1,67,625",38.35
CYIENT,EQ,18-Feb-2025,"1,439.30","1,443.90","1,475.00","1,423.15","1,472.80","1,470.00","1,447.56","3,04,729","44,11,13,448.45","35,192","1,27,105",41.71
CYIENT,EQ,19-Feb-2025,"1,470.00","1,469.90","1,486.85","1,442.05","1,474.25","1,476.50","1,463.93","7,33,972","1,07,44,86,068.80","62,149","3,88,752",52.97
CYIENT,EQ,20-Feb-2025,"1,476.50","1,501.00","1,537.05","1,445.00","1,449.00","1,452.55","1,476.84","16,30,554","2,40,80,67,142.40","95,712","4,05,181",24.85
CYIENT,EQ,21-Feb-2025,"1,452.55","1,445.00","1,445.30","1,352.05","1,361.25","1,364.85","1,376.05","19,21,791","2,64,44,75,460.65","1,28,924","5,62,566",29.27
CYIENT,EQ,24-Feb-2025,"1,364.85","1,363.95","1,377.45","1,338.00","1,354.95","1,353.80","1,354.24","7,59,726","1,02,88,50,130.60","69,968","2,72,230",35.83
CYIENT,EQ,25-Feb-2025,"1,353.80","1,354.95","1,355.00","1,325.00","1,335.55","1,334.10","1,340.87","3,50,221","46,96,01,282.70","28,430","1,27,910",36.52
CYIENT,EQ,27-Feb-2025,"1,334.10","1,334.00","1,341.55","1,297.20","1,300.10","1,308.00","1,312.26","6,13,325","80,48,39,911.00","40,977","3,32,600",54.23
CYIENT,EQ,28-Feb-2025,"1,308.00","1,288.25","1,297.00","1,250.00","1,267.70","1,267.15","1,262.20","8,80,907","1,11,18,83,822.15","47,451","5,41,579",61.48
CYIENT,EQ,03-Mar-2025,"1,267.15","1,267.15","1,279.00","1,213.20","1,228.20","1,229.85","1,234.93","4,31,681","53,30,97,940.70","40,227","1,49,827",34.71
CYIENT,EQ,04-Mar-2025,"1,229.85","1,220.00","1,253.80","1,198.80","1,209.75","1,211.50","1,221.06","4,59,012","56,04,79,618.70","42,250","1,63,021",35.52
CYIENT,EQ,05-Mar-2025,"1,211.50","1,220.00","1,278.50","1,211.50","1,270.90","1,269.60","1,262.16","4,44,112","56,05,42,065.90","40,784","1,25,406",28.24
CYIENT,EQ,06-Mar-2025,"1,269.60","1,275.00","1,306.95","1,270.40","1,273.20","1,275.15","1,292.95","7,38,935","95,54,08,901.90","24,171","5,81,979",78.76
CYIENT,EQ,07-Mar-2025,"1,275.15","1,275.15","1,281.85","1,250.00","1,267.45","1,269.60","1,267.53","5,98,886","75,91,07,838.10","33,036","4,07,913",68.11
CYIENT,EQ,10-Mar-2025,"1,269.60","1,269.00","1,279.75","1,251.00","1,254.00","1,260.05","1,264.48","6,30,323","79,70,30,087.00","29,242","4,62,744",73.41
CYIENT,EQ,11-Mar-2025,"1,260.05","1,238.00","1,258.95","1,228.80","1,252.95","1,243.75","1,246.31","2,21,952","27,66,20,140.05","27,984","1,05,019",47.32
CYIENT,EQ,12-Mar-2025,"1,243.75","1,246.95","1,250.00","1,188.50","1,210.00","1,211.80","1,208.02","4,71,488","56,95,65,005.50","33,692","2,04,839",43.45
CYIENT,EQ,13-Mar-2025,"1,211.80","1,209.75","1,216.00","1,190.15","1,191.55","1,192.35","1,202.57","2,38,536","28,68,55,181.75","22,417","90,408",37.9
CYIENT,EQ,17-Mar-2025,"1,192.35","1,200.00","1,221.25","1,185.00","1,204.05","1,203.35","1,207.87","5,25,665","63,49,33,806.40","33,611","2,27,708",43.32
CYIENT,EQ,18-Mar-2025,"1,203.35","1,212.00","1,240.00","1,205.35","1,229.90","1,224.15","1,225.40","3,12,422","38,28,40,470.50","21,267","1,42,596",45.64
