symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DELHIVERY,EQ,22-Jan-2025,329.25,330.3,330.6,312.35,323.0,322.3,317.94,"29,52,508","93,87,09,110.05","47,480","10,94,717",37.08
DELHIVERY,EQ,23-Jan-2025,322.3,324.35,329.45,322.5,326.7,326.95,325.98,"15,59,376","50,83,21,855.55","24,055","8,91,229",57.15
DELHIVERY,EQ,24-Jan-2025,326.95,327.0,331.25,319.05,319.05,321.75,325.57,"10,97,225","35,72,18,446.60","32,280","5,26,819",48.01
DELHIVERY,EQ,27-Jan-2025,321.75,318.2,319.0,308.15,315.6,312.9,311.95,"28,10,899","87,68,71,664.00","34,514","15,49,121",55.11
DELHIVERY,EQ,28-Jan-2025,312.9,313.85,319.6,306.55,311.4,311.45,312.76,"9,58,967","29,99,22,502.00","19,297","2,70,860",28.24
DELHIVERY,EQ,29-Jan-2025,311.45,312.0,324.95,308.05,321.75,323.45,320.05,"9,56,197","30,60,28,527.25","18,473","3,03,528",31.74
DELHIVERY,EQ,30-Jan-2025,323.45,324.0,326.25,316.75,319.5,322.6,321.8,"11,26,870","36,26,29,708.00","23,449","2,74,945",24.40
DELHIVERY,EQ,31-Jan-2025,322.6,320.5,323.85,318.05,322.45,321.05,320.15,"16,27,149","52,09,34,197.50","20,044","9,45,451",58.10
DELHIVERY,EQ,01-Feb-2025,321.05,321.95,326.15,313.55,321.0,320.85,320.35,"7,05,000","22,58,43,807.75","12,490","2,19,456",31.13
DELHIVERY,EQ,03-Feb-2025,320.85,318.55,330.8,314.35,323.0,323.35,324.61,"10,42,101","33,82,75,169.15","22,193","2,41,151",23.14
DELHIVERY,EQ,04-Feb-2025,323.35,326.45,330.55,320.1,329.0,328.8,325.66,"14,50,537","47,23,81,384.90","22,828","8,15,940",56.25
DELHIVERY,EQ,05-Feb-2025,328.8,328.5,332.5,325.65,326.65,328.35,329.17,"15,02,457","49,45,59,016.00","25,304","6,17,674",41.11
