symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EICHERMOT,EQ,22-Jan-2025,"4,969.95","4,980.00","5,025.00","4,953.20","4,996.50","5,009.70","4,992.52","4,94,734","2,46,99,68,685.15","64,810","3,05,849",61.82
EICHERMOT,EQ,23-Jan-2025,"5,009.70","4,996.60","5,158.00","4,977.80","5,111.00","5,116.20","5,092.53","4,42,186","2,25,18,44,469.45","73,775","2,01,940",45.67
EICHERMOT,EQ,24-Jan-2025,"5,116.20","5,134.00","5,224.50","5,115.05","5,190.25","5,206.30","5,182.66","7,30,641","3,78,66,66,191.75","77,961","3,77,731",51.70
EICHERMOT,EQ,27-Jan-2025,"5,206.30","5,190.00","5,208.00","5,115.60","5,140.00","5,144.50","5,149.94","4,18,597","2,15,57,51,182.35","68,398","2,27,850",54.43
EICHERMOT,EQ,28-Jan-2025,"5,144.50","5,160.00","5,194.00","5,090.00","5,100.50","5,105.40","5,152.72","6,03,950","3,11,19,87,659.50","75,657","3,75,225",62.13
EICHERMOT,EQ,29-Jan-2025,"5,105.40","5,080.55","5,235.00","5,080.55","5,181.25","5,182.90","5,188.33","3,57,310","1,85,38,43,892.05","60,599","1,41,763",39.68
EICHERMOT,EQ,30-Jan-2025,"5,182.90","5,182.90","5,268.00","5,140.05","5,160.00","5,164.35","5,195.41","4,80,830","2,49,81,08,254.25","66,946","2,46,118",51.19
EICHERMOT,EQ,31-Jan-2025,"5,164.35","5,165.00","5,244.00","5,145.00","5,198.25","5,194.30","5,195.28","3,94,118","2,04,75,53,046.80","46,769","2,13,358",54.14
EICHERMOT,EQ,01-Feb-2025,"5,194.30","5,214.80","5,423.05","5,130.10","5,394.45","5,390.15","5,307.89","6,09,534","3,23,53,36,405.20","73,765","2,57,525",42.25
EICHERMOT,EQ,03-Feb-2025,"5,390.15","5,575.00","5,575.50","5,406.90","5,474.00","5,485.25","5,487.61","13,30,533","7,30,14,43,114.00","1,29,014","5,29,422",39.79
EICHERMOT,EQ,04-Feb-2025,"5,485.25","5,536.55","5,554.15","5,442.00","5,451.00","5,450.10","5,488.02","5,91,631","3,24,68,83,756.10","75,856","3,57,553",60.44
EICHERMOT,EQ,05-Feb-2025,"5,450.10","5,450.00","5,470.00","5,351.00","5,428.10","5,417.20","5,409.30","4,42,234","2,39,21,76,949.25","56,295","2,52,964",57.20
EICHERMOT,EQ,06-Feb-2025,"5,417.20","5,428.10","5,445.05","5,330.90","5,350.00","5,342.00","5,366.36","3,61,000","1,93,72,56,939.80","69,431","1,51,029",41.84
EICHERMOT,EQ,07-Feb-2025,"5,342.00","5,368.65","5,399.00","5,320.05","5,391.85","5,372.55","5,349.58","6,04,384","3,23,31,98,487.95","82,257","3,64,629",60.33
EICHERMOT,EQ,10-Feb-2025,"5,372.55","5,400.00","5,444.90","5,307.40","5,327.80","5,335.35","5,363.74","6,31,815","3,38,88,91,373.95","83,029","3,13,785",49.66
EICHERMOT,EQ,11-Feb-2025,"5,335.35","5,138.85","5,139.50","4,954.95","4,977.95","4,972.35","5,024.15","22,72,410","11,41,69,17,833.35","1,91,586","10,88,128",47.88
EICHERMOT,EQ,12-Feb-2025,"4,972.35","4,950.00","5,000.00","4,834.40","4,855.00","4,849.45","4,921.97","8,13,864","4,00,58,17,111.00","1,13,955","4,07,260",50.04
EICHERMOT,EQ,13-Feb-2025,"4,849.45","4,850.65","4,907.05","4,790.00","4,808.05","4,820.40","4,852.93","5,71,526","2,77,35,72,865.35","1,03,530","2,77,298",48.52
EICHERMOT,EQ,14-Feb-2025,"4,820.40","4,831.10","4,850.00","4,686.05","4,705.00","4,703.35","4,722.53","4,76,473","2,25,01,59,393.80","66,577","2,53,845",53.28
EICHERMOT,EQ,17-Feb-2025,"4,703.35","4,700.00","4,755.00","4,646.00","4,754.00","4,745.20","4,713.78","2,32,211","1,09,45,90,597.20","49,018","72,892",31.39
EICHERMOT,EQ,18-Feb-2025,"4,745.20","4,769.00","4,772.50","4,684.45","4,726.00","4,719.40","4,714.28","2,54,026","1,19,75,50,049.80","38,433","1,46,486",57.67
EICHERMOT,EQ,19-Feb-2025,"4,719.40","4,700.00","4,821.00","4,677.05","4,810.00","4,810.60","4,772.08","2,75,722","1,31,57,67,936.40","46,433","1,36,829",49.63
EICHERMOT,EQ,20-Feb-2025,"4,810.60","4,780.00","4,899.00","4,777.00","4,897.00","4,888.40","4,864.28","2,77,284","1,34,87,85,755.45","49,187","1,45,514",52.48
EICHERMOT,EQ,21-Feb-2025,"4,888.40","4,888.00","4,982.90","4,855.00","4,968.00","4,962.45","4,946.15","3,24,027","1,60,26,87,359.40","46,244","1,19,156",36.77
EICHERMOT,EQ,24-Feb-2025,"4,962.45","4,936.00","5,049.90","4,915.55","5,016.65","5,010.80","5,009.87","4,10,180","2,05,49,48,590.25","70,080","1,81,644",44.28
EICHERMOT,EQ,25-Feb-2025,"5,010.80","5,028.00","5,075.00","4,978.05","4,997.75","4,989.80","5,019.16","4,02,917","2,02,23,04,893.35","48,763","1,69,516",42.07
EICHERMOT,EQ,27-Feb-2025,"4,989.80","4,960.50","5,000.00","4,889.85","4,920.00","4,935.50","4,929.49","5,61,804","2,76,94,05,957.85","48,780","3,53,958",63.00
EICHERMOT,EQ,28-Feb-2025,"4,935.50","4,910.05","4,931.95","4,755.00","4,803.00","4,773.60","4,827.30","10,76,243","5,19,53,51,944.95","1,07,333","6,85,251",63.67
EICHERMOT,EQ,03-Mar-2025,"4,773.60","4,827.00","4,928.00","4,827.00","4,914.00","4,906.60","4,890.42","5,03,560","2,46,26,19,572.20","74,867","1,72,775",34.31
