symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HAVELLS,EQ,22-Jan-2025,"1,576.55","1,574.95","1,576.50","1,535.55","1,551.15","1,553.65","1,553.07","8,20,772","1,27,47,14,736.70","39,195","4,41,202",53.75
HAVELLS,EQ,23-Jan-2025,"1,553.65","1,548.10","1,605.00","1,538.70","1,594.00","1,595.30","1,589.07","8,72,416","1,38,63,28,056.35","50,154","4,46,557",51.19
HAVELLS,EQ,24-Jan-2025,"1,595.30","1,595.30","1,605.95","1,517.55","1,533.45","1,523.20","1,543.69","9,99,025","1,54,21,84,153.80","70,035","4,95,609",49.61
HAVELLS,EQ,27-Jan-2025,"1,523.20","1,520.30","1,523.20","1,491.50","1,507.20","1,505.80","1,503.55","9,12,320","1,37,17,16,200.60","43,288","5,47,583",60.02
HAVELLS,EQ,28-Jan-2025,"1,505.80","1,507.20","1,518.00","1,481.45","1,491.30","1,492.75","1,497.45","6,12,261","91,68,29,348.25","40,141","3,09,801",50.6
HAVELLS,EQ,29-Jan-2025,"1,492.75","1,492.00","1,531.65","1,483.90","1,530.65","1,528.20","1,514.55","5,69,570","86,26,44,338.30","39,582","2,56,206",44.98
HAVELLS,EQ,30-Jan-2025,"1,528.20","1,535.00","1,550.25","1,521.95","1,540.00","1,544.00","1,537.15","5,97,904","91,90,70,442.15","39,875","2,32,819",38.94
HAVELLS,EQ,31-Jan-2025,"1,544.00","1,545.00","1,569.40","1,528.15","1,565.00","1,566.20","1,553.81","6,32,351","98,25,55,009.95","42,156","2,69,865",42.68
HAVELLS,EQ,01-Feb-2025,"1,566.20","1,574.40","1,669.95","1,540.90","1,652.00","1,656.20","1,627.02","15,23,321","2,47,84,68,921.00","66,491","6,81,372",44.73
HAVELLS,EQ,03-Feb-2025,"1,656.20","1,645.00","1,712.85","1,635.15","1,661.50","1,660.15","1,681.39","18,72,505","3,14,84,17,190.80","98,684","6,79,113",36.27
HAVELLS,EQ,04-Feb-2025,"1,660.15","1,673.00","1,675.25","1,619.45","1,621.00","1,626.35","1,633.26","4,92,523","80,44,16,743.80","49,177","2,12,587",43.16
