symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HUDCO,EQ,22-Jan-2025,229.43,229.8,233.65,217.16,228.0,227.46,225.74,"1,69,24,922","3,82,05,94,620.64","1,21,344","27,33,333",16.15
HUDCO,EQ,23-Jan-2025,227.46,228.7,230.71,216.09,221.34,221.48,222.29,"2,81,45,348","6,25,63,77,138.25","1,76,689","50,06,163",17.79
HUDCO,EQ,24-Jan-2025,221.48,222.25,225.23,217.8,220.44,219.84,222.42,"1,03,79,337","2,30,85,51,432.72","88,636","18,92,016",18.23
HUDCO,EQ,27-Jan-2025,219.84,218.0,218.1,205.19,208.9,209.72,210.4,"1,16,51,831","2,45,15,13,501.10","89,770","32,47,327",27.87
HUDCO,EQ,28-Jan-2025,209.72,210.0,214.8,202.6,208.91,208.77,208.86,"1,07,35,733","2,24,22,84,761.59","86,378","17,02,767",15.86
HUDCO,EQ,29-Jan-2025,208.77,210.01,216.5,208.97,215.49,215.1,214.11,"53,72,911","1,15,03,84,255.46","40,805","11,20,545",20.86
HUDCO,EQ,30-Jan-2025,215.1,213.98,218.99,212.8,217.2,216.28,216.52,"50,71,449","1,09,80,93,957.91","42,204","13,25,815",26.14
HUDCO,EQ,31-Jan-2025,216.28,217.3,231.0,214.74,230.7,229.7,225.77,"1,41,77,239","3,20,07,25,912.88","1,01,010","43,20,261",30.47
HUDCO,EQ,01-Feb-2025,229.7,232.0,240.8,215.0,215.93,217.4,227.18,"3,89,33,186","8,84,49,85,825.16","2,14,546","81,06,986",20.82
HUDCO,EQ,03-Feb-2025,217.4,214.0,214.2,191.21,198.05,198.11,198.97,"4,47,53,735","8,90,46,38,374.67","2,56,311","1,10,90,300",24.78
HUDCO,EQ,04-Feb-2025,198.11,200.0,205.84,200.0,204.05,204.84,203.73,"1,10,54,569","2,25,21,79,505.53","89,831","29,36,702",26.57
HUDCO,EQ,05-Feb-2025,204.84,206.0,212.8,205.36,209.25,209.69,210.29,"74,40,908","1,56,47,80,220.09","57,541","20,37,972",27.39
HUDCO,EQ,06-Feb-2025,209.69,209.69,210.49,204.64,205.55,205.91,207.37,"43,01,042","89,19,20,141.49","38,599","10,25,874",23.85
HUDCO,EQ,07-Feb-2025,205.91,205.56,210.25,203.6,206.4,206.75,206.83,"71,43,569","1,47,74,82,658.96","58,138","11,31,853",15.84
HUDCO,EQ,10-Feb-2025,206.75,208.0,208.0,197.2,200.1,200.4,201.0,"61,20,963","1,23,03,04,078.17","52,606","22,32,498",36.47
HUDCO,EQ,11-Feb-2025,200.4,200.0,200.1,191.85,193.23,193.7,194.06,"81,46,727","1,58,09,48,488.16","76,524","30,47,544",37.41
HUDCO,EQ,12-Feb-2025,193.7,192.21,195.2,183.06,192.6,192.64,190.1,"1,09,99,966","2,09,11,03,145.58","90,576","20,16,711",18.33
HUDCO,EQ,13-Feb-2025,192.64,193.0,197.3,192.0,192.3,192.56,194.75,"44,60,698","86,87,07,050.03","38,070","8,34,112",18.7
HUDCO,EQ,14-Feb-2025,192.56,193.5,194.75,181.5,182.8,183.79,185.74,"74,39,390","1,38,17,91,626.17","63,227","19,98,895",26.87
HUDCO,EQ,17-Feb-2025,183.79,181.0,184.95,177.45,182.9,183.21,181.48,"74,66,740","1,35,50,63,235.78","61,826","20,09,056",26.91
HUDCO,EQ,18-Feb-2025,183.21,182.0,183.9,175.42,178.86,179.92,178.58,"65,72,024","1,17,36,26,525.81","52,575","16,12,457",24.54
HUDCO,EQ,19-Feb-2025,179.92,178.0,186.0,177.05,183.11,183.68,183.62,"68,95,180","1,26,60,68,961.03","50,931","15,23,315",22.09
HUDCO,EQ,20-Feb-2025,183.68,182.5,189.66,181.21,188.2,188.52,186.73,"60,53,713","1,13,04,23,401.63","87,676","18,87,808",31.18
HUDCO,EQ,21-Feb-2025,188.52,188.0,195.8,187.4,188.3,189.66,191.65,"1,36,67,425","2,61,93,24,104.10","1,42,202","48,04,582",35.15
HUDCO,EQ,24-Feb-2025,189.66,186.0,186.35,181.55,181.9,182.01,183.75,"52,43,645","96,35,02,331.78","44,851","13,97,952",26.66
HUDCO,EQ,25-Feb-2025,182.01,182.8,185.0,177.3,177.73,178.21,181.18,"38,83,701","70,36,45,870.45","33,757","10,11,823",26.05
HUDCO,EQ,27-Feb-2025,178.21,178.8,179.99,171.99,173.39,173.27,174.99,"58,13,485","1,01,73,15,480.77","51,974","18,60,095",32.0
HUDCO,EQ,28-Feb-2025,173.27,171.0,172.7,163.7,166.0,165.14,167.02,"80,36,878","1,34,23,02,409.10","72,229","31,46,120",39.15
HUDCO,EQ,03-Mar-2025,165.14,164.99,168.2,158.85,166.6,166.62,164.1,"1,05,51,947","1,73,15,77,437.63","66,321","28,86,546",27.36
HUDCO,EQ,04-Mar-2025,166.62,163.5,170.79,162.36,168.8,168.78,167.71,"63,06,039","1,05,75,74,430.59","44,399","16,10,096",25.53
HUDCO,EQ,05-Mar-2025,168.78,169.45,179.22,169.0,178.15,177.43,176.84,"92,21,754","1,63,07,60,975.06","61,372","20,78,078",22.53
HUDCO,EQ,06-Mar-2025,177.43,181.0,183.93,179.96,182.18,182.84,182.32,"87,18,831","1,58,96,01,897.21","55,001","21,35,283",24.49
HUDCO,EQ,07-Mar-2025,182.84,182.59,185.85,180.6,182.0,182.27,183.47,"53,14,444","97,50,29,289.24","45,852","14,34,181",26.99
HUDCO,EQ,10-Mar-2025,182.27,183.5,185.37,178.0,178.1,178.88,181.1,"57,45,943","1,04,05,68,206.03","46,277","21,16,850",36.84
HUDCO,EQ,11-Mar-2025,178.88,176.0,182.85,175.05,182.35,181.31,180.19,"58,10,654","1,04,70,38,166.90","44,679","16,53,121",28.45
HUDCO,EQ,12-Mar-2025,181.31,182.5,185.49,178.05,181.59,181.19,181.53,"52,39,025","95,10,14,590.96","38,520","19,70,888",37.62
HUDCO,EQ,13-Mar-2025,181.19,182.0,184.25,179.33,180.66,180.76,181.91,"35,82,902","65,17,64,955.50","31,570","14,20,340",39.64
HUDCO,EQ,17-Mar-2025,180.76,181.39,190.69,181.39,190.0,188.08,186.78,"1,38,61,075","2,58,89,70,950.15","86,555","40,12,568",28.95
HUDCO,EQ,18-Mar-2025,188.08,190.1,191.18,186.6,188.35,188.62,188.35,"60,43,840","1,13,83,68,468.88","42,106","20,92,613",34.62
HUDCO,EQ,19-Mar-2025,188.62,189.5,201.66,188.0,200.62,201.08,196.16,"1,19,39,748","2,34,21,48,466.84","68,835","36,34,305",30.44
HUDCO,EQ,20-Mar-2025,201.08,202.68,203.7,196.6,198.59,199.03,199.87,"85,19,547","1,70,28,26,882.20","54,184","28,81,687",33.82
HUDCO,EQ,21-Mar-2025,199.03,198.81,204.75,197.85,202.25,202.8,202.58,"70,46,857","1,42,75,43,765.69","46,019","24,16,660",34.29
HUDCO,EQ,24-Mar-2025,202.8,203.5,212.4,202.72,208.95,209.11,207.78,"89,83,826","1,86,66,16,129.92","67,101","23,72,803",26.41
HUDCO,EQ,25-Mar-2025,209.11,210.24,211.1,201.27,202.75,204.03,205.58,"1,02,07,000","2,09,84,05,256.71","62,335","36,39,730",35.66
HUDCO,EQ,26-Mar-2025,204.03,203.69,205.5,196.01,196.63,196.72,200.09,"71,71,267","1,43,49,17,884.19","46,588","30,24,514",42.18
HUDCO,EQ,27-Mar-2025,196.72,196.45,203.69,196.0,201.01,200.18,201.09,"1,34,38,621","2,70,24,22,807.37","70,516","65,25,434",48.56
HUDCO,EQ,28-Mar-2025,200.18,201.28,204.99,198.8,198.85,199.45,201.83,"87,26,435","1,76,12,99,692.88","54,124","40,70,727",46.65
HUDCO,EQ,01-Apr-2025,199.45,198.0,207.75,195.45,206.53,206.41,204.8,"1,19,19,727","2,44,11,75,378.08","72,224","38,99,245",32.71
HUDCO,EQ,02-Apr-2025,206.41,206.4,206.67,201.1,205.58,205.83,204.41,"46,98,443","96,03,85,922.69","34,294","12,53,854",26.69
HUDCO,EQ,03-Apr-2025,205.83,202.25,210.75,202.25,210.18,209.93,208.76,"73,40,693","1,53,24,46,923.01","44,596","21,87,078",29.79
HUDCO,EQ,04-Apr-2025,209.93,209.0,209.93,200.61,204.0,203.47,204.07,"57,68,084","1,17,70,67,030.14","39,340","17,84,687",30.94
HUDCO,EQ,07-Apr-2025,203.47,184.0,196.84,184.0,196.84,194.89,191.99,"62,21,712","1,19,44,81,658.65","51,043","17,06,776",27.43
HUDCO,EQ,08-Apr-2025,194.89,200.69,207.8,198.38,207.73,207.01,204.02,"1,13,14,642","2,30,83,92,469.94","72,588","22,49,531",19.88
HUDCO,EQ,09-Apr-2025,207.01,207.01,213.64,201.5,212.55,212.85,208.79,"1,50,70,362","3,14,66,00,532.45","92,868","31,90,508",21.17
HUDCO,EQ,11-Apr-2025,212.85,216.4,217.7,213.3,215.76,215.81,215.74,"87,27,273","1,88,27,82,204.99","68,897","22,85,161",26.18
HUDCO,EQ,15-Apr-2025,215.81,219.64,222.3,217.35,218.79,219.14,219.39,"69,84,595","1,53,23,18,708.52","52,671","19,45,094",27.85
HUDCO,EQ,16-Apr-2025,219.14,219.99,225.64,218.12,223.75,224.16,223.38,"90,31,481","2,01,74,81,198.59","60,252","27,97,841",30.98
HUDCO,EQ,17-Apr-2025,224.16,224.3,231.88,223.75,228.1,228.84,228.89,"99,55,818","2,27,87,74,255.42","61,443","25,63,321",25.75
HUDCO,EQ,21-Apr-2025,228.84,230.2,235.35,229.32,234.9,234.45,233.22,"72,51,685","1,69,12,39,859.65","46,751","20,21,629",27.88
HUDCO,EQ,22-Apr-2025,234.45,235.0,243.46,229.51,233.05,233.11,237.45,"1,43,43,568","3,40,58,12,667.66","81,345","30,80,123",21.47
HUDCO,EQ,23-Apr-2025,233.11,235.0,238.3,224.35,231.2,231.45,230.1,"1,26,53,711","2,91,16,01,700.53","75,038","29,06,245",22.97
HUDCO,EQ,24-Apr-2025,231.45,231.2,234.5,229.0,229.45,230.01,231.01,"57,96,226","1,33,90,07,535.28","39,900","13,20,079",22.77
HUDCO,EQ,25-Apr-2025,230.01,230.44,231.7,219.0,219.59,220.24,222.87,"75,66,520","1,68,63,32,155.22","53,460","20,60,367",27.23
HUDCO,EQ,28-Apr-2025,220.24,219.0,227.77,219.0,226.4,226.38,224.66,"56,44,189","1,26,79,96,013.62","41,292","13,89,532",24.62
HUDCO,EQ,29-Apr-2025,226.38,227.0,230.7,226.5,226.7,227.22,228.22,"38,72,551","88,37,79,638.07","32,736","11,21,994",28.97
HUDCO,EQ,30-Apr-2025,227.22,227.0,227.55,221.24,221.24,223.46,224.79,"35,71,609","80,28,53,464.25","29,190","11,46,620",32.1
HUDCO,EQ,02-May-2025,223.46,223.0,227.4,221.65,221.77,221.97,224.43,"30,81,614","69,16,07,413.61","28,519","7,97,932",25.89
HUDCO,EQ,05-May-2025,221.97,223.2,229.45,222.41,229.3,228.79,226.91,"37,50,393","85,10,10,149.37","35,230","13,16,920",35.11
HUDCO,EQ,06-May-2025,228.79,229.8,230.2,217.1,217.8,217.95,222.17,"43,98,629","97,72,56,307.14","37,782","17,28,639",39.3
HUDCO,EQ,07-May-2025,217.95,213.2,223.45,208.0,214.0,214.21,214.13,"1,93,60,060","4,14,55,22,621.80","1,19,982","30,34,456",15.67
HUDCO,EQ,08-May-2025,214.21,216.9,221.67,208.86,209.91,211.43,215.81,"1,03,37,242","2,23,08,86,862.74","70,808","15,02,077",14.53
HUDCO,EQ,09-May-2025,211.43,205.99,209.84,204.52,208.9,208.47,207.31,"50,77,744","1,05,26,56,887.78","40,254","12,00,726",23.65
HUDCO,EQ,12-May-2025,208.47,217.01,225.45,215.1,224.74,224.47,220.99,"62,69,098","1,38,53,79,967.13","43,833","19,47,015",31.06
HUDCO,EQ,13-May-2025,224.47,224.6,225.9,218.95,219.0,220.47,222.58,"57,98,144","1,29,05,71,388.65","42,721","24,85,981",42.88
HUDCO,EQ,14-May-2025,220.47,221.0,222.68,216.0,218.62,217.52,219.36,"79,95,131","1,75,37,89,818.52","57,499","29,62,137",37.05
HUDCO,EQ,15-May-2025,217.52,218.65,223.56,218.0,221.98,221.72,221.54,"58,92,045","1,30,53,33,702.40","43,198","20,04,423",34.02
HUDCO,EQ,16-May-2025,221.72,223.0,234.59,221.74,234.21,233.86,230.4,"1,73,43,569","3,99,59,61,898.20","99,258","53,58,539",30.9
HUDCO,EQ,19-May-2025,233.86,236.2,239.75,232.0,235.2,234.77,235.7,"1,38,81,408","3,27,17,93,840.13","73,187","43,59,051",31.4
HUDCO,EQ,20-May-2025,234.77,236.0,236.5,225.4,226.81,226.04,230.61,"80,08,635","1,84,68,90,766.46","49,797","26,96,679",33.67
HUDCO,EQ,21-May-2025,226.04,226.6,230.34,224.17,229.0,229.34,227.59,"49,19,083","1,11,95,09,766.47","34,400","13,70,614",27.86
HUDCO,EQ,22-May-2025,229.34,229.5,230.0,224.5,227.88,227.56,227.3,"36,41,896","82,78,03,731.45","31,715","10,25,159",28.15
HUDCO,EQ,23-May-2025,227.56,228.1,230.34,224.2,227.5,227.78,227.58,"41,25,231","93,88,31,273.52","30,715","9,69,644",23.51
HUDCO,EQ,26-May-2025,227.78,228.0,240.8,228.0,238.6,238.26,237.3,"2,38,65,027","5,66,32,16,284.86","1,34,228","60,69,868",25.43
HUDCO,EQ,27-May-2025,238.26,239.0,240.94,236.4,240.6,240.15,239.17,"1,39,38,040","3,33,35,04,499.77","70,038","47,10,503",33.8
HUDCO,EQ,28-May-2025,240.15,241.2,243.56,236.64,237.32,237.24,239.96,"83,28,926","1,99,85,76,595.55","56,280","29,56,933",35.5
HUDCO,EQ,29-May-2025,237.24,238.53,240.67,236.9,239.3,239.71,238.91,"60,73,002","1,45,08,88,159.90","43,278","22,87,432",37.67
HUDCO,EQ,30-May-2025,239.71,239.95,246.2,235.48,241.45,241.24,242.06,"1,54,74,327","3,74,57,04,863.01","80,329","56,42,069",36.46
HUDCO,EQ,02-Jun-2025,241.24,241.24,248.8,239.21,248.45,247.66,245.33,"1,46,86,293","3,60,30,48,225.49","81,636","49,83,995",33.94
HUDCO,EQ,03-Jun-2025,247.66,249.7,253.73,246.1,246.7,247.07,249.87,"1,50,62,598","3,76,37,30,645.77","83,763","46,67,486",30.99
HUDCO,EQ,04-Jun-2025,247.07,248.0,249.75,243.5,247.52,247.54,247.07,"54,11,377","1,33,69,65,321.01","36,481","16,28,572",30.1
HUDCO,EQ,05-Jun-2025,247.54,248.5,248.5,241.25,241.85,241.94,242.73,"1,20,79,835","2,93,21,87,225.24","61,167","56,12,452",46.46
HUDCO,EQ,06-Jun-2025,241.94,242.65,248.2,239.06,245.95,246.33,244.26,"1,48,42,267","3,62,53,44,501.76","73,610","61,02,115",41.11
HUDCO,EQ,09-Jun-2025,246.33,247.68,251.51,246.65,247.1,247.34,248.67,"80,94,801","2,01,29,19,334.21","49,083","34,55,299",42.69
HUDCO,EQ,10-Jun-2025,247.34,248.58,249.0,242.85,243.0,243.6,245.01,"47,56,333","1,16,53,63,029.96","32,595","18,40,118",38.69
HUDCO,EQ,11-Jun-2025,243.6,244.96,245.2,236.75,239.2,238.97,240.84,"61,21,794","1,47,43,82,259.57","42,654","23,64,987",38.63
HUDCO,EQ,12-Jun-2025,238.97,239.46,240.1,229.34,230.71,230.35,234.06,"54,81,325","1,28,29,59,019.09","42,782","21,47,346",39.18
HUDCO,EQ,13-Jun-2025,230.35,224.3,229.95,221.5,227.97,228.24,227.12,"57,70,678","1,31,06,34,356.71","46,129","14,63,139",25.35
HUDCO,EQ,16-Jun-2025,228.24,226.2,230.5,220.75,228.96,229.8,225.82,"53,97,336","1,21,88,34,896.64","46,217","12,27,376",22.74
HUDCO,EQ,17-Jun-2025,229.8,229.8,231.7,224.0,224.1,224.7,227.66,"36,80,545","83,79,19,396.90","30,547","12,91,506",35.09
HUDCO,EQ,18-Jun-2025,224.7,224.7,227.2,223.0,223.2,223.61,224.68,"26,62,216","59,81,46,154.82","24,534","7,90,101",29.68
HUDCO,EQ,19-Jun-2025,223.61,223.61,224.93,216.3,216.9,217.66,219.68,"39,96,335","87,79,20,489.77","36,827","14,94,096",37.39
HUDCO,EQ,20-Jun-2025,217.66,218.75,227.99,218.63,227.84,227.15,223.9,"68,89,921","1,54,26,21,399.22","45,426","20,12,496",29.21
HUDCO,EQ,23-Jun-2025,227.15,225.0,232.92,224.2,231.7,232.04,229.61,"1,17,55,735","2,69,91,81,538.88","59,871","23,59,413",20.07
HUDCO,EQ,24-Jun-2025,232.04,234.35,236.0,231.05,232.84,233.5,234.14,"49,65,525","1,16,26,45,314.99","37,657","13,48,487",27.16
HUDCO,EQ,25-Jun-2025,233.5,233.5,240.45,233.05,239.23,239.61,238.07,"81,79,316","1,94,72,40,104.01","55,472","26,46,137",32.35
HUDCO,EQ,26-Jun-2025,239.61,239.61,241.25,237.42,240.0,240.43,239.32,"51,07,027","1,22,22,37,167.25","34,023","15,52,272",30.39
HUDCO,EQ,27-Jun-2025,240.43,240.85,242.9,235.38,236.2,236.04,238.5,"57,67,027","1,37,54,53,634.07","52,643","26,97,740",46.78
HUDCO,EQ,30-Jun-2025,236.04,236.85,241.25,236.5,238.1,237.56,238.39,"34,70,933","82,74,47,227.64","31,449","11,67,371",33.63
HUDCO,EQ,01-Jul-2025,237.56,241.0,242.56,235.8,240.36,240.4,239.39,"69,86,225","1,67,24,00,703.10","45,955","13,90,948",19.91
HUDCO,EQ,02-Jul-2025,240.4,240.4,240.79,232.72,233.3,233.97,235.2,"49,21,302","1,15,74,95,675.18","38,910","20,49,595",41.65
HUDCO,EQ,03-Jul-2025,233.97,234.0,234.6,230.5,230.75,231.01,232.34,"27,56,057","64,03,47,804.43","29,441","10,03,286",36.4
HUDCO,EQ,04-Jul-2025,231.01,231.01,233.99,229.55,231.21,231.42,231.74,"28,72,546","66,56,94,911.01","25,795","8,93,877",31.12
HUDCO,EQ,07-Jul-2025,231.42,230.5,231.0,226.8,227.72,227.33,228.41,"31,59,878","72,17,54,238.18","28,526","14,29,564",45.24
HUDCO,EQ,08-Jul-2025,227.33,227.72,229.5,224.01,229.5,229.17,227.39,"33,76,984","76,78,81,205.12","32,065","8,92,360",26.42
HUDCO,EQ,09-Jul-2025,229.17,229.5,232.05,228.6,229.55,229.96,230.77,"33,54,508","77,41,12,314.56","27,168","10,99,674",32.78
HUDCO,EQ,10-Jul-2025,229.96,229.96,231.87,228.6,231.0,231.36,230.51,"30,51,612","70,34,26,806.27","19,911","12,69,539",41.6
HUDCO,EQ,11-Jul-2025,231.36,229.6,233.49,229.33,230.2,230.71,231.6,"42,39,830","98,19,52,657.55","32,598","12,10,928",28.56
HUDCO,EQ,14-Jul-2025,230.71,232.0,234.75,230.5,231.21,231.43,232.69,"42,17,747","98,14,45,114.86","33,738","10,99,598",26.07
HUDCO,EQ,15-Jul-2025,231.43,232.5,235.88,231.62,233.25,233.35,233.83,"45,22,122","1,05,73,90,240.48","32,878","13,41,628",29.67
HUDCO,EQ,16-Jul-2025,233.35,233.35,233.75,231.25,232.65,232.57,232.35,"14,19,262","32,97,59,881.60","13,876","4,31,748",30.42
HUDCO,EQ,17-Jul-2025,232.57,232.0,233.47,228.85,229.32,229.24,230.19,"32,43,384","74,65,80,234.77","23,041","15,44,955",47.63
HUDCO,EQ,18-Jul-2025,229.24,229.8,230.76,225.65,226.3,226.15,227.37,"22,24,963","50,58,99,404.89","22,457","7,59,750",34.15
HUDCO,EQ,21-Jul-2025,226.15,226.14,228.8,223.7,227.74,227.61,226.59,"21,16,704","47,96,33,323.28","22,275","5,90,228",27.88
HUDCO,EQ,22-Jul-2025,227.61,227.8,229.45,224.95,225.48,225.46,226.55,"18,96,003","42,95,38,234.85","20,112","6,81,763",35.96
HUDCO,EQ,23-Jul-2025,225.46,226.5,226.5,222.3,225.13,225.22,224.17,"34,36,651","77,03,98,258.26","33,992","11,25,060",32.74
HUDCO,EQ,24-Jul-2025,225.22,225.22,226.34,222.31,224.6,225.06,224.47,"26,38,858","59,23,37,056.41","25,000","10,98,522",41.63
HUDCO,EQ,25-Jul-2025,225.06,223.8,224.4,217.8,218.1,218.64,220.69,"29,19,838","64,43,74,947.08","30,717","9,97,309",34.16
HUDCO,EQ,28-Jul-2025,218.64,217.95,221.9,213.3,214.11,214.39,217.85,"24,48,221","53,33,52,743.12","26,444","5,76,400",23.54
HUDCO,EQ,29-Jul-2025,214.39,213.98,217.3,212.36,217.15,216.36,214.96,"20,20,388","43,43,08,264.16","22,980","5,54,051",27.42
HUDCO,EQ,30-Jul-2025,216.36,217.2,218.6,214.66,218.29,217.43,217.09,"31,60,010","68,60,08,505.57","21,424","10,90,504",34.51
HUDCO,EQ,31-Jul-2025,217.43,214.5,215.7,211.0,211.41,212.27,213.53,"29,78,420","63,59,88,302.04","26,178","10,05,479",33.76
HUDCO,EQ,01-Aug-2025,212.27,211.42,214.68,209.35,210.1,210.43,211.93,"42,84,803","90,80,79,406.06","31,796","16,80,711",39.22
HUDCO,EQ,04-Aug-2025,210.43,210.5,219.9,210.1,218.9,218.9,216.42,"41,60,592","90,04,36,504.90","33,602","12,90,369",31.01
HUDCO,EQ,05-Aug-2025,218.9,218.0,219.59,215.91,218.6,218.74,218.04,"26,18,272","57,08,94,324.03","20,833","9,40,740",35.93
HUDCO,EQ,06-Aug-2025,218.74,218.75,219.02,211.29,211.65,211.82,213.63,"28,45,652","60,79,04,204.56","27,981","8,77,096",30.82
HUDCO,EQ,07-Aug-2025,211.82,214.0,215.9,205.7,210.99,210.66,210.3,"1,00,67,801","2,11,72,92,578.28","65,575","18,85,463",18.73
HUDCO,EQ,08-Aug-2025,210.66,211.0,211.93,206.8,207.25,207.63,209.02,"42,58,867","89,02,01,076.59","30,457","14,11,399",33.14
HUDCO,EQ,11-Aug-2025,207.63,208.09,211.8,207.3,210.58,210.33,209.91,"27,69,931","58,14,46,674.13","24,754","7,10,119",25.64
HUDCO,EQ,12-Aug-2025,210.33,210.33,212.4,209.05,211.08,210.67,210.84,"29,00,680","61,15,74,568.27","21,226","12,30,826",42.43
HUDCO,EQ,13-Aug-2025,210.67,211.6,214.25,209.8,210.05,210.29,211.98,"21,30,633","45,16,58,712.66","24,409","6,94,022",32.57
HUDCO,EQ,14-Aug-2025,210.29,210.0,210.63,206.7,208.76,209.0,208.52,"25,73,029","53,65,26,323.71","20,071","10,90,400",42.38
HUDCO,EQ,18-Aug-2025,209.0,211.9,213.0,209.2,211.3,210.94,211.38,"19,09,830","40,37,08,549.68","17,981","6,88,715",36.06
