symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IDEA,EQ,22-Jan-2025,9.36,9.4,9.57,9.14,9.53,9.51,9.34,"35,86,52,788","3,34,93,85,666.63","1,43,020","10,62,68,060",29.63
IDEA,EQ,23-Jan-2025,9.51,9.53,9.87,9.33,9.5,9.51,9.56,"35,62,47,545","3,40,44,22,503.09","1,60,732","8,90,71,616",25.00
IDEA,EQ,24-Jan-2025,9.51,9.5,9.67,9.4,9.46,9.46,9.52,"27,20,54,686","2,59,01,93,391.00","1,17,410","6,78,51,472",24.94
IDEA,EQ,27-Jan-2025,9.46,9.3,9.34,8.8,8.89,8.89,9.06,"31,94,71,529","2,89,56,64,711.33","1,59,952","11,20,85,627",35.08
IDEA,EQ,28-Jan-2025,8.89,8.99,9.15,8.78,8.97,9.0,9.0,"31,03,25,356","2,79,18,04,531.57","1,35,732","9,72,38,650",31.33
IDEA,EQ,29-Jan-2025,9.0,9.0,9.06,8.9,8.92,8.94,8.98,"18,64,23,902","1,67,32,42,630.43","1,05,567","5,81,23,379",31.18
IDEA,EQ,30-Jan-2025,8.94,8.86,9.05,8.86,8.99,8.99,8.97,"25,50,95,259","2,28,84,22,457.27","1,17,666","5,35,22,523",20.98
IDEA,EQ,31-Jan-2025,8.99,9.05,9.1,8.88,9.05,9.05,9.0,"33,68,20,197","3,03,08,23,495.50","1,13,760","10,26,89,111",30.49
IDEA,EQ,01-Feb-2025,9.05,9.06,9.93,8.67,9.36,9.6,9.34,"80,70,81,992","7,53,47,25,161.97","2,29,770","15,63,09,578",19.37
IDEA,EQ,03-Feb-2025,9.6,9.21,9.41,9.02,9.08,9.07,9.16,"38,45,82,320","3,52,35,65,575.00","1,44,723","8,68,27,832",22.58
IDEA,EQ,04-Feb-2025,9.07,9.29,9.61,9.09,9.41,9.4,9.37,"41,82,44,166","3,91,84,93,798.58","1,37,759","7,96,20,108",19.04
IDEA,EQ,05-Feb-2025,9.4,9.4,9.7,9.39,9.52,9.54,9.61,"34,91,83,730","3,35,53,47,460.19","1,52,575","8,83,13,846",25.29
IDEA,EQ,06-Feb-2025,9.54,9.66,9.66,9.23,9.29,9.27,9.37,"22,30,76,819","2,09,10,31,142.56","1,23,715","5,05,68,254",22.67
IDEA,EQ,07-Feb-2025,9.27,9.29,9.8,9.27,9.48,9.47,9.5,"60,51,99,609","5,75,20,48,435.61","1,79,593","17,07,61,665",28.22
IDEA,EQ,10-Feb-2025,9.47,9.55,9.55,9.06,9.13,9.11,9.24,"26,21,61,729","2,42,32,31,009.49","1,50,395","7,57,32,182",28.89
IDEA,EQ,11-Feb-2025,9.11,9.11,9.17,8.72,8.82,8.82,8.9,"25,84,60,983","2,30,07,37,384.36","1,61,326","6,40,80,107",24.79
IDEA,EQ,12-Feb-2025,8.82,8.8,8.8,8.1,8.47,8.39,8.41,"57,65,88,022","4,85,05,51,168.31","2,13,095","10,41,74,961",18.07
