symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IDFCFIRSTB,EQ,22-Jan-2025,63.33,63.34,63.44,61.62,63.01,62.82,62.44,"1,87,63,271","1,17,16,25,117.39","78,276","88,90,576",47.38
IDFCFIRSTB,EQ,23-Jan-2025,62.82,62.77,63.79,62.3,62.9,63.11,63.1,"1,24,98,402","78,86,84,837.39","49,757","49,41,034",39.53
IDFCFIRSTB,EQ,24-Jan-2025,63.11,62.86,63.86,61.64,62.17,62.27,62.69,"2,69,08,160","1,68,69,96,263.14","82,515","93,17,099",34.63
IDFCFIRSTB,EQ,27-Jan-2025,62.27,59.01,60.1,56.43,56.9,56.73,57.96,"10,17,31,537","5,89,68,11,155.37","3,32,873","3,97,31,785",39.06
IDFCFIRSTB,EQ,28-Jan-2025,56.73,57.8,59.35,57.25,58.3,58.27,58.43,"7,27,84,826","4,25,28,35,874.93","1,36,641","2,87,03,046",39.44
IDFCFIRSTB,EQ,29-Jan-2025,58.27,58.27,60.0,57.8,59.98,59.82,58.64,"5,85,62,492","3,43,40,79,970.11","97,660","3,00,34,120",51.29
IDFCFIRSTB,EQ,30-Jan-2025,59.82,59.8,61.9,59.46,61.1,61.19,61.29,"5,25,44,708","3,22,05,84,397.68","1,34,652","1,67,90,968",31.96
IDFCFIRSTB,EQ,31-Jan-2025,61.19,61.21,63.77,60.81,63.29,63.24,62.67,"3,63,26,174","2,27,64,28,994.03","76,329","1,88,82,496",51.98
IDFCFIRSTB,EQ,01-Feb-2025,63.24,63.23,63.5,61.63,62.03,61.95,62.39,"2,26,62,533","1,41,38,31,773.78","71,672","91,36,025",40.31
IDFCFIRSTB,EQ,03-Feb-2025,61.95,61.5,62.77,60.87,62.2,62.26,62.2,"2,00,92,486","1,24,96,68,381.80","57,373","91,33,210",45.46
IDFCFIRSTB,EQ,04-Feb-2025,62.26,62.31,63.37,61.77,62.18,62.12,62.47,"2,25,10,221","1,40,61,39,916.02","1,09,633","1,11,99,171",49.75
IDFCFIRSTB,EQ,05-Feb-2025,62.12,62.61,63.74,62.12,63.29,63.33,63.08,"2,22,84,144","1,40,57,22,148.75","64,718","1,37,40,561",61.66
IDFCFIRSTB,EQ,06-Feb-2025,63.33,63.68,64.05,63.3,63.9,63.73,63.67,"3,51,43,795","2,23,77,37,153.42","59,368","2,63,22,383",74.90
IDFCFIRSTB,EQ,07-Feb-2025,63.73,63.93,64.5,63.17,64.35,64.09,64.02,"3,68,78,678","2,36,10,38,618.18","96,136","2,16,80,154",58.79
IDFCFIRSTB,EQ,10-Feb-2025,64.09,64.09,64.29,62.15,62.95,62.91,62.78,"1,54,24,981","96,83,90,473.99","61,722","61,18,732",39.67
