symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INOXWIND,EQ,22-Jan-2025,165.57,165.18,165.18,155.0,155.75,156.25,157.27,"58,28,321","91,66,11,751.84","74,789","25,18,830",43.22
INOXWIND,EQ,23-Jan-2025,156.25,155.14,156.51,148.62,149.95,149.45,151.98,"80,75,569","1,22,73,08,826.49","1,03,432","37,12,541",45.97
INOXWIND,EQ,24-Jan-2025,149.45,149.46,150.05,141.6,143.4,142.89,145.15,"73,34,456","1,06,46,19,519.21","80,968","34,18,437",46.61
INOXWIND,EQ,27-Jan-2025,142.89,140.0,140.88,133.0,138.36,138.99,136.27,"1,25,45,751","1,70,96,11,707.96","1,27,397","50,15,762",39.98
INOXWIND,EQ,28-Jan-2025,138.99,138.25,138.49,130.32,134.9,134.93,133.84,"73,70,291","98,64,64,760.72","87,055","23,40,197",31.75
INOXWIND,EQ,29-Jan-2025,134.93,138.0,161.91,137.65,161.91,161.5,153.27,"5,38,35,770","8,25,15,97,480.97","2,92,547","67,50,622",12.54
INOXWIND,EQ,30-Jan-2025,161.5,164.76,168.39,157.1,158.5,161.84,162.5,"3,27,88,362","5,32,79,99,003.06","2,56,145","46,85,829",14.29
INOXWIND,EQ,31-Jan-2025,161.84,163.5,172.44,160.0,168.85,168.59,167.88,"2,21,38,939","3,71,65,99,243.06","1,65,622","47,98,410",21.67
INOXWIND,EQ,01-Feb-2025,168.59,176.02,188.8,163.32,172.0,171.88,177.35,"5,61,67,140","9,96,13,13,919.73","3,68,697","63,03,494",11.22
INOXWIND,EQ,03-Feb-2025,171.88,168.01,169.8,158.53,161.8,161.8,162.69,"1,26,68,023","2,06,09,29,761.51","1,04,002","29,62,403",23.38
INOXWIND,EQ,04-Feb-2025,161.8,165.0,175.9,162.01,167.6,168.01,170.24,"3,22,39,416","5,48,84,38,184.66","2,53,496","38,49,998",11.94
