symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IOC,EQ,22-Jan-2025,131.08,132.2,132.6,128.44,130.45,130.52,129.93,"92,02,153","1,19,56,63,314.36","74,474","33,18,911",36.07
IOC,EQ,23-Jan-2025,130.52,130.4,130.69,128.84,129.75,129.83,129.72,"70,58,477","91,56,51,695.40","74,363","27,55,114",39.03
IOC,EQ,24-Jan-2025,129.83,130.99,132.75,127.9,128.61,128.26,129.93,"1,26,30,632","1,64,11,37,964.16","93,340","37,44,116",29.64
IOC,EQ,27-Jan-2025,128.26,127.97,127.97,122.5,124.0,124.17,125.23,"1,89,34,026","2,37,10,86,285.50","1,72,792","70,20,105",37.08
IOC,EQ,28-Jan-2025,124.17,124.17,125.85,121.84,123.19,122.58,123.2,"1,98,61,475","2,44,69,27,668.78","1,37,543","93,83,651",47.25
IOC,EQ,29-Jan-2025,122.58,123.19,124.39,122.9,123.95,123.64,123.61,"1,20,17,314","1,48,54,69,004.55","1,07,022","64,31,644",53.52
IOC,EQ,30-Jan-2025,123.64,124.4,128.5,123.86,127.38,127.12,126.8,"1,77,76,744","2,25,41,61,642.38","85,636","66,30,996",37.3
IOC,EQ,31-Jan-2025,127.12,127.12,128.85,126.15,128.85,128.49,128.06,"96,86,000","1,24,04,29,400.61","56,944","50,68,350",52.33
IOC,EQ,01-Feb-2025,128.49,128.85,129.75,124.61,125.49,125.42,126.67,"1,05,35,114","1,33,44,80,991.85","74,825","35,07,405",33.29
IOC,EQ,03-Feb-2025,125.42,124.11,124.2,120.1,121.37,120.96,121.3,"2,60,47,332","3,15,94,19,861.02","1,90,598","1,38,80,015",53.29
IOC,EQ,04-Feb-2025,120.96,122.7,124.68,122.5,124.6,124.46,123.86,"1,44,05,748","1,78,42,60,703.12","80,707","69,58,077",48.3
IOC,EQ,05-Feb-2025,124.46,125.49,128.48,125.46,126.2,126.43,127.25,"1,14,69,878","1,45,94,85,866.25","82,144","42,13,875",36.74
IOC,EQ,06-Feb-2025,126.43,128.05,128.22,125.32,126.13,126.02,126.74,"98,04,040","1,24,25,54,126.37","68,256","42,33,906",43.19
IOC,EQ,07-Feb-2025,126.02,126.03,126.75,124.43,125.08,125.11,125.58,"88,92,600","1,11,67,58,631.48","63,225","40,06,044",45.05
IOC,EQ,10-Feb-2025,125.11,125.0,126.62,122.86,123.35,123.18,123.56,"1,27,73,729","1,57,83,57,192.18","93,295","73,58,385",57.61
IOC,EQ,11-Feb-2025,123.18,123.18,123.74,120.0,120.59,120.47,121.3,"1,45,32,810","1,76,28,68,975.01","1,03,327","85,18,627",58.62
IOC,EQ,12-Feb-2025,120.47,120.69,121.2,117.28,120.85,120.42,119.43,"1,47,99,271","1,76,74,17,248.49","99,334","63,80,045",43.11
IOC,EQ,13-Feb-2025,120.42,121.0,122.0,119.95,120.05,120.08,120.96,"1,01,36,689","1,22,61,80,434.92","75,975","52,81,840",52.11
IOC,EQ,14-Feb-2025,120.08,120.5,121.24,116.0,117.17,117.25,117.88,"1,23,51,973","1,45,59,98,510.61","1,13,217","55,55,652",44.98
IOC,EQ,17-Feb-2025,117.25,117.25,118.8,114.4,118.65,118.45,117.07,"1,25,18,983","1,46,56,54,014.34","89,388","46,89,957",37.46
IOC,EQ,18-Feb-2025,118.45,118.45,119.25,116.31,118.71,119.0,117.9,"86,78,689","1,02,32,02,013.03","64,711","42,16,806",48.59
IOC,EQ,19-Feb-2025,119.0,118.11,120.17,117.9,120.0,119.87,119.39,"91,58,990","1,09,35,16,547.31","79,135","41,91,474",45.76
IOC,EQ,20-Feb-2025,119.87,119.84,122.95,118.98,122.82,122.79,121.8,"99,40,851","1,21,07,56,742.16","73,950","48,38,303",48.67
IOC,EQ,21-Feb-2025,122.79,122.0,123.71,120.83,121.74,121.33,121.97,"96,57,933","1,17,79,34,506.35","82,938","48,27,690",49.99
IOC,EQ,24-Feb-2025,121.33,120.25,121.31,119.4,120.35,120.22,120.4,"87,64,985","1,05,53,30,830.80","77,068","43,14,839",49.23
IOC,EQ,25-Feb-2025,120.22,120.22,120.71,118.4,118.62,118.65,119.46,"76,07,411","90,87,52,466.30","77,030","41,62,226",54.71
IOC,EQ,27-Feb-2025,118.65,118.26,119.0,116.09,116.15,116.42,117.03,"1,07,09,253","1,25,32,80,641.36","84,848","59,78,084",55.82
IOC,EQ,28-Feb-2025,116.42,116.0,116.21,112.92,113.92,113.49,114.01,"2,41,61,878","2,75,45,94,319.93","1,22,438","1,53,02,859",63.33
IOC,EQ,03-Mar-2025,113.49,114.7,115.35,110.72,114.6,114.56,113.08,"1,88,81,646","2,13,51,34,580.57","1,08,432","84,79,931",44.91
IOC,EQ,04-Mar-2025,114.56,113.1,118.45,111.91,118.06,118.04,116.53,"1,41,45,658","1,64,84,05,029.75","82,238","56,50,887",39.95
IOC,EQ,05-Mar-2025,118.04,118.04,122.58,117.75,122.26,122.25,121.24,"1,95,77,861","2,37,35,87,061.07","81,301","1,06,12,691",54.21
IOC,EQ,06-Mar-2025,122.25,124.6,126.88,123.95,125.49,125.84,125.48,"1,93,84,187","2,43,23,28,316.31","1,01,899","73,72,597",38.03
IOC,EQ,07-Mar-2025,125.84,125.75,126.3,123.7,124.7,124.84,125.06,"1,47,63,396","1,84,63,53,412.44","83,264","70,14,592",47.51
IOC,EQ,10-Mar-2025,124.84,124.0,125.44,121.1,121.7,121.59,123.24,"1,27,27,300","1,56,85,39,124.03","1,17,719","59,08,968",46.43
IOC,EQ,11-Mar-2025,121.59,121.19,125.25,120.34,125.05,124.82,123.7,"1,80,90,217","2,23,78,44,870.27","90,250","79,25,515",43.81
IOC,EQ,12-Mar-2025,124.82,125.0,127.8,124.18,125.24,125.29,125.62,"1,40,79,943","1,76,87,70,444.39","65,765","59,80,724",42.48
IOC,EQ,13-Mar-2025,125.29,125.0,126.47,124.33,125.65,125.67,125.69,"1,08,82,226","1,36,77,63,043.30","46,583","56,72,400",52.13
IOC,EQ,17-Mar-2025,125.67,125.43,126.0,123.15,124.1,124.11,124.29,"1,31,26,163","1,63,14,33,764.70","75,491","69,64,637",53.06
IOC,EQ,18-Mar-2025,124.11,124.5,125.5,123.68,125.35,125.15,124.67,"89,40,367","1,11,45,98,711.30","73,484","41,58,054",46.51
IOC,EQ,19-Mar-2025,125.15,125.31,127.9,125.31,127.79,127.75,127.02,"1,12,73,526","1,43,19,83,017.12","66,992","59,39,294",52.68
IOC,EQ,20-Mar-2025,127.75,128.4,131.0,127.42,129.1,129.21,129.44,"1,39,47,925","1,80,53,52,372.43","74,897","62,10,000",44.52
IOC,EQ,21-Mar-2025,129.21,129.26,133.45,128.75,131.6,131.51,131.3,"4,29,28,510","5,63,66,49,034.33","1,11,250","2,85,68,789",66.55
IOC,EQ,24-Mar-2025,131.51,133.0,134.33,131.37,133.88,133.67,133.13,"1,39,65,745","1,85,92,92,477.90","81,287","61,25,858",43.86
IOC,EQ,25-Mar-2025,133.67,134.0,134.23,130.45,130.9,131.03,131.87,"1,23,80,949","1,63,26,94,932.31","76,484","59,24,249",47.85
