symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IRFC,EQ,22-Jan-2025,142.39,142.5,142.75,136.71,140.15,140.25,138.95,"1,91,98,201","2,66,75,86,628.44","1,34,243","36,78,968",19.16
IRFC,EQ,23-Jan-2025,140.25,139.0,144.4,138.11,141.09,141.37,141.78,"1,76,71,282","2,50,54,85,112.98","1,04,836","29,72,506",16.82
IRFC,EQ,24-Jan-2025,141.37,141.6,143.18,139.0,140.68,140.68,140.69,"1,58,43,304","2,22,89,67,028.81","98,140","39,50,193",24.93
IRFC,EQ,27-Jan-2025,140.68,139.0,139.19,135.81,136.75,137.05,137.23,"1,59,84,361","2,19,35,49,887.79","1,16,470","41,47,971",25.95
IRFC,EQ,28-Jan-2025,137.05,138.0,140.19,134.72,138.05,137.82,137.27,"2,32,24,966","3,18,80,44,685.85","1,43,985","50,71,006",21.83
IRFC,EQ,29-Jan-2025,137.82,138.7,142.25,138.45,142.0,141.73,141.06,"1,95,60,159","2,75,92,36,094.76","1,13,768","42,09,785",21.52
IRFC,EQ,30-Jan-2025,141.73,142.8,149.2,141.85,148.98,148.23,146.18,"4,01,94,969","5,87,55,66,509.13","2,11,411","91,02,042",22.64
IRFC,EQ,31-Jan-2025,148.23,149.18,152.57,146.26,150.99,150.94,150.22,"5,06,47,026","7,60,79,47,227.37","2,29,385","1,24,69,653",24.62
IRFC,EQ,01-Feb-2025,150.94,151.9,155.52,139.15,141.4,141.22,147.76,"7,68,93,891","11,36,19,08,172.61","4,68,214","1,47,23,022",19.15
IRFC,EQ,03-Feb-2025,141.22,137.34,139.24,133.45,137.3,136.84,135.43,"3,62,36,290","4,90,76,05,870.93","2,47,586","87,62,068",24.18
IRFC,EQ,04-Feb-2025,136.84,140.0,140.2,136.1,137.6,137.84,137.75,"2,16,95,745","2,98,85,24,885.81","1,28,698","56,53,707",26.06
IRFC,EQ,05-Feb-2025,137.84,137.98,140.1,137.5,137.9,137.93,138.75,"1,30,87,044","1,81,58,12,409.47","87,839","37,70,805",28.81
IRFC,EQ,06-Feb-2025,137.93,137.93,138.7,135.6,136.0,136.31,136.74,"1,15,27,600","1,57,63,11,830.41","86,058","35,76,034",31.02
IRFC,EQ,07-Feb-2025,136.31,135.99,136.2,133.0,133.5,133.43,134.48,"1,68,60,473","2,26,74,77,538.45","1,21,807","54,87,464",32.55
IRFC,EQ,10-Feb-2025,133.43,133.5,134.5,130.62,131.07,131.05,131.82,"1,34,64,523","1,77,49,54,668.01","1,24,196","45,10,217",33.5
IRFC,EQ,11-Feb-2025,131.05,131.34,131.65,125.5,126.16,126.25,127.19,"2,05,69,801","2,61,63,12,589.14","1,79,274","73,42,669",35.7
IRFC,EQ,12-Feb-2025,126.25,126.0,127.1,119.29,125.5,125.35,123.46,"3,64,95,363","4,50,56,74,822.92","2,19,169","70,70,767",19.37
IRFC,EQ,13-Feb-2025,125.35,125.6,128.8,125.35,126.3,126.57,127.35,"1,54,69,045","1,96,99,35,726.29","96,679","36,80,736",23.79
IRFC,EQ,14-Feb-2025,126.57,127.2,127.95,121.0,121.65,121.75,123.3,"1,86,31,299","2,29,72,62,069.44","1,37,356","51,70,023",27.75
IRFC,EQ,17-Feb-2025,121.75,120.72,122.83,117.88,121.94,121.78,120.74,"2,25,36,906","2,72,10,41,390.89","1,54,799","52,46,510",23.28
IRFC,EQ,18-Feb-2025,121.78,121.8,122.19,117.85,118.55,119.27,119.24,"1,76,08,523","2,09,95,63,825.76","1,20,952","41,62,835",23.64
IRFC,EQ,19-Feb-2025,119.27,118.2,125.84,117.21,124.2,124.27,123.56,"3,32,85,812","4,11,27,41,755.01","1,66,738","45,69,018",13.73
IRFC,EQ,20-Feb-2025,124.27,123.69,125.98,122.4,124.7,124.78,124.82,"1,38,56,925","1,72,96,46,662.70","81,983","33,41,802",24.12
IRFC,EQ,21-Feb-2025,124.78,124.8,127.6,123.74,124.75,125.11,125.81,"2,53,18,595","3,18,52,73,090.81","1,23,208","48,52,265",19.16
IRFC,EQ,24-Feb-2025,125.11,124.39,125.15,122.5,123.4,123.47,123.84,"1,38,38,044","1,71,37,56,264.04","82,632","34,29,401",24.78
IRFC,EQ,25-Feb-2025,123.47,123.4,125.37,122.81,123.22,123.26,123.92,"1,32,66,198","1,64,39,28,623.30","69,489","33,98,806",25.62
IRFC,EQ,27-Feb-2025,123.26,123.5,124.0,119.5,119.98,120.36,121.51,"1,87,48,431","2,27,80,41,040.89","1,13,445","61,43,667",32.77
IRFC,EQ,28-Feb-2025,120.36,118.99,119.43,111.7,112.3,112.42,114.88,"2,89,27,630","3,32,31,07,094.87","2,07,021","97,29,438",33.63
IRFC,EQ,03-Mar-2025,112.42,112.99,115.86,108.04,111.6,111.13,110.92,"4,29,18,659","4,76,03,37,296.09","2,37,033","97,59,218",22.74
IRFC,EQ,04-Mar-2025,111.13,111.2,115.35,110.0,114.95,114.59,113.8,"4,23,37,061","4,81,78,79,581.92","1,96,313","60,33,880",14.25
IRFC,EQ,05-Mar-2025,114.59,115.1,118.33,114.66,118.2,117.73,116.87,"2,15,55,437","2,51,90,87,596.77","1,15,973","37,80,071",17.54
IRFC,EQ,06-Mar-2025,117.73,119.51,121.38,118.8,120.6,120.59,120.21,"2,32,06,624","2,78,97,33,633.72","1,14,961","49,40,116",21.29
IRFC,EQ,07-Mar-2025,120.59,120.99,124.99,119.9,123.7,123.42,123.37,"3,12,22,210","3,85,18,40,608.71","1,46,294","50,95,636",16.32
IRFC,EQ,10-Mar-2025,123.42,124.1,125.42,118.45,119.4,119.75,121.26,"2,14,56,437","2,60,17,25,327.59","1,10,096","55,35,296",25.8
IRFC,EQ,11-Mar-2025,119.75,118.0,120.6,116.57,120.45,119.3,118.17,"1,70,46,285","2,01,43,49,810.80","86,435","34,05,514",19.98
