symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ITC,EQ,22-Jan-2025,437.55,439.9,441.95,436.55,436.75,437.0,438.79,"96,19,648","4,22,09,97,156.10","1,33,708","55,67,099",57.87
ITC,EQ,23-Jan-2025,437.0,435.0,441.85,434.1,440.45,440.2,439.59,"88,88,248","3,90,71,65,756.85","1,31,321","47,53,594",53.48
ITC,EQ,24-Jan-2025,440.2,439.4,445.0,439.05,441.4,441.6,442.53,"96,65,384","4,27,72,28,029.70","1,41,694","60,70,113",62.80
ITC,EQ,27-Jan-2025,441.6,440.8,445.0,436.55,439.9,440.1,440.42,"1,04,80,203","4,61,56,46,516.45","1,55,397","62,86,459",59.98
ITC,EQ,28-Jan-2025,440.1,440.0,441.8,434.5,434.65,435.45,437.14,"2,08,13,072","9,09,82,82,699.20","1,74,411","1,25,57,031",60.33
ITC,EQ,29-Jan-2025,435.45,435.95,437.5,430.1,433.25,433.35,433.19,"1,51,58,510","6,56,64,56,115.00","2,70,156","99,59,829",65.70
ITC,EQ,30-Jan-2025,433.35,433.0,438.0,431.45,436.0,436.2,434.97,"2,24,96,695","9,78,54,77,722.40","2,06,602","1,54,95,715",68.88
ITC,EQ,31-Jan-2025,436.2,436.5,448.2,435.1,447.7,447.5,443.74,"1,35,46,181","6,01,10,29,618.05","2,92,498","95,67,680",70.63
ITC,EQ,01-Feb-2025,447.5,448.0,471.5,439.55,461.55,462.55,459.22,"3,03,93,007","13,95,70,38,228.10","3,08,264","1,27,37,210",41.91
ITC,EQ,03-Feb-2025,462.55,462.0,465.2,452.3,453.5,454.35,457.77,"1,69,91,730","7,77,82,30,238.50","2,78,444","96,27,342",56.66
ITC,EQ,04-Feb-2025,454.35,458.0,460.35,448.75,454.3,455.15,454.39,"1,89,23,681","8,59,86,91,176.90","2,19,082","1,08,06,930",57.11
ITC,EQ,05-Feb-2025,455.15,455.15,455.85,446.5,448.5,448.15,450.02,"1,28,36,283","5,77,65,23,794.20","1,55,466","82,54,209",64.30
ITC,EQ,06-Feb-2025,448.15,450.0,450.0,438.2,442.75,441.1,441.65,"1,74,69,129","7,71,52,80,524.95","1,64,798","1,00,73,598",57.67
ITC,EQ,07-Feb-2025,441.1,440.0,445.5,428.4,430.1,430.85,432.24,"1,88,75,982","8,15,88,60,785.30","2,12,183","1,11,01,522",58.81
ITC,EQ,10-Feb-2025,430.85,427.0,433.3,426.5,427.7,427.2,428.76,"1,22,27,140","5,24,24,93,795.80","1,56,939","81,94,600",67.02
ITC,EQ,11-Feb-2025,427.2,428.8,430.55,417.5,418.05,418.3,421.57,"1,42,88,751","6,02,37,50,310.80","1,87,384","87,33,094",61.12
ITC,EQ,12-Feb-2025,418.3,413.15,413.8,407.6,411.2,409.9,410.36,"1,38,84,574","5,69,76,74,234.65","2,07,478","76,71,814",55.25
ITC,EQ,13-Feb-2025,409.9,409.95,413.95,409.0,410.0,409.7,411.14,"1,29,89,029","5,34,03,10,573.90","1,85,598","85,40,154",65.75
ITC,EQ,14-Feb-2025,409.7,411.75,416.2,408.4,410.0,410.25,411.41,"1,41,24,236","5,81,08,70,731.00","1,99,616","76,52,472",54.18
ITC,EQ,17-Feb-2025,410.25,409.8,411.4,406.75,408.6,408.6,408.96,"1,19,75,265","4,89,74,17,889.10","2,85,419","78,52,631",65.57
ITC,EQ,18-Feb-2025,408.6,408.0,410.85,404.0,404.9,405.25,406.53,"1,29,98,403","5,28,42,37,636.80","2,08,753","96,52,056",74.26
ITC,EQ,19-Feb-2025,405.25,404.8,408.8,404.5,406.2,406.4,406.89,"70,79,032","2,88,04,11,815.90","88,693","43,59,885",61.59
ITC,EQ,20-Feb-2025,406.4,399.95,403.9,396.2,402.0,402.05,401.31,"1,53,55,585","6,16,23,79,397.35","2,26,856","89,37,485",58.20
ITC,EQ,21-Feb-2025,402.05,402.05,403.25,399.2,400.7,400.9,400.75,"82,40,986","3,30,25,44,309.75","1,75,217","50,15,724",60.86
ITC,EQ,24-Feb-2025,400.9,400.0,403.4,398.75,402.0,401.9,401.96,"70,37,625","2,82,88,32,996.75","1,21,155","41,55,102",59.04
ITC,EQ,25-Feb-2025,401.9,402.0,407.0,400.5,404.0,404.85,404.11,"1,57,60,891","6,36,90,71,142.95","1,38,641","1,09,91,293",69.74
ITC,EQ,27-Feb-2025,404.85,404.85,406.5,399.5,401.5,401.6,401.75,"1,90,51,003","7,65,36,97,871.25","1,63,369","1,51,11,793",79.32
ITC,EQ,28-Feb-2025,401.6,399.0,402.5,392.2,395.9,395.0,394.79,"3,19,54,776","12,61,54,32,840.90","2,44,503","2,41,84,137",75.68
ITC,BL,28-Feb-2025,481.6,401.6,401.6,401.6,401.6,401.6,401.6,"26,55,000","1,06,62,48,000.00",1,-,-
ITC,EQ,03-Mar-2025,395.0,395.95,399.0,391.2,397.0,397.45,396.98,"1,07,02,826","4,24,87,73,535.65","1,69,634","69,93,828",65.35
ITC,EQ,04-Mar-2025,397.45,395.4,397.2,392.85,394.45,394.85,394.38,"1,34,04,774","5,28,65,94,132.80","1,54,199","94,85,838",70.76
