symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JSWENERGY,EQ,22-Jan-2025,557.55,557.55,561.5,541.3,549.8,550.0,548.79,"22,40,871","1,22,97,64,426.90","62,838","12,65,551",56.48
JSWENERGY,EQ,23-Jan-2025,550.0,546.95,559.65,540.8,551.5,552.1,551.2,"17,16,243","94,59,90,816.40","41,642","8,03,559",46.82
JSWENERGY,EQ,24-Jan-2025,552.1,555.0,564.0,538.1,544.55,544.15,549.56,"21,08,004","1,15,84,77,246.10","64,886","7,47,706",35.47
JSWENERGY,EQ,27-Jan-2025,544.15,540.0,542.3,530.0,532.8,534.35,536.47,"24,52,402","1,31,56,40,389.55","63,250","13,21,338",53.88
JSWENERGY,EQ,28-Jan-2025,534.35,531.5,534.35,502.2,504.0,504.0,510.71,"48,51,730","2,47,78,25,336.80","1,18,185","21,58,967",44.50
JSWENERGY,EQ,29-Jan-2025,504.0,463.7,488.35,453.6,473.8,474.75,470.72,"2,89,08,664","13,60,80,26,844.95","3,03,890","1,19,39,217",41.30
JSWENERGY,EQ,30-Jan-2025,474.75,476.8,496.0,474.75,484.35,483.85,486.77,"95,65,616","4,65,62,23,998.10","1,41,364","32,54,690",34.02
JSWENERGY,EQ,31-Jan-2025,483.85,489.5,509.95,482.2,509.9,508.6,501.01,"33,58,679","1,68,27,37,341.55","64,720","9,17,092",27.31
JSWENERGY,EQ,01-Feb-2025,508.6,509.45,516.55,469.0,471.7,472.0,487.39,"57,69,497","2,81,19,99,279.90","1,04,031","19,95,324",34.58
JSWENERGY,EQ,03-Feb-2025,472.0,474.8,475.9,439.6,446.0,445.65,447.86,"1,27,24,924","5,69,90,36,770.65","1,92,350","70,78,960",55.63
JSWENERGY,EQ,04-Feb-2025,445.65,453.95,473.0,446.0,471.0,469.7,459.93,"72,17,597","3,31,96,17,038.90","89,516","36,50,124",50.57
JSWENERGY,EQ,05-Feb-2025,469.7,474.85,501.5,474.5,495.0,493.8,493.17,"1,44,43,076","7,12,28,40,260.75","2,06,947","71,82,808",49.73
JSWENERGY,EQ,06-Feb-2025,493.8,494.0,500.0,488.05,492.8,494.2,494.17,"35,40,027","1,74,93,87,793.50","1,00,948","14,96,526",42.27
JSWENERGY,EQ,07-Feb-2025,494.2,492.75,494.9,482.35,485.45,484.65,487.33,"24,31,783","1,18,50,71,260.90","48,705","6,58,719",27.09
JSWENERGY,EQ,10-Feb-2025,484.65,483.6,485.0,474.0,474.35,476.9,479.48,"66,58,769","3,19,27,37,510.35","67,852","52,88,976",79.43
JSWENERGY,EQ,11-Feb-2025,476.9,475.1,477.6,461.15,466.8,466.9,467.3,"32,13,487","1,50,16,51,309.90","49,817","17,77,019",55.30
JSWENERGY,EQ,12-Feb-2025,466.9,466.85,471.0,451.75,468.6,467.6,462.1,"27,82,225","1,28,56,67,108.70","50,161","10,85,381",39.01
JSWENERGY,EQ,13-Feb-2025,467.6,468.0,480.05,465.3,467.1,467.65,472.54,"15,60,258","73,72,82,533.95","33,641","6,59,839",42.29
JSWENERGY,EQ,14-Feb-2025,467.65,469.0,470.2,434.3,436.7,437.1,443.73,"38,85,358","1,72,40,46,629.95","77,855","16,63,360",42.81
JSWENERGY,EQ,17-Feb-2025,437.1,436.05,437.1,418.75,431.0,431.5,427.0,"68,97,917","2,94,53,98,430.85","1,93,986","34,04,132",49.35
JSWENERGY,EQ,18-Feb-2025,431.5,430.5,442.75,419.7,438.5,440.4,432.57,"41,54,074","1,79,69,19,408.70","84,584","17,56,577",42.29
JSWENERGY,EQ,19-Feb-2025,440.4,439.0,460.0,431.45,454.7,454.85,453.17,"40,76,153","1,84,71,88,726.95","63,875","16,33,877",40.08
JSWENERGY,EQ,20-Feb-2025,454.85,450.0,477.75,448.8,470.0,468.55,471.61,"77,33,476","3,64,71,70,200.80","1,21,229","21,90,721",28.33
JSWENERGY,EQ,21-Feb-2025,468.55,474.0,506.7,473.1,496.0,496.6,496.04,"2,57,50,317","12,77,30,75,876.65","3,43,486","80,70,453",31.34
JSWENERGY,EQ,24-Feb-2025,496.6,494.0,497.7,478.0,480.05,479.7,487.7,"45,78,924","2,23,31,61,186.55","78,918","9,91,261",21.65
JSWENERGY,EQ,25-Feb-2025,479.7,482.0,482.8,466.2,467.0,467.25,472.53,"33,36,761","1,57,67,18,321.45","62,013","9,45,459",28.33
JSWENERGY,EQ,27-Feb-2025,467.25,474.5,476.25,454.25,458.55,458.8,464.19,"31,35,406","1,45,54,12,106.65","51,352","8,54,189",27.24
JSWENERGY,EQ,28-Feb-2025,458.8,453.05,468.0,442.35,462.7,464.1,455.55,"69,30,904","3,15,73,97,283.45","83,261","30,05,108",43.36
JSWENERGY,EQ,03-Mar-2025,464.1,464.7,477.25,449.25,474.3,473.85,464.36,"55,30,160","2,56,80,08,261.05","85,352","21,57,733",39.02
JSWENERGY,EQ,04-Mar-2025,473.85,471.5,485.35,466.55,481.4,481.25,476.96,"45,01,589","2,14,70,70,494.35","74,512","16,87,927",37.50
JSWENERGY,EQ,05-Mar-2025,481.25,479.25,514.7,479.25,508.95,509.1,501.46,"73,68,531","3,69,50,02,620.10","91,435","27,38,963",37.17
JSWENERGY,EQ,06-Mar-2025,509.1,509.5,517.0,494.6,498.4,499.6,502.29,"48,47,592","2,43,49,04,528.20","80,445","16,95,868",34.98
JSWENERGY,EQ,07-Mar-2025,499.6,498.05,506.35,486.25,491.25,491.7,495.71,"43,29,758","2,14,62,99,872.95","66,495","16,08,283",37.14
JSWENERGY,EQ,10-Mar-2025,491.7,491.0,514.4,490.25,505.3,505.35,507.56,"98,54,493","5,00,17,32,946.85","1,17,087","18,18,717",18.46
JSWENERGY,EQ,11-Mar-2025,505.35,501.0,519.5,498.1,516.25,513.75,512.6,"62,25,817","3,19,13,54,307.90","91,766","15,26,643",24.52
JSWENERGY,EQ,12-Mar-2025,513.75,517.0,523.85,506.3,518.0,515.2,515.17,"49,74,269","2,56,26,10,143.10","67,643","14,25,765",28.66
JSWENERGY,EQ,13-Mar-2025,515.2,519.65,523.65,508.1,513.55,514.1,516.04,"43,03,396","2,22,07,16,225.15","69,870","14,49,382",33.68
JSWENERGY,EQ,17-Mar-2025,514.1,519.0,530.85,516.65,528.25,527.9,526.21,"39,34,834","2,07,05,65,850.70","74,846","12,22,721",31.07
JSWENERGY,EQ,18-Mar-2025,527.9,533.95,552.15,525.15,550.0,548.35,538.23,"59,04,233","3,17,78,56,483.30","63,702","32,47,388",55.00
JSWENERGY,EQ,19-Mar-2025,548.35,551.4,574.25,550.55,567.8,570.75,565.2,"74,93,067","4,23,50,88,992.05","85,853","33,69,629",44.97
JSWENERGY,EQ,20-Mar-2025,570.75,576.0,576.0,552.1,561.0,562.9,560.11,"40,63,831","2,27,62,07,313.60","56,863","13,45,080",33.10
JSWENERGY,EQ,21-Mar-2025,562.9,563.5,564.9,555.05,559.9,559.7,559.9,"31,18,262","1,74,59,27,790.25","50,337","13,18,725",42.29
JSWENERGY,EQ,24-Mar-2025,559.7,562.55,579.0,556.85,576.05,575.25,568.23,"42,40,378","2,40,95,19,286.80","53,373","18,63,898",43.96
