symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JSWSTEEL,EQ,22-Jan-2025,926.85,932.00,932.00,907.15,917.60,919.40,919.81,"10,80,075","99,34,59,532.95","55,946","4,06,786",37.66
JSWSTEEL,EQ,23-Jan-2025,919.40,919.05,937.35,912.80,929.05,929.90,928.83,"12,67,989","1,17,77,45,256.40","71,470","3,34,556",26.38
JSWSTEEL,EQ,24-Jan-2025,929.90,930.00,953.00,925.15,931.95,932.45,940.12,"35,38,998","3,32,70,98,532.25","1,30,130","11,43,520",32.31
JSWSTEEL,EQ,27-Jan-2025,932.45,901.10,927.00,901.10,916.60,919.35,914.68,"39,08,402","3,57,49,48,823.75","85,223","16,40,560",41.98
JSWSTEEL,EQ,28-Jan-2025,919.35,923.40,925.60,904.50,913.55,916.15,914.81,"11,01,031","1,00,72,36,781.50","47,234","3,14,273",28.54
JSWSTEEL,EQ,29-Jan-2025,916.15,913.60,941.05,908.00,937.15,937.60,930.06,"12,98,065","1,20,72,77,811.30","58,748","3,94,307",30.38
JSWSTEEL,EQ,30-Jan-2025,937.60,937.90,956.00,936.20,954.50,950.85,949.76,"20,20,147","1,91,86,60,213.10","63,940","9,06,752",44.89
JSWSTEEL,EQ,31-Jan-2025,950.85,949.75,959.90,940.55,944.70,945.00,948.75,"20,37,829","1,93,33,90,616.15","53,383","10,65,281",52.28
JSWSTEEL,EQ,01-Feb-2025,945.00,947.85,955.20,911.65,934.00,934.25,939.00,"13,39,508","1,25,77,95,316.15","46,312","3,91,462",29.22
JSWSTEEL,EQ,03-Feb-2025,934.25,915.00,937.45,914.00,932.55,933.95,925.65,"11,30,056","1,04,60,31,895.35","60,355","3,72,182",32.93
JSWSTEEL,EQ,04-Feb-2025,933.95,936.35,949.45,934.30,941.50,944.25,941.82,"12,62,634","1,18,91,71,569.15","54,357","4,88,201",38.67
JSWSTEEL,EQ,05-Feb-2025,944.25,941.10,954.80,941.10,950.00,949.90,950.15,"12,09,743","1,14,94,42,386.65","50,729","6,30,332",52.10
JSWSTEEL,EQ,06-Feb-2025,949.90,950.55,956.55,942.00,947.25,948.40,949.10,"30,60,140","2,90,43,86,140.55","88,252","16,73,517",54.69
JSWSTEEL,EQ,07-Feb-2025,948.40,950.95,985.00,947.80,980.20,980.75,971.23,"28,46,285","2,76,44,11,124.05","99,328","8,08,639",28.41
JSWSTEEL,EQ,10-Feb-2025,980.75,974.00,974.00,948.25,959.65,959.15,957.12,"16,65,049","1,59,36,59,636.45","55,541","5,29,969",31.83
JSWSTEEL,EQ,11-Feb-2025,959.15,950.05,967.50,948.55,951.15,954.50,959.04,"25,35,726","2,43,18,52,790.75","75,353","11,20,233",44.18
JSWSTEEL,EQ,12-Feb-2025,954.50,952.90,962.95,938.10,956.20,956.40,950.27,"27,68,806","2,63,11,19,647.80","74,924","11,91,883",43.05
JSWSTEEL,EQ,13-Feb-2025,956.40,954.00,984.00,953.25,970.40,969.80,973.98,"14,14,535","1,37,77,26,868.15","70,173","4,93,670",34.90
JSWSTEEL,EQ,14-Feb-2025,969.80,972.90,983.70,954.25,962.85,964.60,968.76,"26,90,126","2,60,60,87,454.85","80,452","14,62,431",54.36
JSWSTEEL,EQ,17-Feb-2025,964.60,964.60,975.00,954.10,973.80,973.55,966.39,"13,21,057","1,27,66,57,065.80","57,746","7,30,510",55.30
JSWSTEEL,EQ,18-Feb-2025,973.55,975.00,981.20,962.80,975.60,978.80,973.59,"18,00,070","1,75,25,29,374.70","64,653","9,94,035",55.22
JSWSTEEL,EQ,19-Feb-2025,978.80,975.60,989.90,971.10,977.70,977.35,979.40,"15,81,818","1,54,92,30,949.25","51,857","6,90,701",43.67
JSWSTEEL,EQ,20-Feb-2025,977.35,977.00,987.65,975.00,980.00,981.15,982.57,"14,74,610","1,44,89,02,939.60","49,803","7,74,919",52.55
JSWSTEEL,EQ,21-Feb-2025,981.15,979.10,990.95,975.55,979.75,981.90,983.71,"15,99,075","1,57,30,22,860.80","62,640","7,44,736",46.57
JSWSTEEL,EQ,24-Feb-2025,981.90,971.00,984.90,957.75,968.20,966.80,968.13,"18,98,963","1,83,84,45,779.75","63,079","10,28,321",54.15
JSWSTEEL,EQ,25-Feb-2025,966.80,967.00,973.45,957.50,958.00,958.75,962.34,"10,95,348","1,05,40,94,959.20","36,163","5,82,394",53.17
JSWSTEEL,EQ,27-Feb-2025,958.75,958.75,981.00,958.70,972.00,975.00,971.80,"20,49,890","1,99,20,87,365.90","79,710","9,46,522",46.17
JSWSTEEL,EQ,28-Feb-2025,975.00,968.10,968.60,940.55,954.00,950.70,951.48,"25,53,800","2,42,98,82,178.55","69,331","15,24,359",59.69
JSWSTEEL,EQ,03-Mar-2025,950.70,959.00,981.55,953.00,976.15,976.05,968.98,"17,44,769","1,69,06,51,499.40","66,738","7,05,804",40.45
JSWSTEEL,EQ,04-Mar-2025,976.05,960.00,978.10,959.95,976.50,974.10,972.61,"10,77,034","1,04,75,32,472.00","43,200","5,58,761",51.88
JSWSTEEL,EQ,05-Mar-2025,974.10,975.00,"1,008.00",970.90,"1,008.00","1,002.70",995.29,"24,72,192","2,46,05,52,289.95","1,01,977","10,84,787",43.88
JSWSTEEL,EQ,06-Mar-2025,"1,002.70","1,013.00","1,016.20",997.10,"1,007.00","1,011.10","1,008.66","22,03,409","2,22,24,92,423.90","1,39,054","7,81,764",35.48
JSWSTEEL,EQ,07-Mar-2025,"1,011.10","1,011.00","1,020.40","1,005.55","1,008.35","1,011.15","1,013.39","7,59,943","77,01,17,390.35","34,104","3,29,272",43.33
JSWSTEEL,EQ,10-Mar-2025,"1,011.15","1,011.15","1,032.75","1,010.25","1,010.50","1,013.50","1,021.92","18,55,010","1,89,56,77,051.40","78,484","8,05,707",43.43
JSWSTEEL,EQ,11-Mar-2025,"1,013.50","1,003.85","1,021.00","1,001.45","1,018.75","1,018.65","1,014.69","15,95,868","1,61,93,10,147.50","48,226","9,58,719",60.08
