symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JUBLFOOD,EQ,22-Jan-2025,673.4,673.4,674.1,656.0,663.9,664.65,662.76,"14,73,302","97,64,46,416.10","66,687","6,80,615",46.20
JUBLFOOD,EQ,23-Jan-2025,664.65,665.3,691.9,659.7,685.7,687.7,683.56,"14,23,852","97,32,88,773.80","56,924","6,43,479",45.19
JUBLFOOD,EQ,24-Jan-2025,687.7,686.5,688.85,667.6,673.55,671.0,675.94,"6,19,481","41,87,34,938.15","25,744","1,83,030",29.55
JUBLFOOD,EQ,27-Jan-2025,671.0,668.05,668.05,636.95,638.6,638.65,644.14,"17,81,772","1,14,77,16,741.40","69,457","9,77,500",54.86
JUBLFOOD,EQ,28-Jan-2025,638.65,641.95,670.0,634.2,668.5,666.25,656.03,"15,40,585","1,01,06,62,895.90","53,971","5,38,156",34.93
JUBLFOOD,EQ,29-Jan-2025,666.25,662.0,693.1,660.55,691.3,688.3,680.54,"17,61,359","1,19,86,69,266.15","62,797","7,77,197",44.12
JUBLFOOD,EQ,30-Jan-2025,688.3,686.3,693.0,679.85,693.0,688.95,686.26,"10,98,817","75,40,69,224.60","42,509","4,87,571",44.37
JUBLFOOD,EQ,31-Jan-2025,688.95,688.95,710.95,687.85,702.1,703.9,704.21,"13,23,333","93,18,99,788.75","53,983","3,07,948",23.27
JUBLFOOD,EQ,01-Feb-2025,703.9,707.95,753.65,691.0,739.05,739.8,733.71,"36,39,460","2,67,03,02,933.25","1,58,692","12,75,024",35.03
JUBLFOOD,EQ,03-Feb-2025,739.8,735.0,760.5,718.15,729.7,729.4,743.07,"36,67,288","2,72,50,37,989.25","1,27,911","16,44,883",44.85
JUBLFOOD,EQ,04-Feb-2025,729.4,725.0,735.05,707.45,722.5,724.3,719.01,"16,42,800","1,18,11,88,841.35","58,693","4,99,151",30.38
JUBLFOOD,EQ,05-Feb-2025,724.3,724.3,739.3,720.05,723.9,725.05,728.41,"14,47,673","1,05,44,97,194.60","82,836","6,91,038",47.73
JUBLFOOD,EQ,06-Feb-2025,725.05,726.0,726.4,689.65,694.0,694.05,702.87,"10,97,015","77,10,53,912.80","52,452","2,76,881",25.24
JUBLFOOD,EQ,07-Feb-2025,694.05,696.75,725.0,681.3,689.3,688.4,689.04,"12,73,431","87,74,45,544.70","47,680","4,83,372",37.96
JUBLFOOD,EQ,10-Feb-2025,688.4,684.1,693.1,672.3,680.6,677.8,680.92,"6,38,207","43,45,66,916.80","39,415","1,96,582",30.80
JUBLFOOD,EQ,11-Feb-2025,677.8,678.95,685.9,652.5,662.0,661.3,667.67,"12,43,699","83,03,86,039.95","46,967","3,94,123",31.69
