symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KEI,EQ,22-Jan-2025,"4,034.55","3,999.45","4,161.70","3,910.40","4,110.00","4,127.55","4,021.84","12,44,810","5,00,64,29,465.60","97,017","5,75,380",46.22
KEI,EQ,23-Jan-2025,"4,127.55","4,117.10","4,572.70","4,101.75","4,460.00","4,480.60","4,467.55","14,40,639","6,43,61,31,709.40","1,16,884","5,84,400",40.57
KEI,EQ,24-Jan-2025,"4,480.60","4,478.25","4,484.10","4,235.00","4,246.95","4,253.50","4,367.15","2,50,147","1,09,24,30,055.55","36,671","94,437",37.75
KEI,EQ,27-Jan-2025,"4,253.50","4,182.65","4,184.65","3,983.70","3,991.00","3,998.55","4,039.05","2,96,376","1,19,70,76,443.70","38,473","1,10,238",37.2
KEI,EQ,28-Jan-2025,"3,998.55","3,991.00","4,064.85","3,848.05","3,929.25","3,911.50","3,925.75","3,69,542","1,45,07,27,768.60","64,650","1,55,391",42.05
KEI,EQ,29-Jan-2025,"3,911.50","3,925.25","4,029.65","3,912.00","4,020.00","4,017.05","3,986.23","1,40,623","56,05,55,706.85","32,710","50,476",35.89
KEI,EQ,30-Jan-2025,"4,017.05","4,011.30","4,059.70","3,907.15","3,990.00","3,961.15","3,965.63","2,40,651","95,43,33,146.65","33,145","1,09,065",45.32
KEI,EQ,31-Jan-2025,"3,961.15","3,974.95","4,092.90","3,963.00","4,041.10","4,023.60","4,036.49","1,39,970","56,49,87,668.30","27,122","50,480",36.06
KEI,EQ,01-Feb-2025,"4,023.60","4,060.00","4,126.55","3,846.75","3,919.00","3,917.75","3,961.02","2,01,342","79,75,20,389.90","21,430","59,585",29.59
KEI,EQ,03-Feb-2025,"3,917.75","3,875.50","3,931.45","3,840.10","3,900.00","3,902.90","3,889.90","1,92,921","75,04,43,521.45","29,685","70,944",36.77
KEI,EQ,04-Feb-2025,"3,902.90","3,900.00","3,920.00","3,808.40","3,870.00","3,877.00","3,867.82","3,93,527","1,52,20,90,229.85","47,902","2,03,748",51.77
KEI,EQ,05-Feb-2025,"3,877.00","3,878.05","3,964.85","3,878.05","3,880.00","3,895.05","3,909.95","3,96,028","1,54,84,49,979.50","40,799","2,28,928",57.81
KEI,EQ,06-Feb-2025,"3,895.05","3,910.00","3,945.00","3,885.00","3,922.00","3,921.15","3,913.09","1,72,402","67,46,24,410.20","27,120","85,727",49.73
