symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KPITTECH,EQ,22-Jan-2025,"1,312.30","1,320.00","1,326.40","1,268.95","1,294.00","1,295.20","1,291.01","10,85,424","1,40,12,94,643.00","77,598","5,54,968",51.13
KPITTECH,BL,23-Jan-2025,659.90,"1,347.60","1,347.60","1,347.60","1,347.60","1,347.60","1,347.60","95,054","12,80,94,770.40",1,-,-
KPITTECH,EQ,23-Jan-2025,"1,295.20","1,303.30","1,364.85","1,295.20","1,344.00","1,344.70","1,339.49","15,19,850","2,03,58,30,464.60","80,275","7,07,969",46.58
KPITTECH,EQ,24-Jan-2025,"1,344.70","1,345.00","1,372.25","1,315.65","1,318.00","1,322.90","1,350.98","14,37,157","1,94,15,64,975.90","78,957","5,34,792",37.21
KPITTECH,EQ,27-Jan-2025,"1,322.90","1,300.00","1,327.30","1,276.75","1,300.00","1,301.50","1,300.39","20,03,383","2,60,51,75,819.20","97,674","12,83,229",64.05
KPITTECH,EQ,28-Jan-2025,"1,301.50","1,291.00","1,313.55","1,250.00","1,262.65","1,259.10","1,274.06","13,65,219","1,73,93,71,127.95","74,708","6,54,631",47.95
KPITTECH,EQ,29-Jan-2025,"1,259.10","1,263.00","1,404.90","1,223.25","1,376.00","1,370.05","1,348.38","99,55,740","13,42,41,65,404.05","2,84,357","16,71,881",16.79
KPITTECH,EQ,30-Jan-2025,"1,370.05","1,420.00","1,479.00","1,410.65","1,434.00","1,432.95","1,450.91","51,61,240","7,48,84,89,895.80","2,01,821","9,26,498",17.95
KPITTECH,EQ,31-Jan-2025,"1,432.95","1,430.00","1,432.00","1,390.90","1,415.25","1,409.20","1,404.69","16,18,605","2,27,36,32,620.35","1,11,741","7,40,453",45.75
KPITTECH,EQ,01-Feb-2025,"1,409.20","1,415.00","1,423.95","1,381.20","1,421.00","1,416.45","1,410.41","5,41,837","76,42,10,453.25","35,613","1,23,364",22.77
KPITTECH,EQ,03-Feb-2025,"1,416.45","1,420.00","1,433.70","1,392.55","1,413.00","1,413.60","1,410.94","8,28,289","1,16,86,67,459.90","60,147","3,72,540",44.98
KPITTECH,EQ,04-Feb-2025,"1,413.60","1,420.00","1,475.00","1,416.85","1,421.00","1,419.80","1,441.65","15,23,505","2,19,63,68,492.65","74,851","6,64,161",43.59
KPITTECH,EQ,05-Feb-2025,"1,419.80","1,426.40","1,441.30","1,409.60","1,432.75","1,431.35","1,427.55","13,90,475","1,98,49,77,136.20","54,392","7,87,855",56.66
KPITTECH,EQ,06-Feb-2025,"1,431.35","1,440.00","1,448.70","1,422.45","1,435.50","1,434.55","1,433.55","4,89,797","70,21,50,391.45","34,362","2,11,931",43.27
KPITTECH,EQ,07-Feb-2025,"1,434.55","1,446.00","1,453.75","1,423.40","1,445.30","1,447.80","1,441.26","5,41,048","77,97,91,090.60","40,460","2,75,705",50.96
KPITTECH,EQ,10-Feb-2025,"1,447.80","1,447.70","1,454.55","1,418.00","1,437.30","1,437.95","1,432.58","4,67,753","67,00,92,123.40","35,564","2,30,466",49.27
KPITTECH,EQ,11-Feb-2025,"1,437.95","1,431.50","1,436.95","1,362.50","1,382.70","1,380.35","1,387.96","8,66,368","1,20,24,85,966.70","54,216","3,72,307",42.97
KPITTECH,EQ,12-Feb-2025,"1,380.35","1,380.35","1,387.95","1,322.35","1,355.50","1,353.15","1,347.07","9,62,838","1,29,70,10,460.40","69,211","3,46,078",35.94
KPITTECH,EQ,13-Feb-2025,"1,353.15","1,360.00","1,364.55","1,332.00","1,338.80","1,340.35","1,351.38","6,37,262","86,11,81,866.80","45,462","2,87,157",45.06
KPITTECH,EQ,14-Feb-2025,"1,340.35","1,341.90","1,353.25","1,308.50","1,332.10","1,342.65","1,332.58","5,95,239","79,32,01,688.25","48,333","2,35,556",39.57
KPITTECH,EQ,17-Feb-2025,"1,342.65","1,341.05","1,350.60","1,304.00","1,312.20","1,310.40","1,315.17","7,94,453","1,04,48,43,116.90","78,958","3,49,442",43.99
KPITTECH,EQ,18-Feb-2025,"1,310.40","1,305.00","1,333.30","1,294.00","1,327.00","1,329.45","1,312.76","5,37,675","70,58,39,307.75","55,256","2,26,892",42.20
KPITTECH,EQ,19-Feb-2025,"1,329.45","1,328.75","1,354.35","1,316.00","1,336.80","1,336.25","1,340.81","4,97,257","66,67,24,952.00","36,106","1,87,462",37.70
KPITTECH,EQ,20-Feb-2025,"1,336.25","1,335.50","1,348.50","1,328.05","1,344.00","1,342.05","1,340.02","3,85,983","51,72,23,435.55","43,988","1,86,724",48.38
