symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LT,EQ,22-Jan-2025,"3,541.10","3,563.00","3,582.35","3,490.10","3,520.80","3,518.20","3,521.51","16,26,055","5,72,61,73,067.10","1,18,201","9,92,123",61.01
LT,EQ,23-Jan-2025,"3,518.20","3,492.00","3,527.80","3,460.60","3,504.85","3,503.25","3,501.30","19,93,204","6,97,87,96,103.15","1,26,865","10,82,618",54.32
LT,EQ,24-Jan-2025,"3,503.25","3,514.50","3,521.10","3,446.05","3,459.80","3,458.20","3,480.76","12,06,454","4,19,93,71,221.40","91,930","7,03,021",58.27
LT,EQ,27-Jan-2025,"3,458.20","3,447.20","3,493.90","3,401.15","3,472.90","3,457.65","3,446.21","15,52,938","5,35,17,54,018.20","1,10,592","7,85,618",50.59
LT,EQ,28-Jan-2025,"3,457.65","3,464.95","3,482.15","3,404.05","3,423.45","3,413.90","3,436.05","16,57,689","5,69,59,03,565.45","1,54,969","8,37,092",50.50
LT,EQ,29-Jan-2025,"3,413.90","3,431.00","3,455.00","3,412.00","3,448.90","3,449.70","3,437.37","12,38,704","4,25,78,84,243.70","1,03,001","7,08,307",57.18
LT,EQ,30-Jan-2025,"3,449.70","3,455.00","3,517.80","3,395.00","3,432.50","3,420.95","3,438.04","27,17,740","9,34,36,90,877.75","1,80,276","14,01,632",51.57
LT,EQ,31-Jan-2025,"3,420.95","3,501.05","3,590.00","3,481.05","3,564.00","3,567.40","3,555.03","39,95,513","14,20,41,81,890.25","2,17,688","16,86,791",42.22
LT,EQ,01-Feb-2025,"3,567.40","3,578.00","3,629.20","3,402.00","3,458.25","3,447.50","3,473.36","47,52,505","16,50,71,48,387.25","2,65,997","22,06,095",46.42
LT,EQ,03-Feb-2025,"3,447.50","3,420.00","3,420.00","3,270.00","3,285.95","3,289.20","3,300.78","60,77,580","20,06,07,46,789.85","3,93,333","41,71,335",68.63
LT,EQ,04-Feb-2025,"3,289.20","3,316.00","3,449.00","3,307.25","3,427.10","3,439.15","3,410.23","47,42,516","16,17,30,66,528.30","3,05,987","28,09,172",59.23
LT,EQ,05-Feb-2025,"3,439.15","3,444.65","3,450.95","3,379.45","3,386.45","3,383.20","3,415.32","26,70,316","9,11,99,76,072.00","1,84,191","18,64,522",69.82
LT,EQ,06-Feb-2025,"3,383.20","3,404.00","3,404.00","3,342.70","3,355.90","3,352.75","3,359.70","28,74,856","9,65,86,66,091.10","1,66,262","18,95,899",65.95
LT,EQ,07-Feb-2025,"3,352.75","3,367.00","3,369.95","3,311.10","3,330.00","3,336.90","3,340.69","17,22,789","5,75,53,03,413.20","1,37,338","10,78,126",62.58
LT,EQ,10-Feb-2025,"3,336.90","3,347.80","3,349.00","3,294.05","3,324.30","3,328.65","3,315.61","12,36,663","4,10,02,91,228.30","88,934","7,56,828",61.20
LT,EQ,11-Feb-2025,"3,328.65","3,360.95","3,361.00","3,231.00","3,247.00","3,239.65","3,263.98","25,93,537","8,46,52,50,358.55","1,45,087","16,53,752",63.76
LT,EQ,12-Feb-2025,"3,239.65","3,259.00","3,300.00","3,222.25","3,292.00","3,289.65","3,268.46","16,32,415","5,33,54,87,216.00","1,38,219","8,38,565",51.37
LT,EQ,13-Feb-2025,"3,289.65","3,289.65","3,314.90","3,252.95","3,255.00","3,263.65","3,277.74","21,27,644","6,97,38,55,847.10","1,56,667","12,25,352",57.59
LT,EQ,14-Feb-2025,"3,263.65","3,275.05","3,285.80","3,221.55","3,231.05","3,237.65","3,246.05","13,78,340","4,47,41,59,814.50","1,25,280","8,68,058",62.98
LT,EQ,17-Feb-2025,"3,237.65","3,213.55","3,239.40","3,194.55","3,222.00","3,221.85","3,217.09","19,66,689","6,32,70,17,871.40","1,42,527","12,92,641",65.73
LT,EQ,18-Feb-2025,"3,221.85","3,227.00","3,241.00","3,183.00","3,220.00","3,220.15","3,213.88","24,28,215","7,80,39,95,072.70","1,07,311","16,74,200",68.95
LT,EQ,19-Feb-2025,"3,220.15","3,220.15","3,302.85","3,211.60","3,268.95","3,275.90","3,269.60","16,77,978","5,48,63,25,100.05","1,44,994","9,14,338",54.49
LT,EQ,20-Feb-2025,"3,275.90","3,260.05","3,285.45","3,247.75","3,275.55","3,275.80","3,274.46","12,36,693","4,04,95,00,999.00","93,085","7,35,617",59.48
LT,EQ,21-Feb-2025,"3,275.80","3,275.80","3,324.90","3,270.90","3,315.50","3,315.10","3,306.08","17,06,850","5,64,29,87,960.80","1,13,093","10,24,169",60.00
LT,EQ,24-Feb-2025,"3,315.10","3,289.70","3,325.50","3,250.00","3,251.00","3,257.70","3,289.89","15,12,844","4,97,70,86,569.60","1,62,651","9,40,378",62.16
LT,EQ,25-Feb-2025,"3,257.70","3,233.00","3,248.95","3,206.40","3,229.00","3,225.90","3,227.37","25,29,084","8,16,22,86,346.25","1,33,515","16,10,923",63.70
LT,EQ,27-Feb-2025,"3,225.90","3,238.00","3,258.50","3,184.00","3,210.00","3,209.50","3,209.83","25,72,065","8,25,58,91,425.40","1,32,651","17,40,649",67.68
LT,EQ,28-Feb-2025,"3,209.50","3,199.80","3,199.80","3,141.00","3,170.00","3,163.85","3,168.50","24,94,680","7,90,44,04,674.55","1,75,923","15,77,446",63.23
LT,EQ,03-Mar-2025,"3,163.85","3,165.95","3,227.00","3,160.00","3,198.20","3,197.30","3,195.59","13,52,460","4,32,19,13,462.85","1,32,374","7,52,673",55.65
LT,EQ,04-Mar-2025,"3,197.30","3,171.05","3,221.00","3,167.80","3,211.00","3,213.00","3,203.15","14,42,098","4,61,92,56,245.90","93,358","9,30,531",64.53
