symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MANKIND,EQ,22-Jan-2025,"2,563.55","2,573.55","2,585.90","2,488.00","2,515.00","2,516.40","2,521.86","2,55,984","64,55,55,028.95","33,921","1,24,842",48.77
MANKIND,EQ,23-Jan-2025,"2,516.40","2,516.20","2,670.00","2,497.00","2,620.00","2,635.05","2,592.17","6,82,734","1,76,97,59,238.05","63,750","4,08,963",59.90
MANKIND,EQ,24-Jan-2025,"2,635.05","2,560.00","2,587.00","2,481.45","2,501.90","2,506.90","2,530.66","16,36,810","4,14,22,14,113.35","1,18,813","9,14,122",55.85
MANKIND,EQ,27-Jan-2025,"2,506.90","2,465.45","2,472.55","2,348.05","2,455.00","2,453.95","2,422.13","12,73,466","3,08,44,94,005.70","1,07,867","7,89,725",62.01
MANKIND,EQ,28-Jan-2025,"2,453.95","2,453.95","2,503.00","2,386.05","2,458.10","2,456.70","2,450.64","6,98,700","1,71,22,64,639.00","72,759","3,58,249",51.27
MANKIND,EQ,29-Jan-2025,"2,456.70","2,465.00","2,508.05","2,425.55","2,474.95","2,477.45","2,472.97","5,15,998","1,27,60,45,679.05","49,582","3,36,246",65.16
MANKIND,EQ,30-Jan-2025,"2,477.45","2,477.45","2,534.10","2,460.65","2,480.00","2,485.40","2,497.21","3,75,337","93,72,96,966.70","38,829","2,17,225",57.87
MANKIND,EQ,31-Jan-2025,"2,485.40","2,476.80","2,493.40","2,411.45","2,437.00","2,435.40","2,446.80","5,82,938","1,42,63,33,607.15","50,897","3,58,746",61.54
MANKIND,EQ,01-Feb-2025,"2,435.40","2,435.40","2,529.65","2,435.40","2,478.15","2,481.60","2,494.40","1,99,560","49,77,82,885.15","29,932","71,299",35.73
MANKIND,EQ,03-Feb-2025,"2,481.60","2,445.00","2,595.00","2,434.80","2,582.85","2,581.80","2,528.53","4,49,097","1,13,55,55,020.60","51,834","2,17,458",48.42
MANKIND,EQ,04-Feb-2025,"2,581.80","2,605.00","2,607.05","2,510.00","2,550.00","2,555.10","2,551.88","4,12,780","1,05,33,65,998.10","55,398","2,18,478",52.93
MANKIND,BL,05-Feb-2025,"2,082.00","2,555.10","2,555.10","2,555.10","2,555.10","2,555.10","2,555.10","45,000","11,49,79,500.00",1,-,-
MANKIND,EQ,05-Feb-2025,"2,555.10","2,556.00","2,559.60","2,470.05","2,478.00","2,483.00","2,501.08","3,31,196","82,83,48,464.00","47,621","1,62,996",49.21
MANKIND,EQ,06-Feb-2025,"2,483.00","2,495.75","2,518.10","2,452.00","2,480.00","2,480.10","2,479.06","4,73,065","1,17,27,55,284.30","44,722","2,67,857",56.62
MANKIND,EQ,07-Feb-2025,"2,480.10","2,483.10","2,527.25","2,460.00","2,516.05","2,518.60","2,497.36","6,30,850","1,57,54,56,682.25","64,822","3,56,795",56.56
MANKIND,EQ,10-Feb-2025,"2,518.60","2,519.20","2,541.25","2,461.10","2,504.45","2,502.05","2,491.77","4,21,865","1,05,11,89,547.05","53,145","2,27,565",53.94
MANKIND,EQ,11-Feb-2025,"2,502.05","2,525.00","2,557.45","2,421.00","2,451.00","2,450.30","2,457.91","9,31,297","2,28,90,42,373.30","58,954","6,68,332",71.76
MANKIND,EQ,12-Feb-2025,"2,450.30","2,454.75","2,458.10","2,372.70","2,421.00","2,422.60","2,401.20","5,82,581","1,39,88,91,722.50","77,282","3,09,477",53.12
MANKIND,EQ,13-Feb-2025,"2,422.60","2,448.00","2,549.00","2,423.20","2,491.00","2,501.15","2,503.96","8,04,094","2,01,34,18,655.55","73,301","5,15,672",64.13
MANKIND,EQ,14-Feb-2025,"2,501.15","2,510.00","2,523.00","2,376.35","2,376.35","2,394.35","2,408.67","8,27,390","1,99,29,13,041.80","60,629","6,22,668",75.26
MANKIND,EQ,17-Feb-2025,"2,394.35","2,370.00","2,390.55","2,327.65","2,350.00","2,345.90","2,350.31","4,07,182","95,70,04,274.15","62,889","2,06,656",50.75
MANKIND,EQ,18-Feb-2025,"2,345.90","2,356.45","2,410.00","2,316.15","2,387.95","2,385.00","2,352.69","5,25,204","1,23,56,42,592.35","49,648","3,01,873",57.48
MANKIND,EQ,19-Feb-2025,"2,385.00","2,384.00","2,412.75","2,355.90","2,365.00","2,364.55","2,378.59","3,47,490","82,65,37,608.40","40,507","1,57,107",45.21
MANKIND,EQ,20-Feb-2025,"2,364.55","2,362.20","2,371.05","2,325.00","2,345.00","2,348.45","2,344.65","5,13,237","1,20,33,59,207.95","51,631","2,63,392",51.32
MANKIND,EQ,21-Feb-2025,"2,348.45","2,352.55","2,358.00","2,312.05","2,318.50","2,327.75","2,329.75","2,87,634","67,01,16,164.80","46,609","1,59,785",55.55
MANKIND,EQ,24-Feb-2025,"2,327.75","2,318.00","2,326.85","2,285.00","2,287.60","2,298.80","2,297.82","2,75,408","63,28,38,334.35","45,284","1,60,615",58.32
MANKIND,EQ,25-Feb-2025,"2,298.80","2,321.85","2,357.90","2,296.70","2,342.90","2,342.10","2,331.66","5,05,375","1,17,83,61,111.80","54,070","2,93,303",58.04
MANKIND,EQ,27-Feb-2025,"2,342.10","2,344.00","2,353.85","2,270.00","2,282.00","2,294.20","2,311.26","4,64,216","1,07,29,22,488.65","52,119","2,98,353",64.27
