symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MCX,EQ,22-Jan-2025,"5,504.95","5,559.90","5,753.90","5,450.00","5,713.40","5,724.35","5,667.79","15,40,736","8,73,25,69,572.60","1,68,111","4,06,586",26.39
MCX,EQ,23-Jan-2025,"5,724.35","5,724.35","5,950.00","5,701.10","5,845.05","5,860.00","5,871.78","6,11,014","3,58,77,37,676.60","71,861","1,66,124",27.19
MCX,EQ,24-Jan-2025,"5,860.00","5,860.00","5,909.95","5,712.30","5,735.00","5,739.50","5,785.89","3,47,757","2,01,20,82,800.45","54,474","1,33,469",38.38
MCX,EQ,27-Jan-2025,"5,739.50","5,699.80","5,699.80","5,520.50","5,583.00","5,584.70","5,591.42","4,06,169","2,27,10,62,507.95","47,398","1,19,849",29.51
MCX,EQ,28-Jan-2025,"5,584.70","5,664.65","5,674.95","5,388.10","5,508.00","5,531.15","5,486.44","5,54,032","3,03,96,65,850.60","71,280","1,73,087",31.24
MCX,EQ,29-Jan-2025,"5,531.15","5,550.00","5,730.00","5,515.50","5,707.70","5,701.90","5,673.18","3,36,054","1,90,64,95,911.70","44,112","1,00,434",29.89
MCX,EQ,30-Jan-2025,"5,701.90","5,758.90","5,760.00","5,581.60","5,598.00","5,599.30","5,630.12","3,66,712","2,06,46,34,041.75","57,962","1,46,861",40.05
MCX,EQ,31-Jan-2025,"5,599.30","5,600.00","5,757.00","5,587.55","5,730.00","5,732.95","5,700.16","2,77,503","1,58,18,10,916.65","30,585","82,401",29.69
MCX,EQ,01-Feb-2025,"5,732.95","5,733.00","5,825.00","5,644.20","5,770.00","5,774.75","5,747.70","1,69,167","97,23,21,984.60","23,115","38,203",22.58
MCX,EQ,03-Feb-2025,"5,774.75","5,700.00","5,718.40","5,577.05","5,677.00","5,681.15","5,662.92","1,99,882","1,13,19,15,127.85","41,362","82,426",41.24
MCX,EQ,04-Feb-2025,"5,681.15","5,725.00","5,900.00","5,640.00","5,876.35","5,857.70","5,747.93","3,11,531","1,79,06,59,563.65","41,191","1,32,108",42.41
MCX,EQ,05-Feb-2025,"5,857.70","5,901.40","6,125.00","5,901.40","6,100.00","6,096.60","6,084.76","5,15,476","3,13,65,46,333.30","84,889","1,70,960",33.17
MCX,EQ,06-Feb-2025,"6,096.60","6,100.00","6,189.90","6,004.25","6,011.40","6,022.10","6,107.28","2,43,777","1,48,88,14,726.60","35,210","58,334",23.93
MCX,EQ,07-Feb-2025,"6,022.10","6,000.70","6,113.30","5,955.00","5,995.00","6,001.75","6,040.15","2,16,509","1,30,77,46,276.40","37,454","59,957",27.69
