symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MUTHOOTFIN,EQ,22-Jan-2025,"2,165.05","2,165.05","2,204.50","2,141.20","2,198.00","2,197.45","2,183.33","6,49,820","1,41,87,69,720.75","45,381","2,54,373",39.15
MUTHOOTFIN,EQ,23-Jan-2025,"2,197.45","2,205.00","2,224.00","2,176.90","2,190.15","2,195.10","2,198.16","6,40,641","1,40,82,29,287.25","36,963","3,32,068",51.83
MUTHOOTFIN,EQ,24-Jan-2025,"2,195.10","2,191.00","2,202.85","2,162.30","2,177.55","2,173.40","2,177.59","2,09,999","45,72,91,439.30","21,990","1,01,536",48.35
MUTHOOTFIN,EQ,27-Jan-2025,"2,173.40","2,172.00","2,186.00","2,124.70","2,137.85","2,139.00","2,147.76","3,90,826","83,93,99,905.00","32,153","2,18,110",55.81
MUTHOOTFIN,EQ,28-Jan-2025,"2,139.00","2,131.10","2,171.30","2,098.00","2,135.05","2,135.90","2,128.54","3,12,942","66,61,10,109.60","30,318","1,53,830",49.16
MUTHOOTFIN,EQ,29-Jan-2025,"2,135.90","2,135.80","2,223.45","2,125.10","2,218.95","2,210.60","2,202.09","5,18,813","1,14,24,71,805.25","47,859","2,86,183",55.16
MUTHOOTFIN,EQ,30-Jan-2025,"2,210.60","2,232.70","2,232.70","2,187.50","2,230.00","2,209.65","2,206.52","3,77,592","83,31,63,883.50","35,251","1,58,752",42.04
MUTHOOTFIN,EQ,31-Jan-2025,"2,209.65","2,215.00","2,269.25","2,206.55","2,250.00","2,258.80","2,251.89","5,09,537","1,14,74,19,820.15","37,371","2,44,367",47.96
MUTHOOTFIN,EQ,01-Feb-2025,"2,258.80","2,260.00","2,275.00","2,155.55","2,184.00","2,182.45","2,216.25","2,00,225","44,37,47,928.10","16,480","30,223",15.09
MUTHOOTFIN,EQ,03-Feb-2025,"2,182.45","2,163.00","2,181.85","2,132.45","2,180.05","2,172.45","2,163.86","3,23,920","70,09,18,292.10","36,728","1,66,980",51.55
MUTHOOTFIN,EQ,04-Feb-2025,"2,172.45","2,172.45","2,247.10","2,169.95","2,239.15","2,239.00","2,227.33","5,13,536","1,14,38,12,347.00","59,701","3,01,266",58.67
MUTHOOTFIN,EQ,05-Feb-2025,"2,239.00","2,261.40","2,308.95","2,239.15","2,253.00","2,266.15","2,275.63","5,46,000","1,24,24,91,793.50","72,526","2,50,742",45.92
MUTHOOTFIN,EQ,06-Feb-2025,"2,266.15","2,267.00","2,279.95","2,229.20","2,231.10","2,233.60","2,252.24","3,31,713","74,70,97,178.40","34,690","2,21,172",66.68
MUTHOOTFIN,EQ,07-Feb-2025,"2,233.60","2,233.60","2,264.45","2,225.90","2,244.70","2,244.55","2,247.77","5,60,151","1,25,90,88,733.00","56,832","3,04,687",54.39
