symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NATIONALUM,EQ,22-Jan-2025,205.93,206.0,206.5,198.01,203.0,203.44,201.14,"77,24,370","1,55,36,93,195.26","72,701","28,14,315",36.43
NATIONALUM,EQ,23-Jan-2025,203.44,204.0,208.19,202.4,205.66,205.8,206.01,"68,69,655","1,41,52,25,089.53","51,846","26,44,546",38.5
NATIONALUM,EQ,24-Jan-2025,205.8,205.6,208.6,202.36,202.86,203.2,205.24,"53,54,363","1,09,89,04,019.79","46,536","12,13,166",22.66
NATIONALUM,EQ,27-Jan-2025,203.2,200.5,202.0,196.0,196.6,197.46,198.94,"65,84,319","1,30,99,13,535.97","54,876","20,85,739",31.68
NATIONALUM,EQ,28-Jan-2025,197.46,198.49,199.0,187.21,189.7,189.53,191.47,"98,23,936","1,88,09,96,346.55","89,002","27,32,508",27.81
NATIONALUM,EQ,29-Jan-2025,189.53,190.0,194.77,188.25,193.75,193.79,192.72,"52,01,019","1,00,23,17,050.26","48,059","13,65,115",26.25
NATIONALUM,EQ,30-Jan-2025,193.79,195.1,196.43,191.25,193.6,193.13,193.95,"60,80,681","1,17,93,22,352.26","55,175","22,31,647",36.7
NATIONALUM,EQ,31-Jan-2025,193.13,194.0,202.98,192.49,202.0,202.24,199.33,"80,08,609","1,59,63,41,301.31","61,630","33,74,503",42.14
NATIONALUM,EQ,01-Feb-2025,202.24,202.7,202.7,192.06,197.5,197.89,199.1,"51,36,586","1,02,26,81,731.72","37,163","8,87,082",17.27
NATIONALUM,EQ,03-Feb-2025,197.89,194.0,194.45,184.76,189.5,189.53,188.55,"1,14,81,173","2,16,48,06,479.93","1,01,191","37,17,910",32.38
NATIONALUM,EQ,04-Feb-2025,189.53,191.9,197.49,191.41,195.4,195.88,195.14,"56,33,664","1,09,93,38,450.53","53,828","16,01,502",28.43
NATIONALUM,EQ,05-Feb-2025,195.88,196.9,203.88,196.56,200.75,199.64,200.22,"83,36,455","1,66,91,58,922.60","73,420","31,32,015",37.57
NATIONALUM,EQ,06-Feb-2025,199.64,200.74,201.59,195.6,197.56,196.88,197.78,"54,66,135","1,08,10,91,356.39","41,668","18,63,084",34.08
NATIONALUM,EQ,07-Feb-2025,196.88,197.0,202.2,197.0,200.55,200.49,200.26,"80,89,719","1,62,00,50,066.62","67,712","23,98,620",29.65
NATIONALUM,EQ,10-Feb-2025,200.49,200.49,200.49,190.41,190.7,191.05,193.41,"66,07,056","1,27,78,87,526.71","53,807","26,01,147",39.37
NATIONALUM,EQ,11-Feb-2025,191.05,195.44,198.28,180.3,183.83,183.31,188.35,"4,56,90,365","8,60,58,50,709.01","2,25,830","87,39,579",19.13
NATIONALUM,EQ,12-Feb-2025,183.31,183.95,191.96,183.32,189.45,189.68,187.79,"1,89,47,908","3,55,82,12,557.00","1,23,346","26,82,019",14.15
NATIONALUM,EQ,13-Feb-2025,189.68,190.18,193.99,187.34,191.8,191.46,191.49,"85,92,839","1,64,54,76,193.73","66,209","28,46,283",33.12
NATIONALUM,EQ,14-Feb-2025,191.46,189.81,191.98,178.8,181.66,181.63,183.33,"1,34,95,376","2,47,41,63,962.34","92,817","36,59,682",27.12
NATIONALUM,EQ,17-Feb-2025,181.63,180.78,182.69,176.42,181.06,180.74,180.13,"63,79,906","1,14,92,18,422.33","68,189","15,25,398",23.91
NATIONALUM,EQ,18-Feb-2025,180.74,180.94,182.0,175.8,179.01,179.57,178.23,"61,57,248","1,09,74,34,886.95","46,926","19,33,984",31.41
