symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
OBEROIRLTY,EQ,22-Jan-2025,"1,858.05","1,858.00","1,858.00","1,731.50","1,764.95","1,763.15","1,758.67","28,79,895","5,06,47,89,758.75","2,08,260","9,13,248",31.71
OBEROIRLTY,EQ,23-Jan-2025,"1,763.15","1,770.00","1,849.95","1,757.05","1,820.00","1,821.90","1,819.69","13,44,506","2,44,65,88,718.50","93,051","5,74,090",42.70
OBEROIRLTY,EQ,24-Jan-2025,"1,821.90","1,825.95","1,828.05","1,752.40","1,757.50","1,756.75","1,782.95","9,58,625","1,70,91,76,344.75","63,265","4,87,941",50.90
OBEROIRLTY,EQ,27-Jan-2025,"1,756.75","1,750.00","1,782.15","1,678.60","1,683.00","1,685.05","1,716.04","12,43,015","2,13,30,65,889.25","93,859","4,96,181",39.92
OBEROIRLTY,EQ,28-Jan-2025,"1,685.05","1,700.15","1,712.15","1,645.05","1,670.00","1,672.95","1,686.01","13,40,324","2,25,98,03,761.40","69,862","6,23,392",46.51
OBEROIRLTY,EQ,29-Jan-2025,"1,672.95","1,675.00","1,723.00","1,671.95","1,710.70","1,718.40","1,706.39","7,36,424","1,25,66,25,242.35","51,865","3,12,594",42.45
OBEROIRLTY,EQ,30-Jan-2025,"1,718.40","1,740.20","1,771.80","1,724.05","1,761.00","1,755.70","1,748.70","10,73,078","1,87,64,96,406.90","56,924","4,77,469",44.50
OBEROIRLTY,EQ,31-Jan-2025,"1,755.70","1,760.20","1,842.95","1,748.25","1,813.45","1,812.65","1,816.43","13,99,801","2,54,26,44,177.85","63,184","6,78,498",48.47
OBEROIRLTY,EQ,01-Feb-2025,"1,812.65","1,813.45","1,853.75","1,765.00","1,842.00","1,844.25","1,818.91","5,34,832","97,28,10,937.40","40,024","1,27,248",23.79
OBEROIRLTY,EQ,03-Feb-2025,"1,844.25","1,840.00","1,844.40","1,778.65","1,809.35","1,803.85","1,809.39","6,68,940","1,21,03,74,331.30","57,270","2,54,641",38.07
OBEROIRLTY,EQ,04-Feb-2025,"1,803.85","1,820.00","1,836.70","1,798.00","1,818.15","1,824.20","1,822.03","4,56,456","83,16,78,469.80","36,302","2,10,588",46.14
OBEROIRLTY,EQ,05-Feb-2025,"1,824.20","1,830.00","1,850.55","1,810.50","1,819.00","1,828.45","1,826.34","4,33,038","79,08,74,913.25","30,017","2,23,393",51.59
OBEROIRLTY,EQ,06-Feb-2025,"1,828.45","1,835.00","1,840.00","1,791.40","1,800.00","1,797.65","1,814.04","2,94,141","53,35,84,479.90","32,321","1,23,342",41.93
OBEROIRLTY,EQ,07-Feb-2025,"1,797.65","1,795.75","1,842.75","1,779.30","1,813.00","1,824.85","1,813.05","5,47,399","99,24,60,221.55","59,429","2,06,033",37.64
OBEROIRLTY,EQ,10-Feb-2025,"1,824.85","1,812.10","1,820.00","1,787.90","1,800.00","1,808.45","1,802.98","4,30,268","77,57,62,656.20","29,574","2,18,357",50.75
OBEROIRLTY,EQ,11-Feb-2025,"1,808.45","1,809.00","1,814.00","1,693.95","1,709.00","1,704.75","1,724.51","7,19,782","1,24,12,67,859.75","60,577","2,73,724",38.03
OBEROIRLTY,EQ,12-Feb-2025,"1,704.75","1,704.75","1,717.95","1,621.50","1,637.45","1,640.25","1,651.99","11,27,995","1,86,34,32,726.80","89,409","4,36,976",38.74
OBEROIRLTY,EQ,13-Feb-2025,"1,640.25","1,640.00","1,645.30","1,560.10","1,623.90","1,628.65","1,611.74","15,55,845","2,50,76,17,116.85","1,10,445","4,92,806",31.67
OBEROIRLTY,EQ,14-Feb-2025,"1,628.65","1,628.65","1,650.00","1,547.80","1,565.60","1,570.65","1,584.55","7,10,925","1,12,64,96,379.10","61,255","2,45,255",34.50
OBEROIRLTY,EQ,17-Feb-2025,"1,570.65","1,553.10","1,594.50","1,536.10","1,594.00","1,590.25","1,567.55","4,70,078","73,68,71,959.45","58,440","1,78,895",38.06
OBEROIRLTY,EQ,18-Feb-2025,"1,590.25","1,590.25","1,597.75","1,556.00","1,582.75","1,590.55","1,576.92","4,77,597","75,31,32,746.50","39,123","2,26,788",47.49
OBEROIRLTY,EQ,19-Feb-2025,"1,590.55","1,560.00","1,636.50","1,558.80","1,600.85","1,602.15","1,613.98","6,54,144","1,05,57,76,432.30","51,217","3,31,165",50.63
OBEROIRLTY,EQ,20-Feb-2025,"1,602.15","1,602.15","1,625.25","1,576.75","1,619.00","1,616.85","1,606.33","4,38,467","70,43,23,057.10","41,773","2,08,963",47.66
OBEROIRLTY,EQ,21-Feb-2025,"1,616.85","1,620.00","1,657.00","1,574.00","1,578.00","1,581.80","1,615.03","4,96,920","80,25,40,634.80","40,017","1,40,971",28.37
OBEROIRLTY,EQ,24-Feb-2025,"1,581.80","1,569.05","1,606.65","1,551.00","1,586.00","1,583.55","1,580.78","3,28,716","51,96,26,136.65","30,224","56,095",17.06
OBEROIRLTY,EQ,25-Feb-2025,"1,583.55","1,591.90","1,615.50","1,536.05","1,539.00","1,543.35","1,563.11","9,69,576","1,51,55,50,877.65","61,764","5,00,283",51.60
OBEROIRLTY,EQ,27-Feb-2025,"1,543.35","1,543.50","1,546.75","1,501.00","1,503.70","1,507.75","1,517.17","14,09,398","2,13,83,00,441.85","98,288","7,47,627",53.05
OBEROIRLTY,EQ,28-Feb-2025,"1,507.75","1,478.00","1,507.75","1,451.95","1,470.05","1,484.50","1,477.77","22,37,962","3,30,71,83,541.05","1,05,611","14,92,710",66.70
OBEROIRLTY,EQ,03-Mar-2025,"1,484.50","1,486.25","1,514.70","1,454.05","1,511.95","1,506.35","1,488.19","4,76,343","70,88,90,057.45","62,436","2,23,767",46.98
OBEROIRLTY,EQ,04-Mar-2025,"1,506.35","1,476.70","1,528.95","1,476.60","1,522.00","1,515.00","1,511.24","6,12,214","92,52,00,492.20","66,472","3,20,916",52.42
OBEROIRLTY,EQ,05-Mar-2025,"1,515.00","1,515.00","1,572.25","1,515.00","1,570.00","1,569.35","1,560.57","5,84,437","91,20,55,205.05","40,242","3,44,039",58.87
OBEROIRLTY,EQ,06-Mar-2025,"1,569.35","1,590.00","1,593.10","1,546.50","1,563.45","1,565.05","1,562.97","4,61,985","72,20,67,060.25","40,057","2,41,185",52.21
OBEROIRLTY,EQ,07-Mar-2025,"1,565.05","1,571.60","1,577.10","1,527.50","1,548.00","1,543.15","1,548.71","4,19,309","64,93,87,500.20","39,389","2,02,710",48.34
OBEROIRLTY,EQ,10-Mar-2025,"1,543.15","1,543.15","1,562.25","1,512.40","1,520.00","1,524.05","1,539.13","5,15,354","79,31,95,295.25","71,480","2,64,959",51.41
OBEROIRLTY,EQ,11-Mar-2025,"1,524.05","1,497.15","1,589.75","1,497.15","1,576.05","1,581.60","1,561.87","7,01,768","1,09,60,70,563.85","65,019","2,60,275",37.09
OBEROIRLTY,EQ,12-Mar-2025,"1,581.60","1,588.95","1,601.00","1,545.05","1,570.20","1,570.80","1,573.81","4,31,423","67,89,77,175.90","44,016","1,90,680",44.20
