symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
OIL,EQ,22-Jan-2025,474.25,474.25,475.05,448.3,455.05,454.35,456.94,"42,06,722","1,92,22,13,348.25","90,848","23,39,466",55.61
OIL,EQ,23-Jan-2025,454.35,452.05,470.0,442.25,450.25,451.3,448.57,"35,08,784","1,57,39,23,712.85","62,009","18,24,855",52.01
OIL,EQ,24-Jan-2025,451.3,449.75,453.7,423.05,426.0,424.5,431.99,"40,61,399","1,75,44,79,568.95","94,878","14,12,188",34.77
OIL,EQ,27-Jan-2025,424.5,424.5,424.5,405.45,406.95,406.65,410.92,"26,68,031","1,09,63,39,559.30","52,965","8,90,072",33.36
OIL,EQ,28-Jan-2025,406.65,409.0,411.7,390.5,396.35,397.05,397.67,"27,14,364","1,07,94,31,100.60","66,777","8,25,227",30.4
OIL,EQ,29-Jan-2025,397.05,398.0,408.8,392.1,408.65,407.55,402.37,"25,55,776","1,02,83,64,268.55","50,414","10,45,259",40.9
OIL,EQ,30-Jan-2025,407.55,408.0,421.0,402.15,417.3,417.75,415.65,"34,32,662","1,42,67,91,845.95","61,609","14,73,277",42.92
OIL,EQ,31-Jan-2025,417.75,417.75,425.05,411.1,422.0,420.45,419.8,"26,24,269","1,10,16,61,466.80","62,281","11,92,421",45.44
OIL,EQ,01-Feb-2025,420.45,421.0,426.95,406.5,410.5,410.7,416.03,"11,23,769","46,75,19,941.00","24,985","2,97,318",26.46
OIL,EQ,03-Feb-2025,410.7,410.55,414.0,389.35,396.0,394.8,395.91,"26,67,713","1,05,61,87,546.40","85,045","11,99,643",44.97
OIL,EQ,04-Feb-2025,394.8,401.4,406.95,396.8,404.85,405.45,402.86,"15,97,972","64,37,65,756.10","42,340","5,90,900",36.98
OIL,EQ,05-Feb-2025,405.45,407.0,432.9,406.95,431.5,431.6,426.67,"47,79,988","2,03,94,61,059.55","76,227","14,58,595",30.51
OIL,EQ,06-Feb-2025,431.6,436.5,436.5,421.35,426.1,425.0,427.38,"23,45,991","1,00,26,40,653.90","64,283","8,83,690",37.67
OIL,EQ,07-Feb-2025,425.0,425.0,427.75,411.7,424.25,424.8,421.28,"20,37,690","85,84,44,784.50","46,190","5,36,762",26.34
OIL,EQ,10-Feb-2025,424.8,414.8,415.55,397.5,403.3,405.25,405.25,"57,34,994","2,32,40,79,042.60","96,874","21,33,455",37.2
OIL,EQ,11-Feb-2025,405.25,405.05,414.35,395.1,411.5,412.2,406.28,"41,21,580","1,67,45,15,935.10","71,179","11,63,683",28.23
OIL,EQ,12-Feb-2025,412.2,412.5,421.1,404.0,418.05,417.55,413.9,"48,36,753","2,00,19,15,248.05","85,501","14,28,284",29.53
OIL,EQ,13-Feb-2025,417.55,417.55,418.0,405.7,412.0,412.9,411.85,"30,27,874","1,24,70,28,686.95","56,452","10,11,763",33.41
OIL,EQ,14-Feb-2025,412.9,415.0,417.55,390.1,395.65,396.35,399.07,"32,99,511","1,31,67,50,180.95","61,164","12,02,019",36.43
OIL,EQ,17-Feb-2025,396.35,384.95,401.75,375.0,401.2,400.55,392.41,"29,89,496","1,17,31,08,194.15","65,716","5,76,948",19.3
OIL,EQ,18-Feb-2025,400.55,404.65,404.65,386.1,396.95,398.55,393.5,"32,38,537","1,27,43,54,001.05","56,571","10,37,499",32.04
OIL,EQ,19-Feb-2025,398.55,395.0,406.25,391.65,397.2,396.35,399.93,"23,27,087","93,06,81,069.10","60,814","8,54,281",36.71
OIL,EQ,20-Feb-2025,396.35,398.0,409.5,391.6,404.8,405.65,403.17,"27,90,526","1,12,50,49,829.70","58,658","10,45,909",37.48
OIL,EQ,21-Feb-2025,405.65,405.1,412.35,390.6,391.85,392.4,398.17,"22,21,369","88,44,93,460.55","47,563","8,11,772",36.54
OIL,EQ,24-Feb-2025,392.4,392.4,393.45,377.1,378.0,378.8,382.29,"23,94,354","91,53,32,484.40","49,233","8,86,897",37.04
OIL,EQ,25-Feb-2025,378.8,379.05,386.0,368.3,372.2,372.4,375.41,"25,75,940","96,70,22,025.00","53,681","5,65,577",21.96
OIL,EQ,27-Feb-2025,372.4,373.9,376.4,362.15,366.5,365.9,366.67,"25,91,172","95,00,92,194.25","42,576","10,98,200",42.38
OIL,EQ,28-Feb-2025,365.9,364.95,367.45,340.95,343.0,342.7,348.41,"59,47,063","2,07,20,23,216.60","90,720","33,10,599",55.67
OIL,EQ,03-Mar-2025,342.7,345.1,350.65,339.05,341.55,341.65,342.68,"30,01,287","1,02,84,92,494.00","64,371","12,40,615",41.34
OIL,EQ,04-Mar-2025,341.65,335.5,353.1,328.15,352.55,351.2,345.15,"34,64,023","1,19,56,20,127.75","57,181","14,40,283",41.58
OIL,EQ,05-Mar-2025,351.2,353.15,376.5,352.0,368.6,368.2,368.32,"49,17,698","1,81,13,08,684.85","78,819","12,21,202",24.83
OIL,EQ,06-Mar-2025,368.2,371.3,376.15,365.3,371.05,372.2,369.81,"32,32,955","1,19,55,82,016.30","56,628","10,51,584",32.53
OIL,EQ,07-Mar-2025,372.2,372.0,372.0,364.8,369.65,369.75,368.77,"34,22,495","1,26,21,13,690.30","66,454","15,77,320",46.09
OIL,EQ,10-Mar-2025,369.75,371.0,377.75,359.25,361.8,362.85,367.37,"26,91,390","98,87,45,773.10","58,325","9,88,222",36.72
OIL,EQ,11-Mar-2025,362.85,360.0,371.65,353.75,370.2,369.15,365.12,"19,42,431","70,92,22,798.10","36,947","4,58,200",23.59
OIL,EQ,12-Mar-2025,369.15,371.0,374.5,361.75,367.0,366.8,366.92,"19,26,697","70,69,51,326.30","36,844","6,09,103",31.61
OIL,EQ,13-Mar-2025,366.8,370.0,382.0,368.1,375.55,375.5,377.39,"46,20,549","1,74,37,28,040.10","82,843","10,31,554",22.33
OIL,EQ,17-Mar-2025,375.5,377.0,384.7,376.05,378.45,378.15,379.24,"19,59,640","74,31,83,164.55","31,025","6,74,358",34.41
OIL,EQ,18-Mar-2025,378.15,380.3,387.5,375.75,385.0,385.8,383.04,"22,31,034","85,45,82,444.20","37,368","8,98,724",40.28
OIL,EQ,19-Mar-2025,385.8,386.0,388.0,380.65,385.75,385.85,384.99,"21,52,373","82,86,48,019.50","49,903","9,32,565",43.33
OIL,EQ,20-Mar-2025,385.85,388.85,393.9,383.55,391.0,391.3,389.91,"21,13,205","82,39,56,666.95","41,934","8,51,717",40.3
OIL,EQ,21-Mar-2025,391.3,393.0,400.5,389.6,392.9,393.6,394.38,"38,58,351","1,52,16,63,002.60","54,256","18,71,358",48.5
OIL,EQ,24-Mar-2025,393.6,398.0,404.4,396.45,397.55,398.1,400.04,"16,11,951","64,48,42,291.30","28,001","6,50,314",40.34
OIL,EQ,25-Mar-2025,398.1,402.85,402.85,383.7,388.95,390.3,390.89,"28,99,258","1,13,33,04,698.70","42,635","12,35,664",42.62
OIL,EQ,26-Mar-2025,390.3,390.3,396.9,379.15,383.7,380.9,387.14,"35,44,394","1,37,21,88,876.05","46,954","20,69,463",58.39
OIL,EQ,27-Mar-2025,380.9,382.0,391.8,381.0,386.0,386.05,386.83,"62,58,419","2,42,09,37,713.35","62,975","36,32,583",58.04
OIL,EQ,28-Mar-2025,386.05,388.4,396.6,382.1,384.0,386.75,389.22,"30,59,820","1,19,09,49,427.95","40,274","12,22,009",39.94
OIL,EQ,01-Apr-2025,386.75,386.75,394.85,384.5,385.7,385.45,388.55,"18,93,089","73,55,51,302.50","28,823","7,67,840",40.56
OIL,EQ,02-Apr-2025,385.45,386.2,393.6,374.0,391.25,392.1,385.47,"21,98,587","84,74,82,990.20","33,469","7,55,758",34.37
OIL,EQ,03-Apr-2025,392.1,387.7,392.45,382.0,386.4,386.05,385.7,"18,96,611","73,15,15,043.45","28,171","8,19,825",43.23
OIL,EQ,04-Apr-2025,386.05,382.0,384.9,354.6,359.9,357.75,363.16,"53,58,396","1,94,59,30,067.65","77,609","20,79,035",38.8
OIL,EQ,07-Apr-2025,357.75,327.85,345.8,325.0,344.6,343.25,338.14,"41,17,814","1,39,24,04,855.05","92,367","15,43,979",37.5
OIL,EQ,08-Apr-2025,343.25,349.0,354.8,342.15,354.45,353.45,349.64,"26,09,456","91,23,66,819.80","44,437","9,46,060",36.26
OIL,EQ,09-Apr-2025,353.45,349.0,351.75,336.4,351.7,349.65,345.65,"38,83,921","1,34,24,68,731.70","66,921","14,30,383",36.83
OIL,EQ,11-Apr-2025,349.65,355.0,361.1,351.0,357.4,358.9,357.73,"20,46,609","73,21,33,915.70","37,809","8,94,209",43.69
OIL,EQ,15-Apr-2025,358.9,367.0,368.0,361.3,367.05,365.95,364.43,"14,84,895","54,11,36,033.10","23,718","7,24,534",48.79
OIL,EQ,16-Apr-2025,365.95,370.0,379.5,366.25,378.0,378.3,373.37,"33,21,597","1,24,01,88,540.15","47,760","9,33,153",28.09
OIL,EQ,17-Apr-2025,378.3,380.0,386.7,377.2,384.05,384.4,383.12,"24,32,713","93,20,10,719.35","29,158","7,77,248",31.95
OIL,EQ,21-Apr-2025,384.4,386.1,398.5,381.35,396.1,395.85,394.07,"29,97,217","1,18,11,05,475.75","39,087","12,62,838",42.13
OIL,EQ,22-Apr-2025,395.85,395.85,406.8,391.7,404.0,404.0,402.0,"28,72,315","1,15,46,74,571.75","33,755","10,82,174",37.68
OIL,EQ,23-Apr-2025,404.0,405.0,412.8,399.2,406.05,406.85,405.76,"23,91,063","97,02,09,083.40","32,364","7,34,296",30.71
OIL,EQ,24-Apr-2025,406.85,404.0,406.6,397.2,403.0,402.6,401.48,"29,16,837","1,17,10,48,481.95","45,243","12,45,999",42.72
OIL,EQ,25-Apr-2025,402.6,400.9,404.55,389.1,397.6,399.35,397.9,"28,20,294","1,12,21,96,144.70","45,379","11,46,461",40.65
OIL,EQ,28-Apr-2025,399.35,397.75,406.75,393.5,405.2,405.15,402.34,"17,27,973","69,52,24,622.20","29,582","6,37,652",36.9
OIL,EQ,29-Apr-2025,405.15,405.6,412.85,401.5,404.5,404.45,408.55,"36,07,844","1,47,40,01,215.40","38,624","15,82,370",43.86
OIL,EQ,30-Apr-2025,404.45,404.45,414.0,397.8,409.4,410.75,408.83,"36,21,149","1,48,04,24,511.65","37,427","17,51,185",48.36
OIL,EQ,02-May-2025,410.75,408.0,416.5,403.15,404.0,404.9,410.23,"19,59,784","80,39,62,105.70","35,431","7,33,359",37.42
OIL,EQ,05-May-2025,404.9,400.0,405.75,388.7,405.3,404.6,399.27,"33,67,921","1,34,47,21,511.45","50,567","10,83,666",32.18
OIL,EQ,06-May-2025,404.6,405.95,408.45,395.5,398.0,398.25,401.08,"20,22,615","81,12,23,447.20","26,800","7,91,909",39.15
