symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PAGEIND,EQ,22-Jan-2025,"45,975.85","46,280.00","46,671.35","45,700.00","45,900.00","46,073.35","46,131.65","42,794","1,97,41,57,743.35","18,436","26,122",61.04
PAGEIND,EQ,23-Jan-2025,"46,073.35","46,165.60","46,913.90","45,794.10","46,600.00","46,768.75","46,530.18","29,451","1,37,03,60,225.60","16,102","17,504",59.43
PAGEIND,EQ,24-Jan-2025,"46,768.75","46,554.00","47,149.55","46,256.35","46,321.60","46,395.25","46,698.13","13,011","60,75,89,398.55","8,079","5,633",43.29
PAGEIND,EQ,27-Jan-2025,"46,395.25","46,320.00","46,320.00","44,335.00","44,365.00","44,579.40","44,944.75","17,917","80,52,75,078.50","11,157","6,527",36.43
PAGEIND,EQ,28-Jan-2025,"44,579.40","44,509.00","44,930.00","44,200.15","44,566.45","44,683.55","44,663.64","20,045","89,52,82,754.50","10,417","9,499",47.39
PAGEIND,EQ,29-Jan-2025,"44,683.55","44,600.00","46,098.95","44,583.00","44,816.30","45,190.35","45,486.76","32,215","1,46,53,55,875.05","15,655","18,636",57.85
PAGEIND,EQ,30-Jan-2025,"45,190.35","45,190.35","45,205.40","43,600.00","44,200.00","44,303.45","44,336.80","37,596","1,66,68,86,447.45","15,824","19,462",51.77
PAGEIND,EQ,31-Jan-2025,"44,303.45","44,300.00","45,190.20","44,289.95","44,752.00","44,723.55","44,769.89","27,976","1,25,24,82,525.85","12,377","15,333",54.81
PAGEIND,EQ,01-Feb-2025,"44,723.55","44,775.00","47,168.90","43,605.00","46,501.00","46,572.75","45,751.54","48,216","2,20,59,56,221.50","22,440","17,401",36.09
PAGEIND,EQ,03-Feb-2025,"46,572.75","46,542.85","47,493.50","45,409.50","46,900.00","47,278.75","46,812.23","23,382","1,09,45,63,490.30","9,905","8,765",37.49
PAGEIND,EQ,04-Feb-2025,"47,278.75","46,951.00","47,191.40","45,677.75","47,191.00","46,907.25","46,489.13","30,223","1,40,50,41,070.65","17,168","11,530",38.15
PAGEIND,EQ,05-Feb-2025,"46,907.25","47,179.00","48,400.00","45,468.50","45,798.00","45,795.15","46,940.80","96,888","4,54,80,00,495.50","45,915","29,345",30.29
PAGEIND,EQ,06-Feb-2025,"45,795.15","45,430.00","45,430.00","43,511.85","43,950.00","43,991.20","44,021.76","1,20,947","5,32,42,99,735.35","44,318","55,412",45.82
