symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PERSISTENT,EQ,22-Jan-2025,"5,896.70","5,750.00","5,872.50","5,445.00","5,655.00","5,683.15","5,603.35","12,09,268","6,77,59,56,687.10","1,49,449","5,24,239",43.35
PERSISTENT,EQ,23-Jan-2025,"5,683.15","5,790.00","6,359.10","5,783.15","6,270.00","6,287.70","6,212.74","27,38,505","17,01,36,06,946.40","2,21,632","7,91,854",28.92
PERSISTENT,BL,23-Jan-2025,"3,747.90","6,325.60","6,325.60","6,325.60","6,325.60","6,325.60","6,325.60","34,679","21,93,65,482.40",1,-,-
PERSISTENT,EQ,24-Jan-2025,"6,287.70","6,287.70","6,501.00","6,230.05","6,388.45","6,360.65","6,387.41","14,33,020","9,15,32,88,062.25","1,40,010","5,60,779",39.13
PERSISTENT,EQ,27-Jan-2025,"6,360.65","6,298.80","6,312.40","6,017.85","6,034.65","6,061.25","6,142.81","5,71,171","3,50,85,97,372.00","90,931","1,82,782",32.00
PERSISTENT,EQ,28-Jan-2025,"6,061.25","6,000.00","6,059.00","5,871.25","5,901.10","5,910.30","5,961.65","6,81,360","4,06,20,31,273.25","74,475","2,87,552",42.20
PERSISTENT,EQ,29-Jan-2025,"5,910.30","5,970.00","6,310.00","5,970.00","6,305.70","6,275.95","6,191.51","7,24,783","4,48,74,98,384.00","85,922","2,38,053",32.84
PERSISTENT,EQ,30-Jan-2025,"6,275.95","6,310.00","6,338.60","6,025.50","6,055.50","6,056.70","6,139.41","4,54,129","2,78,80,82,298.60","70,918","1,17,632",25.90
PERSISTENT,EQ,31-Jan-2025,"6,056.70","6,080.40","6,137.20","5,964.00","6,058.10","6,032.60","6,046.64","3,54,309","2,14,23,77,999.80","45,184","1,66,194",46.91
PERSISTENT,EQ,01-Feb-2025,"6,032.60","6,047.75","6,138.90","5,833.10","5,906.65","5,933.55","5,963.30","3,17,096","1,89,09,39,809.10","48,393","1,04,779",33.04
PERSISTENT,EQ,03-Feb-2025,"5,933.55","5,830.00","6,107.95","5,477.55","6,060.00","6,076.75","5,970.70","5,57,306","3,32,75,09,591.20","87,508","2,12,236",38.08
PERSISTENT,EQ,04-Feb-2025,"6,076.75","6,128.85","6,253.95","6,008.05","6,114.15","6,111.90","6,131.85","4,40,631","2,70,18,83,695.95","60,654","1,69,226",38.41
PERSISTENT,EQ,05-Feb-2025,"6,111.90","6,157.65","6,246.70","6,120.00","6,179.40","6,189.45","6,194.62","3,42,294","2,12,03,80,927.70","44,976","1,83,411",53.58
PERSISTENT,EQ,06-Feb-2025,"6,189.45","6,240.00","6,295.00","6,210.50","6,215.00","6,228.60","6,249.31","2,70,778","1,69,21,76,917.95","42,579","1,36,432",50.39
PERSISTENT,EQ,07-Feb-2025,"6,228.60","6,230.00","6,303.95","6,190.00","6,258.75","6,254.10","6,245.60","2,46,917","1,54,21,44,037.00","33,843","88,058",35.66
PERSISTENT,EQ,10-Feb-2025,"6,254.10","6,280.00","6,284.90","5,956.10","6,011.70","5,993.90","6,049.43","2,65,630","1,60,69,09,332.95","44,539","1,14,994",43.29
PERSISTENT,EQ,11-Feb-2025,"5,993.90","6,026.35","6,038.40","5,783.85","5,807.95","5,828.35","5,885.00","2,55,594","1,50,41,71,907.50","41,847","1,12,803",44.13
PERSISTENT,EQ,12-Feb-2025,"5,828.35","5,839.95","5,860.00","5,683.05","5,707.00","5,705.20","5,748.48","2,83,805","1,63,14,47,025.45","58,014","1,27,079",44.78
PERSISTENT,EQ,13-Feb-2025,"5,705.20","5,721.95","5,788.25","5,618.00","5,644.00","5,663.30","5,697.72","2,33,733","1,33,17,46,351.20","55,018","1,07,114",45.83
PERSISTENT,EQ,14-Feb-2025,"5,663.30","5,700.00","5,728.85","5,490.10","5,547.00","5,562.70","5,551.22","3,70,089","2,05,44,44,543.45","79,423","1,78,156",48.14
PERSISTENT,EQ,17-Feb-2025,"5,562.70","5,562.70","5,562.70","5,388.50","5,540.00","5,531.30","5,479.37","3,31,116","1,81,43,05,563.20","54,532","1,41,358",42.69
PERSISTENT,EQ,18-Feb-2025,"5,531.30","5,594.25","5,814.00","5,562.10","5,790.00","5,797.25","5,721.08","8,36,676","4,78,66,89,082.60","96,515","2,30,279",27.52
PERSISTENT,EQ,19-Feb-2025,"5,797.25","5,787.90","5,969.65","5,739.10","5,862.00","5,899.80","5,879.21","5,09,368","2,99,46,80,005.15","76,979","2,55,291",50.12
PERSISTENT,EQ,20-Feb-2025,"5,899.80","5,848.80","5,949.95","5,838.20","5,930.00","5,917.90","5,909.12","2,15,467","1,27,32,20,918.35","45,176","1,19,886",55.64
PERSISTENT,EQ,21-Feb-2025,"5,917.90","5,925.00","5,937.40","5,680.00","5,698.00","5,710.30","5,751.79","3,35,451","1,92,94,42,881.25","67,368","1,76,040",52.48
PERSISTENT,EQ,24-Feb-2025,"5,710.30","5,628.00","5,690.00","5,465.70","5,614.30","5,639.80","5,573.65","6,49,930","3,62,24,79,814.00","80,718","2,69,853",41.52
PERSISTENT,EQ,25-Feb-2025,"5,639.80","5,520.00","5,670.00","5,470.00","5,500.05","5,508.10","5,542.18","3,38,075","1,87,36,71,784.30","56,802","1,36,533",40.39
PERSISTENT,EQ,27-Feb-2025,"5,508.10","5,525.00","5,550.30","5,400.00","5,451.00","5,473.25","5,467.50","3,54,670","1,93,91,57,321.60","64,093","1,57,814",44.50
PERSISTENT,EQ,28-Feb-2025,"5,473.25","5,370.00","5,472.60","5,149.20","5,265.00","5,303.90","5,254.96","16,07,716","8,44,84,75,887.45","1,24,992","8,35,279",51.95
PERSISTENT,EQ,03-Mar-2025,"5,303.90","5,303.90","5,354.85","5,105.00","5,304.95","5,292.55","5,219.84","5,05,746","2,63,99,12,685.05","88,295","2,18,413",43.19
PERSISTENT,EQ,04-Mar-2025,"5,292.55","5,186.70","5,225.20","5,085.05","5,135.15","5,153.00","5,168.75","5,27,077","2,72,43,29,394.60","1,01,933","2,55,489",48.47
PERSISTENT,EQ,05-Mar-2025,"5,153.00","5,085.05","5,466.00","5,085.05","5,380.00","5,391.10","5,385.05","8,90,952","4,79,78,25,305.00","1,14,066","3,58,439",40.23
PERSISTENT,EQ,06-Mar-2025,"5,391.10","5,431.20","5,492.70","5,267.90","5,284.95","5,303.25","5,405.90","7,01,133","3,79,02,54,629.95","77,838","3,71,596",53.00
PERSISTENT,EQ,07-Mar-2025,"5,303.25","5,270.00","5,323.15","5,168.00","5,272.70","5,278.80","5,269.27","3,70,208","1,95,07,27,682.15","58,802","1,43,752",38.83
