symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PHOENIXLTD,EQ,22-Jan-2025,"1,520.00","1,530.00","1,531.95","1,449.05","1,454.90","1,457.85","1,466.22","7,81,536","1,14,59,00,490.00","73,335","5,09,776",65.23
PHOENIXLTD,EQ,23-Jan-2025,"1,457.85","1,452.00","1,542.75","1,450.00","1,525.05","1,527.95","1,516.65","6,48,821","98,40,37,407.45","59,164","3,44,024",53.02
PHOENIXLTD,EQ,24-Jan-2025,"1,527.95","1,528.05","1,543.80","1,495.55","1,515.00","1,516.80","1,514.71","5,73,197","86,82,25,741.35","50,008","3,73,725",65.2
PHOENIXLTD,EQ,27-Jan-2025,"1,516.80","1,496.00","1,519.80","1,450.05","1,498.90","1,483.95","1,485.79","7,16,328","1,06,43,09,675.85","39,813","5,06,517",70.71
PHOENIXLTD,EQ,28-Jan-2025,"1,483.95","1,475.00","1,525.00","1,470.60","1,517.45","1,514.30","1,501.98","9,54,481","1,43,36,14,424.05","30,232","7,71,666",80.85
PHOENIXLTD,EQ,29-Jan-2025,"1,514.30","1,524.00","1,580.00","1,517.45","1,546.90","1,556.95","1,549.58","1,67,936","26,02,30,832.10","19,831","54,978",32.74
PHOENIXLTD,EQ,30-Jan-2025,"1,556.95","1,554.10","1,627.95","1,553.95","1,587.00","1,599.15","1,599.99","4,40,775","70,52,34,142.95","48,650","1,98,473",45.03
PHOENIXLTD,EQ,31-Jan-2025,"1,599.15","1,579.80","1,658.95","1,571.05","1,639.40","1,641.80","1,629.86","9,17,562","1,49,54,98,024.15","62,204","5,64,292",61.5
PHOENIXLTD,EQ,01-Feb-2025,"1,641.80","1,640.10","1,785.00","1,616.30","1,750.00","1,764.40","1,730.53","8,01,148","1,38,64,11,010.45","40,801","3,04,142",37.96
PHOENIXLTD,EQ,03-Feb-2025,"1,764.40","1,750.00","1,849.55","1,736.60","1,817.90","1,822.10","1,793.80","13,97,529","2,50,68,85,860.25","81,227","7,40,769",53.01
PHOENIXLTD,EQ,04-Feb-2025,"1,822.10","1,822.30","1,824.90","1,760.80","1,776.35","1,784.20","1,787.80","5,59,998","1,00,11,66,430.30","81,740","2,82,698",50.48
