symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PIDILITIND,EQ,22-Jan-2025,"2,749.70","2,756.90","2,765.00","2,725.10","2,750.00","2,754.75","2,746.93","3,13,441","86,10,01,088.25","43,102","1,96,197",62.59
PIDILITIND,EQ,23-Jan-2025,"2,754.75","2,800.95","2,997.20","2,800.95","2,903.25","2,909.65","2,934.04","23,12,757","6,78,57,32,262.90","1,31,127","5,35,947",23.17
PIDILITIND,EQ,24-Jan-2025,"2,909.65","2,909.65","2,943.00","2,841.00","2,853.50","2,854.55","2,880.02","3,00,150","86,44,39,298.15","35,094","1,05,473",35.14
PIDILITIND,EQ,27-Jan-2025,"2,854.55","2,820.00","2,884.65","2,801.55","2,863.10","2,867.00","2,866.35","3,29,979","94,58,36,486.90","40,835","1,70,277",51.6
PIDILITIND,EQ,28-Jan-2025,"2,867.00","2,867.05","2,886.45","2,852.05","2,864.50","2,864.10","2,867.64","2,44,266","70,04,67,676.15","19,365","1,21,571",49.77
PIDILITIND,EQ,29-Jan-2025,"2,864.10","2,884.00","2,898.00","2,850.30","2,889.00","2,891.05","2,878.88","2,07,441","59,71,97,372.40","28,257","90,167",43.47
PIDILITIND,EQ,30-Jan-2025,"2,891.05","2,891.05","2,899.95","2,842.00","2,891.00","2,886.55","2,883.84","1,97,508","56,95,81,929.00","31,719","1,12,224",56.82
PIDILITIND,EQ,31-Jan-2025,"2,886.55","2,886.45","2,904.50","2,845.00","2,882.00","2,871.70","2,870.65","3,13,741","90,06,39,183.75","33,070","1,80,773",57.62
PIDILITIND,EQ,01-Feb-2025,"2,871.70","2,864.00","3,008.55","2,860.15","2,947.00","2,947.25","2,937.70","1,64,680","48,37,80,469.65","18,473","55,060",33.43
PIDILITIND,EQ,03-Feb-2025,"2,947.25","2,947.25","2,972.60","2,911.30","2,957.05","2,960.75","2,948.67","2,47,344","72,93,35,430.80","32,482","1,08,333",43.8
PIDILITIND,EQ,04-Feb-2025,"2,960.75","2,970.00","2,982.10","2,916.25","2,928.00","2,926.95","2,929.91","3,24,713","95,13,78,667.20","29,574","2,18,204",67.2
PIDILITIND,EQ,05-Feb-2025,"2,926.95","2,921.55","2,940.00","2,881.15","2,888.90","2,889.20","2,905.52","1,83,765","53,39,33,258.05","28,435","1,05,646",57.49
PIDILITIND,EQ,06-Feb-2025,"2,889.20","2,895.00","2,917.85","2,873.60","2,904.60","2,899.55","2,894.61","1,83,892","53,22,95,416.90","23,493","1,13,877",61.93
PIDILITIND,EQ,07-Feb-2025,"2,899.55","2,900.00","2,913.45","2,846.60","2,877.60","2,870.60","2,871.68","1,98,892","57,11,54,262.90","24,821","1,13,858",57.25
PIDILITIND,EQ,10-Feb-2025,"2,870.60","2,851.00","2,930.00","2,851.00","2,870.00","2,868.05","2,865.34","1,59,096","45,58,64,358.05","21,702","93,908",59.03
PIDILITIND,EQ,11-Feb-2025,"2,868.05","2,860.05","2,867.90","2,828.75","2,850.00","2,851.05","2,848.91","1,95,053","55,56,88,624.85","32,807","1,13,316",58.09
PIDILITIND,EQ,12-Feb-2025,"2,851.05","2,850.50","2,853.10","2,802.00","2,832.95","2,828.50","2,829.43","1,26,361","35,75,29,012.15","23,643","67,373",53.32
PIDILITIND,EQ,13-Feb-2025,"2,828.50","2,828.00","2,850.00","2,803.00","2,815.00","2,818.10","2,824.57","1,18,160","33,37,51,549.05","18,548","53,241",45.06
PIDILITIND,EQ,14-Feb-2025,"2,818.10","2,815.45","2,828.95","2,776.10","2,800.00","2,806.20","2,801.42","1,02,793","28,79,65,870.90","19,217","54,567",53.08
