symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PIIND,EQ,22-Jan-2025,"3,519.85","3,523.65","3,561.90","3,465.50","3,502.30","3,500.65","3,498.77","1,94,028","67,88,60,127.40","36,289","1,19,180",61.42
PIIND,EQ,23-Jan-2025,"3,500.65","3,522.55","3,570.95","3,482.65","3,527.10","3,526.65","3,533.11","1,03,745","36,65,42,573.55","20,063","54,511",52.54
PIIND,EQ,24-Jan-2025,"3,526.65","3,510.00","3,544.55","3,481.25","3,503.00","3,501.60","3,506.42","2,50,360","87,78,68,295.30","39,878","1,38,671",55.39
PIIND,EQ,27-Jan-2025,"3,501.60","3,501.60","3,515.00","3,357.00","3,359.80","3,373.30","3,405.10","3,04,672","1,03,74,38,230.00","35,394","1,63,168",53.56
PIIND,EQ,28-Jan-2025,"3,373.30","3,373.30","3,415.75","3,333.30","3,336.35","3,347.90","3,372.47","1,99,980","67,44,27,136.65","24,590","1,07,952",53.98
PIIND,EQ,29-Jan-2025,"3,347.90","3,350.00","3,438.30","3,327.50","3,425.00","3,425.20","3,395.99","1,26,453","42,94,33,398.75","18,505","62,156",49.15
PIIND,EQ,30-Jan-2025,"3,425.20","3,435.00","3,479.95","3,425.20","3,452.00","3,456.60","3,458.92","2,56,135","88,59,49,539.50","46,230","1,05,504",41.19
PIIND,EQ,31-Jan-2025,"3,456.60","3,469.00","3,502.65","3,387.05","3,486.05","3,483.75","3,469.15","3,42,427","1,18,79,31,778.60","38,714","1,95,543",57.11
PIIND,EQ,01-Feb-2025,"3,483.75","3,500.00","3,541.50","3,431.50","3,499.10","3,481.70","3,496.45","1,08,705","38,00,81,717.75","16,713","32,732",30.11
PIIND,EQ,03-Feb-2025,"3,481.70","3,476.10","3,692.50","3,476.10","3,630.05","3,619.45","3,639.97","11,56,135","4,20,83,00,965.85","1,07,868","4,27,504",36.98
PIIND,EQ,04-Feb-2025,"3,619.45","3,609.05","3,609.05","3,528.00","3,570.00","3,574.45","3,563.18","2,18,062","77,69,94,782.45","22,850","1,20,109",55.08
PIIND,EQ,05-Feb-2025,"3,574.45","3,600.00","3,638.55","3,537.40","3,598.00","3,596.80","3,585.96","3,58,394","1,28,51,88,283.25","36,123","2,31,071",64.47
PIIND,EQ,06-Feb-2025,"3,596.80","3,600.00","3,664.90","3,569.50","3,639.00","3,641.45","3,640.18","4,15,667","1,51,31,03,782.75","41,890","2,51,569",60.52
PIIND,EQ,07-Feb-2025,"3,641.45","3,528.35","3,582.35","3,451.00","3,536.00","3,543.85","3,531.74","12,66,192","4,47,18,60,726.55","93,894","6,72,031",53.07
PIIND,EQ,10-Feb-2025,"3,543.85","3,538.50","3,599.95","3,475.00","3,525.00","3,524.20","3,526.06","1,91,736","67,60,72,822.75","31,948","88,908",46.37
PIIND,EQ,11-Feb-2025,"3,524.20","3,500.00","3,500.00","3,375.75","3,420.00","3,419.60","3,417.21","4,07,211","1,39,15,26,305.05","48,405","2,30,432",56.59
PIIND,EQ,12-Feb-2025,"3,419.60","3,430.00","3,440.60","3,315.30","3,350.90","3,356.65","3,352.60","3,41,176","1,14,38,27,780.75","48,841","1,87,617",54.99
PIIND,EQ,13-Feb-2025,"3,356.65","3,378.70","3,378.70","3,220.00","3,227.40","3,226.65","3,274.20","5,22,317","1,71,01,69,101.25","62,589","3,12,583",59.85
PIIND,EQ,14-Feb-2025,"3,226.65","3,227.90","3,249.80","3,140.00","3,160.00","3,162.80","3,189.42","2,18,261","69,61,25,940.65","35,554","1,03,831",47.57
PIIND,EQ,17-Feb-2025,"3,162.80","3,135.00","3,189.95","3,101.25","3,116.00","3,118.60","3,133.98","4,18,973","1,31,30,52,754.45","55,709","2,57,153",61.38
