symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RBLBANK,EQ,22-Jan-2025,158.27,158.8,158.97,150.98,154.69,155.06,154.1,"88,26,934","1,36,02,70,816.33","45,913","24,35,889",27.60
RBLBANK,EQ,23-Jan-2025,155.06,154.0,157.15,153.1,155.45,155.97,155.72,"56,64,656","88,20,77,620.61","23,774","14,12,691",24.94
RBLBANK,EQ,24-Jan-2025,155.97,155.5,162.89,153.0,155.2,155.73,157.03,"1,66,83,460","2,61,98,35,991.49","90,674","38,29,268",22.95
RBLBANK,EQ,27-Jan-2025,155.73,154.7,154.96,148.05,149.11,149.93,150.33,"1,09,65,255","1,64,84,40,834.97","61,205","41,13,168",37.51
RBLBANK,EQ,28-Jan-2025,149.93,151.8,157.5,149.99,155.3,155.56,154.19,"1,25,19,433","1,93,04,05,146.64","64,570","25,89,753",20.69
RBLBANK,EQ,29-Jan-2025,155.56,156.3,159.95,155.5,157.5,157.88,157.7,"73,88,307","1,16,51,55,939.94","42,111","20,91,476",28.31
RBLBANK,EQ,30-Jan-2025,157.88,158.0,164.1,157.11,163.0,162.5,162.21,"1,24,39,109","2,01,76,96,237.37","60,997","33,35,937",26.82
RBLBANK,EQ,31-Jan-2025,162.5,165.4,166.6,162.06,165.18,164.77,164.78,"87,42,032","1,44,05,08,223.20","38,828","21,99,956",25.17
RBLBANK,EQ,01-Feb-2025,164.77,163.47,167.46,162.65,166.5,166.67,165.65,"43,48,738","72,03,64,466.50","30,775","13,86,075",31.87
RBLBANK,EQ,03-Feb-2025,166.67,165.0,168.0,162.4,163.95,164.35,165.16,"45,73,027","75,52,69,653.95","29,884","12,57,606",27.50
RBLBANK,EQ,04-Feb-2025,164.35,165.45,169.15,165.21,166.35,166.16,166.89,"45,47,815","75,89,67,374.83","28,483","16,76,199",36.86
RBLBANK,EQ,05-Feb-2025,166.16,167.5,174.5,167.5,170.95,170.85,171.52,"83,44,739","1,43,13,28,844.57","44,853","25,46,529",30.52
RBLBANK,EQ,06-Feb-2025,170.85,171.9,172.33,167.05,168.39,168.34,168.83,"38,53,568","65,05,98,626.81","25,829","10,60,263",27.51
RBLBANK,EQ,07-Feb-2025,168.34,168.99,170.1,164.77,169.02,169.5,168.03,"64,42,719","1,08,25,74,095.89","37,496","19,26,472",29.90
RBLBANK,EQ,10-Feb-2025,169.5,167.86,169.75,165.0,167.25,168.23,167.28,"36,72,417","61,43,12,959.44","26,566","13,32,298",36.28
RBLBANK,EQ,11-Feb-2025,168.23,168.23,169.54,162.04,162.43,163.06,164.98,"72,39,376","1,19,43,44,590.49","26,416","17,64,843",24.38
RBLBANK,EQ,12-Feb-2025,163.06,163.0,163.99,156.01,160.3,160.43,159.72,"40,67,611","64,96,94,824.03","27,807","9,05,232",22.25
RBLBANK,EQ,13-Feb-2025,160.43,160.43,166.01,160.4,164.5,164.55,164.26,"67,77,702","1,11,33,06,456.16","32,009","21,90,823",32.32
RBLBANK,EQ,14-Feb-2025,164.55,166.47,167.84,155.34,156.16,156.82,159.74,"72,26,458","1,15,43,55,280.35","33,290","18,48,958",25.59
RBLBANK,EQ,17-Feb-2025,156.82,156.82,157.75,152.21,155.6,155.8,155.65,"44,89,300","69,87,57,615.02","25,411","7,14,175",15.91
RBLBANK,EQ,18-Feb-2025,155.8,156.95,157.27,149.91,150.03,150.97,152.66,"76,05,990","1,16,11,15,909.86","33,567","27,40,561",36.03
RBLBANK,EQ,19-Feb-2025,150.97,150.1,161.92,149.21,160.6,161.08,158.41,"72,87,247","1,15,43,46,021.76","42,581","17,84,605",24.49
RBLBANK,EQ,20-Feb-2025,161.08,159.85,161.2,157.6,160.2,160.14,159.91,"34,22,230","54,72,52,361.43","20,276","7,75,840",22.67
RBLBANK,EQ,21-Feb-2025,160.14,160.1,164.92,158.66,162.51,162.58,162.37,"48,29,268","78,41,44,261.77","32,063","10,22,627",21.18
RBLBANK,EQ,24-Feb-2025,162.58,161.02,162.38,157.6,162.29,160.98,159.95,"48,25,467","77,18,33,307.18","25,951","11,49,443",23.82
RBLBANK,EQ,25-Feb-2025,160.98,160.99,164.42,157.37,157.66,158.44,160.86,"45,98,405","73,96,82,120.54","28,394","9,12,820",19.85
RBLBANK,EQ,27-Feb-2025,158.44,163.9,168.75,161.47,163.0,162.87,165.12,"1,54,52,588","2,55,14,64,201.19","79,734","25,89,707",16.76
RBLBANK,EQ,28-Feb-2025,162.87,162.49,162.49,155.5,158.27,158.34,158.23,"72,09,464","1,14,07,84,280.56","31,580","27,65,411",38.36
RBLBANK,EQ,03-Mar-2025,158.34,159.99,160.51,152.1,155.35,155.17,154.9,"49,33,703","76,42,07,187.34","31,955","11,78,267",23.88
RBLBANK,EQ,04-Mar-2025,155.17,155.12,156.8,150.6,154.6,154.52,154.62,"89,45,766","1,38,31,86,809.15","35,152","23,21,477",25.95
RBLBANK,EQ,05-Mar-2025,154.52,154.52,159.2,154.21,158.02,158.22,157.68,"66,07,291","1,04,18,35,503.43","31,938","21,28,616",32.22
RBLBANK,EQ,06-Mar-2025,158.22,160.49,163.95,160.26,162.0,162.49,162.63,"73,45,044","1,19,45,19,681.17","26,383","30,07,598",40.95
RBLBANK,EQ,07-Mar-2025,162.49,163.0,165.9,160.17,163.5,163.79,163.01,"76,14,384","1,24,11,86,553.35","27,894","21,80,163",28.63
RBLBANK,EQ,10-Mar-2025,163.79,164.59,165.75,158.7,159.44,161.02,163.32,"80,38,233","1,31,27,68,028.25","30,741","43,04,030",53.54
RBLBANK,EQ,11-Mar-2025,161.02,157.35,158.68,152.59,156.23,155.68,156.18,"94,70,556","1,47,90,78,856.18","43,937","22,12,337",23.36
RBLBANK,EQ,12-Mar-2025,155.68,156.0,159.82,155.45,156.09,155.96,157.12,"52,30,986","82,18,88,811.02","25,803","13,16,407",25.17
RBLBANK,EQ,13-Mar-2025,155.96,156.99,157.5,154.47,156.09,156.32,156.17,"42,59,360","66,51,83,399.34","21,254","19,71,330",46.28
RBLBANK,EQ,17-Mar-2025,156.32,157.88,159.42,153.85,154.49,154.33,156.44,"32,93,576","51,52,33,560.84","18,351","8,39,906",25.50
RBLBANK,EQ,18-Mar-2025,154.33,155.8,163.06,155.41,162.0,162.28,159.32,"61,15,447","97,43,26,987.41","27,934","23,33,502",38.16
RBLBANK,EQ,19-Mar-2025,162.28,163.0,167.79,162.55,166.73,167.23,165.75,"60,51,886","1,00,31,04,831.50","28,919","22,19,319",36.67
RBLBANK,EQ,20-Mar-2025,167.23,167.23,169.99,164.03,164.99,164.57,166.17,"71,41,685","1,18,67,37,396.94","28,377","38,69,438",54.18
RBLBANK,EQ,21-Mar-2025,164.57,165.0,169.19,164.84,167.83,168.3,167.71,"83,11,509","1,39,39,26,702.05","31,919","50,79,260",61.11
RBLBANK,EQ,24-Mar-2025,168.3,168.84,177.0,168.84,175.15,175.12,173.97,"1,48,37,763","2,58,13,94,402.39","54,985","74,98,499",50.54
RBLBANK,EQ,25-Mar-2025,175.12,177.0,177.71,173.82,175.18,175.19,175.56,"61,23,657","1,07,50,56,461.19","34,592","24,39,703",39.84
RBLBANK,EQ,26-Mar-2025,175.19,175.2,181.93,174.63,178.8,178.93,179.63,"1,04,96,720","1,88,55,00,617.49","61,508","28,11,146",26.78
RBLBANK,EQ,27-Mar-2025,178.93,178.2,180.25,174.0,177.99,176.91,177.29,"59,41,227","1,05,33,25,733.37","35,182","23,35,633",39.31
RBLBANK,EQ,28-Mar-2025,176.91,177.9,180.56,172.75,172.95,173.53,176.02,"65,28,634","1,14,91,71,762.43","31,865","29,38,251",45.01
RBLBANK,EQ,01-Apr-2025,173.53,173.15,177.83,172.51,176.3,176.24,175.76,"29,92,946","52,60,51,743.28","22,919","8,00,841",26.76
RBLBANK,EQ,02-Apr-2025,176.24,176.49,176.99,168.08,170.6,171.33,171.02,"74,32,573","1,27,10,83,778.51","37,735","23,13,660",31.13
RBLBANK,EQ,03-Apr-2025,171.33,169.9,175.8,169.1,175.3,175.38,173.76,"36,68,687","63,74,55,275.18","20,408","7,58,627",20.68
