symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SBICARD,EQ,22-Jan-2025,762.60,762.60,764.20,746.3,757.00,756.55,754.44,"11,83,516","89,28,88,696.25","62,989","6,09,916",51.53
SBICARD,EQ,23-Jan-2025,756.55,755.00,769.00,752.65,759.95,760.00,762.71,"10,54,554","80,43,14,566.60","61,158","4,97,700",47.2
SBICARD,EQ,24-Jan-2025,760.00,759.80,767.35,749.65,758.50,758.30,758.99,"18,97,571","1,44,02,36,370.90","1,00,292","8,25,585",43.51
SBICARD,EQ,27-Jan-2025,758.30,756.00,764.45,751.0,753.05,753.70,758.13,"18,64,291","1,41,33,77,665.55","87,216","9,70,283",52.05
SBICARD,EQ,28-Jan-2025,753.70,753.00,772.45,749.3,757.00,759.10,761.60,"20,40,422","1,55,39,79,846.55","95,255","9,01,408",44.18
SBICARD,EQ,29-Jan-2025,759.10,727.00,776.85,721.0,763.05,761.40,756.93,"49,91,376","3,77,81,37,076.15","1,14,648","10,91,508",21.87
SBICARD,EQ,30-Jan-2025,761.40,758.00,779.00,756.4,775.50,774.80,767.76,"26,19,372","2,01,10,56,877.00","69,721","11,52,763",44.01
SBICARD,EQ,31-Jan-2025,774.80,772.55,782.00,770.05,780.40,778.20,776.60,"12,48,306","96,94,36,691.25","41,191","6,59,002",52.79
SBICARD,EQ,01-Feb-2025,778.20,775.00,833.50,770.1,829.60,824.95,811.55,"34,71,634","2,81,74,15,997.35","1,34,223","16,69,040",48.08
SBICARD,EQ,03-Feb-2025,824.95,820.50,846.50,819.05,824.25,825.30,832.42,"48,40,203","4,02,91,00,384.80","1,39,399","26,53,810",54.83
SBICARD,EQ,04-Feb-2025,825.30,834.00,840.85,822.05,835.20,835.75,829.84,"16,29,517","1,35,22,46,083.05","82,064","8,55,535",52.5
SBICARD,EQ,05-Feb-2025,835.75,835.05,839.80,817.6,821.00,821.35,824.63,"13,78,129","1,13,64,44,596.55","63,885","7,36,848",53.47
