symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SHREECEM,EQ,22-Jan-2025,"25,086.75","25,105.10","25,428.00","25,025.40","25,312.15","25,292.55","25,266.38","27,398","69,22,48,362.20","9,499","15,509",56.61
SHREECEM,EQ,23-Jan-2025,"25,292.55","25,200.00","26,025.00","25,182.20","25,800.00","25,926.80","25,638.35","58,591","1,50,21,76,762.45","15,226","33,487",57.15
SHREECEM,EQ,24-Jan-2025,"25,926.80","25,926.80","26,393.40","25,646.80","25,748.00","25,783.15","26,021.98","31,358","81,59,97,236.90","13,237","14,433",46.03
SHREECEM,EQ,27-Jan-2025,"25,783.15","25,600.00","25,744.50","24,862.55","25,180.30","25,131.40","25,272.30","42,809","1,08,18,81,986.15","11,952","22,548",52.67
SHREECEM,EQ,28-Jan-2025,"25,131.40","25,150.00","26,290.25","25,069.95","26,044.50","26,033.00","25,808.07","33,890","87,46,35,639.25","13,444","14,130",41.69
SHREECEM,EQ,29-Jan-2025,"26,033.00","26,033.00","27,074.30","25,896.00","26,538.80","26,651.35","26,681.41","37,297","99,51,36,584.35","12,755","13,354",35.80
SHREECEM,EQ,30-Jan-2025,"26,651.35","26,670.00","27,374.00","26,550.95","26,918.00","26,830.50","26,928.80","32,714","88,09,48,678.00","14,030","8,172",24.98
SHREECEM,EQ,31-Jan-2025,"26,830.50","27,124.00","28,000.00","26,682.65","28,000.00","27,795.90","27,473.97","48,056","1,32,02,89,067.15","17,055","15,791",32.86
SHREECEM,EQ,01-Feb-2025,"27,795.90","27,918.95","27,943.85","26,419.75","27,005.00","27,363.75","27,313.64","30,109","82,23,86,430.30","12,467","10,335",34.33
SHREECEM,EQ,03-Feb-2025,"27,363.75","27,000.00","27,723.45","26,856.55","27,699.95","27,555.35","27,276.90","31,317","85,42,30,696.65","13,468","11,242",35.90
SHREECEM,EQ,04-Feb-2025,"27,555.35","27,600.00","28,029.85","27,349.75","28,004.15","27,933.40","27,772.54","22,726","63,11,58,703.25","9,705","9,827",43.24
SHREECEM,EQ,05-Feb-2025,"27,933.40","27,899.00","28,598.45","27,735.20","28,355.50","28,402.10","28,293.37","28,456","80,51,16,018.45","11,777","12,472",43.83
SHREECEM,EQ,06-Feb-2025,"28,402.10","28,401.80","28,401.80","27,731.70","27,867.30","27,822.55","27,963.53","14,552","40,69,25,335.05","6,903","4,370",30.03
SHREECEM,EQ,07-Feb-2025,"27,822.55","27,900.00","28,430.00","27,867.35","28,308.00","28,249.10","28,252.90","70,630","1,99,55,02,123.50","10,923","54,487",77.14
SHREECEM,EQ,10-Feb-2025,"28,249.10","28,308.00","28,500.00","27,935.85","28,099.00","28,044.05","28,138.21","13,510","38,01,47,203.40","6,618","5,095",37.71
SHREECEM,EQ,11-Feb-2025,"28,044.05","28,150.00","28,445.40","27,785.45","27,801.60","27,989.75","28,130.28","69,686","1,96,02,86,998.75","14,099","51,175",73.44
SHREECEM,EQ,12-Feb-2025,"27,989.75","27,800.00","28,350.00","27,352.40","28,300.30","28,235.05","28,020.42","18,436","51,65,84,410.90","9,077","6,366",34.53
SHREECEM,EQ,13-Feb-2025,"28,235.05","28,300.30","28,750.00","28,113.25","28,185.35","28,225.00","28,455.93","22,179","63,11,24,165.75","11,215","6,030",27.19
SHREECEM,EQ,14-Feb-2025,"28,225.00","28,500.00","28,748.30","27,911.00","28,418.00","28,556.05","28,378.63","64,359","1,82,64,20,561.70","17,981","33,816",52.54
SHREECEM,EQ,17-Feb-2025,"28,556.05","28,490.00","28,500.00","28,118.15","28,300.00","28,309.15","28,287.71","33,067","93,53,89,816.85","12,950","17,118",51.77
SHREECEM,EQ,18-Feb-2025,"28,309.15","28,330.00","28,447.60","28,007.65","28,285.55","28,361.20","28,308.66","22,494","63,67,75,079.65","10,503","10,490",46.63
SHREECEM,EQ,19-Feb-2025,"28,361.20","28,351.00","28,800.00","28,260.65","28,611.35","28,655.15","28,645.62","15,671","44,89,05,578.90","7,260","6,096",38.90
SHREECEM,EQ,20-Feb-2025,"28,655.15","28,650.00","28,900.00","28,288.10","28,600.00","28,496.75","28,565.53","23,853","68,13,73,650.50","8,345","9,083",38.08
SHREECEM,EQ,21-Feb-2025,"28,496.75","28,407.60","28,592.80","28,179.45","28,500.00","28,405.70","28,381.71","13,779","39,10,71,582.55","6,202","5,118",37.14
SHREECEM,EQ,24-Feb-2025,"28,405.70","28,301.00","28,474.85","28,186.15","28,402.65","28,292.40","28,319.54","11,442","32,40,32,181.25","6,599","5,032",43.98
SHREECEM,EQ,25-Feb-2025,"28,292.40","28,244.00","28,589.00","28,029.00","28,100.00","28,197.45","28,220.38","31,625","89,24,69,652.45","13,422","19,267",60.92
SHREECEM,EQ,27-Feb-2025,"28,197.45","28,101.00","28,510.00","27,741.55","28,210.00","28,306.40","28,154.01","53,283","1,50,01,29,906.50","20,474","29,913",56.14
SHREECEM,EQ,28-Feb-2025,"28,306.40","28,108.35","28,172.00","27,002.20","27,300.00","27,284.00","27,334.14","71,987","1,96,77,02,432.35","26,088","42,588",59.16
SHREECEM,EQ,03-Mar-2025,"27,284.00","27,284.00","27,808.65","27,270.00","27,530.30","27,678.90","27,703.18","39,731","1,10,06,75,190.35","11,303","25,837",65.03
SHREECEM,EQ,04-Mar-2025,"27,678.90","27,362.50","27,625.10","27,151.05","27,263.20","27,363.35","27,370.67","74,924","2,05,07,20,245.65","17,278","54,079",72.18
SHREECEM,EQ,05-Mar-2025,"27,363.35","27,440.00","28,231.10","27,159.50","28,100.00","28,155.45","27,728.07","30,701","85,12,79,586.05","13,291","14,934",48.64
SHREECEM,EQ,06-Mar-2025,"28,155.45","28,200.00","28,548.00","27,974.65","28,010.85","28,061.75","28,204.49","22,246","62,74,37,045.50","10,289","7,131",32.06
SHREECEM,EQ,07-Mar-2025,"28,061.75","28,061.75","28,477.00","27,900.05","27,905.55","27,985.20","28,125.30","15,712","44,19,04,714.30","8,664","6,920",44.04
SHREECEM,EQ,10-Mar-2025,"27,985.20","27,985.20","28,351.00","27,780.90","27,860.00","27,883.65","28,051.87","15,735","44,13,96,185.30","8,616","6,774",43.05
SHREECEM,EQ,11-Mar-2025,"27,883.65","27,581.45","28,190.90","27,581.45","27,907.60","27,937.00","27,942.06","13,576","37,93,41,440.80","6,875","5,388",39.69
SHREECEM,EQ,12-Mar-2025,"27,937.00","28,100.00","28,200.00","27,251.05","27,510.95","27,531.00","27,557.41","30,641","84,43,86,509.85","10,905","18,052",58.91
SHREECEM,EQ,13-Mar-2025,"27,531.00","27,737.55","27,737.55","27,400.00","27,503.25","27,495.15","27,509.97","17,124","47,10,80,725.85","6,590","10,026",58.55
SHREECEM,EQ,17-Mar-2025,"27,495.15","27,495.15","28,031.60","27,373.35","27,700.05","27,734.60","27,785.22","54,828","1,52,34,07,963.85","25,472","39,526",72.09
SHREECEM,EQ,18-Mar-2025,"27,734.60","27,899.95","28,008.60","27,591.05","27,799.75","27,824.70","27,793.45","42,216","1,17,33,28,162.40","12,685","30,830",73.03
SHREECEM,EQ,19-Mar-2025,"27,824.70","27,850.00","28,691.10","27,755.00","28,500.00","28,527.85","28,280.93","35,602","1,00,68,57,616.05","14,564","20,517",57.63
SHREECEM,EQ,20-Mar-2025,"28,527.85","28,744.00","28,799.90","28,177.65","28,744.00","28,628.85","28,406.54","25,300","71,86,85,518.80","11,585","11,951",47.24
SHREECEM,EQ,21-Mar-2025,"28,628.85","28,799.00","29,320.00","28,642.10","28,960.65","28,987.40","29,029.13","63,982","1,85,73,42,006.50","26,159","36,996",57.82
SHREECEM,EQ,24-Mar-2025,"28,987.40","29,050.00","29,644.60","28,931.00","29,580.40","29,442.65","29,351.83","20,004","58,71,54,092.90","9,634","8,780",43.89
SHREECEM,EQ,25-Mar-2025,"29,442.65","29,700.00","30,175.00","29,447.90","29,550.00","29,544.05","29,798.20","79,264","2,36,19,24,495.60","14,728","54,765",69.09
SHREECEM,EQ,26-Mar-2025,"29,544.05","29,555.10","30,032.90","29,451.00","29,900.00","29,931.10","29,859.20","24,799","74,04,78,212.55","11,182","11,943",48.16
SHREECEM,EQ,27-Mar-2025,"29,931.10","29,931.10","30,498.00","29,731.10","30,451.95","30,146.45","30,249.96","71,437","2,16,09,66,445.15","21,047","34,398",48.15
SHREECEM,EQ,28-Mar-2025,"30,146.45","30,700.00","31,237.95","30,438.55","30,546.15","30,502.95","30,788.86","58,593","1,80,40,11,611.50","23,495","23,676",40.41
SHREECEM,EQ,01-Apr-2025,"30,502.95","30,546.15","30,609.45","30,057.15","30,081.00","30,246.40","30,404.50","19,571","59,50,46,466.45","8,623","8,636",44.13
SHREECEM,EQ,02-Apr-2025,"30,246.40","30,498.80","30,499.00","30,037.05","30,200.15","30,273.40","30,259.34","52,150","1,57,80,24,780.75","16,504","35,356",67.80
SHREECEM,EQ,03-Apr-2025,"30,273.40","30,000.00","31,139.95","29,900.05","31,050.00","30,902.00","30,718.50","26,224","80,55,61,889.20","10,656","12,003",45.77
SHREECEM,EQ,04-Apr-2025,"30,902.00","30,902.00","31,000.00","30,513.50","30,787.85","30,694.50","30,754.91","14,821","45,58,18,485.30","6,909","7,338",49.51
SHREECEM,EQ,07-Apr-2025,"30,694.50","29,600.30","30,247.90","29,390.00","30,247.90","29,751.55","29,711.72","54,086","1,60,69,88,340.80","18,520","31,797",58.79
SHREECEM,EQ,08-Apr-2025,"29,751.55","30,247.00","30,594.95","30,165.80","30,550.00","30,433.20","30,376.46","42,775","1,29,93,53,245.80","17,109","29,324",68.55
SHREECEM,EQ,09-Apr-2025,"30,433.20","30,409.05","30,638.05","30,128.95","30,300.40","30,370.25","30,407.97","39,073","1,18,81,30,435.00","13,056","26,513",67.86
SHREECEM,EQ,11-Apr-2025,"30,370.25","30,638.00","30,709.95","29,755.00","30,100.95","30,107.95","30,155.70","32,572","98,22,31,528.10","13,206","17,077",52.43
SHREECEM,EQ,15-Apr-2025,"30,107.95","31,000.00","31,245.00","30,155.00","31,060.00","31,125.00","30,714.29","39,498","1,21,31,53,115.00","16,551","20,835",52.75
SHREECEM,EQ,16-Apr-2025,"31,125.00","31,000.00","31,290.00","30,590.00","30,875.00","30,800.00","30,858.54","25,525","78,76,64,315.00","9,639","13,502",52.90
SHREECEM,EQ,17-Apr-2025,"30,800.00","30,795.00","31,090.00","30,525.00","31,000.00","31,000.00","30,804.66","36,538","1,12,55,40,525.00","16,358","21,103",57.76
SHREECEM,EQ,21-Apr-2025,"31,000.00","31,000.00","31,415.00","30,720.00","31,080.00","31,155.00","31,070.79","28,359","88,11,36,550.00","13,755","13,855",48.86
SHREECEM,EQ,22-Apr-2025,"31,155.00","31,290.00","31,385.00","30,800.00","30,850.00","30,910.00","31,056.00","45,981","1,42,79,86,000.00","19,585","26,736",58.15
SHREECEM,EQ,23-Apr-2025,"30,910.00","30,910.00","31,135.00","30,280.00","30,380.00","30,365.00","30,638.34","27,170","83,24,43,690.00","12,225","15,534",57.17
SHREECEM,EQ,24-Apr-2025,"30,365.00","30,535.00","30,850.00","30,260.00","30,720.00","30,705.00","30,596.98","55,566","1,70,01,51,585.00","15,896","35,150",63.26
SHREECEM,EQ,25-Apr-2025,"30,705.00","30,990.00","30,990.00","29,955.00","30,460.00","30,540.00","30,357.27","26,946","81,80,07,115.00","11,290","12,476",46.30
