symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SOLARINDS,EQ,22-Jan-2025,"9,581.85","9,604.00","9,656.95","9,080.00","9,320.00","9,300.55","9,273.51","52,019","48,23,98,894.15","17,558","22,541",43.33
SOLARINDS,EQ,23-Jan-2025,"9,300.55","9,260.50","9,629.20","9,242.70","9,594.90","9,558.90","9,506.19","36,406","34,60,82,358.75","12,067","13,207",36.28
SOLARINDS,EQ,24-Jan-2025,"9,558.90","9,600.10","9,660.30","9,340.40","9,500.00","9,478.20","9,514.78","43,743","41,62,05,188.00","14,772","22,274",50.92
SOLARINDS,EQ,27-Jan-2025,"9,478.20","9,399.85","9,407.55","9,011.90","9,350.00","9,309.10","9,196.90","49,257","45,30,11,747.05","15,137","21,581",43.81
SOLARINDS,EQ,28-Jan-2025,"9,309.10","9,330.05","9,400.00","9,101.00","9,260.05","9,251.95","9,226.58","41,577","38,36,13,683.65","12,281","17,696",42.56
SOLARINDS,EQ,29-Jan-2025,"9,251.95","9,255.00","9,598.95","9,255.00","9,588.95","9,568.55","9,512.94","42,442","40,37,48,366.95","10,916","24,015",56.58
SOLARINDS,EQ,30-Jan-2025,"9,568.55","10,003.00","10,299.00","9,782.70","10,101.90","10,063.70","10,094.40","3,43,024","3,46,26,21,506.80","65,992","1,43,564",41.85
SOLARINDS,EQ,31-Jan-2025,"10,063.70","10,229.00","10,280.00","10,001.00","10,200.00","10,194.65","10,168.10","3,15,162","3,20,45,97,840.85","31,439","2,28,286",72.43
SOLARINDS,EQ,01-Feb-2025,"10,194.65","10,249.55","10,440.10","9,864.65","10,058.00","10,076.80","10,193.91","1,00,758","1,02,71,17,816.65","24,479","36,463",36.19
SOLARINDS,EQ,03-Feb-2025,"10,076.80","10,015.00","10,015.00","9,452.55","9,528.00","9,510.30","9,663.74","76,427","73,85,70,486.80","18,785","34,287",44.86
SOLARINDS,EQ,04-Feb-2025,"9,510.30","9,556.15","9,835.00","9,465.15","9,750.00","9,749.75","9,641.97","64,898","62,57,44,666.35","16,131","29,557",45.54
SOLARINDS,EQ,05-Feb-2025,"9,749.75","9,803.30","10,084.95","9,600.00","9,710.00","9,653.75","9,875.84","3,20,953","3,16,96,79,091.55","54,512","97,094",30.25
SOLARINDS,EQ,06-Feb-2025,"9,653.75","9,800.00","9,896.00","9,025.00","9,116.00","9,115.00","9,343.67","4,97,276","4,64,63,80,565.25","89,674","1,24,258",24.99
SOLARINDS,EQ,07-Feb-2025,"9,115.00","9,255.00","9,355.00","8,951.10","9,089.15","9,085.80","9,093.69","2,43,310","2,21,25,84,683.70","39,634","73,200",30.09
SOLARINDS,EQ,10-Feb-2025,"9,085.80","9,140.00","9,230.00","9,059.85","9,160.00","9,174.95","9,165.15","1,01,065","92,62,76,144.00","21,066","35,507",35.13
SOLARINDS,EQ,11-Feb-2025,"9,174.95","9,150.00","9,150.00","8,770.00","8,812.95","8,816.25","8,871.58","1,14,459","1,01,54,32,398.05","27,349","50,936",44.50
SOLARINDS,EQ,12-Feb-2025,"8,816.25","8,821.75","9,050.00","8,627.55","8,980.00","8,956.80","8,864.65","1,03,063","91,36,17,688.10","29,617","33,598",32.60
SOLARINDS,EQ,13-Feb-2025,"8,956.80","8,975.00","9,090.00","8,751.10","8,824.00","8,807.20","8,955.51","95,399","85,43,46,951.05","16,682","60,016",62.91
SOLARINDS,EQ,14-Feb-2025,"8,807.20","8,870.00","8,934.90","8,650.00","8,780.30","8,862.40","8,786.80","79,277","69,65,91,486.80","20,223","36,978",46.64
SOLARINDS,EQ,17-Feb-2025,"8,862.40","8,802.05","8,822.35","8,551.25","8,668.10","8,619.35","8,643.79","89,448","77,31,69,996.45","23,635","32,570",36.41
SOLARINDS,EQ,18-Feb-2025,"8,619.35","8,619.95","8,664.75","8,500.00","8,590.00","8,609.20","8,577.49","44,527","38,19,30,119.85","12,615","19,596",44.01
SOLARINDS,EQ,19-Feb-2025,"8,609.20","8,580.05","8,829.95","8,513.10","8,800.00","8,783.70","8,769.39","86,726","76,05,33,939.25","23,105","42,452",48.95
SOLARINDS,EQ,20-Feb-2025,"8,783.70","8,723.50","8,962.00","8,700.00","8,890.00","8,935.65","8,877.00","74,941","66,52,50,931.80","19,157","37,506",50.05
SOLARINDS,EQ,21-Feb-2025,"8,935.65","8,860.00","8,994.00","8,751.00","8,809.40","8,850.50","8,850.40","70,395","62,30,23,714.30","19,519","34,641",49.21
SOLARINDS,EQ,24-Feb-2025,"8,850.50","8,800.00","8,904.90","8,709.60","8,881.80","8,865.95","8,835.75","48,361","42,73,05,754.35","15,594","22,043",45.58
SOLARINDS,EQ,25-Feb-2025,"8,865.95","8,865.00","8,918.05","8,800.00","8,840.00","8,870.10","8,861.55","76,811","68,06,64,377.60","16,903","50,666",65.96
SOLARINDS,EQ,27-Feb-2025,"8,870.10","8,853.10","8,866.00","8,662.00","8,715.00","8,723.50","8,731.09","90,581","79,08,70,840.85","21,329","51,951",57.35
SOLARINDS,EQ,28-Feb-2025,"8,723.50","8,560.90","8,777.00","8,482.50","8,774.00","8,710.60","8,637.94","1,57,759","1,36,27,13,321.35","33,828","86,353",54.74
SOLARINDS,EQ,03-Mar-2025,"8,710.60","8,841.30","9,029.95","8,649.90","8,989.95","8,977.80","8,849.20","1,30,495","1,15,47,76,832.50","34,311","57,494",44.06
SOLARINDS,EQ,04-Mar-2025,"8,977.80","8,879.00","9,140.00","8,759.70","9,054.25","9,038.40","9,023.01","1,38,848","1,25,28,27,303.00","27,665","79,499",57.26
SOLARINDS,EQ,05-Mar-2025,"9,038.40","9,053.00","9,291.10","9,053.00","9,232.00","9,238.35","9,229.32","1,14,123","1,05,32,77,460.75","22,062","68,647",60.15
SOLARINDS,EQ,06-Mar-2025,"9,238.35","9,370.00","9,410.00","9,240.00","9,361.20","9,386.85","9,333.72","1,10,566","1,03,19,91,964.50","14,362","75,547",68.33
SOLARINDS,EQ,07-Mar-2025,"9,386.85","9,329.95","9,525.00","9,315.55","9,485.00","9,486.50","9,419.92","95,337","89,80,66,651.60","15,578","59,057",61.95
SOLARINDS,EQ,10-Mar-2025,"9,486.50","9,480.10","10,008.00","9,445.05","9,850.00","9,837.10","9,862.14","3,29,667","3,25,12,21,152.35","56,020","82,044",24.89
SOLARINDS,EQ,11-Mar-2025,"9,837.10","9,800.00","9,864.90","9,576.00","9,778.00","9,765.30","9,721.81","1,16,288","1,13,05,29,314.75","21,970","43,189",37.14
SOLARINDS,EQ,12-Mar-2025,"9,765.30","9,800.00","9,910.00","9,615.00","9,757.90","9,781.10","9,779.79","59,512","58,20,14,782.10","15,833","20,465",34.39
SOLARINDS,EQ,13-Mar-2025,"9,781.10","9,859.35","10,238.70","9,781.10","10,065.00","10,097.15","10,125.66","2,52,649","2,55,82,37,137.85","46,904","91,603",36.26
SOLARINDS,EQ,17-Mar-2025,"10,097.15","10,125.30","10,199.70","10,025.05","10,109.85","10,088.65","10,115.57","65,188","65,94,13,908.15","14,251","26,619",40.83
SOLARINDS,EQ,18-Mar-2025,"10,088.65","10,109.60","10,165.10","9,981.10","10,097.55","10,085.65","10,074.15","82,563","83,17,51,828.60","17,696","42,654",51.66
SOLARINDS,EQ,19-Mar-2025,"10,085.65","10,100.00","10,330.00","10,033.75","10,277.70","10,310.80","10,196.54","1,44,527","1,47,36,75,523.95","30,751","73,421",50.80
