symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SONACOMS,EQ,22-Jan-2025,556.4,555.1,557.05,528.65,534.7,531.35,535.17,"37,86,430","2,02,63,67,418.60","75,426","24,36,752",64.35
SONACOMS,EQ,23-Jan-2025,531.35,534.7,548.75,530.75,541.0,542.6,540.05,"17,38,327","93,87,83,563.90","63,777","9,26,255",53.28
SONACOMS,EQ,24-Jan-2025,542.6,510.0,546.95,510.0,526.95,525.05,531.91,"73,53,964","3,91,16,72,575.60","1,88,679","35,73,136",48.59
SONACOMS,EQ,27-Jan-2025,525.05,521.05,522.15,507.05,515.8,512.3,513.52,"31,14,482","1,59,93,53,903.25","73,316","19,53,054",62.71
SONACOMS,EQ,28-Jan-2025,512.3,515.85,519.55,495.05,495.85,497.2,504.43,"17,49,811","88,26,59,616.80","53,875","9,89,690",56.56
SONACOMS,EQ,29-Jan-2025,497.2,497.55,511.95,493.35,504.0,502.25,503.64,"35,76,782","1,80,14,14,850.65","79,152","22,75,125",63.61
SONACOMS,EQ,30-Jan-2025,502.25,515.8,517.4,496.9,506.0,503.8,505.31,"27,46,724","1,38,79,42,840.55","82,421","13,70,739",49.9
SONACOMS,EQ,31-Jan-2025,503.8,503.85,507.3,500.05,503.95,504.3,503.56,"21,51,141","1,08,32,26,193.25","48,767","14,93,964",69.45
SONACOMS,EQ,01-Feb-2025,504.3,510.1,514.0,498.85,504.25,503.45,505.41,"8,67,040","43,82,12,023.25","27,912","4,26,426",49.18
SONACOMS,EQ,03-Feb-2025,503.45,500.0,502.0,477.6,487.0,485.5,483.38,"63,32,539","3,06,10,18,778.30","1,27,808","44,29,929",69.96
SONACOMS,EQ,04-Feb-2025,485.5,500.0,524.85,499.55,503.0,502.4,511.63,"60,30,302","3,08,52,99,307.40","1,29,330","17,41,519",28.88
SONACOMS,EQ,05-Feb-2025,502.4,509.95,517.7,496.0,516.9,515.0,512.32,"25,80,847","1,32,22,13,871.10","59,310","15,06,551",58.37
SONACOMS,EQ,06-Feb-2025,515.0,518.95,535.0,511.5,534.25,533.25,530.29,"46,12,104","2,44,57,74,429.55","62,742","24,29,287",52.67
SONACOMS,EQ,07-Feb-2025,533.25,535.85,535.85,520.0,530.0,529.6,526.56,"16,76,568","88,28,14,285.30","39,628","7,76,584",46.32
SONACOMS,EQ,10-Feb-2025,529.6,529.5,534.5,522.05,529.75,528.65,529.25,"11,60,970","61,44,39,710.75","39,957","5,09,731",43.91
SONACOMS,EQ,11-Feb-2025,528.65,525.1,530.85,506.35,509.9,510.95,518.6,"25,00,361","1,29,66,93,332.40","50,875","15,45,568",61.81
