symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATAELXSI,EQ,22-Jan-2025,"6,153.95","6,170.00","6,178.00","6,060.70","6,170.00","6,167.35","6,130.96","1,24,965","76,61,54,945.50","25,139","57,516",46.03
TATAELXSI,EQ,23-Jan-2025,"6,167.35","6,167.50","6,425.00","6,150.00","6,340.00","6,353.95","6,334.31","2,21,641","1,40,39,42,152.90","33,195","61,464",27.73
TATAELXSI,EQ,24-Jan-2025,"6,353.95","6,353.95","6,392.95","6,290.00","6,371.00","6,372.70","6,353.78","1,08,179","68,73,45,755.80","20,639","36,113",33.38
TATAELXSI,EQ,27-Jan-2025,"6,372.70","6,319.95","6,327.55","6,128.15","6,160.00","6,156.05","6,189.80","1,61,634","1,00,04,82,202.25","25,788","63,230",39.12
TATAELXSI,EQ,28-Jan-2025,"6,156.05","6,150.00","6,203.90","6,078.05","6,124.00","6,125.40","6,139.07","1,48,138","90,94,30,024.95","27,495","50,770",34.27
TATAELXSI,EQ,29-Jan-2025,"6,125.40","6,129.20","6,221.95","6,094.95","6,154.95","6,173.85","6,174.10","1,43,522","88,61,18,788.50","20,424","63,984",44.58
TATAELXSI,EQ,30-Jan-2025,"6,173.85","6,195.00","6,215.95","6,090.00","6,174.00","6,135.70","6,135.30","1,38,349","84,88,12,938.40","19,851","68,596",49.58
TATAELXSI,EQ,31-Jan-2025,"6,135.70","6,145.00","6,350.00","6,130.10","6,350.00","6,336.00","6,280.88","1,22,121","76,70,26,969.80","21,779","39,902",32.67
TATAELXSI,EQ,01-Feb-2025,"6,336.00","6,370.00","6,400.00","6,269.05","6,383.00","6,381.25","6,331.96","80,662","51,07,48,427.05","13,826","31,640",39.23
TATAELXSI,EQ,03-Feb-2025,"6,381.25","6,330.00","6,420.00","6,250.70","6,415.00","6,396.25","6,330.40","71,348","45,16,61,060.60","14,980","27,693",38.81
TATAELXSI,EQ,04-Feb-2025,"6,396.25","6,415.00","6,467.00","6,312.65","6,361.00","6,371.10","6,382.71","87,790","56,03,37,924.85","19,944","32,459",36.97
TATAELXSI,EQ,05-Feb-2025,"6,371.10","6,371.10","6,443.95","6,345.05","6,391.10","6,384.50","6,393.74","66,079","42,24,91,827.65","13,209","23,694",35.86
TATAELXSI,EQ,06-Feb-2025,"6,384.50","6,400.00","6,478.15","6,372.05","6,421.00","6,421.90","6,428.05","82,289","52,89,57,861.60","14,451","21,453",26.07
TATAELXSI,EQ,07-Feb-2025,"6,421.90","6,421.90","6,455.25","6,332.05","6,415.00","6,436.60","6,397.77","64,931","41,54,13,831.30","12,150","24,936",38.4
TATAELXSI,EQ,10-Feb-2025,"6,436.60","6,415.00","6,425.00","6,335.25","6,381.65","6,377.40","6,370.64","60,322","38,42,89,802.45","12,204","31,666",52.49
TATAELXSI,EQ,11-Feb-2025,"6,377.40","6,399.95","6,399.95","6,100.00","6,115.00","6,116.75","6,220.33","1,00,616","62,58,64,421.00","21,236","36,628",36.4
TATAELXSI,EQ,12-Feb-2025,"6,116.75","6,110.00","6,170.00","6,032.50","6,164.50","6,154.05","6,121.08","1,30,838","80,08,70,017.60","26,622","37,044",28.31
TATAELXSI,EQ,13-Feb-2025,"6,154.05","6,199.95","6,199.95","6,082.00","6,140.00","6,134.35","6,138.67","1,35,495","83,17,59,506.30","20,543","70,505",52.04
TATAELXSI,EQ,14-Feb-2025,"6,134.35","6,145.05","6,225.00","6,081.05","6,138.80","6,174.00","6,137.55","1,30,626","80,17,23,899.50","21,432","51,521",39.44
TATAELXSI,EQ,17-Feb-2025,"6,174.00","6,156.00","6,176.35","6,042.85","6,139.95","6,146.85","6,116.91","73,576","45,00,57,594.90","18,172","23,512",31.96
TATAELXSI,EQ,18-Feb-2025,"6,146.85","6,146.85","6,175.65","6,045.05","6,090.00","6,097.45","6,099.60","72,228","44,05,61,572.20","15,639","27,213",37.68
TATAELXSI,EQ,19-Feb-2025,"6,097.45","6,120.00","6,130.80","5,967.15","6,029.00","6,017.60","6,041.54","1,59,802","96,54,49,443.45","29,090","40,265",25.2
TATAELXSI,EQ,20-Feb-2025,"6,017.60","6,024.00","6,080.00","5,980.60","6,022.95","6,023.65","6,039.01","79,633","48,09,04,365.65","16,532","26,721",33.56
TATAELXSI,EQ,21-Feb-2025,"6,023.65","6,024.80","6,080.25","5,931.05","5,972.00","5,960.45","5,990.44","1,01,884","61,03,29,585.45","19,578","38,250",37.54
TATAELXSI,EQ,24-Feb-2025,"5,960.45","5,960.45","5,960.45","5,782.00","5,848.00","5,851.80","5,835.64","1,51,226","88,25,00,469.45","29,592","44,452",29.39
TATAELXSI,EQ,25-Feb-2025,"5,851.80","5,851.80","5,877.70","5,675.00","5,680.00","5,695.65","5,752.72","1,62,406","93,42,76,605.80","34,911","73,857",45.48
TATAELXSI,EQ,27-Feb-2025,"5,695.65","5,695.65","5,721.55","5,513.45","5,547.00","5,563.15","5,603.67","1,82,977","1,02,53,42,994.45","32,551","83,379",45.57
TATAELXSI,EQ,28-Feb-2025,"5,563.15","5,514.10","5,563.00","5,302.55","5,415.00","5,411.10","5,393.95","3,37,674","1,82,13,96,549.50","64,782","1,75,579",52.0
TATAELXSI,EQ,03-Mar-2025,"5,411.10","5,416.05","5,477.00","5,362.85","5,456.80","5,456.10","5,427.46","1,62,308","88,09,20,947.80","37,047","58,917",36.3
TATAELXSI,EQ,04-Mar-2025,"5,456.10","5,443.00","5,481.00","5,350.00","5,395.00","5,389.05","5,418.01","1,41,837","76,84,74,920.55","30,848","65,797",46.39
