symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATAPOWER,EQ,22-Jan-2025,365.9,368.0,368.65,352.15,359.25,358.85,357.05,"59,52,212","2,12,52,43,590.45","1,11,566","22,83,529",38.36
TATAPOWER,EQ,23-Jan-2025,358.85,357.5,365.9,355.1,362.5,362.75,362.1,"48,86,732","1,76,94,94,017.00","72,231","17,11,097",35.02
TATAPOWER,EQ,24-Jan-2025,362.75,362.75,370.7,362.2,363.0,363.4,366.35,"79,66,520","2,91,85,02,808.20","1,06,240","26,07,064",32.73
TATAPOWER,EQ,27-Jan-2025,363.4,361.0,361.0,350.1,350.85,351.9,354.9,"65,62,351","2,32,89,46,573.40","1,08,848","27,01,373",41.16
TATAPOWER,EQ,28-Jan-2025,351.9,355.5,356.1,342.95,345.9,346.35,348.2,"91,89,775","3,19,98,79,957.25","1,26,393","33,27,130",36.2
TATAPOWER,EQ,29-Jan-2025,346.35,346.35,352.45,345.0,351.5,350.95,350.09,"67,07,937","2,34,83,48,996.15","80,333","28,74,914",42.86
TATAPOWER,EQ,30-Jan-2025,350.95,352.0,356.25,348.4,352.6,352.15,352.61,"73,04,454","2,57,56,56,826.70","88,528","28,19,944",38.61
TATAPOWER,EQ,31-Jan-2025,352.15,353.0,366.95,350.1,366.85,364.5,359.19,"70,26,507","2,52,38,32,700.40","82,666","30,47,944",43.38
TATAPOWER,EQ,01-Feb-2025,364.5,367.9,379.0,361.35,368.8,368.4,371.83,"1,44,85,333","5,38,61,22,037.40","1,58,782","25,77,002",17.79
TATAPOWER,EQ,03-Feb-2025,368.4,367.0,367.0,351.5,355.2,354.9,354.77,"83,46,246","2,96,09,62,120.00","1,33,641","31,57,869",37.84
TATAPOWER,EQ,04-Feb-2025,354.9,359.0,363.6,353.75,361.85,362.05,359.44,"76,33,708","2,74,38,75,909.70","86,632","30,66,632",40.17
TATAPOWER,EQ,05-Feb-2025,362.05,366.45,375.0,362.5,366.5,366.2,369.38,"1,64,53,177","6,07,75,47,843.50","1,35,076","51,39,285",31.24
TATAPOWER,EQ,06-Feb-2025,366.2,370.8,371.85,362.5,365.3,365.35,367.92,"75,62,113","2,78,22,29,242.00","81,970","28,03,266",37.07
TATAPOWER,EQ,07-Feb-2025,365.35,365.55,372.8,363.85,367.05,367.1,368.42,"54,69,279","2,01,49,85,909.40","1,01,476","16,10,838",29.45
TATAPOWER,EQ,10-Feb-2025,367.1,367.05,368.95,356.85,358.25,358.2,360.89,"51,24,415","1,84,93,46,857.35","1,45,598","20,33,731",39.69
