symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TECHM,EQ,22-Jan-2025,"1,640.50","1,642.70","1,688.75","1,635.25","1,679.20","1,683.95","1,672.65","24,78,559","4,14,57,61,213.05","1,34,548","14,50,908",58.54
TECHM,EQ,23-Jan-2025,"1,683.95","1,671.00","1,729.50","1,671.00","1,710.60","1,713.40","1,717.28","22,55,334","3,87,30,29,229.80","1,13,105","11,39,756",50.54
TECHM,EQ,24-Jan-2025,"1,713.40","1,719.00","1,736.40","1,705.35","1,724.00","1,723.05","1,723.17","12,57,165","2,16,63,05,557.45","74,878","6,55,264",52.12
TECHM,EQ,27-Jan-2025,"1,723.05","1,710.00","1,713.90","1,645.00","1,651.00","1,653.90","1,669.48","11,74,799","1,96,13,00,892.50","73,556","5,07,685",43.21
TECHM,EQ,28-Jan-2025,"1,653.90","1,655.95","1,664.65","1,638.00","1,655.00","1,648.35","1,650.60","18,20,874","3,00,55,41,812.50","92,877","8,27,653",45.45
TECHM,EQ,29-Jan-2025,"1,648.35","1,663.95","1,685.00","1,654.05","1,684.70","1,681.15","1,674.07","11,46,508","1,91,93,30,352.40","71,727","5,69,698",49.69
TECHM,EQ,30-Jan-2025,"1,681.15","1,685.00","1,704.90","1,657.00","1,681.00","1,670.10","1,678.43","8,68,832","1,45,82,75,166.30","50,787","3,58,334",41.24
TECHM,EQ,31-Jan-2025,"1,670.10","1,675.00","1,695.00","1,665.25","1,675.80","1,674.45","1,675.80","10,65,425","1,78,54,36,878.70","52,019","6,64,848",62.40
TECHM,EQ,01-Feb-2025,"1,674.45","1,674.50","1,685.90","1,636.70","1,645.20","1,646.40","1,653.60","4,10,470","67,87,53,099.45","21,468","1,54,855",37.73
TECHM,EQ,03-Feb-2025,"1,646.40","1,630.00","1,664.05","1,605.15","1,651.05","1,654.70","1,647.05","14,15,698","2,33,17,24,694.20","1,07,912","7,57,437",53.50
TECHM,EQ,04-Feb-2025,"1,654.70","1,662.75","1,676.95","1,645.05","1,654.50","1,659.05","1,656.56","14,67,006","2,43,01,78,142.85","1,09,606","9,17,752",62.56
TECHM,EQ,05-Feb-2025,"1,659.05","1,662.85","1,671.00","1,644.40","1,656.45","1,661.00","1,657.87","14,49,280","2,40,27,12,043.60","76,337","9,29,161",64.11
TECHM,EQ,06-Feb-2025,"1,661.00","1,670.00","1,684.70","1,650.00","1,676.95","1,669.60","1,667.60","12,88,106","2,14,80,43,159.45","75,167","6,76,763",52.54
TECHM,EQ,07-Feb-2025,"1,669.60","1,675.00","1,695.60","1,657.90","1,690.10","1,692.10","1,673.99","15,82,031","2,64,82,98,373.30","92,602","10,29,639",65.08
TECHM,EQ,10-Feb-2025,"1,692.10","1,683.00","1,703.75","1,673.20","1,699.15","1,699.05","1,690.16","12,35,699","2,08,85,31,594.35","59,890","8,95,460",72.47
TECHM,EQ,11-Feb-2025,"1,699.05","1,706.00","1,709.00","1,663.20","1,671.15","1,669.10","1,682.47","18,00,036","3,02,84,98,925.55","91,791","9,39,434",52.19
