symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ULTRACEMCO,EQ,22-Jan-2025,"10,667.80","10,700.00","10,797.80","10,606.75","10,675.00","10,693.75","10,695.59","2,49,552","2,66,91,06,469.80","45,822","1,23,057",49.31
ULTRACEMCO,EQ,23-Jan-2025,"10,693.75","10,690.00","11,571.45","10,689.95","11,406.95","11,420.90","11,194.20","15,10,866","16,91,29,29,812.85","1,59,831","5,28,472",34.98
ULTRACEMCO,EQ,24-Jan-2025,"11,420.90","11,251.00","11,609.70","11,222.40","11,300.00","11,285.85","11,383.23","5,45,939","6,21,45,48,727.30","97,245","1,95,094",35.74
ULTRACEMCO,EQ,27-Jan-2025,"11,285.85","11,260.00","11,360.00","11,150.00","11,215.00","11,239.50","11,271.81","4,14,994","4,67,77,33,916.80","1,11,767","2,37,337",57.19
ULTRACEMCO,EQ,28-Jan-2025,"11,239.50","11,215.00","11,411.60","11,066.00","11,244.00","11,296.35","11,219.45","4,36,707","4,89,96,10,864.20","65,344","2,55,669",58.54
ULTRACEMCO,EQ,29-Jan-2025,"11,296.35","11,296.35","11,574.95","11,260.85","11,545.00","11,544.85","11,500.65","3,77,755","4,34,44,26,362.95","70,380","2,39,449",63.39
ULTRACEMCO,EQ,30-Jan-2025,"11,544.85","11,544.85","11,612.50","11,450.00","11,527.90","11,479.40","11,496.29","2,74,820","3,15,94,10,782.80","51,986","1,53,790",55.96
ULTRACEMCO,EQ,31-Jan-2025,"11,479.40","11,488.65","11,599.00","11,392.15","11,599.00","11,487.45","11,490.01","3,61,656","4,15,54,32,412.15","52,858","2,43,995",67.47
ULTRACEMCO,EQ,01-Feb-2025,"11,487.45","11,544.90","11,787.00","10,798.25","11,318.00","11,259.15","11,388.94","5,13,602","5,84,93,80,061.50","79,102","1,28,379",25.0
ULTRACEMCO,EQ,03-Feb-2025,"11,259.15","11,120.25","11,282.80","10,951.40","11,157.00","11,174.65","11,094.73","4,50,593","4,99,92,07,587.65","54,636","2,66,825",59.22
ULTRACEMCO,EQ,04-Feb-2025,"11,174.65","11,200.10","11,547.85","11,112.15","11,499.00","11,519.15","11,410.05","3,14,752","3,59,13,35,389.90","73,661","1,44,156",45.8
ULTRACEMCO,EQ,05-Feb-2025,"11,519.15","11,519.10","11,632.85","11,433.00","11,540.00","11,585.70","11,563.56","2,36,897","2,73,93,72,770.55","45,416","1,27,387",53.77
ULTRACEMCO,EQ,06-Feb-2025,"11,585.70","11,577.20","11,619.55","11,327.70","11,480.00","11,477.35","11,462.36","3,08,664","3,53,80,18,281.20","66,968","1,50,970",48.91
ULTRACEMCO,EQ,07-Feb-2025,"11,477.35","11,501.10","11,733.00","11,475.05","11,641.00","11,640.60","11,645.89","3,10,549","3,61,66,20,356.15","78,341","1,63,625",52.69
ULTRACEMCO,EQ,10-Feb-2025,"11,640.60","11,520.00","11,613.70","11,490.00","11,505.00","11,532.30","11,536.86","2,62,455","3,02,79,06,597.25","47,706","1,81,661",69.22
ULTRACEMCO,EQ,11-Feb-2025,"11,532.30","11,497.00","11,515.60","11,240.25","11,309.00","11,300.20","11,365.03","3,01,338","3,42,47,14,324.85","69,132","1,71,099",56.78
ULTRACEMCO,EQ,12-Feb-2025,"11,300.20","11,300.00","11,599.00","11,074.60","11,466.00","11,478.50","11,373.57","3,47,198","3,94,88,82,383.90","74,704","1,61,621",46.55
ULTRACEMCO,EQ,13-Feb-2025,"11,478.50","11,500.00","11,649.90","11,422.20","11,506.30","11,546.45","11,570.50","3,36,128","3,88,91,67,908.55","82,868","2,13,158",63.42
ULTRACEMCO,EQ,14-Feb-2025,"11,546.45","11,589.00","11,589.00","11,182.00","11,256.00","11,263.85","11,299.13","2,79,199","3,15,47,04,929.30","50,050","1,50,771",54.0
ULTRACEMCO,EQ,17-Feb-2025,"11,263.85","11,219.00","11,509.90","11,043.40","11,464.15","11,490.10","11,337.44","1,66,053","1,88,26,16,205.05","40,481","62,465",37.62
ULTRACEMCO,EQ,18-Feb-2025,"11,490.10","11,450.00","11,460.60","11,251.00","11,283.05","11,308.90","11,318.07","2,68,795","3,04,22,39,335.90","43,083","1,66,068",61.78
ULTRACEMCO,EQ,19-Feb-2025,"11,308.90","11,290.00","11,460.00","11,231.00","11,286.15","11,291.55","11,338.98","1,57,580","1,78,67,97,136.00","34,374","84,012",53.31
ULTRACEMCO,EQ,20-Feb-2025,"11,291.55","11,291.10","11,330.00","11,245.20","11,256.00","11,287.60","11,301.42","1,42,187","1,60,69,15,445.15","32,476","87,165",61.3
ULTRACEMCO,EQ,21-Feb-2025,"11,287.60","11,265.00","11,290.00","10,990.00","11,160.25","11,157.25","11,107.14","3,20,240","3,55,69,49,608.80","69,280","1,83,553",57.32
ULTRACEMCO,EQ,24-Feb-2025,"11,157.25","11,008.65","11,170.00","10,975.05","11,036.95","11,042.65","11,098.36","1,75,294","1,94,54,75,234.95","47,524","1,18,168",67.41
ULTRACEMCO,EQ,25-Feb-2025,"11,042.65","11,042.65","11,054.25","10,841.00","10,950.00","10,964.15","10,935.24","2,96,499","3,24,22,86,771.50","59,380","1,87,990",63.4
ULTRACEMCO,EQ,27-Feb-2025,"10,964.15","10,800.00","10,800.00","10,264.40","10,450.00","10,447.65","10,438.18","17,22,295","17,97,76,27,891.50","1,66,691","11,06,730",64.26
ULTRACEMCO,EQ,28-Feb-2025,"10,447.65","10,490.00","10,490.00","10,047.85","10,089.25","10,128.45","10,245.66","12,30,856","12,61,09,29,778.00","1,22,882","8,81,569",71.62
ULTRACEMCO,EQ,03-Mar-2025,"10,128.45","10,319.25","10,621.80","10,283.15","10,348.00","10,340.80","10,362.21","8,35,344","8,65,60,13,709.75","1,01,846","5,07,088",60.7
ULTRACEMCO,EQ,04-Mar-2025,"10,340.80","10,250.00","10,454.80","10,240.00","10,373.40","10,370.10","10,363.33","3,52,922","3,65,74,46,084.85","66,697","1,96,845",55.78
ULTRACEMCO,EQ,05-Mar-2025,"10,370.10","10,387.90","10,506.80","10,295.25","10,457.55","10,464.20","10,403.96","3,10,832","3,23,38,84,581.65","71,514","1,83,978",59.19
ULTRACEMCO,EQ,06-Mar-2025,"10,464.20","10,539.80","10,540.00","10,317.20","10,469.90","10,493.50","10,431.79","3,65,920","3,81,72,00,850.90","78,871","1,92,324",52.56
